LV	logFC	AveExpr	t	P.Value	adj.P.Val	B
1,IRIS_Monocyte-Day1	0.020109130745260134	-4.620279813687415e-19	1.6732513919769836	0.09437943532307815	0.14138553540616766	-5.9644144681700935
2,REACTOME_DNA_REPLICATION	0.12935013909921192	-1.36790232821404e-18	5.176850025057441	2.4016307682549215e-7	1.3800415608629026e-6	5.9343475157856655
3,REACTOME_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT	-0.015016918316135074	-5.576047897167081e-19	-0.6663442618935764	0.5052410208337208	0.5789220030386384	-7.1373667483753485
4,REACTOME_METABOLISM_OF_NUCLEOTIDES	0.11481712757344097	1.14833112776414e-18	8.672938106799116	6.698878153272015e-18	1.4328156050054033e-16	29.661566390429872
5,REACTOME_NEURONAL_SYSTEM	-0.5051008033352655	-7.41781739849361e-19	-10.655675934001323	4.6418748871377655e-26	2.2339022894350495e-24	48.1832695994882
6,KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	0.0844976231216277	-1.4514990020594043e-18	8.502862895719758	2.842258800063028e-17	5.087479765304842e-16	28.240508695971872
7,REACTOME_MRNA_SPLICING	0.07520222895089365	4.0875161852187503e-19	2.932980211581801	0.0033820358964922145	0.008680558800996685	-3.079081859510011
8,REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION	0.11055305773948293	4.042731623592846e-18	3.6927089553774	2.257313970162842e-4	7.364965072141476e-4	-0.5804793799500683
9,PID_TCR_PATHWAY	-0.02930438715785671	5.076758173926275e-19	-2.604250103221375	0.00925182524379298	0.019253798480325934	-3.9836130334572957
10,SVM T cells CD4 memory resting	0.055504723185161794	-8.548530681400982e-19	4.568404898667473	5.107602811797183e-6	2.3409846220737084e-5	3.003245134928811
11,IRIS_DendriticCell-Control	0.2513402054515324	6.442933953344352e-19	10.851401557536272	6.0010744205383745e-27	3.300590931296106e-25	50.20407779066815
12,SVM Neutrophils	0.03624585246761393	-6.626423807527591e-19	2.911566890544311	0.0036220565667953583	0.00913440792618861	-3.1412555426529183
13,REACTOME_DEVELOPMENTAL_BIOLOGY	-0.1745721693818416	4.2113696345618295e-19	-6.343984549521802	2.567344782979875e-10	2.196506092105004e-9	12.560508446675076
14,REACTOME_NEURONAL_SYSTEM	-0.012019951919979496	6.098945532515956e-19	-0.7436924925455491	0.45711929780107985	0.5365577123579749	-7.083042966306102
15,REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	0.058143769021490176	1.1032294449308138e-19	5.942689463746964	3.1178978366765935e-9	2.3537071904323305e-8	10.13413072152398
16,KEGG_CALCIUM_SIGNALING_PATHWAY	-0.03464716158174132	-1.2335134076466135e-19	-1.8669350615739366	0.06200565889193004	0.09864536641897961	-5.623179144853954
17,BIOCARTA_CHREBP2_PATHWAY	-0.31499258009026027	-9.75182948511824e-19	-7.7887012197873124	9.182071533071925e-15	1.1047179813227159e-13	22.567393233970954
18,REACTOME_COLLAGEN_FORMATION	0.07110802398634758	-9.723817111795979e-19	6.018800733393921	1.964493732932352e-9	1.512660174357911e-8	10.582438015553898
19,REACTOME_PEPTIDE_CHAIN_ELONGATION	0.18566902355987114	-5.948136780542021e-19	9.59367869221002	1.6934555915047061e-21	6.519804027293118e-20	37.81774277449496
20,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	0.05886340164955102	-8.489334722682242e-19	5.646259394009387	1.7889450953094085e-8	1.2083225643756532e-7	8.441304847462817
21,IRIS_Monocyte-Day1	-0.029068680822898946	-2.644438513000881e-19	-2.4609064108677856	0.013913169033307202	0.02705338423143067	-4.344559555564576
22,KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	-0.08508202063111132	-3.688471999212954e-19	-1.0591632944880311	0.28960852952483096	0.37796367412562687	-6.799785516443205
23,DMAP_ERY4	-0.06276599258492059	-7.463095259775504e-19	-3.73776152833873	1.8904185162174858e-4	6.384308146874843e-4	-0.41445776328487405
24,REACTOME_PLATELET_HOMEOSTASIS	-0.06308283497364174	1.2559056884595657e-18	-4.317024167265152	1.6313595545029722e-5	6.901905807512575e-5	1.897638101292296
25,PID_INTEGRIN1_PATHWAY	0.10547648758358315	9.313673683530419e-19	6.924841162512941	5.291268030801778e-12	5.505778896915364e-11	16.34561702529378
26,IRIS_Neutrophil-Resting	0.05874710090465489	1.8471605618527005e-18	2.7625497674716226	0.005769256589521775	0.013142980987963805	-3.5613768547108866
LV 27	0.02339991341524655	-1.531343074950277e-19	1.5700201914554694	0.1165132029401558	0.17115290941802647	-6.131062944950964
28,REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	0.06576784582993124	-4.614818281781817e-19	2.115094347564927	0.03450205717432658	0.05930041076837381	-5.131534387722369
29,REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION	0.146278170107154	-1.864672699640328e-19	19.96150646033814	1.828386339740754e-83	7.039287408001903e-81	179.25945909143684
30,REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT	0.010173881460313831	1.698527613718577e-18	0.7233885128802097	0.46949619593693415	0.5494104420538591	-7.097879718091733
31,KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	0.019406547749224574	1.320237248954054e-18	2.613253664797734	0.009012126863580725	0.01895993902993759	-3.9602626576132467
32,PID_ANGIOPOIETINRECEPTOR_PATHWAY	0.10665339631654752	-7.469966219269644e-21	4.436085427890021	9.482048744916742e-6	4.2448706590615646e-5	2.4135874828289925
33,IRIS_Monocyte-Day7	0.036176659710811944	4.55157021874602e-19	3.7262867907016175	1.9781372629334274e-4	6.560390552501595e-4	-0.4569322722285243
34,REACTOME_3_UTR_MEDIATED_TRANSLATIONAL_REGULATION	0.011872922646361476	-1.1069380012731635e-18	0.9001965733648977	0.3680860744090799	0.4571391569274057	-6.954903942411511
35,DMAP_MEGA2	0.02412322812214942	2.863516413794791e-19	2.9340572476946103	0.0033703551977259903	0.008680558800996685	-3.0759427132980655
36,DMAP_HSC3	0.034178137560969955	1.571485334456423e-18	5.7406400556065655	1.0349605154791162e-8	7.115353543918924e-8	8.971090126219451
37,KEGG_PPAR_SIGNALING_PATHWAY	-0.053561937388153555	-8.3690929315348e-19	-3.923420239970278	8.920901028358835e-5	3.302448938382838e-4	0.29074814883683864
38,REACTOME_REGULATION_OF_MRNA_STABILITY_BY_PROTEINS_THAT_BIND_AU_RICH_ELEMENTS	0.060261336123266195	-1.1207768184081548e-18	5.5105738866306275	3.871656082164002e-8	2.484312652721901e-7	7.694740448995759
39,KEGG_CELL_ADHESION_MOLECULES_CAMS	0.05948742617604393	6.830790807866099e-19	5.060002918925476	4.438561802368597e-7	2.4068257660731126e-6	5.343509959804111
40,KEGG_DILATED_CARDIOMYOPATHY	-0.1026648593103618	9.449859624273234e-19	-8.529028563216295	2.2795557646971234e-17	4.3881448470419625e-16	28.4573887689933
41,REACTOME_TRANSMEMBRANE_TRANSPORT_OF_SMALL_MOLECULES	0.013191899086098748	-7.741633386961007e-19	1.5912081216729164	0.11166543881266162	0.16535074593413357	-6.097722575752162
