"","baseMean","log2FoldChange","lfcSE","pvalue","padj","Symbol"
"ENSG00000188976.10",264518.239929758,-9.64869669197976e-06,0.0014426474819065,0.152712828305442,0.310600233900287,"NOC2L"
"ENSG00000074800.13",3010524.9258685,6.33929860106133e-06,0.00144268709572596,0.0545605678817975,0.134477783795969,"ENO1"
"ENSG00000173372.16",151453.961531462,1.83980578656366,1.62474406166247,0.000518954676191543,0.00231802567365969,"C1QA"
"ENSG00000159189.11",199555.652998385,2.13506226301411e-06,0.00144269536976383,0.00106978837784903,0.00439977824450466,"C1QC"
"ENSG00000173369.15",271621.536960473,1.75384674907453,2.17000357507674,0.00060734036833982,0.00267180064200725,"C1QB"
"ENSG00000130768.14",5045.90403564934,7.63199374698123e-07,0.00144269288947559,0.549856140407407,0.765300289283537,"SMPDL3B"
"ENSG00000134690.10",8048.06359640755,4.11164479682382,0.275834238303591,1.00336004869158e-52,2.61190463201503e-49,"CDCA8"
"ENSG00000117399.13",8541.94959885354,3.43788296448108,0.57157501826507,7.52315780177784e-12,1.70373344723412e-10,"CDC20"
"ENSG00000142945.12",8535.10558521315,4.91578043826816,0.328052627539449,1.12288496441673e-53,3.4711181462532e-50,"KIF2C"
"ENSG00000085840.12",3643.32420010471,4.13887478700869,0.568749578013539,9.246844582078e-16,4.25045476793288e-14,"ORC1"
"ENSG00000116675.15",658285.045792978,-3.61210106177991,0.339958373473122,1.20458857297811e-26,2.69588012757905e-24,"DNAJC6"
"ENSG00000282608.1",32793.4001123433,1.64818006673982,1.70423740542962,0.000658381853482659,0.00286901908813188,"ADORA3"
"ENSG00000159164.9",987750.001538605,-2.14522957183116,0.381587179412933,3.67726892491285e-09,4.92359829524065e-08,"SV2A"
"ENSG00000143621.16",291190.155401436,1.17120751274556,0.1209130764834,7.49923362285582e-24,1.12397604541348e-21,"ILF2"
"ENSG00000143603.18",231824.223365916,-3.09176931771277e-07,0.00144268931093027,0.876975059967289,0.971011629044282,"KCNN3"
"ENSG00000163468.14",512957.247664472,0.292238340422546,0.236307939290267,0.00235892404201237,0.00886770412084303,"CCT3"
"ENSG00000143320.8",32551.2475411308,3.21959276994743e-06,0.00144269243997836,0.842868308060917,0.953743577687144,"CRABP2"
"ENSG00000177807.8",848023.648111053,-0.945448737658561,0.516074938501592,0.00375418709245611,0.0133863523605277,"KCNJ10"
"ENSG00000162734.12",4813111.94925734,-2.06377873723165e-06,0.0014426819821677,0.513548512505065,0.735574105253265,"PEA15"
"ENSG00000162738.5",130336.34640826,1.75454243053636,0.367602604357199,2.08144854034833e-08,2.4025308005981e-07,"VANGL2"
"ENSG00000158869.10",59073.4529571219,2.63548511724349,0.915824289593965,1.53616182759276e-05,9.86990958596232e-05,"FCER1G"
"ENSG00000143226.13",71548.8768620844,2.58010970821064,0.988690839778028,3.1963953581614e-05,0.0001898567484264,"FCGR2A"
"ENSG00000203747.10",150514.80448051,1.8827941563954e-06,0.0014426952681558,0.00156637470719074,0.00616184625925823,"FCGR3A"
"ENSG00000143153.12",1807686.42493338,-4.98490230422866e-05,0.00144307950224426,4.84584708826511e-13,1.39022968089091e-11,"ATP1B1"
"ENSG00000143156.13",268770.385885213,-1.76749714041235e-05,0.00144271963518217,0.00023527062491353,0.00113715284943059,"NME7"
"ENSG00000117593.9",30026.7325222963,0.99985260078222,0.174642863473626,2.23241660440465e-10,3.80411298308252e-09,"DARS2"
"ENSG00000135838.13",85869.7926309384,4.70915997867943e-06,0.00144269692911625,0.000194863950099121,0.000960886561208042,"NPL"
"ENSG00000066279.17",4550.93748965855,4.55236328230308,0.725397981618972,6.76337353190668e-13,1.88353859734293e-11,"ASPM"
"ENSG00000117650.12",3851.8068829152,1.34454696783926e-06,0.00144269519276154,0.0012980612886423,0.00522095725268343,"NEK2"
"ENSG00000143799.12",554200.783206812,1.50727251475668e-06,0.00144265920642793,0.764830516517492,0.911179240460429,"PARP1"
"ENSG00000170312.15",7669.07428669038,4.68894724456376,0.481363494296324,4.34838691734227e-25,8.0551017577434e-23,"CDK1"
"ENSG00000099284.13",50674.0041389706,-6.41606578099408e-06,0.00144267937725655,0.116771209332935,0.250759986697073,"H2AFY2"
"ENSG00000059915.16",1899060.24501589,-3.74410632980141,0.577052309879896,5.13598502179919e-11,9.8459619836507e-10,"PSD"
"ENSG00000121621.6",2155.08177491361,4.42579705074003,0.569186584881097,1.7666785848103e-17,1.08143468817719e-15,"KIF18A"
"ENSG00000157570.11",136342.573972982,1.46769208856878e-06,0.00144269477046623,0.0446022890626681,0.113338944566356,"TSPAN18"
"ENSG00000121653.11",1211238.5061446,-1.31430373169981,0.258661461289844,3.74094519482793e-08,4.10077901897583e-07,"MAPK8IP1"
"ENSG00000110492.15",96724.7497899887,4.10916436797526,0.489375647245394,1.34014205686463e-19,1.09559382037231e-17,"MDK"
"ENSG00000110077.14",51305.5443203797,4.03414088012192,0.906823850187103,1.83039608855446e-08,2.13971615551652e-07,"MS4A6A"
"ENSG00000110079.16",18464.2289575282,3.76805942930639,0.893691908505541,6.10176540339917e-08,6.42934207183901e-07,"MS4A4A"
"ENSG00000168496.3",60725.4819389518,2.5126470731256e-06,0.0014426775580854,0.498283731954773,0.723159909114109,"FEN1"
"ENSG00000162188.5",571190.650719665,-3.75845447209847,0.449416209150903,3.71166944515056e-17,2.13961737479192e-15,"GNG3"
"ENSG00000021300.13",4490951.55517634,-8.54824333865592e-06,0.00144269458236386,0.00532857634446854,0.0181634311507522,"PLEKHB1"
"ENSG00000214517.9",326341.348640803,-0.896394540058264,0.224085100657946,4.743242370645e-06,3.40099692160193e-05,"PPME1"
"ENSG00000182985.17",479571.672261266,-7.28070480547589e-07,0.00144267844909359,0.835714714468589,0.949466513644516,"CADM1"
"ENSG00000137726.16",1190503.36754702,-3.71354436393837e-06,0.00144268625029296,0.184115812887501,0.359523396321047,"FXYD6"
"ENSG00000154146.12",2840304.15823115,-3.95241552023108,0.937248721383308,1.83402777746232e-05,0.000115761886004704,"NRGN"
"ENSG00000166086.12",373479.52657024,-6.93138578480522e-06,0.00144268766536625,0.050733617936262,0.126335955247584,"JAM3"
"ENSG00000109956.12",1176922.81895359,-1.63963925370165,0.422836525646207,1.37622171786137e-05,8.93749030533393e-05,"B3GAT1"
"ENSG00000004478.7",616186.373873322,-5.1363809074385e-06,0.00144268446206227,0.0939813362843801,0.209998504297512,"FKBP4"
"ENSG00000111640.14",8605278.19044375,1.8506930758757e-05,0.00144273663540237,2.39861681447079e-07,2.25585829328247e-06,"GAPDH"
"ENSG00000177575.12",91519.3915004464,4.11475150202102,1.09430233472583,2.91830926971676e-07,2.69793600897553e-06,"CD163"
"ENSG00000059804.15",360327.311754983,-1.15760377377591,0.393521277516332,0.000272336146828894,0.00129816362973758,"SLC2A3"
"ENSG00000171860.4",29945.9507352286,2.16531507161672e-06,0.0014426950425255,0.00861349117728764,0.0276764291319851,"C3AR1"
"ENSG00000057294.14",20502.364604228,-1.32649992785458,0.56295331171208,0.00165938632618843,0.00648134310141988,"PKP2"
"ENSG00000167552.13",4232343.53492526,0.67799616584119,0.745304400931743,0.00186901387498382,0.00719760677628634,"TUBA1A"
"ENSG00000135472.8",2636314.30208707,-3.55387618186479,0.27616215423975,3.40785951492525e-38,2.80921219347005e-35,"FAIM2"
"ENSG00000161800.12",57086.5509837056,1.8531784332143,0.201372616503605,4.77586126280045e-22,5.54493187929836e-20,"RACGAP1"
"ENSG00000062485.18",511767.705371433,-3.61293337170963e-06,0.00144264583563254,0.55399006734299,0.768528559470011,"CS"
"ENSG00000155980.11",6406579.95790577,-2.55094665376845e-05,0.00144278533916053,1.85347746204489e-07,1.78439442300888e-06,"KIF5A"
