"";"query";"significant";"p_value";"term_size";"query_size";"intersection_size";"precision";"recall";"term_id";"source";"term_name";"effective_domain_size";"source_order";"set"
"1";"query_1";TRUE;4,06364213205721e-10;1392;701;100;0,14265335235378;0,0718390804597701;"GO:0006629";"GO:BP";"lipid metabolic process";21100;2601;"Up"
"2";"query_1";TRUE;5,77980168197262e-10;6436;705;305;0,432624113475177;0,0473896830329397;"GO:0051179";"GO:BP";"localization";21100;15648;"Up"
"3";"query_1";TRUE;9,67364081725664e-09;3768;480;147;0,30625;0,0390127388535032;"GO:0065008";"GO:BP";"regulation of biological quality";21100;18613;"Up"
"4";"query_1";TRUE;1,61068837813509e-08;4742;705;236;0,334751773049645;0,0497680303669338;"GO:0006810";"GO:BP";"transport";21100;2766;"Up"
"5";"query_1";TRUE;5,4865935933158e-08;4903;705;240;0,340425531914894;0,0489496226799918;"GO:0051234";"GO:BP";"establishment of localization";21100;15692;"Up"
"6";"query_1";TRUE;5,85125790215302e-08;558;703;52;0,0739687055476529;0,0931899641577061;"GO:0009611";"GO:BP";"response to wounding";21100;3983;"Up"
"7";"query_1";TRUE;7,02309164930782e-08;6446;678;287;0,42330383480826;0,0445237356500155;"GO:1901564";"GO:BP";"organonitrogen compound metabolic process";21100;24853;"Up"
"8";"query_1";TRUE;2,5876486953855e-07;1724;704;108;0,153409090909091;0,0626450116009281;"GO:0051049";"GO:BP";"regulation of transport";21100;15540;"Up"
"9";"query_1";TRUE;1,24492425251616e-06;3019;301;84;0,27906976744186;0,0278237827095065;"GO:0070887";"GO:BP";"cellular response to chemical stimulus";21100;19115;"Up"
"10";"query_1";TRUE;1,79392145529318e-06;1796;699;108;0,15450643776824;0,0601336302895323;"GO:0044281";"GO:BP";"small molecule metabolic process";21100;12712;"Up"
"11";"query_1";TRUE;1,92446059733101e-06;236;227;17;0,0748898678414097;0,0720338983050847;"GO:1901617";"GO:BP";"organic hydroxy compound biosynthetic process";21100;24896;"Up"
"12";"query_1";TRUE;2,27526263506843e-06;553;579;43;0,07426597582038;0,0777576853526221;"GO:0044283";"GO:BP";"small molecule biosynthetic process";21100;12714;"Up"
"13";"query_1";TRUE;3,37902142536295e-06;1009;696;71;0,102011494252874;0,0703666997026759;"GO:0044255";"GO:BP";"cellular lipid metabolic process";21100;12695;"Up"
"14";"query_1";TRUE;7,19872554328709e-06;137;227;13;0,0572687224669604;0,0948905109489051;"GO:0046165";"GO:BP";"alcohol biosynthetic process";21100;13865;"Up"
"15";"query_1";TRUE;1,01209690043865e-05;2725;624;132;0,211538461538462;0,0484403669724771;"GO:0032879";"GO:BP";"regulation of localization";21100;9081;"Up"
"16";"query_1";TRUE;1,22027065187874e-05;429;703;40;0,0568990042674253;0,0932400932400932;"GO:0042060";"GO:BP";"wound healing";21100;11511;"Up"
"17";"query_1";TRUE;1,64760812670336e-05;1604;704;97;0,137784090909091;0,0604738154613466;"GO:0016192";"GO:BP";"vesicle-mediated transport";21100;5742;"Up"
