"";"query";"significant";"p_value";"term_size";"query_size";"intersection_size";"precision";"recall";"term_id";"source";"term_name";"effective_domain_size";"source_order";"set"
"1";"query_1";TRUE;2,08891683620421e-11;117;100;13;0,13;0,111111111111111;"GO:0010927";"GO:BP";"cellular component assembly involved in morphogenesis";21092;5044;"Up"
"2";"query_1";TRUE;2,34797438307816e-11;67;98;11;0,112244897959184;0,164179104477612;"GO:0030239";"GO:BP";"myofibril assembly";21092;7762;"Up"
"3";"query_1";TRUE;2,79048568112629e-11;68;98;11;0,112244897959184;0,161764705882353;"GO:0055002";"GO:BP";"striated muscle cell development";21092;16709;"Up"
"4";"query_1";TRUE;7,5170616143765e-09;184;100;13;0,13;0,0706521739130435;"GO:0055001";"GO:BP";"muscle cell development";21092;16708;"Up"
"5";"query_1";TRUE;3,50708550890496e-08;43;97;8;0,0824742268041237;0,186046511627907;"GO:0045214";"GO:BP";"sarcomere organization";21092;13165;"Up"
"6";"query_1";TRUE;4,05592894740418e-06;199;98;11;0,112244897959184;0,0552763819095477;"GO:0031032";"GO:BP";"actomyosin structure organization";21092;8103;"Up"
"7";"query_1";TRUE;1,01327506339503e-05;274;98;12;0,122448979591837;0,0437956204379562;"GO:0051146";"GO:BP";"striated muscle cell differentiation";21092;15595;"Up"
"8";"query_1";TRUE;3,95484863356178e-05;429;196;19;0,0969387755102041;0,0442890442890443;"GO:0003012";"GO:BP";"muscle system process";21092;1586;"Up"
"9";"query_1";TRUE;4,7378104639048e-05;807;108;19;0,175925925925926;0,023543990086741;"GO:0097435";"GO:BP";"supramolecular fiber organization";21092;21812;"Up"
"10";"query_1";TRUE;5,00692029895857e-05;377;100;13;0,13;0,0344827586206897;"GO:0042692";"GO:BP";"muscle cell differentiation";21092;11867;"Up"
"11";"query_1";TRUE;5,1246782324369e-05;811;108;19;0,175925925925926;0,0234278668310728;"GO:0030029";"GO:BP";"actin filament-based process";21092;7670;"Up"
"12";"query_1";TRUE;9,32648933459399e-05;724;39;11;0,282051282051282;0,0151933701657459;"GO:0030036";"GO:BP";"actin cytoskeleton organization";21092;7677;"Up"
"13";"query_1";TRUE;0,000102269048993194;344;159;15;0,0943396226415094;0,0436046511627907;"GO:0006936";"GO:BP";"muscle contraction";21092;2870;"Up"
"14";"query_1";TRUE;0,00014084678276909;656;100;16;0,16;0,024390243902439;"GO:0061061";"GO:BP";"muscle structure development";21092;17782;"Up"
"15";"query_1";TRUE;0,000289283313594134;1491;28;12;0,428571428571429;0,00804828973843058;"GO:0007010";"GO:BP";"cytoskeleton organization";21092;2929;"Up"
"16";"query_1";TRUE;0,000422813506823071;385;98;12;0,122448979591837;0,0311688311688312;"GO:0140694";"GO:BP";"non-membrane-bounded organelle assembly";21092;23167;"Up"
"17";"query_1";TRUE;0,000509952227726136;348;28;7;0,25;0,0201149425287356;"GO:0007517";"GO:BP";"muscle organ development";21092;3377;"Up"
"18";"query_1";TRUE;0,00121377424554467;770;100;16;0,16;0,0207792207792208;"GO:0032989";"GO:BP";"cellular component morphogenesis";21092;9166;"Up"
"19";"query_1";TRUE;0,00139122423390735;404;28;7;0,25;0,0173267326732673;"GO:0060537";"GO:BP";"muscle tissue development";21092;17281;"Up"
"20";"query_1";TRUE;0,00370641352136152;19;28;3;0,107142857142857;0,157894736842105;"GO:0055003";"GO:BP";"cardiac myofibril assembly";21092;16710;"Up"
"21";"query_1";TRUE;0,00380476043311328;167;27;5;0,185185185185185;0,029940119760479;"GO:0007519";"GO:BP";"skeletal muscle tissue development";21092;3379;"Up"
"22";"query_1";TRUE;0,0053485966156653;179;27;5;0,185185185185185;0,0279329608938547;"GO:0060538";"GO:BP";"skeletal muscle organ development";21092;17282;"Up"
"23";"query_1";TRUE;0,00878163382521898;93;98;6;0,0612244897959184;0,0645161290322581;"GO:1901879";"GO:BP";"regulation of protein depolymerization";21092;25130;"Up"
"24";"query_1";TRUE;0,0105844514423789;74;196;7;0,0357142857142857;0,0945945945945946;"GO:0055013";"GO:BP";"cardiac muscle cell development";21092;16720;"Up"
"25";"query_1";TRUE;0,0149961979403664;1973;117;27;0,230769230769231;0,0136847440446021;"GO:0009888";"GO:BP";"tissue development";21092;4204;"Up"
"26";"query_1";TRUE;0,0153127291748212;6;159;3;0,0188679245283019;0,5;"GO:0030240";"GO:BP";"skeletal muscle thin filament assembly";21092;7763;"Up"
"27";"query_1";TRUE;0,0163952136694689;79;196;7;0,0357142857142857;0,0886075949367089;"GO:0055006";"GO:BP";"cardiac cell development";21092;16713;"Up"
"28";"query_1";TRUE;0,0175062450826617;4;27;2;0,0740740740740741;0,5;"GO:0043503";"GO:BP";"skeletal muscle fiber adaptation";21092;12354;"Up"
"29";"query_1";TRUE;0,0233551102971914;130;174;8;0,0459770114942529;0,0615384615384615;"GO:0043244";"GO:BP";"regulation of protein-containing complex disassembly";21092;12184;"Up"
"30";"query_1";TRUE;0,0237219118390247;7;17;2;0,117647058823529;0,285714285714286;"GO:0035995";"GO:BP";"detection of muscle stretch";21092;10792;"Up"
"31";"query_1";TRUE;0,0377383962679135;3545;199;57;0,28643216080402;0,0160789844851904;"GO:0006996";"GO:BP";"organelle organization";21092;2916;"Up"
"32";"query_1";TRUE;0,0437715671005673;123;98;6;0,0612244897959184;0,0487804878048781;"GO:0051261";"GO:BP";"protein depolymerization";21092;15696;"Up"
"33";"query_1";TRUE;1,36870117497191e-11;12270;201;164;0,81592039800995;0,0133659331703341;"GO:0005737";"GO:CC";"cytoplasm";21690;383;"Up"
"34";"query_1";TRUE;2,15591382365182e-11;238;109;16;0,146788990825688;0,0672268907563025;"GO:0030016";"GO:CC";"myofibril";21690;1020;"Up"
"35";"query_1";TRUE;2,48629900316671e-11;217;100;15;0,15;0,0691244239631336;"GO:0030017";"GO:CC";"sarcomere";21690;1021;"Up"
"36";"query_1";TRUE;3,83678276881447e-11;247;109;16;0,146788990825688;0,0647773279352227;"GO:0043292";"GO:CC";"contractile fiber";21690;2143;"Up"
"37";"query_1";TRUE;5,97924857149331e-08;1017;109;24;0,220183486238532;0,023598820058997;"GO:0099512";"GO:CC";"supramolecular fiber";21690;3774;"Up"
"38";"query_1";TRUE;7,14850740651194e-08;1026;109;24;0,220183486238532;0,0233918128654971;"GO:0099081";"GO:CC";"supramolecular polymer";21690;3744;"Up"
"39";"query_1";TRUE;1,06988426009143e-06;1377;109;26;0,238532110091743;0,018881626724764;"GO:0099080";"GO:CC";"supramolecular complex";21690;3743;"Up"
"40";"query_1";TRUE;6,47079273397236e-06;132;186;11;0,0591397849462366;0,0833333333333333;"GO:0030018";"GO:CC";"Z disc";21690;1022;"Up"
"41";"query_1";TRUE;1,13776701161599e-05;3368;201;62;0,308457711442786;0,0184085510688836;"GO:0005615";"GO:CC";"extracellular space";21690;276;"Up"
"42";"query_1";TRUE;1,38011275005141e-05;507;160;18;0,1125;0,0355029585798817;"GO:0015629";"GO:CC";"actin cytoskeleton";21690;835;"Up"
"43";"query_1";TRUE;1,84385593718434e-05;146;186;11;0,0591397849462366;0,0753424657534247;"GO:0031674";"GO:CC";"I band";21690;1409;"Up"
"44";"query_1";TRUE;2,55315139193395e-05;4733;201;77;0,383084577114428;0,0162687513205155;"GO:0012505";"GO:CC";"endomembrane system";21690;815;"Up"
"45";"query_1";TRUE;6,461033331567e-05;4302;201;71;0,353233830845771;0,0165039516503952;"GO:0005576";"GO:CC";"extracellular region";21690;239;"Up"
"46";"query_1";TRUE;7,04637338816244e-05;2108;201;44;0,218905472636816;0,0208728652751423;"GO:0070062";"GO:CC";"extracellular exosome";21690;2736;"Up"
"47";"query_1";TRUE;9,6764490911987e-05;2132;201;44;0,218905472636816;0,0206378986866792;"GO:1903561";"GO:CC";"extracellular vesicle";21690;4065;"Up"
"48";"query_1";TRUE;9,80392434506056e-05;2133;201;44;0,218905472636816;0,0206282231598687;"GO:0043230";"GO:CC";"extracellular organelle";21690;2124;"Up"
"49";"query_1";TRUE;9,80392434506056e-05;2133;201;44;0,218905472636816;0,0206282231598687;"GO:0065010";"GO:CC";"extracellular membrane-bounded organelle";21690;2712;"Up"
"50";"query_1";TRUE;0,000126534083015241;39;159;6;0,0377358490566038;0,153846153846154;"GO:0031672";"GO:CC";"A band";21690;1407;"Up"
"51";"query_1";TRUE;0,000253282936086846;24;159;5;0,0314465408805031;0,208333333333333;"GO:0031430";"GO:CC";"M band";21690;1329;"Up"
"52";"query_1";TRUE;0,000723779068836373;5419;188;76;0,404255319148936;0,014024727809559;"GO:0005829";"GO:CC";"cytosol";21690;468;"Up"
"53";"query_1";TRUE;0,00103264056707831;1684;156;30;0,192307692307692;0,0178147268408551;"GO:0005739";"GO:CC";"mitochondrion";21690;384;"Up"
"54";"query_1";TRUE;0,00182924099588006;18;145;4;0,0275862068965517;0,222222222222222;"GO:0031143";"GO:CC";"pseudopodium";21690;1223;"Up"
"55";"query_1";TRUE;0,00212066604401684;2031;191;38;0,198952879581152;0,0187099950763171;"GO:0005783";"GO:CC";"endoplasmic reticulum";21690;425;"Up"
