"","X","Var1","Var2","log_fold_change","Sensitive"
"12801",290831,"GOS3","nimodipine",-0.131609274832,TRUE
"12802",290859,"GAMG","nimodipine",-0.465350120622,TRUE
"12803",290861,"GMS10","nimodipine",-0.462603466803,TRUE
"12804",290897,"NMCG1","nimodipine",-0.507462168069,TRUE
"12805",290913,"KALS1","nimodipine",-0.323467728641,TRUE
"12806",290920,"DKMG","nimodipine",0.143147478008,TRUE
"12807",290933,"AM38","nimodipine",-1.59968863069,TRUE
"12808",290944,"SNU466","nimodipine",-1.09167113866,TRUE
"12809",290982,"SNU1105","nimodipine",-0.301778035335,TRUE
"12810",290985,"SF295","nimodipine",-0.745379050825,TRUE
"12811",291024,"KNS60","nimodipine",-0.467099524517,TRUE
"12812",291036,"CAS1","nimodipine",0.0332411128658,TRUE
"12813",291040,"YH13","nimodipine",-0.0626401035055,TRUE
"12814",291048,"KNS81","nimodipine",0.135370710225,TRUE
"12815",291082,"SNU489","nimodipine",0.212081838017,TRUE
"12816",291091,"A172","nimodipine",0.157728635436,TRUE
"12817",291098,"YKG1","nimodipine",-0.0623407445681,TRUE
"12818",291099,"T98G","nimodipine",-0.47606393752,TRUE
"12819",291110,"LN229","nimodipine",-0.00773748856084,TRUE
"12820",291125,"KNS42","nimodipine",0.136288629391,TRUE
"12821",291126,"SNU201","nimodipine",0.156779295245,TRUE
"12822",291193,"GB1","nimodipine",-0.0817067860749,TRUE
"12823",291203,"GI1","nimodipine",0.177671654909,TRUE
"12824",291240,"LN18","nimodipine",-0.237563924712,TRUE
"12825",291270,"DBTRG05MG","nimodipine",-0.181808557349,TRUE
"17501",397615,"GOS3","thioridazine",-0.381869218834,TRUE
"17502",397643,"GAMG","thioridazine",0.496331710393,FALSE
"17503",397645,"GMS10","thioridazine",0.18690451594,TRUE
"17504",397681,"NMCG1","thioridazine",0.119296177136,TRUE
"17505",397697,"KALS1","thioridazine",-0.691297201861,TRUE
"17506",397704,"DKMG","thioridazine",-0.621946365676,TRUE
"17507",397717,"AM38","thioridazine",NA,NA
"17508",397728,"SNU466","thioridazine",0.201958406926,TRUE
"17509",397766,"SNU1105","thioridazine",-0.660874157319,TRUE
"17510",397769,"SF295","thioridazine",0.542654504185,FALSE
"17511",397808,"KNS60","thioridazine",0.0747962070268,TRUE
"17512",397820,"CAS1","thioridazine",-0.865456626437,TRUE
"17513",397824,"YH13","thioridazine",-0.488252206634,TRUE
"17514",397832,"KNS81","thioridazine",-0.423773678287,TRUE
"17515",397866,"SNU489","thioridazine",0.369600504294,FALSE
"17516",397875,"A172","thioridazine",0.269913273866,TRUE
"17517",397882,"YKG1","thioridazine",-0.337528424596,TRUE
"17518",397883,"T98G","thioridazine",-0.183868944974,TRUE
"17519",397894,"LN229","thioridazine",0.024828324705,TRUE
"17520",397909,"KNS42","thioridazine",-0.488312601058,TRUE
"17521",397910,"SNU201","thioridazine",-1.01100751859,TRUE
"17522",397977,"GB1","thioridazine",-0.0930943289097,TRUE
"17523",397987,"GI1","thioridazine",-0.220570032819,TRUE
"17524",398024,"LN18","thioridazine",0.0961973423036,TRUE
"17525",398054,"DBTRG05MG","thioridazine",-0.250114602956,TRUE
"34526",784423,"GOS3","amiodarone",-0.90373323035,TRUE
"34527",784451,"GAMG","amiodarone",-1.09642276661,TRUE
"34528",784453,"GMS10","amiodarone",0.180055268734,TRUE
"34529",784489,"NMCG1","amiodarone",-0.038270236369,TRUE
"34530",784505,"KALS1","amiodarone",-0.237676683261,TRUE
"34531",784512,"DKMG","amiodarone",-0.337721574181,TRUE
"34532",784525,"AM38","amiodarone",NA,NA
"34533",784536,"SNU466","amiodarone",0.0282068757626,TRUE
"34534",784574,"SNU1105","amiodarone",-0.160400617315,TRUE
"34535",784577,"SF295","amiodarone",0.604618176671,FALSE
"34536",784616,"KNS60","amiodarone",-0.213869829127,TRUE
"34537",784628,"CAS1","amiodarone",-0.20854396757,TRUE
"34538",784632,"YH13","amiodarone",-0.190177653106,TRUE
"34539",784640,"KNS81","amiodarone",0.158329533993,TRUE
"34540",784674,"SNU489","amiodarone",-0.377208787688,TRUE
"34541",784683,"A172","amiodarone",0.542321437255,FALSE
"34542",784690,"YKG1","amiodarone",-0.156336467766,TRUE
"34543",784691,"T98G","amiodarone",0.0343723875262,TRUE
"34544",784702,"LN229","amiodarone",-0.27941641224,TRUE
"34545",784717,"KNS42","amiodarone",-0.264251555866,TRUE
"34546",784718,"SNU201","amiodarone",-0.751400744909,TRUE
"34547",784785,"GB1","amiodarone",0.208945858672,TRUE
"34548",784795,"GI1","amiodarone",-0.04484376694,TRUE
"34549",784832,"LN18","amiodarone",0.20139840454,TRUE
"34550",784862,"DBTRG05MG","amiodarone",0.0267700401805,TRUE
"36526",829863,"GOS3","lapatinib",0.339507335176,FALSE
"36527",829891,"GAMG","lapatinib",0.1733622228,TRUE
"36528",829893,"GMS10","lapatinib",0.35654867743,FALSE
"36529",829929,"NMCG1","lapatinib",-0.0949436521531,TRUE
