"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","itemID","Count"
"1","hsa05206","MicroRNAs in cancer","13/22","1500/20464",4.45850041022834e-10,9.22909584917265e-08,3.23827924532374e-08,"5-iodotubercidin/withaferin-a/sorafenib/mitoxantrone/progesterone/tenovins/alvocidib/axitinib/jnj-7706621/nch-51/pd-184352/canertinib/zstk-474",13
"2","hsa05220","Chronic myeloid leukemia","10/22","822/20464",4.31816219877458e-09,4.46929787573169e-07,1.56817469323919e-07,"5-iodotubercidin/withaferin-a/sorafenib/progesterone/alvocidib/jnj-7706621/nch-51/pd-184352/canertinib/zstk-474",10
"3","hsa05160","Hepatitis C","11/22","1262/20464",1.76315120864985e-08,1.05176621924925e-06,3.69040778683948e-07,"5-iodotubercidin/withaferin-a/sorafenib/progesterone/antimycin-a/alvocidib/jnj-7706621/oleoylethanolamide/pd-184352/canertinib/zstk-474",11
"4","hsa05218","Melanoma","9/22","700/20464",2.0323984913029e-08,1.05176621924925e-06,3.69040778683948e-07,"5-iodotubercidin/sorafenib/progesterone/alvocidib/axitinib/jnj-7706621/pd-184352/canertinib/zstk-474",9
"5","hsa04068","FoxO signaling pathway","11/22","1326/20464",2.94482739115928e-08,1.21915853993994e-06,4.27774926294716e-07,"5-iodotubercidin/withaferin-a/sorafenib/progesterone/tenovins/alvocidib/axitinib/jnj-7706621/pd-184352/canertinib/zstk-474",11
"6","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","10/22","1027/20464",3.61211786771653e-08,1.2461806643622e-06,4.37256373460423e-07,"5-iodotubercidin/withaferin-a/sorafenib/progesterone/alvocidib/jnj-7706621/ei-231/pd-184352/canertinib/zstk-474",10
"7","hsa05214","Glioma","9/22","816/20464",7.60085122772089e-08,2.07277501546516e-06,7.27289479110582e-07,"5-iodotubercidin/sorafenib/progesterone/alvocidib/axitinib/jnj-7706621/pd-184352/canertinib/zstk-474",9
"8","hsa05221","Acute myeloid leukemia","9/22","827/20464",8.52385452191513e-08,2.07277501546516e-06,7.27289479110582e-07,"5-iodotubercidin/withaferin-a/sorafenib/mitoxantrone/progesterone/axitinib/pd-184352/canertinib/zstk-474",9
"9","hsa05165","Human papillomavirus infection","11/22","1478/20464",9.01206528463112e-08,2.07277501546516e-06,7.27289479110582e-07,"5-iodotubercidin/withaferin-a/sorafenib/progesterone/alvocidib/axitinib/jnj-7706621/nch-51/pd-184352/canertinib/zstk-474",11
"10","hsa05163","Human cytomegalovirus infection","12/22","1904/20464",1.08245012735811e-07,2.2406717636313e-06,7.86200618817998e-07,"5-iodotubercidin/sq-22536/withaferin-a/sorafenib/progesterone/antimycin-a/alvocidib/axitinib/jnj-7706621/pd-184352/canertinib/zstk-474",12
"11","hsa05215","Prostate cancer","10/22","1274/20464",2.7384262288e-07,5.15322026692364e-06,1.80814746207847e-06,"5-iodotubercidin/withaferin-a/sorafenib/progesterone/alvocidib/axitinib/jnj-7706621/pd-184352/canertinib/zstk-474",10
"12","hsa04540","Gap junction","9/22","994/20464",4.0717699557978e-07,7.0238031737512e-06,2.46449234166709e-06,"5-iodotubercidin/sq-22536/sorafenib/progesterone/alvocidib/axitinib/jnj-7706621/pd-184352/canertinib",9
