"","ont","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","itemID","Count"
"GO:0061000","BP","GO:0061000","negative regulation of dendritic spine development","4/14","91/22568",2.40061569438127e-07,0.000227353473775033,0.000137097572125648,"vorinostat/panobinostat/entinostat/bi-2536",4
"GO:0060996","BP","GO:0060996","dendritic spine development","6/14","487/22568",2.53884392825274e-07,0.000227353473775033,0.000137097572125648,"vorinostat/panobinostat/entinostat/bi-2536/icosapent/ly-294002",6
"GO:0035851","MF","GO:0035851","Krueppel-associated box domain binding","3/14","27/22568",5.50991698061217e-07,0.000320891250481074,0.000193502261596628,"vorinostat/panobinostat/entinostat",3
"GO:0051059","MF","GO:0051059","NF-kappaB binding","5/14","299/22568",7.16675042950472e-07,0.000320891250481074,0.000193502261596628,"vorinostat/panobinostat/entinostat/icosapent/ly-294002",5
"GO:0046329","BP","GO:0046329","negative regulation of JNK cascade","4/14","132/22568",1.06958477351768e-06,0.000348489267117834,0.000210144281679096,"vorinostat/panobinostat/entinostat/ly-294002",4
"GO:0048714","BP","GO:0048714","positive regulation of oligodendrocyte differentiation","5/14","335/22568",1.2546487563414e-06,0.000348489267117834,0.000210144281679096,"vorinostat/panobinostat/entinostat/icosapent/ly-294002",5
"GO:0032873","BP","GO:0032873","negative regulation of stress-activated MAPK cascade","4/14","145/22568",1.55662430873404e-06,0.000348489267117834,0.000210144281679096,"vorinostat/panobinostat/entinostat/ly-294002",4
"GO:0070303","BP","GO:0070303","negative regulation of stress-activated protein kinase signaling cascade","4/14","145/22568",1.55662430873404e-06,0.000348489267117834,0.000210144281679096,"vorinostat/panobinostat/entinostat/ly-294002",4
"GO:2000171","BP","GO:2000171","negative regulation of dendrite development","4/14","155/22568",2.03081972261015e-06,0.000401265850933015,0.000241969357346542,"vorinostat/panobinostat/entinostat/bi-2536",4
"GO:0060998","BP","GO:0060998","regulation of dendritic spine development","5/14","377/22568",2.24045701246798e-06,0.000401265850933015,0.000241969357346542,"vorinostat/panobinostat/entinostat/bi-2536/ly-294002",5
"GO:0032008","BP","GO:0032008","positive regulation of TOR signaling","4/14","172/22568",3.07267654791528e-06,0.000458596974776356,0.000276540889312375,"vorinostat/panobinostat/entinostat/ly-294002",4
"GO:1901984","BP","GO:1901984","negative regulation of protein acetylation","4/14","172/22568",3.07267654791528e-06,0.000458596974776356,0.000276540889312375,"vorinostat/panobinostat/entinostat/ly-294002",4
"GO:0014910","BP","GO:0014910","regulation of smooth muscle cell migration","5/14","420/22568",3.80002504486028e-06,0.000523526527334212,0.000315694388342239,"vorinostat/panobinostat/icosapent/trandolapril/ly-294002",5
"GO:0048713","BP","GO:0048713","regulation of oligodendrocyte differentiation","5/14","427/22568",4.11933719828797e-06,0.000526980923009553,0.000317777441010786,"vorinostat/panobinostat/entinostat/icosapent/ly-294002",5
"GO:0002042","BP","GO:0002042","cell migration involved in sprouting angiogenesis","5/14","444/22568",4.98322218346099e-06,0.000565940851961522,0.000341270865504435,"vorinostat/panobinostat/entinostat/bi-2536/ly-294002",5
"GO:0070888","MF","GO:0070888","E-box binding","4/14","195/22568",5.05586467413978e-06,0.000565940851961522,0.000341270865504435,"vorinostat/panobinostat/entinostat/icosapent",4
"GO:0043922","BP","GO:0043922","negative regulation by host of viral transcription","3/14","59/22568",6.05255320744665e-06,0.000603681789345925,0.000364029219706085,"vorinostat/panobinostat/entinostat",3
"GO:0045687","BP","GO:0045687","positive regulation of glial cell differentiation","5/14","467/22568",6.37237303426363e-06,0.000603681789345925,0.000364029219706085,"vorinostat/panobinostat/entinostat/icosapent/ly-294002",5
"GO:0071168","BP","GO:0071168","protein localization to chromatin","4/14","207/22568",6.40421775408854e-06,0.000603681789345925,0.000364029219706085,"vorinostat/panobinostat/bi-2536/ly-294002",4
"GO:0014909","BP","GO:0014909","smooth muscle cell migration","5/14","477/22568",7.06385535289394e-06,0.000632568246851652,0.000381448189056273,"vorinostat/panobinostat/icosapent/trandolapril/ly-294002",5
"GO:0001103","MF","GO:0001103","RNA polymerase II repressing transcription factor binding","4/14","218/22568",7.85870729811658e-06,0.000670235465282228,0.000404162089617424,"vorinostat/panobinostat/entinostat/icosapent",4
"GO:0002039","MF","GO:0002039","p53 binding","5/14","500/22568",8.87880752560092e-06,0.000692488041680903,0.000417580728651801,"vorinostat/panobinostat/entinostat/bi-2536/ly-294002",5
"GO:0032897","BP","GO:0032897","negative regulation of viral transcription","3/14","67/22568",8.89292292499206e-06,0.000692488041680903,0.000417580728651801,"vorinostat/panobinostat/entinostat",3
"GO:0048742","BP","GO:0048742","regulation of skeletal muscle fiber development","3/14","73/22568",1.15205330756928e-05,0.00084365831238409,0.000508738680834627,"vorinostat/panobinostat/entinostat",3
"GO:0045347","BP","GO:0045347","negative regulation of MHC class II biosynthetic process","3/14","77/22568",1.35297168360001e-05,0.00084365831238409,0.000508738680834627,"vorinostat/panobinostat/entinostat",3
"GO:0060766","BP","GO:0060766","negative regulation of androgen receptor signaling pathway","3/14","78/22568",1.40657568775356e-05,0.00084365831238409,0.000508738680834627,"vorinostat/panobinostat/entinostat",3
"GO:0060789","BP","GO:0060789","hair follicle placode formation","3/14","79/22568",1.46156341559207e-05,0.00084365831238409,0.000508738680834627,"vorinostat/panobinostat/entinostat",3
"GO:0061197","BP","GO:0061197","fungiform papilla morphogenesis","3/14","79/22568",1.46156341559207e-05,0.00084365831238409,0.000508738680834627,"vorinostat/panobinostat/entinostat",3
"GO:0061198","BP","GO:0061198","fungiform papilla formation","3/14","79/22568",1.46156341559207e-05,0.00084365831238409,0.000508738680834627,"vorinostat/panobinostat/entinostat",3
"GO:0048641","BP","GO:0048641","regulation of skeletal muscle tissue development","4/14","257/22568",1.5033241878148e-05,0.00084365831238409,0.000508738680834627,"vorinostat/panobinostat/entinostat/ly-294002",4
"GO:0060788","BP","GO:0060788","ectodermal placode formation","3/14","80/22568",1.51795180146496e-05,0.00084365831238409,0.000508738680834627,"vorinostat/panobinostat/entinostat",3
"GO:0071697","BP","GO:0071697","ectodermal placode morphogenesis","3/14","80/22568",1.51795180146496e-05,0.00084365831238409,0.000508738680834627,"vorinostat/panobinostat/entinostat",3
"GO:0007062","BP","GO:0007062","sister chromatid cohesion","4/14","262/22568",1.6216092886233e-05,0.00084365831238409,0.000508738680834627,"vorinostat/panobinostat/bi-2536/ly-294002",4
"GO:0043587","BP","GO:0043587","tongue morphogenesis","3/14","82/22568",1.63499815502574e-05,0.00084365831238409,0.000508738680834627,"vorinostat/panobinostat/entinostat",3
"GO:0071696","BP","GO:0071696","ectodermal placode development","3/14","83/22568",1.69568986179671e-05,0.00084365831238409,0.000508738680834627,"vorinostat/panobinostat/entinostat",3
"GO:0010830","BP","GO:0010830","regulation of myotube differentiation","4/14","265/22568",1.69579560278209e-05,0.00084365831238409,0.000508738680834627,"vorinostat/panobinostat/entinostat/ly-294002",4
"GO:0061196","BP","GO:0061196","fungiform papilla development","3/14","84/22568",1.75784970481499e-05,0.000850894276033419,0.000513102076000052,"vorinostat/panobinostat/entinostat",3
"GO:0010718","BP","GO:0010718","positive regulation of epithelial to mesenchymal transition","4/14","271/22568",1.85164363036837e-05,0.000872708879470989,0.000526256610736275,"vorinostat/panobinostat/entinostat/ly-294002",4
