"";"query";"significant";"p_value";"term_size";"query_size";"intersection_size";"precision";"recall";"term_id";"source";"term_name";"effective_domain_size";"source_order";"set"
"1";"query_1";TRUE;0,00209837749125188;38;43;4;0,0930232558139535;0,105263157894737;"GO:0006270";"GO:BP";"DNA replication initiation";21100;2286;"Up"
"2";"query_1";TRUE;0,00402445171483911;186;43;6;0,13953488372093;0,032258064516129;"GO:0006261";"GO:BP";"DNA-templated DNA replication";21100;2279;"Up"
"3";"query_1";TRUE;0,00553500644163009;309;43;7;0,162790697674419;0,0226537216828479;"GO:0006260";"GO:BP";"DNA replication";21100;2278;"Up"
"4";"query_1";TRUE;0,0137959581550153;33;24;3;0,125;0,0909090909090909;"GO:0006084";"GO:BP";"acetyl-CoA metabolic process";21100;2116;"Up"
"5";"query_1";TRUE;0,0148583979618363;4;24;2;0,0833333333333333;0,5;"GO:0106077";"GO:BP";"histone succinylation";21100;22530;"Up"
"6";"query_1";TRUE;0,0148583979618363;4;24;2;0,0833333333333333;0,5;"GO:0018335";"GO:BP";"protein succinylation";21100;6206;"Up"
"7";"query_1";TRUE;0,0226867029590933;5;23;2;0,0869565217391304;0,4;"GO:0061732";"GO:BP";"mitochondrial acetyl-CoA biosynthetic process from pyruvate";21100;18344;"Up"
"8";"query_1";TRUE;0,0358244923826577;4;37;2;0,0540540540540541;0,5;"GO:0072719";"GO:BP";"cellular response to cisplatin";21100;20425;"Up"
"9";"query_1";TRUE;0,042468825169889;349;35;6;0,171428571428571;0,0171919770773639;"GO:1901653";"GO:BP";"cellular response to peptide";21100;24929;"Up"
"10";"query_1";TRUE;0,00148130415408441;1505;38;12;0,315789473684211;0,0079734219269103;"GO:1902494";"GO:CC";"catalytic complex";21698;4012;"Up"
"11";"query_1";TRUE;0,00440710315511287;6;24;2;0,0833333333333333;0,333333333333333;"GO:0045252";"GO:CC";"oxoglutarate dehydrogenase complex";21698;2458;"Up"
"12";"query_1";TRUE;0,00565282856424868;7;23;2;0,0869565217391304;0,285714285714286;"GO:0045254";"GO:CC";"pyruvate dehydrogenase complex";21698;2460;"Up"
"13";"query_1";TRUE;0,00565282856424868;7;23;2;0,0869565217391304;0,285714285714286;"GO:0005967";"GO:CC";"mitochondrial pyruvate dehydrogenase complex";21698;586;"Up"
"14";"query_1";TRUE;0,0131856046860921;10;24;2;0,0833333333333333;0,2;"GO:0045240";"GO:CC";"dihydrolipoyl dehydrogenase complex";21698;2447;"Up"
"15";"query_1";TRUE;0,0396617414539943;17;24;2;0,0833333333333333;0,117647058823529;"GO:0045239";"GO:CC";"tricarboxylic acid cycle enzyme complex";21698;2446;"Up"
"16";"query_1";TRUE;0,046318790931314;4;1;1;1;0,25;"GO:0043159";"GO:CC";"acrosomal matrix";21698;2103;"Up"
"17";"query_1";TRUE;0,00462699185716653;3;40;2;0,05;0,666666666666667;"GO:0015207";"GO:MF";"adenine transmembrane transporter activity";20183;3020;"Up"
"18";"query_1";TRUE;0,00749263758294246;6;23;2;0,0869565217391304;0,333333333333333;"GO:0034604";"GO:MF";"pyruvate dehydrogenase (NAD+) activity";20183;6034;"Up"
