"";"query";"significant";"p_value";"term_size";"query_size";"intersection_size";"precision";"recall";"term_id";"source";"term_name";"effective_domain_size";"source_order";"set"
"1";"query_1";TRUE;4,28248310040011e-06;321;36;9;0,25;0,0280373831775701;"GO:0030198";"GO:BP";"extracellular matrix organization";21092;7733;"Up"
"2";"query_1";TRUE;4,40049417249916e-06;322;36;9;0,25;0,0279503105590062;"GO:0043062";"GO:BP";"extracellular structure organization";21092;12102;"Up"
"3";"query_1";TRUE;4,64512334531436e-06;324;36;9;0,25;0,0277777777777778;"GO:0045229";"GO:BP";"external encapsulating structure organization";21092;13179;"Up"
"4";"query_1";TRUE;9,96658005914129e-05;120;19;5;0,263157894736842;0,0416666666666667;"GO:0007088";"GO:BP";"regulation of mitotic nuclear division";21092;2994;"Up"
"5";"query_1";TRUE;0,000128167052460777;64;36;5;0,138888888888889;0,078125;"GO:0030199";"GO:BP";"collagen fibril organization";21092;7734;"Up"
"6";"query_1";TRUE;0,000275117962536582;147;19;5;0,263157894736842;0,0340136054421769;"GO:0051783";"GO:BP";"regulation of nuclear division";21092;16070;"Up"
"7";"query_1";TRUE;0,000370119339094653;60;19;4;0,210526315789474;0,0666666666666667;"GO:0051653";"GO:BP";"spindle localization";21092;15992;"Up"
"8";"query_1";TRUE;0,000574125457348564;16;19;3;0,157894736842105;0,1875;"GO:0000212";"GO:BP";"meiotic spindle organization";21092;101;"Up"
"9";"query_1";TRUE;0,000832983749808704;1111;21;9;0,428571428571429;0,0081008100810081;"GO:0051726";"GO:BP";"regulation of cell cycle";21092;16046;"Up"
"10";"query_1";TRUE;0,00153926383882231;373;20;6;0,3;0,0160857908847185;"GO:0007059";"GO:BP";"chromosome segregation";21092;2968;"Up"
"11";"query_1";TRUE;0,00190632888058752;1226;21;9;0,428571428571429;0,00734094616639478;"GO:0022402";"GO:BP";"cell cycle process";21092;7572;"Up"
"12";"query_1";TRUE;0,00191081391401009;1988;30;13;0,433333333333333;0,00653923541247485;"GO:0008283";"GO:BP";"cell population proliferation";21092;3563;"Up"
"13";"query_1";TRUE;0,00218762688148322;644;20;7;0,35;0,0108695652173913;"GO:0000226";"GO:BP";"microtubule cytoskeleton organization";21092;103;"Up"
"14";"query_1";TRUE;0,00274829016974614;927;21;8;0,380952380952381;0,00862998921251348;"GO:0000278";"GO:BP";"mitotic cell cycle";21092;118;"Up"
"15";"query_1";TRUE;0,00473441738749775;1794;21;10;0,476190476190476;0,00557413600891862;"GO:0007049";"GO:BP";"cell cycle";21092;2959;"Up"
"16";"query_1";TRUE;0,00479046968675599;481;19;6;0,315789473684211;0,0124740124740125;"GO:0000280";"GO:BP";"nuclear division";21092;120;"Up"
"17";"query_1";TRUE;0,0067863917830267;252;21;5;0,238095238095238;0,0198412698412698;"GO:0090068";"GO:BP";"positive regulation of cell cycle process";21092;21066;"Up"
"18";"query_1";TRUE;0,00722800973466631;46;15;3;0,2;0,0652173913043478;"GO:0045840";"GO:BP";"positive regulation of mitotic nuclear division";21092;13536;"Up"
"19";"query_1";TRUE;0,00778926837536256;128;19;4;0,210526315789474;0,03125;"GO:0051983";"GO:BP";"regulation of chromosome segregation";21092;16220;"Up"
"20";"query_1";TRUE;0,00779992237235751;165;32;5;0,15625;0,0303030303030303;"GO:1902850";"GO:BP";"microtubule cytoskeleton organization involved in mitosis";21092;25963;"Up"
"21";"query_1";TRUE;0,00810666622579214;527;19;6;0,315789473684211;0,0113851992409867;"GO:0048285";"GO:BP";"organelle fission";21092;14642;"Up"
"22";"query_1";TRUE;0,00924732503933423;5641;30;20;0,666666666666667;0,00354547066123028;"GO:0048522";"GO:BP";"positive regulation of cellular process";21092;14824;"Up"
"23";"query_1";TRUE;0,00924766468442262;39;19;3;0,157894736842105;0,0769230769230769;"GO:0040001";"GO:BP";"establishment of mitotic spindle localization";21092;11432;"Up"
"24";"query_1";TRUE;0,0103231475827522;769;21;7;0,333333333333333;0,00910273081924577;"GO:1903047";"GO:BP";"mitotic cell cycle process";21092;26147;"Up"
"25";"query_1";TRUE;0,0106140491637516;493;21;6;0,285714285714286;0,0121703853955375;"GO:0007346";"GO:BP";"regulation of mitotic cell cycle";21092;3221;"Up"
"26";"query_1";TRUE;0,0113436386224218;6309;30;21;0,7;0,00332857822158821;"GO:0048518";"GO:BP";"positive regulation of biological process";21092;14820;"Up"
"27";"query_1";TRUE;0,0131885121014801;12361;37;34;0,918918918918919;0,00275058652212604;"GO:0050789";"GO:BP";"regulation of biological process";21092;15301;"Up"
"28";"query_1";TRUE;0,0138745880815146;326;19;5;0,263157894736842;0,0153374233128834;"GO:0140014";"GO:BP";"mitotic nuclear division";21092;22925;"Up"
"29";"query_1";TRUE;0,017027339712573;61;15;3;0,2;0,0491803278688525;"GO:0051785";"GO:BP";"positive regulation of nuclear division";21092;16072;"Up"
"30";"query_1";TRUE;0,0189292180700084;198;32;5;0,15625;0,0252525252525253;"GO:0007051";"GO:BP";"spindle organization";21092;2960;"Up"
"31";"query_1";TRUE;0,0208519491202082;202;32;5;0,15625;0,0247524752475248;"GO:0000070";"GO:BP";"mitotic sister chromatid segregation";21092;32;"Up"
"32";"query_1";TRUE;0,0248755100577684;931;20;7;0,35;0,0075187969924812;"GO:0007017";"GO:BP";"microtubule-based process";21092;2934;"Up"
"33";"query_1";TRUE;0,0262479840446043;11130;37;32;0,864864864864865;0,00287511230907457;"GO:0050794";"GO:BP";"regulation of cellular process";21092;15305;"Up"
"34";"query_1";TRUE;0,0263062802660551;55;19;3;0,157894736842105;0,0545454545454545;"GO:0051293";"GO:BP";"establishment of spindle localization";21092;15717;"Up"
"35";"query_1";TRUE;0,0342489015765475;352;21;5;0,238095238095238;0,0142045454545455;"GO:0045787";"GO:BP";"positive regulation of cell cycle";21092;13493;"Up"
"36";"query_1";TRUE;0,0397846523139573;231;32;5;0,15625;0,0216450216450216;"GO:0000819";"GO:BP";"sister chromatid segregation";21092;304;"Up"
"37";"query_1";TRUE;0,0459545451324364;9;19;2;0,105263157894737;0,222222222222222;"GO:0090306";"GO:BP";"meiotic spindle assembly";21092;21291;"Up"
"38";"query_1";TRUE;5,70520211267283e-06;429;36;9;0,25;0,020979020979021;"GO:0062023";"GO:CC";"collagen-containing extracellular matrix";21690;2672;"Up"
"39";"query_1";TRUE;1,04460658048782e-05;22;36;4;0,111111111111111;0,181818181818182;"GO:0098644";"GO:CC";"complex of collagen trimers";21690;3587;"Up"
"40";"query_1";TRUE;5,94637333314183e-05;565;36;9;0,25;0,015929203539823;"GO:0031012";"GO:CC";"extracellular matrix";21690;1196;"Up"
