"";"query";"significant";"p_value";"term_size";"query_size";"intersection_size";"precision";"recall";"term_id";"source";"term_name";"effective_domain_size";"source_order";"set"
"1";"query_1";TRUE;0,016586875067657;2;20;2;0,1;1;"CORUM:7440";"CORUM";"KIF23-RACGAP1 complex";3385;2842;"Up"
"2";"query_1";TRUE;0,0495841169255736;3;20;2;0,1;0,666666666666667;"CORUM:7439";"CORUM";"ECT2-KIF23-RACGAP1 complex";3385;2841;"Up"
"3";"query_1";TRUE;3,89034341255597e-07;129;27;7;0,259259259259259;0,0542635658914729;"GO:0051225";"GO:BP";"spindle assembly";21092;15666;"Up"
"4";"query_1";TRUE;4,25885168364995e-07;11;21;4;0,19047619047619;0,363636363636364;"GO:0051256";"GO:BP";"mitotic spindle midzone assembly";21092;15691;"Up"
"5";"query_1";TRUE;5,4544067967292e-07;612;37;12;0,324324324324324;0,0196078431372549;"GO:0051276";"GO:BP";"chromosome organization";21092;15705;"Up"
"6";"query_1";TRUE;6,38415725609667e-07;12;21;4;0,19047619047619;0,333333333333333;"GO:0000022";"GO:BP";"mitotic spindle elongation";21092;10;"Up"
"7";"query_1";TRUE;9,21561274454985e-07;13;21;4;0,19047619047619;0,307692307692308;"GO:0051231";"GO:BP";"spindle elongation";21092;15670;"Up"
"8";"query_1";TRUE;1,28935362773143e-06;14;21;4;0,19047619047619;0,285714285714286;"GO:0051255";"GO:BP";"spindle midzone assembly";21092;15690;"Up"
"9";"query_1";TRUE;7,81386460739347e-06;198;27;7;0,259259259259259;0,0353535353535354;"GO:0007051";"GO:BP";"spindle organization";21092;2960;"Up"
"10";"query_1";TRUE;1,84593159896804e-05;76;21;5;0,238095238095238;0,0657894736842105;"GO:0090307";"GO:BP";"mitotic spindle assembly";21092;21292;"Up"
"11";"query_1";TRUE;2,27111718566049e-05;231;27;7;0,259259259259259;0,0303030303030303;"GO:0000819";"GO:BP";"sister chromatid segregation";21092;304;"Up"
"12";"query_1";TRUE;2,90992749400985e-05;135;27;6;0,222222222222222;0,0444444444444444;"GO:0007052";"GO:BP";"mitotic spindle organization";21092;2961;"Up"
"13";"query_1";TRUE;4,14274316736639e-05;189;21;6;0,285714285714286;0,0317460317460317;"GO:0051302";"GO:BP";"regulation of cell division";21092;15725;"Up"
"14";"query_1";TRUE;9,65195774692323e-05;165;27;6;0,222222222222222;0,0363636363636364;"GO:1902850";"GO:BP";"microtubule cytoskeleton organization involved in mitosis";21092;25963;"Up"
"15";"query_1";TRUE;0,000186171855393011;314;27;7;0,259259259259259;0,0222929936305732;"GO:0098813";"GO:BP";"nuclear chromosome segregation";21092;22083;"Up"
"16";"query_1";TRUE;0,000245372838613296;385;34;8;0,235294117647059;0,0207792207792208;"GO:0140694";"GO:BP";"non-membrane-bounded organelle assembly";21092;23167;"Up"
"17";"query_1";TRUE;0,000320199894890895;202;27;6;0,222222222222222;0,0297029702970297;"GO:0000070";"GO:BP";"mitotic sister chromatid segregation";21092;32;"Up"
