"";"query";"significant";"p_value";"term_size";"query_size";"intersection_size";"precision";"recall";"term_id";"source";"term_name";"effective_domain_size";"source_order";"set"
"1";"query_1";TRUE;0,0127597938508046;4;11;2;0,181818181818182;0,5;"CORUM:6276";"CORUM";"Factor-Xa-TFPI-factor-VIIa-tissue factor complex";3627;2024;"Up"
"2";"query_1";TRUE;0,0127597938508046;4;11;2;0,181818181818182;0,5;"CORUM:3162";"CORUM";"TF-FVIIa-FXa-TFPI complex";3627;1436;"Up"
"3";"query_1";TRUE;6,4887857770317e-06;25;203;7;0,0344827586206897;0,28;"GO:0034377";"GO:BP";"plasma lipoprotein particle assembly";21100;9876;"Up"
"4";"query_1";TRUE;1,55968657512722e-05;28;203;7;0,0344827586206897;0,25;"GO:0065005";"GO:BP";"protein-lipid complex assembly";21100;18611;"Up"
"5";"query_1";TRUE;3,43853232453269e-05;966;379;44;0,116094986807388;0,0455486542443064;"GO:0043436";"GO:BP";"oxoacid metabolic process";21100;12315;"Up"
"6";"query_1";TRUE;6,63177017723609e-05;988;379;44;0,116094986807388;0,0445344129554656;"GO:0006082";"GO:BP";"organic acid metabolic process";21100;2114;"Up"
"7";"query_1";TRUE;7,7932308629011e-05;3851;193;67;0,347150259067358;0,0173980784211893;"GO:0006950";"GO:BP";"response to stress";21100;2884;"Up"
"8";"query_1";TRUE;8,81907170397309e-05;1796;379;65;0,171503957783641;0,0361915367483296;"GO:0044281";"GO:BP";"small molecule metabolic process";21100;12712;"Up"
"9";"query_1";TRUE;9,3177448802989e-05;306;379;22;0,0580474934036939;0,0718954248366013;"GO:0046394";"GO:BP";"carboxylic acid biosynthetic process";21100;14089;"Up"
"10";"query_1";TRUE;9,61187995477367e-05;87;233;10;0,0429184549356223;0,114942528735632;"GO:0055092";"GO:BP";"sterol homeostasis";21100;16794;"Up"
"11";"query_1";TRUE;0,000104610376740087;308;379;22;0,0580474934036939;0,0714285714285714;"GO:0016053";"GO:BP";"organic acid biosynthetic process";21100;5653;"Up"
"12";"query_1";TRUE;0,000128454240300086;940;379;42;0,110817941952507;0,0446808510638298;"GO:0019752";"GO:BP";"carboxylic acid metabolic process";21100;6954;"Up"
"13";"query_1";TRUE;0,000252963852701994;3768;482;132;0,273858921161826;0,035031847133758;"GO:0065008";"GO:BP";"regulation of biological quality";21100;18613;"Up"
"14";"query_1";TRUE;0,000319586922604628;597;379;31;0,0817941952506596;0,0519262981574539;"GO:0032787";"GO:BP";"monocarboxylic acid metabolic process";21100;9026;"Up"
"15";"query_1";TRUE;0,000443120771642005;44;203;7;0,0344827586206897;0,159090909090909;"GO:0071827";"GO:BP";"plasma lipoprotein particle organization";21100;19747;"Up"
"16";"query_1";TRUE;0,00047664505462949;350;173;15;0,0867052023121387;0,0428571428571429;"GO:0010038";"GO:BP";"response to metal ion";21100;4312;"Up"
"17";"query_1";TRUE;0,000668866468132542;553;379;29;0,0765171503957784;0,0524412296564195;"GO:0044283";"GO:BP";"small molecule biosynthetic process";21100;12714;"Up"
