"";"query";"significant";"p_value";"term_size";"query_size";"intersection_size";"precision";"recall";"term_id";"source";"term_name";"effective_domain_size";"source_order";"set"
"1";"query_1";TRUE;2,7787752771697e-08;4784;751;250;0,33288948069241;0,052257525083612;"GO:0048731";"GO:BP";"system development";21029;15045;"Up"
"2";"query_1";TRUE;3,34766485295818e-08;5114;751;263;0,350199733688415;0,0514274540477122;"GO:0007275";"GO:BP";"multicellular organism development";21029;3168;"Up"
"3";"query_1";TRUE;2,77522897147185e-07;5718;751;283;0,376830892143808;0,0494928296607205;"GO:0048856";"GO:BP";"anatomical structure development";21029;15160;"Up"
"4";"query_1";TRUE;5,12154391555242e-07;2428;751;145;0,193075898801598;0,0597199341021417;"GO:0007399";"GO:BP";"nervous system development";21029;3278;"Up"
"5";"query_1";TRUE;1,70298390372179e-06;6326;751;303;0,403462050599201;0,0478975656022763;"GO:0032502";"GO:BP";"developmental process";21029;8814;"Up"
"6";"query_1";TRUE;4,27307802340089e-06;1639;745;105;0,140939597315436;0,0640634533251983;"GO:0022008";"GO:BP";"neurogenesis";21029;7550;"Up"
"7";"query_1";TRUE;4,69079834553973e-05;11067;784;488;0,622448979591837;0,0440950573777898;"GO:0050794";"GO:BP";"regulation of cellular process";21029;15340;"Up"
"8";"query_1";TRUE;5,54761820171375e-05;1364;740;88;0,118918918918919;0,0645161290322581;"GO:0030182";"GO:BP";"neuron differentiation";21029;7736;"Up"
"9";"query_1";TRUE;7,75326811732487e-05;4210;745;210;0,281879194630872;0,0498812351543943;"GO:0048869";"GO:BP";"cellular developmental process";21029;15172;"Up"
"10";"query_1";TRUE;0,000128891407003289;1519;740;94;0,127027027027027;0,0618828176431863;"GO:0048699";"GO:BP";"generation of neurons";21029;15013;"Up"
"11";"query_1";TRUE;0,000174727569706254;4128;745;205;0,275167785234899;0,0496608527131783;"GO:0030154";"GO:BP";"cell differentiation";21029;7722;"Up"
"12";"query_1";TRUE;0,00048321595401158;736;634;49;0,0772870662460568;0,0665760869565217;"GO:0099536";"GO:BP";"synaptic signaling";21029;22351;"Up"
"13";"query_1";TRUE;0,000612367589079668;7474;751;333;0,44340878828229;0,0445544554455446;"GO:0032501";"GO:BP";"multicellular organismal process";21029;8813;"Up"
"14";"query_1";TRUE;0,000805420830387635;4818;764;234;0,306282722513089;0,0485678704856787;"GO:0048523";"GO:BP";"negative regulation of cellular process";21029;14859;"Up"
"15";"query_1";TRUE;0,00104380478024564;30;109;5;0,0458715596330275;0,166666666666667;"GO:0021591";"GO:BP";"ventricular system development";21029;7138;"Up"
"16";"query_1";TRUE;0,00110147245948824;712;634;47;0,0741324921135647;0,0660112359550562;"GO:0099537";"GO:BP";"trans-synaptic signaling";21029;22352;"Up"
"17";"query_1";TRUE;0,00194310779641208;704;634;46;0,0725552050473186;0,0653409090909091;"GO:0098916";"GO:BP";"anterograde trans-synaptic signaling";21029;22182;"Up"
