"","pert","PCID","cell","type","trend","WTCS","WTCS_Pval","WTCS_FDR","NCS","NCSct","N_upset","N_downset","t_gn_sym","jlf_tau"
"1","fenretinide","5353342","HEPG2","trt_cp","down",-0.650900416545138,1.51879460452786e-05,0.000138782513441572,-1.87418167696763,-0.774887960415112,49,57,"CYP2C8; CYP3A5; RARA; RARG; RBP4",-99.8355392736154
"2","HDAC1-selective","NotFound","HEPG2","trt_cp","up",0.557888175715265,1.923516375935e-05,0.000138782513441572,1.78058510654073,0.0283628352727965,49,57,NA,99.9911368470811
"3","BRD-K55460824",NA,"HEPG2","trt_cp","up",0.5572743020018,1.92786822293938e-05,0.000138782513441572,1.77862583506112,0.976643506597946,49,57,NA,99.9832584889309
"4","XMD-1185H","42628535","HEPG2","trt_cp","up",0.549018901442127,1.9626829989744e-05,0.000138782513441572,1.75227746647231,-0.745491622013483,49,57,NA,99.8079650200898
"5","isopropanol",NA,"HEPG2","trt_cp","up",0.547460762323952,1.97138669298316e-05,0.000138782513441572,1.74730442809561,1.74730442809561,49,57,"ACP5; ADH1B; ADI1; AGO2; AHCY; AHSA1; AHSA2; AP1G1; AP1G2; ATAD2B; ATG7; AVIL; BAIAP2; BDNF; BMP6; BPTF; BRD3; BST2; CALM2; CAPZA1; CAPZA2; CAPZB; CD4; CELA1; CENPJ; CHIT1; CXADR; CYP11A1; CYP24A1; DCXR; DDB1; DDX39B; DUSP11; EFNB2; FCN1; FGF1; GCH1; GDF5; GM2A; GRIK2; HINT2; HMOX1; HNRNPL; HNRNPLL; HRAS; IL22; LAMTOR5; LYZ; MIF; MTA1; MTPN; MYO6; NCK2; NR1H2; NTF3; ORC1; PAK6; PFN2; PILRA; PLA2G2A; PTK2; RAC3; RBBP4; RNGTT; S100A10; S100A2; S100Z; SAP18; SCN5A; SERPINA5; SHBG; SHQ1; SIRT3; TDRD3; TNF; TP53; TTK; VIL1",99.9852280784685
"6","BRD-K18739469","3464963","HEPG2","trt_cp","up",0.54356877697726,1.98444223399629e-05,0.000138782513441572,1.73488256392129,0.858153721861934,49,57,NA,99.9103836760419
"7","GSK-269962",NA,"HEPG2","trt_cp","down",-0.599230376492896,1.74509064875551e-05,0.000138782513441572,-1.72540462927714,-1.40234890350026,49,57,NA,-99.2870085874104
"8","BRD-K18710049","54618864","HEPG2","trt_cp","down",-0.598280314699493,1.74944249575989e-05,0.000138782513441572,-1.72266905197542,-0.585707477671641,49,57,NA,-99.3549594264555
"9","BRD-K46123637","54618962","HEPG2","trt_cp","down",-0.589646053481983,1.78425727179491e-05,0.000138782513441572,-1.69780783855985,-1.25789639438078,49,57,NA,-99.5529031749783
"10","garcinol","73707546","HEPG2","trt_cp","down",-0.574727146113347,1.84953497686058e-05,0.000138782513441572,-1.65485081760865,-0.91906340307762,49,57,NA,-99.2564799495785
"11","tigecycline","73707446","HEPG2","trt_cp","down",-0.572241348772133,1.86259051787371e-05,0.000138782513441572,-1.64769329287655,-1.23079522513698,49,57,NA,-98.5425037422201
