"";"query";"significant";"p_value";"term_size";"query_size";"intersection_size";"precision";"recall";"term_id";"source";"term_name";"effective_domain_size";"source_order";"set"
"1";"query_1";TRUE;0,00628911489960356;14;16;3;0,1875;0,214285714285714;"CORUM:191";"CORUM";"20S proteasome";3627;96;"Up"
"2";"query_1";TRUE;0,00784023410667607;15;16;3;0,1875;0,2;"CORUM:194";"CORUM";"PA28gamma-20S proteasome";3627;99;"Up"
"3";"query_1";TRUE;0,00962354551296731;16;16;3;0,1875;0,1875;"CORUM:192";"CORUM";"PA28-20S proteasome";3627;97;"Up"
"4";"query_1";TRUE;0,0260401526568539;22;16;3;0,1875;0,136363636363636;"CORUM:181";"CORUM";"26S proteasome";3627;92;"Up"
"5";"query_1";TRUE;0,0308386959329375;36;51;5;0,0980392156862745;0,138888888888889;"CORUM:193";"CORUM";"PA700-20S-PA28 complex";3627;98;"Up"
"6";"query_1";TRUE;0,0330645491935815;2;42;2;0,0476190476190476;1;"CORUM:5383";"CORUM";"TRIB3-DDIT3 complex";3627;1661;"Up"
"7";"query_1";TRUE;7,91401797025659e-05;37;20;4;0,2;0,108108108108108;"GO:1902036";"GO:BP";"regulation of hematopoietic stem cell differentiation";21100;25293;"Up"
"8";"query_1";TRUE;7,94564791159167e-05;4048;47;26;0,553191489361702;0,00642292490118577;"GO:0019219";"GO:BP";"regulation of nucleobase-containing compound metabolic process";21100;6471;"Up"
"9";"query_1";TRUE;8,75853942707913e-05;48;16;4;0,25;0,0833333333333333;"GO:0070498";"GO:BP";"interleukin-1-mediated signaling pathway";21100;18899;"Up"
"10";"query_1";TRUE;0,000164838155283432;5700;44;29;0,659090909090909;0,00508771929824561;"GO:0044249";"GO:BP";"cellular biosynthetic process";21100;12692;"Up"
"11";"query_1";TRUE;0,00017670731533928;3984;49;26;0,530612244897959;0,00652610441767068;"GO:0034654";"GO:BP";"nucleobase-containing compound biosynthetic process";21100;10006;"Up"
"12";"query_1";TRUE;0,000258544322079436;4057;49;26;0,530612244897959;0,00640867636184373;"GO:0018130";"GO:BP";"heterocycle biosynthetic process";21100;6014;"Up"
"13";"query_1";TRUE;0,000273592876429771;4068;49;26;0,530612244897959;0,0063913470993117;"GO:0019438";"GO:BP";"aromatic compound biosynthetic process";21100;6674;"Up"
"14";"query_1";TRUE;0,000319081095253545;5861;44;29;0,659090909090909;0,0049479610987886;"GO:0009058";"GO:BP";"biosynthetic process";21100;3661;"Up"
"15";"query_1";TRUE;0,000321461818229505;52;20;4;0,2;0,0769230769230769;"GO:0060218";"GO:BP";"hematopoietic stem cell differentiation";21100;17002;"Up"
"16";"query_1";TRUE;0,000335272066870111;444;54;10;0,185185185185185;0,0225225225225225;"GO:0043161";"GO:BP";"proteasome-mediated ubiquitin-dependent protein catabolic process";21100;12179;"Up"
"17";"query_1";TRUE;0,000385427948346831;69;16;4;0,25;0,0579710144927536;"GO:0043618";"GO:BP";"regulation of transcription from RNA polymerase II promoter in response to stress";21100;12446;"Up"
"18";"query_1";TRUE;0,000424236108478441;186;16;5;0,3125;0,0268817204301075;"GO:0006261";"GO:BP";"DNA-templated DNA replication";21100;2279;"Up"
"19";"query_1";TRUE;0,000435065906044586;56;20;4;0,2;0,0714285714285714;"GO:1901532";"GO:BP";"regulation of hematopoietic progenitor cell differentiation";21100;24822;"Up"
"20";"query_1";TRUE;0,000540414641787305;75;16;4;0,25;0,0533333333333333;"GO:0043620";"GO:BP";"regulation of DNA-templated transcription in response to stress";21100;12448;"Up"
