"";"query";"significant";"p_value";"term_size";"query_size";"intersection_size";"precision";"recall";"term_id";"source";"term_name";"effective_domain_size";"source_order";"set"
"1";"query_1";TRUE;0,00112185652715984;2;9;2;0,222222222222222;1;"CORUM:7589";"CORUM";"APP(AICD)-FOXO4 complex";3627;2916;"Up"
"2";"query_1";TRUE;4,68350963565205e-13;52;60;10;0,166666666666667;0,192307692307692;"GO:1902653";"GO:BP";"secondary alcohol biosynthetic process";21029;25816;"Up"
"3";"query_1";TRUE;4,68350963565205e-13;52;60;10;0,166666666666667;0,192307692307692;"GO:0006695";"GO:BP";"cholesterol biosynthetic process";21029;2665;"Up"
"4";"query_1";TRUE;6,7324778447148e-13;152;60;13;0,216666666666667;0,0855263157894737;"GO:0016125";"GO:BP";"sterol metabolic process";21029;5719;"Up"
"5";"query_1";TRUE;1,83202353287083e-12;59;60;10;0,166666666666667;0,169491525423729;"GO:0016126";"GO:BP";"sterol biosynthetic process";21029;5720;"Up"
"6";"query_1";TRUE;7,01664283981874e-12;136;60;12;0,2;0,0882352941176471;"GO:0008203";"GO:BP";"cholesterol metabolic process";21029;3546;"Up"
"7";"query_1";TRUE;1,66712157926271e-11;146;60;12;0,2;0,0821917808219178;"GO:1902652";"GO:BP";"secondary alcohol metabolic process";21029;25815;"Up"
"8";"query_1";TRUE;2,43582128323471e-10;134;60;11;0,183333333333333;0,082089552238806;"GO:0046165";"GO:BP";"alcohol biosynthetic process";21029;13879;"Up"
"9";"query_1";TRUE;4,36959443047515e-10;317;60;14;0,233333333333333;0,0441640378548896;"GO:0008202";"GO:BP";"steroid metabolic process";21029;3545;"Up"
"10";"query_1";TRUE;7,28894708061257e-09;1779;60;25;0,416666666666667;0,014052838673412;"GO:0044281";"GO:BP";"small molecule metabolic process";21029;12724;"Up"
"11";"query_1";TRUE;1,22420029185917e-08;1345;60;22;0,366666666666667;0,0163568773234201;"GO:0006629";"GO:BP";"lipid metabolic process";21029;2603;"Up"
"12";"query_1";TRUE;4,22469621166651e-08;359;60;13;0,216666666666667;0,0362116991643454;"GO:0006066";"GO:BP";"alcohol metabolic process";21029;2098;"Up"
"13";"query_1";TRUE;5,18534669294199e-08;548;60;15;0,25;0,0273722627737226;"GO:1901615";"GO:BP";"organic hydroxy compound metabolic process";21029;24897;"Up"
"14";"query_1";TRUE;9,72080567490042e-08;170;60;10;0,166666666666667;0,0588235294117647;"GO:0006694";"GO:BP";"steroid biosynthetic process";21029;2664;"Up"
"15";"query_1";TRUE;9,90641788070522e-08;232;60;11;0,183333333333333;0,0474137931034483;"GO:1901617";"GO:BP";"organic hydroxy compound biosynthetic process";21029;24899;"Up"
"16";"query_1";TRUE;5,81298397790154e-07;31;60;6;0,1;0,193548387096774;"GO:0008299";"GO:BP";"isoprenoid biosynthetic process";21029;3578;"Up"
"17";"query_1";TRUE;6,83451905955205e-07;550;60;14;0,233333333333333;0,0254545454545455;"GO:0044283";"GO:BP";"small molecule biosynthetic process";21029;12726;"Up"
"18";"query_1";TRUE;1,38348234252902e-06;694;60;15;0,25;0,0216138328530259;"GO:0008610";"GO:BP";"lipid biosynthetic process";21029;3631;"Up"
"19";"query_1";TRUE;3,10147238991109e-06;118;60;8;0,133333333333333;0,0677966101694915;"GO:0006720";"GO:BP";"isoprenoid metabolic process";21029;2690;"Up"
"20";"query_1";TRUE;2,28610506503503e-05;993;60;16;0,266666666666667;0,0161127895266868;"GO:0044255";"GO:BP";"cellular lipid metabolic process";21029;12707;"Up"
"21";"query_1";TRUE;0,00038627018426434;980;56;14;0,25;0,0142857142857143;"GO:0006082";"GO:BP";"organic acid metabolic process";21029;2114;"Up"
"22";"query_1";TRUE;0,000503370151180427;6;50;3;0,06;0,5;"GO:0045338";"GO:BP";"farnesyl diphosphate metabolic process";21029;13239;"Up"
"23";"query_1";TRUE;0,00152266091423916;933;56;13;0,232142857142857;0,0139335476956056;"GO:0019752";"GO:BP";"carboxylic acid metabolic process";21029;6960;"Up"
"24";"query_1";TRUE;0,00202518277492689;957;56;13;0,232142857142857;0,0135841170323929;"GO:0043436";"GO:BP";"oxoacid metabolic process";21029;12327;"Up"
"25";"query_1";TRUE;0,00623888271787745;590;56;10;0,178571428571429;0,0169491525423729;"GO:0032787";"GO:BP";"monocarboxylic acid metabolic process";21029;9036;"Up"
"26";"query_1";TRUE;0,0106988365304545;499;55;9;0,163636363636364;0,0180360721442886;"GO:0006091";"GO:BP";"generation of precursor metabolites and energy";21029;2122;"Up"
