"","Var1","Var2","log_fold_change","Sensitive"
"121642","JHH6","itraconazole",-0.452912475322,TRUE
"121644","SNU398","itraconazole",-0.121919759356,TRUE
"121692","SNU886","itraconazole",0.335726129851,FALSE
"121714","SKHEP1","itraconazole",-0.340028615189,TRUE
"121728","HLF","itraconazole",0.569631129238,FALSE
"121745","SNU449","itraconazole",0.372356056515,FALSE
"121782","JHH4","itraconazole",0.931559991926,FALSE
"121785","HUH7","itraconazole",NA,NA
"121788","SNU182","itraconazole",0.560115706892,FALSE
"121794","SNU423","itraconazole",0.080273061594,TRUE
"121816","SNU761","itraconazole",0.325769157977,FALSE
"121860","JHH1","itraconazole",-0.0831576726286,TRUE
"121864","HEP3B217","itraconazole",-0.202045835844,TRUE
"121901","SNU878","itraconazole",-0.366993330832,TRUE
"121926","JHH5","itraconazole",-0.621469240031,TRUE
"121930","HEPG2","itraconazole",0.296267158688,TRUE
"121996","JHH7","itraconazole",-0.729472421654,TRUE
"122119","PLCPRF5","itraconazole",0.5516657192,FALSE
"384058","JHH6","sirolimus",0.193002512198,TRUE
"384060","SNU398","sirolimus",0.0010660764813,TRUE
"384108","SNU886","sirolimus",-1.37475974856,TRUE
"384130","SKHEP1","sirolimus",-1.06329088692,TRUE
"384144","HLF","sirolimus",-1.02672346909,TRUE
"384161","SNU449","sirolimus",-0.657353150642,TRUE
"384198","JHH4","sirolimus",0.000505998308816,TRUE
"384201","HUH7","sirolimus",-0.367991970897,TRUE
"384204","SNU182","sirolimus",0.397567860846,FALSE
"384210","SNU423","sirolimus",-1.35133388607,TRUE
"384232","SNU761","sirolimus",-0.278361295358,TRUE
"384276","JHH1","sirolimus",0.119817405579,TRUE
"384280","HEP3B217","sirolimus",-1.75645015926,TRUE
"384317","SNU878","sirolimus",-1.62861611994,TRUE
"384342","JHH5","sirolimus",-0.794625881533,TRUE
"384346","HEPG2","sirolimus",0.886564395656,FALSE
"384412","JHH7","sirolimus",-1.1680782791,TRUE
"384535","PLCPRF5","sirolimus",-1.78521355109,TRUE
"634546","JHH6","dabrafenib",0.820399289731,FALSE
"634548","SNU398","dabrafenib",0.0852849685173,TRUE
"634596","SNU886","dabrafenib",0.550227360837,FALSE
"634618","SKHEP1","dabrafenib",-2.18777760763,TRUE
"634632","HLF","dabrafenib",0.535026259897,FALSE
"634649","SNU449","dabrafenib",0.209404487605,TRUE
"634686","JHH4","dabrafenib",-0.763445864887,TRUE
"634689","HUH7","dabrafenib",-0.0488029825412,TRUE
"634692","SNU182","dabrafenib",1.37726306499,FALSE
"634698","SNU423","dabrafenib",-0.456702870255,TRUE
"634720","SNU761","dabrafenib",1.06024852573,FALSE
"634764","JHH1","dabrafenib",-0.151762678884,TRUE
"634768","HEP3B217","dabrafenib",0.443317912171,FALSE
"634805","SNU878","dabrafenib",1.42266207909,FALSE
"634830","JHH5","dabrafenib",-0.228991003765,TRUE
"634834","HEPG2","dabrafenib",0.585163133998,FALSE
"634900","JHH7","dabrafenib",0.728000804931,FALSE
"635023","PLCPRF5","dabrafenib",0.714052505214,FALSE
"681690","JHH6","trametinib",1.23838687383,FALSE
"681692","SNU398","trametinib",-1.04870114307,TRUE
"681740","SNU886","trametinib",-2.61549313379,TRUE
"681762","SKHEP1","trametinib",-1.62662016578,TRUE
"681776","HLF","trametinib",1.07201495182,FALSE
"681793","SNU449","trametinib",0.262072391726,TRUE
"681830","JHH4","trametinib",-1.96507239053,TRUE
"681833","HUH7","trametinib",0.401167124899,FALSE
"681836","SNU182","trametinib",0.475778799952,FALSE
"681842","SNU423","trametinib",-0.712063574471,TRUE
"681864","SNU761","trametinib",-3.06030523812,TRUE
"681908","JHH1","trametinib",-2.70966071615,TRUE
"681912","HEP3B217","trametinib",-1.49692478544,TRUE
"681949","SNU878","trametinib",-1.92430788429,TRUE
"681974","JHH5","trametinib",-3.49351112905,TRUE
"681978","HEPG2","trametinib",-1.63981835916,TRUE
"682044","JHH7","trametinib",-0.398019972362,TRUE
"682167","PLCPRF5","trametinib",-0.834163745433,TRUE
"877650","JHH6","simvastatin",1.23972689575,FALSE
"877652","SNU398","simvastatin",-0.780425945191,TRUE
"877700","SNU886","simvastatin",-1.0531371757,TRUE
"877722","SKHEP1","simvastatin",-1.72983349589,TRUE
"877736","HLF","simvastatin",-0.423033245405,TRUE
"877753","SNU449","simvastatin",-0.414832110057,TRUE
"877790","JHH4","simvastatin",-0.125750373641,TRUE
"877793","HUH7","simvastatin",-0.197375196544,TRUE
"877796","SNU182","simvastatin",0.142453829272,TRUE
"877802","SNU423","simvastatin",-1.47462836035,TRUE
"877824","SNU761","simvastatin",0.356686981423,FALSE
"877868","JHH1","simvastatin",0.480771065921,FALSE
"877872","HEP3B217","simvastatin",-0.615121956124,TRUE
"877909","SNU878","simvastatin",-1.27111982796,TRUE
"877934","JHH5","simvastatin",-0.0718179424383,TRUE
"877938","HEPG2","simvastatin",1.08632881304,FALSE
"878004","JHH7","simvastatin",-0.025347464006,TRUE
"878127","PLCPRF5","simvastatin",0.334509215337,FALSE
"878218","JHH6","simvastatin",2.11464988932,FALSE
"878220","SNU398","simvastatin",NA,NA
"878268","SNU886","simvastatin",-4.20486806806,TRUE
"878290","SKHEP1","simvastatin",-4.58295885722,TRUE
"878304","HLF","simvastatin",-2.52031902145,TRUE
"878321","SNU449","simvastatin",-2.29235550581,TRUE
"878358","JHH4","simvastatin",-1.6591733355,TRUE
"878361","HUH7","simvastatin",0.764909722315,FALSE
"878364","SNU182","simvastatin",-2.61800631674,TRUE
"878370","SNU423","simvastatin",-4.57937227224,TRUE
"878392","SNU761","simvastatin",-1.34237463765,TRUE
"878436","JHH1","simvastatin",1.77650250146,FALSE
"878440","HEP3B217","simvastatin",-0.290812708159,TRUE
"878477","SNU878","simvastatin",-1.96511709031,TRUE
"878502","JHH5","simvastatin",0.683865622032,FALSE
"878506","HEPG2","simvastatin",0.304136028463,FALSE
"878572","JHH7","simvastatin",-2.57667359831,TRUE
"878695","PLCPRF5","simvastatin",-1.03000139092,TRUE
"1428610","JHH6","toremifene",1.15268858784,FALSE
"1428612","SNU398","toremifene",-0.374850231556,TRUE
"1428660","SNU886","toremifene",0.149853024747,TRUE
"1428682","SKHEP1","toremifene",-0.0641607750825,TRUE
"1428696","HLF","toremifene",1.05055824446,FALSE
"1428713","SNU449","toremifene",0.291902109612,TRUE
"1428750","JHH4","toremifene",-0.620914562327,TRUE
"1428753","HUH7","toremifene",-0.0150926876541,TRUE
"1428756","SNU182","toremifene",0.470479167335,FALSE
"1428762","SNU423","toremifene",0.364544278416,FALSE
"1428784","SNU761","toremifene",-0.759206730484,TRUE
"1428828","JHH1","toremifene",-0.209275182822,TRUE
"1428832","HEP3B217","toremifene",0.250970233746,TRUE
