"","pert","PCID","cell","type","trend","WTCS","WTCS_Pval","WTCS_FDR","NCS","NCSct","N_upset","N_downset","t_gn_sym","jlf_tau"
"1","WZ-4002","44607530","HEPG2","trt_cp","down",-0.492836368982082,2.20638643121956e-05,0.000219183615724629,-1.60091802825347,-0.104804872716267,62,26,"EGFR; ERBB2",-97.8886000157567
"2","BRD-K11413513",NA,"HEPG2","trt_cp","up",0.474580394265755,2.28471967729836e-05,0.000219183615724629,1.58382700746988,0.836174740626432,62,26,NA,99.1392893720949
"3","coumarin","323","HEPG2","trt_cp","up",0.470893016975173,2.30212706531587e-05,0.000219183615724629,1.57152104664613,1.00863870764575,62,26,"CA1; CA12; CA14; CA4; CA6; CA9; CYP2A6",99.7016071850626
"4","BRD-K29232285",NA,"HEPG2","trt_cp","down",-0.482524318652802,2.24990490126334e-05,0.000219183615724629,-1.56742060736609,0.0222942172423925,62,26,NA,-99.4908611045458
"5","BRD-K39143839",NA,"HEPG2","trt_cp","down",-0.479636880266773,2.26296044227647e-05,0.000219183615724629,-1.55804112066706,0.737632197387039,62,26,NA,-99.4928306940834
"6","BRD-K23018071",NA,"HEPG2","trt_cp","up",0.465436702106212,2.32823814734214e-05,0.000219183615724629,1.55331157369879,0,62,26,NA,99.524344126684
"7","BRD-K43216840",NA,"HEPG2","trt_cp","up",0.455146990416071,2.37175661738592e-05,0.000219183615724629,1.51897150514383,0.51436998346349,62,26,NA,99.4150319073505
"8","BRD-K58499277",NA,"HEPG2","trt_cp","down",-0.466155624970201,2.32388630033776e-05,0.000219183615724629,-1.5142489291688,0,62,26,NA,-98.9836917986292
"9","BRD-K40918107",NA,"HEPG2","trt_cp","down",-0.465303278297467,2.32823814734214e-05,0.000219183615724629,-1.51148018635561,0,62,26,NA,-99.413062317813
"10","afatinib","22225683","HEPG2","trt_cp","up",0.447765239455663,2.40221954641656e-05,0.000219183615724629,1.49433623433455,0.775812031762917,62,26,"EGF; EGFR; ERBB2; ERBB4; GAK",98.3731190419917
"11","BRD-K01594626",NA,"HEPG2","trt_cp","down",-0.456183752596656,2.36740477038154e-05,0.000219183615724629,-1.48185653432339,0,62,26,NA,-98.5228078468447
"12","KIN001-270",NA,"HEPG2","trt_cp","down",-0.455328297563652,2.37175661738592e-05,0.000219183615724629,-1.47907769438606,0.0547509160875423,62,26,NA,-99.4632868510202
"13","SA-1456508","54657710","HEPG2","trt_cp","down",-0.452537489056853,2.38046031139467e-05,0.000219183615724629,-1.4700120979059,0.822759418368401,62,26,NA,-98.941345623572
