"","pert","PCID","cell","type","trend","WTCS","WTCS_Pval","WTCS_FDR","NCS","NCSct","N_upset","N_downset","t_gn_sym","jlf_tau","fda_approved","clinical_trial_LIHC"
"1","BRD-K32581454","54657690","HEPG2","trt_cp","down",-0.543655236482305,1.98444223399629e-05,0.000452602409739288,-1.80290522292643,0,20,96,NA,-99.5568423540534,FALSE,FALSE
"2","arctigenin","64981","HEPG2","trt_cp","down",-0.504553073912325,2.15416426716702e-05,0.000452602409739288,-1.67323206171256,0,20,96,"ADIPOR1; AHR; CHUK; MAP2K1",-99.1698180099267,FALSE,FALSE
"3","BRD-K63423329","54666687","HEPG2","trt_cp","down",-0.495551798095011,2.19333089020643e-05,0.000452602409739288,-1.64338143930516,-0.0255997868660053,20,96,NA,-99.7390293862759,FALSE,FALSE
"4","BRD-K81461172",NA,"HEPG2","trt_cp","down",-0.472233344443074,2.29777521831149e-05,0.000452602409739288,-1.56605125087238,0,20,96,NA,-99.4288190341133,FALSE,FALSE
"5","BRD-K09701578","54654332","HEPG2","trt_cp","down",-0.459182475914769,2.3543492293684e-05,0.000452602409739288,-1.52277110298738,-0.51774217501571,20,96,NA,-98.0048057984716,FALSE,FALSE
"6","BRD-K10749593",NA,"HEPG2","trt_cp","down",-0.45823648911545,2.35870107637278e-05,0.000452602409739288,-1.51963395939552,-0.677885080627416,20,96,NA,-98.5109903096195,FALSE,FALSE
"7","BRD-K00423995",NA,"HEPG2","trt_cp","down",-0.457829695377988,2.35870107637278e-05,0.000452602409739288,-1.51828492326985,-1.51828492326985,20,96,NA,-98.9019538328212,FALSE,FALSE
"8","BRD-K81164606","54649959","HEPG2","trt_cp","down",-0.454833693300732,2.37175661738592e-05,0.000452602409739288,-1.50834938429127,-0.51283879065903,20,96,NA,-97.7763334121169,FALSE,FALSE
"9","BRD-K81826010","54654538","HEPG2","trt_cp","down",-0.445243131679707,2.41527508742969e-05,0.000452602409739288,-1.47654453357517,-0.502025141415557,20,96,NA,-97.6325533758765,FALSE,FALSE
"10","BRD-K47533918","54654288","HEPG2","trt_cp","down",-0.437529553432781,2.44573801646034e-05,0.000452602409739288,-1.45096425847506,-0.493327847881519,20,96,NA,-97.2455290317498,FALSE,FALSE
"11","BRD-K55082668","54654200","HEPG2","trt_cp","down",-0.436129742114707,2.45444171046909e-05,0.000452602409739288,-1.44632211218986,0.829680365199413,20,96,NA,-97.2721184905066,FALSE,FALSE
"12","BRD-K96396151","60190233","HEPG2","trt_cp","down",-0.436063917662007,2.45444171046909e-05,0.000452602409739288,-1.44610382081399,0,20,96,NA,-97.917159064051,FALSE,FALSE
"13","BRD-M36167927",NA,"HEPG2","trt_cp","down",-0.430882324447118,2.47620094549098e-05,0.000452602409739288,-1.42892028087303,0,20,96,NA,-98.3445599936973,FALSE,FALSE
"14","BRD-K70809902",NA,"HEPG2","trt_cp","down",-0.430059569283823,2.48055279249536e-05,0.000452602409739288,-1.42619180613104,0,20,96,NA,-98.3741038367604,FALSE,FALSE
"15","K-788-2192",NA,"HEPG2","trt_cp","down",-0.426999188570582,2.4936083335085e-05,0.000452602409739288,-1.41604277048899,0,20,96,NA,-95.5014574962578,FALSE,FALSE
"16","BRD-K97808269","9062","HEPG2","trt_cp","down",-0.416377401541067,2.54147865055665e-05,0.000452602409739288,-1.38081810230362,0,20,96,NA,-96.5364767982352,FALSE,FALSE
"17","BRD-K12306437",NA,"HEPG2","trt_cp","down",-0.41490381594061,2.54583049756103e-05,0.000452602409739288,-1.37593130089492,-1.37593130089492,20,96,NA,-97.9604900338769,FALSE,FALSE
"18","SA-1973497","54657695","HEPG2","trt_cp","down",-0.410459318386965,2.56758973258292e-05,0.000452602409739288,-1.36119216602592,-0.0136119216602592,20,96,NA,-95.5398644922398,FALSE,FALSE
"19","BRD-K77423370",NA,"HEPG2","trt_cp","down",-0.407696400734569,2.57629342659167e-05,0.000452602409739288,-1.35202959693479,0,20,96,NA,-96.807295359647,FALSE,FALSE
"20","SA-1973507","54657689","HEPG2","trt_cp","down",-0.406361356401228,2.58499712060043e-05,0.000452602409739288,-1.34760223518069,-0.542186480999261,20,96,NA,-93.5495942645553,FALSE,FALSE
"21","citral",NA,"HEPG2","trt_cp","down",-0.405266715116354,2.58934896760481e-05,0.000452602409739288,-1.34397211381462,-1.34397211381462,20,96,NA,-96.5315528243914,FALSE,FALSE
"22","BRD-K30726764",NA,"HEPG2","trt_cp","down",-0.401799569753174,2.60240450861794e-05,0.000452602409739288,-1.33247413850886,-0.892757672800936,20,96,NA,-96.9067596312928,FALSE,FALSE
"23","BRD-K55851396","54654475","HEPG2","trt_cp","down",-0.401067379912693,2.60675635562232e-05,0.000452602409739288,-1.33004600244211,-0.452215640830319,20,96,NA,-94.1345623572048,FALSE,FALSE
"24","resorcinol","5054","HEPG2","trt_cp","down",-0.40009692903834,2.6111082026267e-05,0.000452602409739288,-1.32682772947691,0,20,96,"CA12; CA14; INS-IGF2; PNMT; TPO",-96.8850941463799,FALSE,FALSE
"25","BRD-K12778320",NA,"HEPG2","trt_cp","down",-0.399230745220601,2.61546004963107e-05,0.000452602409739288,-1.32395523377702,0,20,96,NA,-95.8599227920901,FALSE,FALSE
"26","BRD-K20667558",NA,"HEPG2","trt_cp","down",-0.394382341651658,2.63721928465296e-05,0.000452602409739288,-1.30787663923637,0,20,96,NA,-93.5052784999606,FALSE,FALSE
"27","BRD-K69532760",NA,"HEPG2","trt_cp","down",-0.394165439841997,2.63721928465296e-05,0.000452602409739288,-1.30715733520091,0,20,96,NA,-94.4802253210431,FALSE,FALSE
"28","acetamide",NA,"HEPG2","trt_cp","down",-0.392784178163949,2.64157113165734e-05,0.000452602409739288,-1.302576704451,-1.302576704451,20,96,NA,-95.0622390293863,TRUE,FALSE
"29","SA-1973509","54657693","HEPG2","trt_cp","down",-0.389959132659881,2.65462667267047e-05,0.000452602409739288,-1.29320810289527,-0.0129320810289527,20,96,NA,-93.3782399747893,FALSE,FALSE
"30","BRD-K68937492",NA,"HEPG2","trt_cp","down",-0.38897593968264,2.65897851967485e-05,0.000452602409739288,-1.28994757373108,-0.0274709688168139,20,96,NA,-93.2118096588671,FALSE,FALSE
"31","GSK-269962",NA,"HEPG2","trt_cp","down",-0.387534348496459,2.66333036667923e-05,0.000452602409739288,-1.28516687430159,0,20,96,NA,-92.1590640510518,FALSE,FALSE
"32","BRD-K43248184",NA,"HEPG2","trt_cp","down",-0.385940794503219,2.67203406068799e-05,0.000452602409739288,-1.27988222582471,-1.03160240831851,20,96,NA,-92.9232647916174,FALSE,FALSE
"33","BRD-K22937431",NA,"HEPG2","trt_cp","down",-0.385624733280134,2.67203406068799e-05,0.000452602409739288,-1.27883408282593,0,20,96,NA,-95.2808634680533,FALSE,FALSE
"34","CHIR-99021","9956119","HEPG2","trt_cp","down",-0.38446339082935,2.68073775469674e-05,0.000452602409739288,-1.27498276267004,0,20,96,NA,-93.1024974395336,FALSE,FALSE
"35","BRD-K35832492","NotFound","HEPG2","trt_cp","down",-0.38197317364348,2.6894414487055e-05,0.000452602409739288,-1.26672454078722,-0.629914286426796,20,96,NA,-95.2828330575908,FALSE,FALSE
"36","BRD-K66383562","54654477","HEPG2","trt_cp","down",-0.380975166548413,2.69379329570988e-05,0.000452602409739288,-1.26341488407195,-1.08023205971177,20,96,NA,-93.4097534073899,FALSE,FALSE
"37","MW-SHH-98","70680410","HEPG2","trt_cp","down",-0.380014886939585,2.69814514271425e-05,0.000452602409739288,-1.26023034172591,-0.674786202230855,20,96,NA,-91.4007720790987,FALSE,FALSE
"38","BRD-K51400578",NA,"HEPG2","trt_cp","down",-0.376672064618003,2.71120068372739e-05,0.000452602409739288,-1.2491446546609,0,20,96,NA,-92.059599779406,FALSE,FALSE
"39","BRD-K15453459",NA,"HEPG2","trt_cp","down",-0.375943199260177,2.71555253073176e-05,0.000452602409739288,-1.24672754346202,-1.07635386375944,20,96,NA,-92.1009611596943,FALSE,FALSE
"40","etodolac","73707528","HEPG2","trt_cp","down",-0.374142974939919,2.72425622474052e-05,0.000452602409739288,-1.2407575212648,0,20,96,"RXRA; TRPV1",-93.3014259828252,TRUE,TRUE
"41","Ro-90-7501","824226","HEPG2","trt_cp","down",-0.372964368488683,2.7286080717449e-05,0.000452602409739288,-1.23684894909605,0,20,96,"APP",-93.3270306468132,FALSE,FALSE
