"","X","Var1","Var2","log_fold_change","Sensitive"
"28639",903778,"JHH6","sorafenib",1.28369381664,FALSE
"28640",903780,"SNU398","sorafenib",-0.884940145881,TRUE
"28641",903828,"SNU886","sorafenib",0.506014191175,FALSE
"28642",903850,"SKHEP1","sorafenib",-0.395470928634,TRUE
"28643",903864,"HLF","sorafenib",1.15443573317,FALSE
"28644",903881,"SNU449","sorafenib",-1.05701601215,TRUE
"28645",903918,"JHH4","sorafenib",-0.0354815607259,TRUE
"28646",903921,"HUH7","sorafenib",NA,NA
"28647",903924,"SNU182","sorafenib",0.0799881117532,TRUE
"28648",903930,"SNU423","sorafenib",0.0827995000362,TRUE
"28649",903952,"SNU761","sorafenib",0.344380423499,FALSE
"28650",903996,"JHH1","sorafenib",0.127828059802,TRUE
"28651",904000,"HEP3B217","sorafenib",-0.168847319858,TRUE
"28652",904037,"SNU878","sorafenib",1.15767177633,FALSE
"28653",904062,"JHH5","sorafenib",-0.256341234872,TRUE
"28654",904066,"HEPG2","sorafenib",-0.243064584126,TRUE
"28655",904132,"JHH7","sorafenib",-1.06854326203,TRUE
"28656",904255,"PLCPRF5","sorafenib",-0.0342020443362,TRUE
"31609",997498,"JHH6","pyrazinamide",0.145723371462,TRUE
"31610",997500,"SNU398","pyrazinamide",0.146001925258,TRUE
"31611",997548,"SNU886","pyrazinamide",-0.00423884770221,TRUE
"31612",997570,"SKHEP1","pyrazinamide",-0.135126674107,TRUE
"31613",997584,"HLF","pyrazinamide",-0.472978065361,TRUE
"31614",997601,"SNU449","pyrazinamide",0.0804201652626,TRUE
"31615",997638,"JHH4","pyrazinamide",-0.0889927008969,TRUE
"31616",997641,"HUH7","pyrazinamide",-0.485318553771,TRUE
"31617",997644,"SNU182","pyrazinamide",-0.242225170016,TRUE
"31618",997650,"SNU423","pyrazinamide",-0.175760089652,TRUE
"31619",997672,"SNU761","pyrazinamide",-0.259413165149,TRUE
"31620",997716,"JHH1","pyrazinamide",-0.113916119477,TRUE
