"";"query";"significant";"p_value";"term_size";"query_size";"intersection_size";"precision";"recall";"term_id";"source";"term_name";"effective_domain_size";"source_order";"set"
"1";"query_1";TRUE;4,75127401542747e-08;43;30;6;0,2;0,13953488372093;"GO:0006418";"GO:BP";"tRNA aminoacylation for protein translation";21100;2407;"Up"
"2";"query_1";TRUE;8,33570934510194e-08;47;30;6;0,2;0,127659574468085;"GO:0043039";"GO:BP";"tRNA aminoacylation";21100;12098;"Up"
"3";"query_1";TRUE;9,51722642967457e-08;48;30;6;0,2;0,125;"GO:0043038";"GO:BP";"amino acid activation";21100;12097;"Up"
"4";"query_1";TRUE;5,65108756440529e-05;626;34;10;0,294117647058824;0,0159744408945687;"GO:0071417";"GO:BP";"cellular response to organonitrogen compound";21100;19446;"Up"
"5";"query_1";TRUE;0,000127946151707239;683;34;10;0,294117647058824;0,0146412884333821;"GO:1901699";"GO:BP";"cellular response to nitrogen compound";21100;24965;"Up"
"6";"query_1";TRUE;0,000374226353746465;313;30;7;0,233333333333333;0,0223642172523962;"GO:0006520";"GO:BP";"cellular amino acid metabolic process";21100;2493;"Up"
"7";"query_1";TRUE;0,000451369193687886;1796;34;14;0,411764705882353;0,00779510022271715;"GO:0044281";"GO:BP";"small molecule metabolic process";21100;12712;"Up"
"8";"query_1";TRUE;0,00049452104234294;1010;34;11;0,323529411764706;0,0108910891089109;"GO:0010243";"GO:BP";"response to organonitrogen compound";21100;4496;"Up"
"9";"query_1";TRUE;0,000503972493672237;197;30;6;0,2;0,0304568527918782;"GO:0006399";"GO:BP";"tRNA metabolic process";21100;2390;"Up"
"10";"query_1";TRUE;0,000651424186795734;940;30;10;0,333333333333333;0,0106382978723404;"GO:0019752";"GO:BP";"carboxylic acid metabolic process";21100;6954;"Up"
"11";"query_1";TRUE;0,000652407195506088;1166;37;12;0,324324324324324;0,0102915951972556;"GO:1901701";"GO:BP";"cellular response to oxygen-containing compound";21100;24967;"Up"
"12";"query_1";TRUE;0,000837227470018952;966;30;10;0,333333333333333;0,010351966873706;"GO:0043436";"GO:BP";"oxoacid metabolic process";21100;12315;"Up"
"13";"query_1";TRUE;0,000858697687422031;839;34;10;0,294117647058824;0,0119189511323004;"GO:0009725";"GO:BP";"response to hormone";21100;4073;"Up"
