"","go","cluster","parent","parentSimScore","score","size","term","parentTerm","tfl_drugs","deseq2_drugs","limma_drugs"
"GO:0002542","GO:0002542",4,"GO:0051919",0.17,2,2,"Factor XII activation","positive regulation of fibrinolysis",TRUE,FALSE,FALSE
"GO:0002353","GO:0002353",4,"GO:0051919",0.081,2,2,"plasma kallikrein-kinin cascade","positive regulation of fibrinolysis",TRUE,FALSE,FALSE
"GO:0002254","GO:0002254",4,"GO:0051919",0.093,0,0,"kinin cascade","positive regulation of fibrinolysis",TRUE,FALSE,FALSE
"GO:0002541","GO:0002541",4,"GO:0051919",0.066,1,1,"activation of plasma proteins involved in acute inflammatory response","positive regulation of fibrinolysis",TRUE,FALSE,FALSE
"GO:0051919","GO:0051919",4,"GO:0051919",1,4,4,"positive regulation of fibrinolysis","positive regulation of fibrinolysis",TRUE,FALSE,FALSE
"GO:0010273","GO:0010273",1,"GO:0009410",0.277,15,15,"detoxification of copper ion","response to xenobiotic stimulus",FALSE,FALSE,TRUE
"GO:1990169","GO:1990169",1,"GO:0009410",0.333,0,0,"stress response to copper ion","response to xenobiotic stimulus",FALSE,FALSE,TRUE
"GO:0046688","GO:0046688",1,"GO:0009410",0.417,13,13,"response to copper ion","response to xenobiotic stimulus",FALSE,FALSE,TRUE
"GO:0098754","GO:0098754",1,"GO:0009410",0.532,0,0,"detoxification","response to xenobiotic stimulus",FALSE,FALSE,TRUE
"GO:0061687","GO:0061687",1,"GO:0009410",0.45,0,0,"detoxification of inorganic compound","response to xenobiotic stimulus",FALSE,FALSE,TRUE
"GO:0097501","GO:0097501",1,"GO:0009410",0.411,1,1,"stress response to metal ion","response to xenobiotic stimulus",FALSE,FALSE,TRUE
"GO:0009636","GO:0009636",1,"GO:0009410",0.605,81,81,"response to toxic substance","response to xenobiotic stimulus",FALSE,FALSE,TRUE
"GO:0071294","GO:0071294",1,"GO:0009410",0.273,34,34,"cellular response to zinc ion","response to xenobiotic stimulus",FALSE,FALSE,TRUE
"GO:0010043","GO:0010043",1,"GO:0009410",0.417,34,34,"response to zinc ion","response to xenobiotic stimulus",FALSE,FALSE,TRUE
"GO:0071280","GO:0071280",1,"GO:0009410",0.273,29,29,"cellular response to copper ion","response to xenobiotic stimulus",FALSE,FALSE,TRUE
"GO:0010035","GO:0010035",1,"GO:0009410",0.605,8,8,"response to inorganic substance","response to xenobiotic stimulus",FALSE,FALSE,TRUE
"GO:0071276","GO:0071276",1,"GO:0009410",0.273,47,47,"cellular response to cadmium ion","response to xenobiotic stimulus",FALSE,FALSE,TRUE
"GO:0006882","GO:0006882",2,"GO:0006882",1,38,38,"cellular zinc ion homeostasis","cellular zinc ion homeostasis",FALSE,FALSE,TRUE
"GO:0055069","GO:0055069",2,"GO:0006882",0.662,5,5,"zinc ion homeostasis","cellular zinc ion homeostasis",FALSE,FALSE,TRUE
"GO:0010038","GO:0010038",1,"GO:0009410",0.491,8,8,"response to metal ion","response to xenobiotic stimulus",FALSE,FALSE,TRUE
"GO:0046686","GO:0046686",1,"GO:0009410",0.417,27,27,"response to cadmium ion","response to xenobiotic stimulus",FALSE,FALSE,TRUE
"GO:0046916","GO:0046916",2,"GO:0006882",0.784,0,0,"cellular transition metal ion homeostasis","cellular zinc ion homeostasis",FALSE,FALSE,TRUE
"GO:0071248","GO:0071248",1,"GO:0009410",0.315,4,4,"cellular response to metal ion","response to xenobiotic stimulus",FALSE,FALSE,TRUE
"GO:0055076","GO:0055076",2,"GO:0006882",0.523,0,0,"transition metal ion homeostasis","cellular zinc ion homeostasis",FALSE,FALSE,TRUE
"GO:0019752","GO:0019752",3,"GO:0006082",0.795,10,10,"carboxylic acid metabolic process","organic acid metabolic process",FALSE,FALSE,TRUE
"GO:0009410","GO:0009410",1,"GO:0009410",1,286,286,"response to xenobiotic stimulus","response to xenobiotic stimulus",FALSE,FALSE,TRUE
