"";"query";"significant";"p_value";"term_size";"query_size";"intersection_size";"precision";"recall";"term_id";"source";"term_name";"effective_domain_size";"source_order";"set"
"1";"query_1";TRUE;3,96579861173231e-10;43;31;7;0,225806451612903;0,162790697674419;"GO:0006418";"GO:BP";"tRNA aminoacylation for protein translation";21092;2404;"Up"
"2";"query_1";TRUE;7,70919220377058e-10;47;31;7;0,225806451612903;0,148936170212766;"GO:0043039";"GO:BP";"tRNA aminoacylation";21092;12081;"Up"
"3";"query_1";TRUE;9,01639729155523e-10;48;31;7;0,225806451612903;0,145833333333333;"GO:0043038";"GO:BP";"amino acid activation";21092;12080;"Up"
"4";"query_1";TRUE;8,99220338970003e-06;634;36;11;0,305555555555556;0,0173501577287066;"GO:0034660";"GO:BP";"ncRNA metabolic process";21092;10000;"Up"
"5";"query_1";TRUE;1,4190818529493e-05;295;31;8;0,258064516129032;0,0271186440677966;"GO:0006520";"GO:BP";"cellular amino acid metabolic process";21092;2489;"Up"
"6";"query_1";TRUE;2,48679289422518e-05;201;31;7;0,225806451612903;0,0348258706467662;"GO:0006399";"GO:BP";"tRNA metabolic process";21092;2387;"Up"
"7";"query_1";TRUE;7,33916984718418e-05;925;31;11;0,354838709677419;0,0118918918918919;"GO:0019752";"GO:BP";"carboxylic acid metabolic process";21092;6949;"Up"
"8";"query_1";TRUE;9,74116043603122e-05;951;31;11;0,354838709677419;0,0115667718191377;"GO:0043436";"GO:BP";"oxoacid metabolic process";21092;12298;"Up"
"9";"query_1";TRUE;0,000104975894776076;958;31;11;0,354838709677419;0,011482254697286;"GO:0006082";"GO:BP";"organic acid metabolic process";21092;2112;"Up"
"10";"query_1";TRUE;0,000157052490081627;1837;31;14;0,451612903225806;0,00762112139357648;"GO:0044281";"GO:BP";"small molecule metabolic process";21092;12692;"Up"
"11";"query_1";TRUE;0,000666596783360858;736;37;10;0,27027027027027;0,0135869565217391;"GO:0006412";"GO:BP";"translation";21092;2399;"Up"
"12";"query_1";TRUE;0,000949898468594839;765;37;10;0,27027027027027;0,0130718954248366;"GO:0043043";"GO:BP";"peptide biosynthetic process";21092;12085;"Up"
"13";"query_1";TRUE;0,00162154993798541;638;36;9;0,25;0,0141065830721003;"GO:0071417";"GO:BP";"cellular response to organonitrogen compound";21092;19421;"Up"
"14";"query_1";TRUE;0,00325203152487566;694;36;9;0,25;0,0129682997118156;"GO:1901699";"GO:BP";"cellular response to nitrogen compound";21092;24952;"Up"
"15";"query_1";TRUE;0,00397926288130534;896;37;10;0,27027027027027;0,0111607142857143;"GO:0043604";"GO:BP";"amide biosynthetic process";21092;12415;"Up"
"16";"query_1";TRUE;0,00534449869646853;926;37;10;0,27027027027027;0,0107991360691145;"GO:0006518";"GO:BP";"peptide metabolic process";21092;2488;"Up"
"17";"query_1";TRUE;0,00707151795124631;1193;37;11;0,297297297297297;0,00922045264040235;"GO:0034645";"GO:BP";"cellular macromolecule biosynthetic process";21092;9991;"Up"
"18";"query_1";TRUE;0,00754182420435678;1201;37;11;0,297297297297297;0,00915903413821815;"GO:0043603";"GO:BP";"cellular amide metabolic process";21092;12414;"Up"
"19";"query_1";TRUE;0,0103043808441422;1028;36;10;0,277777777777778;0,00972762645914397;"GO:0010243";"GO:BP";"response to organonitrogen compound";21092;4492;"Up"
"20";"query_1";TRUE;0,0118058813800691;1186;39;11;0,282051282051282;0,00927487352445194;"GO:1901701";"GO:BP";"cellular response to oxygen-containing compound";21092;24954;"Up"
"21";"query_1";TRUE;0,0132755797921742;1592;36;12;0,333333333333333;0,00753768844221105;"GO:0009719";"GO:BP";"response to endogenous stimulus";21092;4063;"Up"
"22";"query_1";TRUE;0,0133580510595362;28;29;3;0,103448275862069;0,107142857142857;"GO:0071549";"GO:BP";"cellular response to dexamethasone stimulus";21092;19535;"Up"
"23";"query_1";TRUE;0,0148333489968223;206;29;5;0,172413793103448;0,0242718446601942;"GO:1901654";"GO:BP";"response to ketone";21092;24917;"Up"
"24";"query_1";TRUE;0,0169142236366808;1348;36;11;0,305555555555556;0,00816023738872404;"GO:0071495";"GO:BP";"cellular response to endogenous stimulus";21092;19491;"Up"
"25";"query_1";TRUE;0,018092161152459;857;36;9;0,25;0,0105017502917153;"GO:0009725";"GO:BP";"response to hormone";21092;4069;"Up"
"26";"query_1";TRUE;0,0213905265751054;1117;36;10;0,277777777777778;0,00895255147717099;"GO:1901698";"GO:BP";"response to nitrogen compound";21092;24951;"Up"
"27";"query_1";TRUE;0,0223453410423328;105;29;4;0,137931034482759;0,0380952380952381;"GO:1901655";"GO:BP";"cellular response to ketone";21092;24918;"Up"
"28";"query_1";TRUE;0,0281012659204482;10;13;2;0,153846153846154;0,2;"GO:0009629";"GO:BP";"response to gravity";21092;3993;"Up"
"29";"query_1";TRUE;0,0287074236254811;489;36;7;0,194444444444444;0,0143149284253579;"GO:1901652";"GO:BP";"response to peptide";21092;24915;"Up"
"30";"query_1";TRUE;0,0452425179731883;360;35;6;0,171428571428571;0,0166666666666667;"GO:1901653";"GO:BP";"cellular response to peptide";21092;24916;"Up"
"31";"query_1";TRUE;0,0494455321318251;1655;39;12;0,307692307692308;0,00725075528700906;"GO:1901700";"GO:BP";"response to oxygen-containing compound";21092;24953;"Up"
"32";"query_1";TRUE;3,30527829245628e-08;5419;37;28;0,756756756756757;0,00516700498246909;"GO:0005829";"GO:CC";"cytosol";21690;468;"Up"
"33";"query_1";TRUE;2,49455082311137e-05;12270;39;37;0,948717948717949;0,00301548492257539;"GO:0005737";"GO:CC";"cytoplasm";21690;383;"Up"
"34";"query_1";TRUE;0,011230336054002;181;9;3;0,333333333333333;0,0165745856353591;"GO:0001726";"GO:CC";"ruffle";21690;183;"Up"
"35";"query_1";TRUE;0,012868501815742;12;20;2;0,1;0,166666666666667;"GO:0017101";"GO:CC";"aminoacyl-tRNA synthetase multienzyme complex";21690;919;"Up"
"36";"query_1";TRUE;0,0199788488227664;148;34;4;0,117647058823529;0,027027027027027;"GO:0042734";"GO:CC";"presynaptic membrane";21690;2075;"Up"
"37";"query_1";TRUE;0,0230759139817746;1248;34;9;0,264705882352941;0,00721153846153846;"GO:0098590";"GO:CC";"plasma membrane region";21690;3576;"Up"
"38";"query_1";TRUE;0,0304751041062582;2245;35;12;0,342857142857143;0,00534521158129176;"GO:0120025";"GO:CC";"plasma membrane bounded cell projection";21690;3855;"Up"
"39";"query_1";TRUE;0,0463349995961067;346;34;5;0,147058823529412;0,0144508670520231;"GO:0031253";"GO:CC";"cell projection membrane";21690;1259;"Up"
"40";"query_1";TRUE;0,0483798704275375;2356;35;12;0,342857142857143;0,00509337860780985;"GO:0042995";"GO:CC";"cell projection";21690;2086;"Up"
"41";"query_1";TRUE;1,15879488500423e-10;43;31;7;0,225806451612903;0,162790697674419;"GO:0004812";"GO:MF";"aminoacyl-tRNA ligase activity";20166;1371;"Up"
"42";"query_1";TRUE;1,15879488500423e-10;43;31;7;0,225806451612903;0,162790697674419;"GO:0016875";"GO:MF";"ligase activity, forming carbon-oxygen bonds";20166;3835;"Up"
"43";"query_1";TRUE;5,01354345810257e-07;137;31;7;0,225806451612903;0,0510948905109489;"GO:0140101";"GO:MF";"catalytic activity, acting on a tRNA";20166;11751;"Up"
"44";"query_1";TRUE;3,11302795895277e-06;178;31;7;0,225806451612903;0,0393258426966292;"GO:0016874";"GO:MF";"ligase activity";20166;3834;"Up"
"45";"query_1";TRUE;3,49177287147948e-05;74;31;5;0,161290322580645;0,0675675675675676;"GO:0000049";"GO:MF";"tRNA binding";20166;19;"Up"
"46";"query_1";TRUE;6,34751346240468e-05;2176;31;15;0,483870967741935;0,00689338235294118;"GO:0000166";"GO:MF";"nucleotide binding";20166;35;"Up"
"47";"query_1";TRUE;6,38630511485914e-05;2177;31;15;0,483870967741935;0,00689021589343133;"GO:1901265";"GO:MF";"nucleoside phosphate binding";20166;12063;"Up"
"48";"query_1";TRUE;0,000259545301728815;2422;31;15;0,483870967741935;0,00619322873658134;"GO:0043168";"GO:MF";"anion binding";20166;6762;"Up"
"49";"query_1";TRUE;0,000432184120687038;2519;31;15;0,483870967741935;0,00595474394601032;"GO:0036094";"GO:MF";"small molecule binding";20166;6380;"Up"
"50";"query_1";TRUE;0,000496623095725926;1847;31;13;0,419354838709677;0,00703844071467244;"GO:0035639";"GO:MF";"purine ribonucleoside triphosphate binding";20166;6333;"Up"
"51";"query_1";TRUE;0,000689927133849325;394;31;7;0,225806451612903;0,0177664974619289;"GO:0140098";"GO:MF";"catalytic activity, acting on RNA";20166;11750;"Up"
"52";"query_1";TRUE;0,000753049375044705;1916;31;13;0,419354838709677;0,00678496868475992;"GO:0032555";"GO:MF";"purine ribonucleotide binding";20166;5399;"Up"
"53";"query_1";TRUE;0,000817673583575674;1930;31;13;0,419354838709677;0,00673575129533679;"GO:0017076";"GO:MF";"purine nucleotide binding";20166;3953;"Up"
"54";"query_1";TRUE;0,000832151884484503;1933;31;13;0,419354838709677;0,00672529746508019;"GO:0032553";"GO:MF";"ribonucleotide binding";20166;5397;"Up"
"55";"query_1";TRUE;0,000897927639076396;2294;31;14;0,451612903225806;0,00610287707061901;"GO:0097367";"GO:MF";"carbohydrate derivative binding";20166;10306;"Up"
"56";"query_1";TRUE;0,00298348589698036;1500;31;11;0,354838709677419;0,00733333333333333;"GO:0005524";"GO:MF";"ATP binding";20166;1888;"Up"
"57";"query_1";TRUE;0,00374630689920578;3;37;2;0,0540540540540541;0,666666666666667;"GO:0071074";"GO:MF";"eukaryotic initiation factor eIF2 binding";20166;9957;"Up"
