LV	logFC	AveExpr	t	P.Value	adj.P.Val	B
1,IRIS_Monocyte-Day1	0.026766790657744538	1.675585175659416e-19	4.539642871773394	6.176299387936208e-6	1.5242790156124617e-5	1.9436362400630323
2,REACTOME_DNA_REPLICATION	0.05423596808791909	-3.688362414532027e-19	6.0302204736645075	2.15061217749444e-9	8.363491801367266e-9	9.647578062323031
3,REACTOME_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT	0.004252758829346653	1.180172221246183e-18	0.724183873079042	0.469087891730366	0.5234748936701187	-8.016238554378948
4,REACTOME_METABOLISM_OF_NUCLEOTIDES	-0.004024917471132402	5.395073011411123e-19	-1.0873387543962838	0.27709600228961645	0.3282521873276995	-7.687476526212293
5,REACTOME_NEURONAL_SYSTEM	-0.005924703214236588	-5.090951708243837e-19	-1.6776167089481766	0.09367105792082052	0.12142544545291549	-6.872594839937076
6,KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	0.001799433950126629	7.69489580153189e-19	0.6557350538605954	0.5121148530512736	0.5681965948839779	-8.063455269094604
7,REACTOME_MRNA_SPLICING	0.05382280907956961	-3.767905157648986e-19	5.247158986252784	1.8119105665496565e-7	5.407640062958277e-7	5.341140577643696
8,REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION	0.025899093626804856	2.0735150400026802e-18	2.0901219038459855	0.036807796235789426	0.051530914730105196	-6.097581186329452
9,PID_TCR_PATHWAY	-0.04941436837380972	-1.7291900677599752e-18	-7.045121051591327	3.0477968552046824e-12	1.5238984276023413e-11	16.063742358068588
10,SVM T cells CD4 memory resting	0.02301728334698944	1.0209138160054893e-18	5.061931854774927	4.76943438079279e-7	1.3306030700037855e-6	4.406046244727621
11,IRIS_DendriticCell-Control	-0.05379898023654888	-8.434124555499279e-19	-7.404076194169433	2.414229375815339e-13	1.309124379843529e-12	18.553743146458416
12,SVM Neutrophils	-0.015225457458044163	1.4762960203500788e-18	-2.4502028034775076	0.014413425283397244	0.021422808452581276	-5.283372555111557
13,REACTOME_DEVELOPMENTAL_BIOLOGY	-0.02522624215419427	-9.973103715805657e-19	-2.9119721404858145	0.003655084528836382	0.005988117206817052	-4.052235828739127
14,REACTOME_NEURONAL_SYSTEM	-0.015252075695735078	-3.0520204695963563e-19	-4.348376908469685	1.4825770297598508e-5	3.523408373194707e-5	1.1066991750431558
15,REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	0.0013695338264856616	-1.5934486474408172e-19	0.31851257769781055	0.7501491762180674	0.7890913465681857	-8.227716606235376
16,KEGG_CALCIUM_SIGNALING_PATHWAY	-0.0020711243532321186	6.128249600141352e-19	-0.5750696460986559	0.5653473206237025	0.6108631521431669	-8.113090067202059
17,BIOCARTA_CHREBP2_PATHWAY	-0.04390816576484763	2.6024310519787625e-19	-7.861180207601851	8.143807608697433e-15	5.13994414647297e-14	21.88813777462133
18,REACTOME_COLLAGEN_FORMATION	0.03726600829899018	8.459197811481798e-19	9.54550631964616	6.799496642302528e-21	8.72602069095491e-20	35.707560879516805
19,REACTOME_PEPTIDE_CHAIN_ELONGATION	0.012126486839228866	1.6808592053660839e-18	1.4261479102825472	0.1540744578900403	0.19385185061328597	-7.2621558152233385
20,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	-0.010862801877149475	3.6624245635156275e-19	-4.248079297324387	2.3154349372446086e-5	5.213113747597511e-5	0.6817888954856688
21,IRIS_Monocyte-Day1	-0.009240326194902539	1.2960279557861014e-18	-1.4891778963963098	0.13669188555477227	0.17368440903824198	-7.170419766175482
22,KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	0.07212096034619275	-1.1236277060304318e-18	4.889072997783456	1.1442663705228738e-6	3.038224501043493e-6	3.5625073386536457
23,DMAP_ERY4	-0.023247458890875504	-3.1220526673406353e-19	-6.630564589008196	4.956374365040824e-11	2.2990411211333943e-10	13.330629676017555
24,REACTOME_PLATELET_HOMEOSTASIS	-0.016247511303171796	1.0614200933427667e-18	-5.39871680814041	8.019970660293778e-8	2.510316019685451e-7	6.130169677919612
25,PID_INTEGRIN1_PATHWAY	-0.024139375808872193	1.7832704871291682e-18	-3.5396636836235755	4.152932190924535e-4	7.799409236614371e-4	-2.043910036223969
26,IRIS_Neutrophil-Resting	-0.04019868703323874	-8.34334207694188e-19	-4.448181841531951	9.42733064885534e-6	2.2827184275530226e-5	1.5390686926279162
LV 27	-0.004463834749634962	-8.826650700880794e-19	-1.370014151142483	0.17092763231410493	0.21435549980759086	-7.340526042919841
28,REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	0.016822964395460948	-8.2153820119276425e-19	2.39635843878111	0.016704596171301957	0.0244534962963926	-5.413265531696973
29,REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION	0.02309476098279982	-5.2454980705498845e-19	8.139481149801126	9.481753309739076e-16	6.637227316817353e-15	24.006800826614732
30,REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT	-1.0966705919235624e-4	8.689180090493875e-21	-0.03600763288314954	0.9712820015401556	0.9738113817524999	-8.277799657251816
31,KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	0.03382509036700971	7.432923506266254e-19	8.88165888779379	2.2329183150650404e-18	1.9499680821940325e-17	29.978555465750443
32,PID_ANGIOPOIETINRECEPTOR_PATHWAY	-0.09793780865341607	8.40386372931348e-20	-14.85727512658283	4.0757012096856816e-46	2.6152416095483125e-44	93.39875753352968
33,IRIS_Monocyte-Day7	-0.023387464073890613	-6.94356271709018e-19	-6.0173326691816085	2.3237411389165574e-9	8.946403384828746e-9	9.57211625435858
34,REACTOME_3_UTR_MEDIATED_TRANSLATIONAL_REGULATION	0.013174637678212336	-2.2922035463846997e-19	4.11181553068244	4.180954076314767e-5	8.99255485687813e-5	0.11995210443492255
35,DMAP_MEGA2	-0.018536484506536145	-2.2522700632573677e-18	-3.8252671477977156	1.370554728362287e-4	2.719915311440621e-4	-1.0032850486614988
36,DMAP_HSC3	-0.02206661697630572	3.1696053942040345e-19	-10.328298204928545	4.677995429483779e-24	7.20411296140502e-23	42.918576545661566
