"";"query";"significant";"p_value";"term_size";"query_size";"intersection_size";"precision";"recall";"term_id";"source";"term_name";"effective_domain_size";"source_order";"set"
"1";"query_1";TRUE;1,33460679505273e-10;518;116;22;0,189655172413793;0,0424710424710425;"GO:0043068";"GO:BP";"positive regulation of programmed cell death";21100;12125;"Up"
"2";"query_1";TRUE;1,37622844389765e-10;579;116;23;0,198275862068966;0,0397236614853195;"GO:0010942";"GO:BP";"positive regulation of cell death";21100;5063;"Up"
"3";"query_1";TRUE;7,87531012628158e-10;505;116;21;0,181034482758621;0,0415841584158416;"GO:0043065";"GO:BP";"positive regulation of apoptotic process";21100;12122;"Up"
"4";"query_1";TRUE;2,48783661965122e-08;3851;104;49;0,471153846153846;0,0127239678005713;"GO:0006950";"GO:BP";"response to stress";21100;2884;"Up"
"5";"query_1";TRUE;3,23170185715963e-07;2074;116;36;0,310344827586207;0,017357762777242;"GO:0008219";"GO:BP";"cell death";21100;3560;"Up"
"6";"query_1";TRUE;3,36416938388698e-07;1865;116;34;0,293103448275862;0,018230563002681;"GO:0006915";"GO:BP";"apoptotic process";21100;2855;"Up"
"7";"query_1";TRUE;7,07497094202799e-07;1918;116;34;0,293103448275862;0,0177267987486966;"GO:0012501";"GO:BP";"programmed cell death";21100;5116;"Up"
"8";"query_1";TRUE;7,81596436916813e-07;3010;106;41;0,386792452830189;0,0136212624584718;"GO:0010033";"GO:BP";"response to organic substance";21100;4307;"Up"
"9";"query_1";TRUE;1,15828959885436e-06;2629;116;40;0,344827586206897;0,0152149106124002;"GO:0035556";"GO:BP";"intracellular signal transduction";21100;10463;"Up"
"10";"query_1";TRUE;5,62111745806845e-06;1448;116;28;0,241379310344828;0,0193370165745856;"GO:0043067";"GO:BP";"regulation of programmed cell death";21100;12124;"Up"
"11";"query_1";TRUE;1,06322289893391e-05;1592;116;29;0,25;0,01821608040201;"GO:0010941";"GO:BP";"regulation of cell death";21100;5062;"Up"
"12";"query_1";TRUE;1,61125900265587e-05;1419;116;27;0,232758620689655;0,0190274841437632;"GO:0042981";"GO:BP";"regulation of apoptotic process";21100;12064;"Up"
