"";"query";"significant";"p_value";"term_size";"query_size";"intersection_size";"precision";"recall";"term_id";"source";"term_name";"effective_domain_size";"source_order";"set"
"1";"query_1";TRUE;9,01040481977926e-11;1637;69;28;0,405797101449275;0,017104459376909;"GO:0010941";"GO:BP";"regulation of cell death";21092;5058;"Up"
"2";"query_1";TRUE;9,47635095067377e-10;2107;69;30;0,434782608695652;0,0142382534409112;"GO:0008219";"GO:BP";"cell death";21092;3556;"Up"
"3";"query_1";TRUE;3,06790280026865e-09;1889;69;28;0,405797101449275;0,0148226574907358;"GO:0006915";"GO:BP";"apoptotic process";21092;2851;"Up"
"4";"query_1";TRUE;3,90853255819156e-09;2392;69;31;0,449275362318841;0,0129598662207358;"GO:0051172";"GO:BP";"negative regulation of nitrogen compound metabolic process";21092;15621;"Up"
"5";"query_1";TRUE;4,55746103018083e-09;1482;69;25;0,36231884057971;0,0168690958164642;"GO:0043067";"GO:BP";"regulation of programmed cell death";21092;12107;"Up"
"6";"query_1";TRUE;4,9884430590807e-09;762;69;19;0,27536231884058;0,0249343832020997;"GO:0043086";"GO:BP";"negative regulation of catalytic activity";21092;12113;"Up"
"7";"query_1";TRUE;5,80897250664387e-09;1453;60;23;0,383333333333333;0,0158293186510668;"GO:0042981";"GO:BP";"regulation of apoptotic process";21092;12047;"Up"
"8";"query_1";TRUE;6,00595855328837e-09;1942;69;28;0,405797101449275;0,0144181256436663;"GO:0012501";"GO:BP";"programmed cell death";21092;5112;"Up"
"9";"query_1";TRUE;6,78687743523493e-09;5706;66;45;0,681818181818182;0,00788643533123028;"GO:0051171";"GO:BP";"regulation of nitrogen compound metabolic process";21092;15620;"Up"
"10";"query_1";TRUE;1,95177370778686e-08;5869;66;45;0,681818181818182;0,00766740500937127;"GO:0080090";"GO:BP";"regulation of primary metabolic process";21092;20830;"Up"
"11";"query_1";TRUE;2,50880329750428e-08;2567;69;31;0,449275362318841;0,0120763537202961;"GO:0051246";"GO:BP";"regulation of protein metabolic process";21092;15681;"Up"
"12";"query_1";TRUE;3,98003660629859e-08;4749;73;43;0,589041095890411;0,00905453779743104;"GO:0048523";"GO:BP";"negative regulation of cellular process";21092;14825;"Up"
"13";"query_1";TRUE;4,09093303124744e-08;3034;58;30;0,517241379310345;0,00988793671720501;"GO:0010033";"GO:BP";"response to organic substance";21092;4303;"Up"
"14";"query_1";TRUE;5,24872525394664e-08;1111;69;21;0,304347826086957;0,0189018901890189;"GO:0044092";"GO:BP";"negative regulation of molecular function";21092;12615;"Up"
"15";"query_1";TRUE;5,68463023716121e-08;319;69;13;0,188405797101449;0,0407523510971787;"GO:0001933";"GO:BP";"negative regulation of protein phosphorylation";21092;661;"Up"
"16";"query_1";TRUE;7,04574187270966e-08;9000;67;55;0,82089552238806;0,00611111111111111;"GO:0050896";"GO:BP";"response to stimulus";21092;15390;"Up"
"17";"query_1";TRUE;7,41652607204986e-08;5462;69;44;0,63768115942029;0,00805565726839985;"GO:0019538";"GO:BP";"protein metabolic process";21092;6764;"Up"
"18";"query_1";TRUE;1,1381749239358e-07;267;69;12;0,173913043478261;0,0449438202247191;"GO:0051348";"GO:BP";"negative regulation of transferase activity";21092;15768;"Up"
"19";"query_1";TRUE;1,15311240996679e-07;205;69;11;0,159420289855072;0,0536585365853659;"GO:0006469";"GO:BP";"negative regulation of protein kinase activity";21092;2443;"Up"
"20";"query_1";TRUE;1,16296767190756e-07;6309;69;47;0,681159420289855;0,00744967506736408;"GO:0048518";"GO:BP";"positive regulation of biological process";21092;14820;"Up"
"21";"query_1";TRUE;1,26780429909729e-07;1039;69;20;0,289855072463768;0,0192492781520693;"GO:0051248";"GO:BP";"negative regulation of protein metabolic process";21092;15683;"Up"
"22";"query_1";TRUE;1,42559721603844e-07;5918;66;44;0,666666666666667;0,00743494423791822;"GO:0048519";"GO:BP";"negative regulation of biological process";21092;14821;"Up"
"23";"query_1";TRUE;1,43243941961795e-07;3938;69;37;0,536231884057971;0,00939563230066023;"GO:0006950";"GO:BP";"response to stress";21092;2880;"Up"
"24";"query_1";TRUE;1,78105005269765e-07;1243;54;19;0,351851851851852;0,0152855993563958;"GO:0009968";"GO:BP";"negative regulation of signal transduction";21092;4264;"Up"
"25";"query_1";TRUE;2,22575955380934e-07;3575;69;35;0,507246376811594;0,00979020979020979;"GO:0009892";"GO:BP";"negative regulation of metabolic process";21092;4208;"Up"
"26";"query_1";TRUE;2,34258415750635e-07;1604;54;21;0,388888888888889;0,0130922693266833;"GO:0048585";"GO:BP";"negative regulation of response to stimulus";21092;14877;"Up"
"27";"query_1";TRUE;2,63132069598261e-07;361;69;13;0,188405797101449;0,03601108033241;"GO:0042326";"GO:BP";"negative regulation of phosphorylation";21092;11653;"Up"
"28";"query_1";TRUE;3,60293786105191e-07;228;69;11;0,159420289855072;0,0482456140350877;"GO:0033673";"GO:BP";"negative regulation of kinase activity";21092;9592;"Up"
"29";"query_1";TRUE;4,97761927225016e-07;7494;74;53;0,716216216216216;0,0070723245262877;"GO:0051716";"GO:BP";"cellular response to stimulus";21092;16044;"Up"
"30";"query_1";TRUE;7,41823709727618e-07;1352;54;19;0,351851851851852;0,0140532544378698;"GO:0010648";"GO:BP";"negative regulation of cell communication";21092;4789;"Up"
"31";"query_1";TRUE;7,89477105463705e-07;1357;54;19;0,351851851851852;0,0140014738393515;"GO:0023057";"GO:BP";"negative regulation of signaling";21092;7648;"Up"
"32";"query_1";TRUE;8,03947000369663e-07;7377;66;48;0,727272727272727;0,00650671004473363;"GO:0019222";"GO:BP";"regulation of metabolic process";21092;6470;"Up"
"33";"query_1";TRUE;9,52297916603718e-07;584;69;15;0,217391304347826;0,0256849315068493;"GO:0010942";"GO:BP";"positive regulation of cell death";21092;5059;"Up"
"34";"query_1";TRUE;1,11967389096946e-06;6842;66;46;0,696969696969697;0,00672318035662087;"GO:0060255";"GO:BP";"regulation of macromolecule metabolic process";21092;17011;"Up"
"35";"query_1";TRUE;1,12692553199878e-06;2248;69;27;0,391304347826087;0,0120106761565836;"GO:0031324";"GO:BP";"negative regulation of cellular metabolic process";21092;8250;"Up"
"36";"query_1";TRUE;1,50052302364561e-06;3970;67;35;0,522388059701492;0,00881612090680101;"GO:0048583";"GO:BP";"regulation of response to stimulus";21092;14875;"Up"
"37";"query_1";TRUE;1,53623762832004e-06;417;69;13;0,188405797101449;0,0311750599520384;"GO:0045936";"GO:BP";"negative regulation of phosphate metabolic process";21092;13624;"Up"
"38";"query_1";TRUE;1,58158869051373e-06;418;69;13;0,188405797101449;0,0311004784688995;"GO:0010563";"GO:BP";"negative regulation of phosphorus metabolic process";21092;4710;"Up"
"39";"query_1";TRUE;2,0613385639215e-06;2627;74;30;0,405405405405405;0,0114198705748002;"GO:0035556";"GO:BP";"intracellular signal transduction";21092;10450;"Up"
"40";"query_1";TRUE;2,77796107677022e-06;5993;74;46;0,621621621621622;0,0076756215584849;"GO:0007165";"GO:BP";"signal transduction";21092;3061;"Up"
"41";"query_1";TRUE;4,55739909700699e-06;2968;65;29;0,446153846153846;0,00977088948787062;"GO:0009966";"GO:BP";"regulation of signal transduction";21092;4262;"Up"
"42";"query_1";TRUE;4,82860170794639e-06;3357;69;32;0,463768115942029;0,00953232052427763;"GO:0010605";"GO:BP";"negative regulation of macromolecule metabolic process";21092;4747;"Up"
"43";"query_1";TRUE;5,16085080482134e-06;661;69;15;0,217391304347826;0,0226928895612708;"GO:0045859";"GO:BP";"regulation of protein kinase activity";21092;13553;"Up"
"44";"query_1";TRUE;5,19329431198902e-06;6522;56;39;0,696428571428571;0,00597976080956762;"GO:1901564";"GO:BP";"organonitrogen compound metabolic process";21092;24840;"Up"
"45";"query_1";TRUE;6,47628250664501e-06;904;69;17;0,246376811594203;0,0188053097345133;"GO:0051338";"GO:BP";"regulation of transferase activity";21092;15758;"Up"
"46";"query_1";TRUE;7,15774910552673e-06;12361;67;61;0,91044776119403;0,00493487581910849;"GO:0050789";"GO:BP";"regulation of biological process";21092;15301;"Up"
"47";"query_1";TRUE;7,86253481216573e-06;1934;69;24;0,347826086956522;0,0124095139607032;"GO:0033554";"GO:BP";"cellular response to stress";21092;9509;"Up"
"48";"query_1";TRUE;8,84843350965686e-06;6424;72;46;0,638888888888889;0,00716064757160648;"GO:0032502";"GO:BP";"developmental process";21092;8795;"Up"
"49";"query_1";TRUE;1,00241552755717e-05;3049;32;19;0,59375;0,00623155132830436;"GO:0070887";"GO:BP";"cellular response to chemical stimulus";21092;19091;"Up"
"50";"query_1";TRUE;1,16552163802644e-05;6492;74;47;0,635135135135135;0,00723967960566852;"GO:0023052";"GO:BP";"signaling";21092;7643;"Up"
"51";"query_1";TRUE;1,23447498831841e-05;4383;32;22;0,6875;0,00501939310974219;"GO:0042221";"GO:BP";"response to chemical";21092;11605;"Up"
"52";"query_1";TRUE;1,30032720708976e-05;498;69;13;0,188405797101449;0,0261044176706827;"GO:0031400";"GO:BP";"negative regulation of protein modification process";21092;8292;"Up"
"53";"query_1";TRUE;1,40551370043518e-05;5641;66;40;0,606060606060606;0,00709094132246056;"GO:0048522";"GO:BP";"positive regulation of cellular process";21092;14824;"Up"
"54";"query_1";TRUE;1,60746105056501e-05;6551;74;47;0,635135135135135;0,00717447717905663;"GO:0007154";"GO:BP";"cell communication";21092;3050;"Up"
"55";"query_1";TRUE;1,70570439943317e-05;2405;32;17;0,53125;0,00706860706860707;"GO:0071310";"GO:BP";"cellular response to organic substance";21092;19316;"Up"
"56";"query_1";TRUE;1,83759791385714e-05;515;36;10;0,277777777777778;0,0194174757281553;"GO:1902532";"GO:BP";"negative regulation of intracellular signal transduction";21092;25699;"Up"
"57";"query_1";TRUE;2,02907880217506e-05;517;69;13;0,188405797101449;0,0251450676982592;"GO:0043068";"GO:BP";"positive regulation of programmed cell death";21092;12108;"Up"
"58";"query_1";TRUE;2,19500136858067e-05;909;57;15;0,263157894736842;0,0165016501650165;"GO:0033993";"GO:BP";"response to lipid";21092;9622;"Up"
"59";"query_1";TRUE;2,237337354141e-05;5836;72;43;0,597222222222222;0,00736806031528444;"GO:0048856";"GO:BP";"anatomical structure development";21092;15126;"Up"
"60";"query_1";TRUE;2,265702246467e-05;3591;72;33;0,458333333333333;0,00918964076858814;"GO:0048513";"GO:BP";"animal organ development";21092;14815;"Up"
"61";"query_1";TRUE;2,66419565128849e-05;1567;69;21;0,304347826086957;0,013401403956605;"GO:0006468";"GO:BP";"protein phosphorylation";21092;2442;"Up"
"62";"query_1";TRUE;2,84338871894196e-05;505;60;12;0,2;0,0237623762376238;"GO:0043065";"GO:BP";"positive regulation of apoptotic process";21092;12105;"Up"
"63";"query_1";TRUE;2,93747273486443e-05;1356;41;15;0,365853658536585;0,0110619469026549;"GO:0080134";"GO:BP";"regulation of response to stress";21092;20849;"Up"
"64";"query_1";TRUE;3,22461158987032e-05;2354;71;26;0,366197183098592;0,0110450297366185;"GO:0050790";"GO:BP";"regulation of catalytic activity";21092;15302;"Up"
"65";"query_1";TRUE;4,41515780861337e-05;776;69;15;0,217391304347826;0,0193298969072165;"GO:0043549";"GO:BP";"regulation of kinase activity";21092;12378;"Up"
"66";"query_1";TRUE;4,47650213722901e-05;11130;67;57;0,850746268656716;0,00512129380053908;"GO:0050794";"GO:BP";"regulation of cellular process";21092;15305;"Up"
"67";"query_1";TRUE;6,09275876584336e-05;5649;66;39;0,590909090909091;0,00690387679235263;"GO:0031323";"GO:BP";"regulation of cellular metabolic process";21092;8249;"Up"
"68";"query_1";TRUE;8,09642618269264e-05;1655;58;19;0,327586206896552;0,0114803625377644;"GO:1901700";"GO:BP";"response to oxygen-containing compound";21092;24953;"Up"
"69";"query_1";TRUE;8,14730492842144e-05;3363;65;29;0,446153846153846;0,00862325304787392;"GO:0010646";"GO:BP";"regulation of cell communication";21092;4787;"Up"
"70";"query_1";TRUE;8,77159562207367e-05;3374;65;29;0,446153846153846;0,00859513930053349;"GO:0023051";"GO:BP";"regulation of signaling";21092;7642;"Up"
"71";"query_1";TRUE;0,00010044122189911;3055;71;29;0,408450704225352;0,00949263502454992;"GO:0065009";"GO:BP";"regulation of molecular function";21092;18591;"Up"
"72";"query_1";TRUE;0,000102831096674892;7463;64;44;0,6875;0,00589575237840011;"GO:0032501";"GO:BP";"multicellular organismal process";21092;8794;"Up"
"73";"query_1";TRUE;0,000105434189276899;1862;69;22;0,318840579710145;0,0118152524167562;"GO:0016310";"GO:BP";"phosphorylation";21092;5772;"Up"
"74";"query_1";TRUE;0,00010897148624012;1095;69;17;0,246376811594203;0,0155251141552511;"GO:0001932";"GO:BP";"regulation of protein phosphorylation";21092;660;"Up"
"75";"query_1";TRUE;0,000124115588949673;2753;74;28;0,378378378378378;0,0101707228478024;"GO:0051239";"GO:BP";"regulation of multicellular organismal process";21092;15677;"Up"
"76";"query_1";TRUE;0,000147768272561637;13096;67;61;0,91044776119403;0,00465791081246182;"GO:0065007";"GO:BP";"biological regulation";21092;18589;"Up"
"77";"query_1";TRUE;0,000201802465885611;2816;74;28;0,378378378378378;0,00994318181818182;"GO:0007166";"GO:BP";"cell surface receptor signaling pathway";21092;3062;"Up"
"78";"query_1";TRUE;0,000223463595414206;4369;72;35;0,486111111111111;0,00801098649576562;"GO:0048731";"GO:BP";"system development";21092;15011;"Up"
"79";"query_1";TRUE;0,000227381133686482;4823;72;37;0,513888888888889;0,00767157370930956;"GO:0007275";"GO:BP";"multicellular organism development";21092;3162;"Up"
"80";"query_1";TRUE;0,000265084280735621;3535;55;26;0,472727272727273;0,00735502121640736;"GO:0010604";"GO:BP";"positive regulation of macromolecule metabolic process";21092;4746;"Up"
"81";"query_1";TRUE;0,000309763794728392;595;32;9;0,28125;0,0151260504201681;"GO:0071396";"GO:BP";"cellular response to lipid";21092;19400;"Up"
"82";"query_1";TRUE;0,000347816070610828;3849;55;27;0,490909090909091;0,00701480904130943;"GO:0009893";"GO:BP";"positive regulation of metabolic process";21092;4209;"Up"
"83";"query_1";TRUE;0,000527014039425897;210;28;6;0,214285714285714;0,0285714285714286;"GO:0071222";"GO:BP";"cellular response to lipopolysaccharide";21092;19232;"Up"
"84";"query_1";TRUE;0,000535004792791223;210;45;7;0,155555555555556;0,0333333333333333;"GO:0045637";"GO:BP";"regulation of myeloid cell differentiation";21092;13349;"Up"
"85";"query_1";TRUE;0,000537579168400675;2814;41;19;0,463414634146341;0,00675195451314854;"GO:0009605";"GO:BP";"response to external stimulus";21092;3973;"Up"
"86";"query_1";TRUE;0,000599862439947185;1545;69;19;0,27536231884058;0,0122977346278317;"GO:0031399";"GO:BP";"regulation of protein modification process";21092;8291;"Up"
"87";"query_1";TRUE;0,000621852674002445;1237;69;17;0,246376811594203;0,0137429264349232;"GO:0042325";"GO:BP";"regulation of phosphorylation";21092;11652;"Up"
"88";"query_1";TRUE;0,000629223381492542;3649;69;30;0,434782608695652;0,00822143052891203;"GO:0036211";"GO:BP";"protein modification process";21092;10922;"Up"
"89";"query_1";TRUE;0,000661201149757809;619;65;12;0,184615384615385;0,0193861066235864;"GO:0007169";"GO:BP";"transmembrane receptor protein tyrosine kinase signaling pathway";21092;3065;"Up"
"90";"query_1";TRUE;0,000674457795783376;219;28;6;0,214285714285714;0,0273972602739726;"GO:0071219";"GO:BP";"cellular response to molecule of bacterial origin";21092;19229;"Up"
"91";"query_1";TRUE;0,00071254702678122;881;56;13;0,232142857142857;0,0147559591373439;"GO:0043066";"GO:BP";"negative regulation of apoptotic process";21092;12106;"Up"
"92";"query_1";TRUE;0,000715499481607034;169;36;6;0,166666666666667;0,0355029585798817;"GO:0043409";"GO:BP";"negative regulation of MAPK cascade";21092;12282;"Up"
"93";"query_1";TRUE;0,000907791695946976;900;56;13;0,232142857142857;0,0144444444444444;"GO:0043069";"GO:BP";"negative regulation of programmed cell death";21092;12109;"Up"
"94";"query_1";TRUE;0,00110516416755324;1488;74;19;0,256756756756757;0,0127688172043011;"GO:0002682";"GO:BP";"regulation of immune system process";21092;1321;"Up"
"95";"query_1";TRUE;0,0012482159319825;327;48;8;0,166666666666667;0,0244648318042813;"GO:0032496";"GO:BP";"response to lipopolysaccharide";21092;8790;"Up"
"96";"query_1";TRUE;0,00133252028722816;246;28;6;0,214285714285714;0,024390243902439;"GO:0071216";"GO:BP";"cellular response to biotic stimulus";21092;19226;"Up"
"97";"query_1";TRUE;0,00172739925302388;3726;67;29;0,432835820895522;0,00778314546430488;"GO:0065008";"GO:BP";"regulation of biological quality";21092;18590;"Up"
"98";"query_1";TRUE;0,001753808642528;702;25;8;0,32;0,0113960113960114;"GO:0070848";"GO:BP";"response to growth factor";21092;19072;"Up"
"99";"query_1";TRUE;0,00190796057868622;346;48;8;0,166666666666667;0,023121387283237;"GO:0002237";"GO:BP";"response to molecule of bacterial origin";21092;891;"Up"
"100";"query_1";TRUE;0,00214837794718971;3874;43;22;0,511627906976744;0,00567888487351575;"GO:0043412";"GO:BP";"macromolecule modification";21092;12284;"Up"
"101";"query_1";TRUE;0,00231607427006349;357;64;9;0,140625;0,0252100840336134;"GO:0051346";"GO:BP";"negative regulation of hydrolase activity";21092;15766;"Up"
"102";"query_1";TRUE;0,00260684193590807;111;5;3;0,6;0,027027027027027;"GO:0018107";"GO:BP";"peptidyl-threonine phosphorylation";21092;5996;"Up"
"103";"query_1";TRUE;0,00278864243697921;92;45;5;0,111111111111111;0,0543478260869565;"GO:0045638";"GO:BP";"negative regulation of myeloid cell differentiation";21092;13350;"Up"
"104";"query_1";TRUE;0,00291326885146697;1186;28;10;0,357142857142857;0,00843170320404722;"GO:1901701";"GO:BP";"cellular response to oxygen-containing compound";21092;24954;"Up"
"105";"query_1";TRUE;0,0029268987790233;2842;69;25;0,36231884057971;0,00879662209711471;"GO:0002376";"GO:BP";"immune system process";21092;1027;"Up"
"106";"query_1";TRUE;0,00299565410283966;1001;56;13;0,232142857142857;0,012987012987013;"GO:0060548";"GO:BP";"negative regulation of cell death";21092;17292;"Up"
"107";"query_1";TRUE;0,00302042754782303;1684;64;18;0,28125;0,0106888361045131;"GO:0042592";"GO:BP";"homeostatic process";21092;11816;"Up"
"108";"query_1";TRUE;0,00314727374481762;996;26;9;0,346153846153846;0,00903614457831325;"GO:0009894";"GO:BP";"regulation of catabolic process";21092;4210;"Up"
"109";"query_1";TRUE;0,00317413732066874;1391;69;17;0,246376811594203;0,0122214234363767;"GO:0019220";"GO:BP";"regulation of phosphate metabolic process";21092;6468;"Up"
"110";"query_1";TRUE;0,00320550564857651;1392;69;17;0,246376811594203;0,0122126436781609;"GO:0051174";"GO:BP";"regulation of phosphorus metabolic process";21092;15623;"Up"
"111";"query_1";TRUE;0,00329840282372211;120;5;3;0,6;0,025;"GO:0018210";"GO:BP";"peptidyl-threonine modification";21092;6086;"Up"
"112";"query_1";TRUE;0,0033363390144334;1023;64;14;0,21875;0,0136852394916911;"GO:0002520";"GO:BP";"immune system development";21092;1163;"Up"
"113";"query_1";TRUE;0,00335900336698756;4088;45;23;0,511111111111111;0,00562622309197652;"GO:0019219";"GO:BP";"regulation of nucleobase-containing compound metabolic process";21092;6467;"Up"
"114";"query_1";TRUE;0,00375267485733085;2089;64;20;0,3125;0,00957395883197702;"GO:0032879";"GO:BP";"regulation of localization";21092;9072;"Up"
"115";"query_1";TRUE;0,00378765853516023;1750;40;14;0,35;0,008;"GO:0051049";"GO:BP";"regulation of transport";21092;15520;"Up"
"116";"query_1";TRUE;0,00409706920880285;595;32;8;0,25;0,0134453781512605;"GO:0032870";"GO:BP";"cellular response to hormone stimulus";21092;9063;"Up"
"117";"query_1";TRUE;0,00455651502070206;1513;11;7;0,636363636363636;0,0046265697290152;"GO:0051707";"GO:BP";"response to other organism";21092;16036;"Up"
"118";"query_1";TRUE;0,00461781737000194;1516;11;7;0,636363636363636;0,00461741424802111;"GO:0043207";"GO:BP";"response to external biotic stimulus";21092;12178;"Up"
"119";"query_1";TRUE;0,00519479857377176;360;7;4;0,571428571428571;0,0111111111111111;"GO:0050727";"GO:BP";"regulation of inflammatory response";21092;15258;"Up"
"120";"query_1";TRUE;0,0054567247460638;1554;11;7;0,636363636363636;0,0045045045045045;"GO:0009607";"GO:BP";"response to biotic stimulus";21092;3975;"Up"
"121";"query_1";TRUE;0,00558845989939741;3152;69;26;0,376811594202899;0,00824873096446701;"GO:0051173";"GO:BP";"positive regulation of nitrogen compound metabolic process";21092;15622;"Up"
"122";"query_1";TRUE;0,00577680760663101;4256;66;30;0,454545454545455;0,00704887218045113;"GO:0030154";"GO:BP";"cell differentiation";21092;7711;"Up"
"123";"query_1";TRUE;0,00606900816252934;923;64;13;0,203125;0,0140845070422535;"GO:0030097";"GO:BP";"hemopoiesis";21092;7695;"Up"
"124";"query_1";TRUE;0,00615518065350023;596;56;10;0,178571428571429;0,0167785234899329;"GO:0097190";"GO:BP";"apoptotic signaling pathway";21092;21668;"Up"
