"";"query";"significant";"p_value";"term_size";"query_size";"intersection_size";"precision";"recall";"term_id";"source";"term_name";"effective_domain_size";"source_order";"set"
"1";"query_1";TRUE;0,00188963843716087;39;40;4;0,1;0,102564102564103;"GO:0034142";"GO:BP";"toll-like receptor 4 signaling pathway";21092;9701;"Up"
"2";"query_1";TRUE;0,00417945085217479;1507;58;16;0,275862068965517;0,0106171201061712;"GO:0051240";"GO:BP";"positive regulation of multicellular organismal process";21092;15678;"Up"
"3";"query_1";TRUE;0,00704668687273489;1573;19;9;0,473684210526316;0,00572155117609663;"GO:0044093";"GO:BP";"positive regulation of molecular function";21092;12616;"Up"
"4";"query_1";TRUE;0,00794805665139382;908;56;12;0,214285714285714;0,013215859030837;"GO:0051050";"GO:BP";"positive regulation of transport";21092;15521;"Up"
"5";"query_1";TRUE;0,00862440446095398;1176;19;8;0,421052631578947;0,00680272108843537;"GO:0043085";"GO:BP";"positive regulation of catalytic activity";21092;12112;"Up"
"6";"query_1";TRUE;0,0120621713275078;39;19;3;0,157894736842105;0,0769230769230769;"GO:1904646";"GO:BP";"cellular response to amyloid-beta";21092;27578;"Up"
"7";"query_1";TRUE;0,0227116030274301;48;19;3;0,157894736842105;0,0625;"GO:1904645";"GO:BP";"response to amyloid-beta";21092;27577;"Up"
"8";"query_1";TRUE;0,0429127030474069;120;58;5;0,0862068965517241;0,0416666666666667;"GO:0002224";"GO:BP";"toll-like receptor signaling pathway";21092;879;"Up"
"9";"query_1";TRUE;0,00887039345576551;4733;103;41;0,398058252427184;0,00866258187196281;"GO:0012505";"GO:CC";"endomembrane system";21690;815;"Up"
"10";"query_1";TRUE;0,0212515962172267;2487;64;19;0,296875;0,00763972657820667;"GO:0031410";"GO:CC";"cytoplasmic vesicle";21690;1319;"Up"
"11";"query_1";TRUE;0,0214863259894213;2489;64;19;0,296875;0,00763358778625954;"GO:0097708";"GO:CC";"intracellular vesicle";21690;3490;"Up"
"12";"query_1";TRUE;0,0307078498909247;12270;103;77;0,747572815533981;0,00627546862265689;"GO:0005737";"GO:CC";"cytoplasm";21690;383;"Up"
"13";"query_1";TRUE;0,0447090833639696;84;19;3;0,157894736842105;0,0357142857142857;"GO:0001540";"GO:MF";"amyloid-beta binding";20166;257;"Up"
"14";"query_1";TRUE;0,00646959949770193;609;45;10;0,222222222222222;0,0164203612479475;"MIRNA:hsa-miR-21-5p";"MIRNA";"hsa-miR-21-5p";14830;399;"Up"
"15";"query_1";TRUE;0,00145902616185706;1491;43;14;0,325581395348837;0,00938967136150235;"GO:0007010";"GO:BP";"cytoskeleton organization";21092;2929;"Down"
"16";"query_1";TRUE;0,00299188022463073;10;52;3;0,0576923076923077;0,3;"GO:0043653";"GO:BP";"mitochondrial fragmentation involved in apoptotic process";21092;12458;"Down"
"17";"query_1";TRUE;0,00310559261901039;1889;58;18;0,310344827586207;0,00952885124404447;"GO:0006915";"GO:BP";"apoptotic process";21092;2851;"Down"
"18";"query_1";TRUE;0,00462084500987961;1942;58;18;0,310344827586207;0,00926879505664264;"GO:0012501";"GO:BP";"programmed cell death";21092;5112;"Down"
