"";"query";"significant";"p_value";"term_size";"query_size";"intersection_size";"precision";"recall";"term_id";"source";"term_name";"effective_domain_size";"source_order";"set"
"1";"query_1";TRUE;7,31207647072373e-37;8885;1830;1040;0,568306010928962;0,117051209904333;"GO:0050896";"GO:BP";"response to stimulus";21100;15410;"Up"
"2";"query_1";TRUE;3,47575226487157e-34;7399;1830;896;0,489617486338798;0,121097445600757;"GO:0051716";"GO:BP";"cellular response to stimulus";21100;16064;"Up"
"3";"query_1";TRUE;1,49599860956389e-28;3019;1827;441;0,241379310344828;0,146074859224909;"GO:0070887";"GO:BP";"cellular response to chemical stimulus";21100;19115;"Up"
"4";"query_1";TRUE;8,18091829960677e-24;11193;1705;1115;0,653958944281525;0,0996158313231484;"GO:0050794";"GO:BP";"regulation of cellular process";21100;15325;"Up"
"5";"query_1";TRUE;1,14176467348731e-23;6508;1830;772;0,421857923497268;0,118623232944069;"GO:0007154";"GO:BP";"cell communication";21100;3054;"Up"
"6";"query_1";TRUE;4,11422994879389e-22;6451;1830;760;0,415300546448087;0,117811192063246;"GO:0023052";"GO:BP";"signaling";21100;7648;"Up"
"7";"query_1";TRUE;1,44398030039892e-21;5957;1830;711;0,388524590163934;0,119355380224945;"GO:0007165";"GO:BP";"signal transduction";21100;3065;"Up"
"8";"query_1";TRUE;1,77394571092507e-21;3851;1830;504;0,275409836065574;0,130875097377305;"GO:0006950";"GO:BP";"response to stress";21100;2884;"Up"
"9";"query_1";TRUE;2,1540087145782e-21;3010;1827;416;0,227695675971538;0,138205980066445;"GO:0010033";"GO:BP";"response to organic substance";21100;4307;"Up"
"10";"query_1";TRUE;3,42565376673695e-21;4336;1827;551;0,301587301587302;0,127075645756458;"GO:0042221";"GO:BP";"response to chemical";21100;11621;"Up"
"11";"query_1";TRUE;4,23216465337563e-21;4768;1863;603;0,323671497584541;0,126468120805369;"GO:0007275";"GO:BP";"multicellular organism development";21100;3166;"Up"
"12";"query_1";TRUE;4,53803385475068e-21;5754;1863;700;0,375738056897477;0,121654501216545;"GO:0048856";"GO:BP";"anatomical structure development";21100;15146;"Up"
"13";"query_1";TRUE;1,81671775112316e-20;13001;1667;1214;0,728254349130174;0,0933774325051919;"GO:0065007";"GO:BP";"biological regulation";21100;18612;"Up"
"14";"query_1";TRUE;4,38070087455508e-20;4313;1863;553;0,296833064949007;0,128217018316717;"GO:0048731";"GO:BP";"system development";21100;15031;"Up"
"15";"query_1";TRUE;9,28654510713842e-20;2391;1827;344;0,188286808976464;0,143872856545379;"GO:0071310";"GO:BP";"cellular response to organic substance";21100;19341;"Up"
"16";"query_1";TRUE;1,07229112220702e-19;6317;1857;746;0,401723209477652;0,118094031977204;"GO:0032502";"GO:BP";"developmental process";21100;8804;"Up"
