"";"query";"significant";"p_value";"term_size";"query_size";"intersection_size";"precision";"recall";"term_id";"source";"term_name";"effective_domain_size";"source_order";"set"
"1";"query_1";TRUE;0,0332134861033963;2;2;1;0,5;0,5;"CORUM:7521";"CORUM";"INSIG1-PAQR3 complex";3627;2873;"Up"
"2";"query_1";TRUE;0,0332134861033963;2;2;1;0,5;0,5;"CORUM:7520";"CORUM";"INSIG1-SCAP complex";3627;2872;"Up"
"3";"query_1";TRUE;0,0498133583470404;3;2;1;0,5;0,333333333333333;"CORUM:6871";"CORUM";"AMFR-STING-INSIG1 complex, herpes simplex virus 1 induced";3627;2432;"Up"
"4";"query_1";TRUE;1,27279779168541e-19;236;34;16;0,470588235294118;0,0677966101694915;"GO:1901617";"GO:BP";"organic hydroxy compound biosynthetic process";21100;24896;"Up"
"5";"query_1";TRUE;2,86922002724739e-19;137;34;14;0,411764705882353;0,102189781021898;"GO:0046165";"GO:BP";"alcohol biosynthetic process";21100;13865;"Up"
"6";"query_1";TRUE;1,48000527759129e-18;60;28;11;0,392857142857143;0,183333333333333;"GO:0016126";"GO:BP";"sterol biosynthetic process";21100;5715;"Up"
"7";"query_1";TRUE;9,89478451204755e-17;53;28;10;0,357142857142857;0,188679245283019;"GO:0006695";"GO:BP";"cholesterol biosynthetic process";21100;2663;"Up"
"8";"query_1";TRUE;9,89478451204755e-17;53;28;10;0,357142857142857;0,188679245283019;"GO:1902653";"GO:BP";"secondary alcohol biosynthetic process";21100;25813;"Up"
"9";"query_1";TRUE;7,21446760215905e-16;153;28;12;0,428571428571429;0,0784313725490196;"GO:0016125";"GO:BP";"sterol metabolic process";21100;5714;"Up"
"10";"query_1";TRUE;3,62983884492304e-15;559;34;17;0,5;0,0304114490161002;"GO:1901615";"GO:BP";"organic hydroxy compound metabolic process";21100;24894;"Up"
"11";"query_1";TRUE;5,74542747091786e-15;553;35;17;0,485714285714286;0,0307414104882459;"GO:0044283";"GO:BP";"small molecule biosynthetic process";21100;12714;"Up"
"12";"query_1";TRUE;7,39371875841184e-15;365;34;15;0,441176470588235;0,0410958904109589;"GO:0006066";"GO:BP";"alcohol metabolic process";21100;2098;"Up"
"13";"query_1";TRUE;1,11979431097423e-14;1392;35;22;0,628571428571429;0,0158045977011494;"GO:0006629";"GO:BP";"lipid metabolic process";21100;2601;"Up"
"14";"query_1";TRUE;2,15939546922034e-14;137;28;11;0,392857142857143;0,0802919708029197;"GO:0008203";"GO:BP";"cholesterol metabolic process";21100;3544;"Up"
"15";"query_1";TRUE;4,78796129811359e-14;147;28;11;0,392857142857143;0,0748299319727891;"GO:1902652";"GO:BP";"secondary alcohol metabolic process";21100;25812;"Up"
"16";"query_1";TRUE;1,2646401860067e-13;1796;35;23;0,657142857142857;0,0128062360801782;"GO:0044281";"GO:BP";"small molecule metabolic process";21100;12712;"Up"
"17";"query_1";TRUE;2,45574840989556e-13;170;28;11;0,392857142857143;0,0647058823529412;"GO:0006694";"GO:BP";"steroid biosynthetic process";21100;2662;"Up"
"18";"query_1";TRUE;5,46638646631242e-12;319;28;12;0,428571428571429;0,0376175548589342;"GO:0008202";"GO:BP";"steroid metabolic process";21100;3543;"Up"
"19";"query_1";TRUE;7,89422876119565e-12;700;35;16;0,457142857142857;0,0228571428571429;"GO:0008610";"GO:BP";"lipid biosynthetic process";21100;3629;"Up"
"20";"query_1";TRUE;3,5843013296398e-08;1009;35;15;0,428571428571429;0,0148662041625372;"GO:0044255";"GO:BP";"cellular lipid metabolic process";21100;12695;"Up"
"21";"query_1";TRUE;3,67608093605724e-06;597;35;11;0,314285714285714;0,0184254606365159;"GO:0032787";"GO:BP";"monocarboxylic acid metabolic process";21100;9026;"Up"
"22";"query_1";TRUE;2,13145897263416e-05;392;35;9;0,257142857142857;0,0229591836734694;"GO:0006631";"GO:BP";"fatty acid metabolic process";21100;2603;"Up"
"23";"query_1";TRUE;2,75088661387794e-05;943;28;11;0,392857142857143;0,0116648992576882;"GO:0019637";"GO:BP";"organophosphate metabolic process";21100;6862;"Up"
"24";"query_1";TRUE;3,54056216123934e-05;940;35;12;0,342857142857143;0,0127659574468085;"GO:0019752";"GO:BP";"carboxylic acid metabolic process";21100;6954;"Up"
"25";"query_1";TRUE;4,7896318984844e-05;966;35;12;0,342857142857143;0,0124223602484472;"GO:0043436";"GO:BP";"oxoacid metabolic process";21100;12315;"Up"
"26";"query_1";TRUE;6,1424509158699e-05;988;35;12;0,342857142857143;0,0121457489878543;"GO:0006082";"GO:BP";"organic acid metabolic process";21100;2114;"Up"
"27";"query_1";TRUE;6,37235426448947e-05;6;26;3;0,115384615384615;0,5;"GO:0045338";"GO:BP";"farnesyl diphosphate metabolic process";21100;13227;"Up"
"28";"query_1";TRUE;0,000146411801454439;31;28;4;0,142857142857143;0,129032258064516;"GO:0008299";"GO:BP";"isoprenoid biosynthetic process";21100;3576;"Up"
"29";"query_1";TRUE;0,000970521440244227;121;28;5;0,178571428571429;0,0413223140495868;"GO:0006720";"GO:BP";"isoprenoid metabolic process";21100;2688;"Up"
"30";"query_1";TRUE;0,0060789775444405;393;35;7;0,2;0,0178117048346056;"GO:0006644";"GO:BP";"phospholipid metabolic process";21100;2615;"Up"
"31";"query_1";TRUE;0,00961167717535854;1658;19;9;0,473684210526316;0,00542822677925211;"GO:0042592";"GO:BP";"homeostatic process";21100;11832;"Up"
"32";"query_1";TRUE;0,0132942929289094;364;28;6;0,214285714285714;0,0164835164835165;"GO:0009150";"GO:BP";"purine ribonucleotide metabolic process";21100;3749;"Up"
"33";"query_1";TRUE;0,0166956679609348;349;9;4;0,444444444444444;0,0114613180515759;"GO:1901653";"GO:BP";"cellular response to peptide";21100;24929;"Up"
