"","Var1","Var2","log_fold_change","Sensitive"
"36357","HCC827","labetalol",0.534547330339,FALSE
"36363","NCIH1693","labetalol",0.501812858931,FALSE
"36368","PC14","labetalol",-0.126377779085,TRUE
"36369","NCIH1650","labetalol",0.267521159726,TRUE
"36381","RERFLCMS","labetalol",1.23974117055,FALSE
"36382","HCC4006","labetalol",0.733454628057,FALSE
"36418","CORL105","labetalol",0.0975163656464,TRUE
"36488","SKLU1","labetalol",-0.242546504968,TRUE
"36489","NCIH2122","labetalol",-0.0557583955738,TRUE
"36505","NCIH522","labetalol",0.15916154197,TRUE
"36540","NCIH1944","labetalol",0.3190982718,FALSE
"36542","NCIH838","labetalol",0.270545551875,TRUE
"36562","NCIH2228","labetalol",0.43890112365,FALSE
"36587","RERFLCKJ","labetalol",0.536759944376,FALSE
"36596","NCIH1792","labetalol",0.429551561779,FALSE
"36608","NCIH2030","labetalol",0.300442893445,FALSE
"36611","ABC1","labetalol",0.0957090509808,TRUE
"36629","HCC78","labetalol",-0.0535149992245,TRUE
"36641","NCIH1975","labetalol",-0.25022027738,TRUE
"36642","NCIH1437","labetalol",-0.411317859861,TRUE
"36643","NCIH2073","labetalol",0.0548290043746,TRUE
"36671","NCIH441","labetalol",0.265122706013,TRUE
"36686","NCIH1355","labetalol",0.615712658732,FALSE
"36687","HCC44","labetalol",-0.616523843703,TRUE
"36693","SW1573","labetalol",0.0768779029256,TRUE
"36697","A549","labetalol",-0.22718087328,TRUE
"36711","EKVX","labetalol",-0.00440395502719,TRUE
"36725","NCIH1838","labetalol",0.140958987075,TRUE
"36733","NCIH1623","labetalol",-0.437465964742,TRUE
"36745","NCIH1648","labetalol",-0.0405374290475,TRUE
"36749","RERFLCAD2","labetalol",-0.0964738248712,TRUE
"36754","NCIH2023","labetalol",0.32364680999,FALSE
"36757","NCIH2126","labetalol",0.556385409814,FALSE
"36758","LXF289","labetalol",0.633862848623,FALSE
"36760","RERFLCAD1","labetalol",0.189750593588,TRUE
"36787","NCIH322","labetalol",0.405667808544,FALSE
"36790","NCIH2087","labetalol",0.609289056474,FALSE
"36793","NCIH1373","labetalol",0.244479187235,TRUE
"36798","NCIH1435","labetalol",0.0935391396525,TRUE
"36804","NCIH358","labetalol",0.178580066482,TRUE
"36809","NCIH1568","labetalol",-0.0146541017894,TRUE
"36811","NCIH2347","labetalol",-0.229475025525,TRUE
"36820","NCIH2009","labetalol",0.293276157634,TRUE
"36821","NCIH1793","labetalol",0.181892704441,TRUE
"36824","NCIH1563","labetalol",-0.0940382991384,TRUE
"36825","NCIH1651","labetalol",0.832226166371,FALSE
"36831","NCIH23","labetalol",0.427299948201,FALSE
"36840","NCIH1573","labetalol",0.369190776443,FALSE
"36854","NCIH650","labetalol",0.383726706677,FALSE
"71573","HCC827","pomalidomide",NA,NA
"71579","NCIH1693","pomalidomide",0.578731623607,FALSE
"71584","PC14","pomalidomide",-0.150529608409,TRUE
"71585","NCIH1650","pomalidomide",-0.239520982806,TRUE
"71597","RERFLCMS","pomalidomide",-0.21748195616,TRUE
"71598","HCC4006","pomalidomide",-0.667968105006,TRUE
"71634","CORL105","pomalidomide",-0.164326957101,TRUE
"71704","SKLU1","pomalidomide",-0.115960447834,TRUE
"71705","NCIH2122","pomalidomide",-0.0216434813876,TRUE
"71721","NCIH522","pomalidomide",-0.380128565171,TRUE
"71756","NCIH1944","pomalidomide",-0.288836881464,TRUE
"71758","NCIH838","pomalidomide",-0.034925745903,TRUE
"71778","NCIH2228","pomalidomide",-1.49844723605,TRUE
"71803","RERFLCKJ","pomalidomide",-0.72654450547,TRUE
"71812","NCIH1792","pomalidomide",-0.216144741427,TRUE
"71824","NCIH2030","pomalidomide",-0.255083308584,TRUE
"71827","ABC1","pomalidomide",-0.544833129385,TRUE
"71845","HCC78","pomalidomide",-0.0121510571069,TRUE
"71857","NCIH1975","pomalidomide",-0.305040587879,TRUE
"71858","NCIH1437","pomalidomide",-0.432005034934,TRUE
"71859","NCIH2073","pomalidomide",-1.09280480228,TRUE
"71887","NCIH441","pomalidomide",-0.66459360422,TRUE
"71902","NCIH1355","pomalidomide",-0.610260631926,TRUE
"71903","HCC44","pomalidomide",-0.51148835585,TRUE
"71909","SW1573","pomalidomide",-0.0787351864475,TRUE
"71913","A549","pomalidomide",-0.2154875155,TRUE
"71927","EKVX","pomalidomide",-0.0344864627852,TRUE
"71941","NCIH1838","pomalidomide",0.0615649914418,TRUE
"71949","NCIH1623","pomalidomide",-0.419697894848,TRUE
"71961","NCIH1648","pomalidomide",-0.0876114868742,TRUE
"71965","RERFLCAD2","pomalidomide",-0.284072642508,TRUE
"71970","NCIH2023","pomalidomide",0.316995233976,FALSE
"71973","NCIH2126","pomalidomide",-1.0515569869,TRUE
"71974","LXF289","pomalidomide",-0.894995785881,TRUE
"71976","RERFLCAD1","pomalidomide",0.251527455218,TRUE
"72003","NCIH322","pomalidomide",NA,NA
"72006","NCIH2087","pomalidomide",0.241253869084,TRUE
"72009","NCIH1373","pomalidomide",-0.621403778931,TRUE
"72014","NCIH1435","pomalidomide",-0.528705750141,TRUE
"72020","NCIH358","pomalidomide",NA,NA
"72025","NCIH1568","pomalidomide",-0.220990257631,TRUE
"72027","NCIH2347","pomalidomide",0.331405666334,FALSE
"72036","NCIH2009","pomalidomide",-0.342462924486,TRUE
"72037","NCIH1793","pomalidomide",-0.388655028355,TRUE
"72040","NCIH1563","pomalidomide",-0.506503190092,TRUE
"72041","NCIH1651","pomalidomide",-0.449537524406,TRUE
"72047","NCIH23","pomalidomide",-0.0160381705896,TRUE
"72056","NCIH1573","pomalidomide",NA,NA
"72070","NCIH650","pomalidomide",-0.720943040134,TRUE
"174949","HCC827","tioconazole",0.569522799013,FALSE
"174955","NCIH1693","tioconazole",0.122157752505,TRUE
"174960","PC14","tioconazole",-0.128699744737,TRUE
"174961","NCIH1650","tioconazole",0.0789068457665,TRUE
"174973","RERFLCMS","tioconazole",0.30142812549,FALSE
"174974","HCC4006","tioconazole",-0.182477657914,TRUE
"175010","CORL105","tioconazole",-0.289151462581,TRUE
"175080","SKLU1","tioconazole",-0.0723044559052,TRUE
"175081","NCIH2122","tioconazole",-0.53315605879,TRUE
"175097","NCIH522","tioconazole",-1.18878181566,TRUE
"175132","NCIH1944","tioconazole",0.248624383598,TRUE
"175134","NCIH838","tioconazole",-0.0996845892441,TRUE
"175154","NCIH2228","tioconazole",0.22764143814,TRUE
"175179","RERFLCKJ","tioconazole",0.141852404039,TRUE
"175188","NCIH1792","tioconazole",-0.231076890849,TRUE
"175200","NCIH2030","tioconazole",-0.139252847488,TRUE
"175203","ABC1","tioconazole",0.167864676809,TRUE
"175221","HCC78","tioconazole",-0.206372277717,TRUE
"175233","NCIH1975","tioconazole",-0.366886291987,TRUE
"175234","NCIH1437","tioconazole",0.24246191829,TRUE
"175235","NCIH2073","tioconazole",-0.117458671643,TRUE
"175263","NCIH441","tioconazole",0.25292481923,TRUE
"175278","NCIH1355","tioconazole",-0.203074434363,TRUE
"175279","HCC44","tioconazole",0.164460570951,TRUE
