"";"query";"significant";"p_value";"term_size";"query_size";"intersection_size";"precision";"recall";"term_id";"source";"term_name";"effective_domain_size";"source_order";"set"
"1";"query_1";TRUE;0,0340346745264073;1;1;1;1;1;"CORUM:1439";"CORUM";"PTGS2 homodimer complex";3385;752;"Up"
"2";"query_1";TRUE;0,00010543319085909;786;12;7;0,583333333333333;0,0089058524173028;"GO:0006954";"GO:BP";"inflammatory response";21092;2883;"Up"
"3";"query_1";TRUE;0,0176136217538619;87;11;3;0,272727272727273;0,0344827586206897;"GO:0043367";"GO:BP";"CD4-positive, alpha-beta T cell differentiation";21092;12249;"Up"
"4";"query_1";TRUE;0,0196734369682062;181;6;3;0,5;0,0165745856353591;"GO:0009266";"GO:BP";"response to temperature stimulus";21092;3859;"Up"
"5";"query_1";TRUE;0,0228130013681179;1742;12;7;0,583333333333333;0,00401836969001148;"GO:0006952";"GO:BP";"defense response";21092;2881;"Up"
"6";"query_1";TRUE;0,0261505236985031;1913;15;8;0,533333333333333;0,00418191322530057;"GO:0006955";"GO:BP";"immune response";21092;2884;"Up"
"7";"query_1";TRUE;0,0320318747178925;213;6;3;0,5;0,0140845070422535;"GO:0009612";"GO:BP";"response to mechanical stimulus";21092;3980;"Up"
"8";"query_1";TRUE;0,0327955602609895;107;11;3;0,272727272727273;0,0280373831775701;"GO:0019882";"GO:BP";"antigen processing and presentation";21092;6990;"Up"
"9";"query_1";TRUE;0,0396525058064079;114;11;3;0,272727272727273;0,0263157894736842;"GO:0035710";"GO:BP";"CD4-positive, alpha-beta T cell activation";21092;10560;"Up"
"10";"query_1";TRUE;0,041771716796335;116;11;3;0,272727272727273;0,0258620689655172;"GO:0046632";"GO:BP";"alpha-beta T cell differentiation";21092;14228;"Up"
"11";"query_1";TRUE;0,0490795835821203;906;10;5;0,5;0,00551876379690949;"GO:0034097";"GO:BP";"response to cytokine";21092;9659;"Up"
"12";"query_1";TRUE;0,0113814064429512;12270;31;28;0,903225806451613;0,00228198859005705;"GO:0005737";"GO:CC";"cytoplasm";21690;383;"Up"
"13";"query_1";TRUE;0,0437915952739474;1248;3;3;1;0,00240384615384615;"GO:0098590";"GO:CC";"plasma membrane region";21690;3576;"Up"
"14";"query_1";TRUE;0,0164501291238357;8;25;2;0,08;0,25;"GO:0004090";"GO:MF";"carbonyl reductase (NADPH) activity";20166;747;"Up"
"15";"query_1";TRUE;0,0396707329168855;2;1;1;1;0,5;"GO:0004666";"GO:MF";"prostaglandin-endoperoxide synthase activity";20166;1247;"Up"
"16";"query_1";TRUE;0,000187689814704582;104;9;4;0,444444444444444;0,0384615384615385;"KEGG:04625";"KEGG";"C-type lectin receptor signaling pathway";8064;314;"Up"
"17";"query_1";TRUE;0,00028658290298165;102;10;4;0,4;0,0392156862745098;"KEGG:04064";"KEGG";"NF-kappa B signaling pathway";8064;241;"Up"
"18";"query_1";TRUE;0,0011190685446757;223;7;4;0,571428571428571;0,0179372197309417;"KEGG:05163";"KEGG";"Human cytomegalovirus infection";8064;427;"Up"
"19";"query_1";TRUE;0,00609370202876989;198;11;4;0,363636363636364;0,0202020202020202;"KEGG:05169";"KEGG";"Epstein-Barr virus infection";8064;433;"Up"
"20";"query_1";TRUE;0,00619668280659586;79;10;3;0,3;0,0379746835443038;"KEGG:04662";"KEGG";"B cell receptor signaling pathway";8064;323;"Up"
"21";"query_1";TRUE;0,00641411039422854;72;11;3;0,272727272727273;0,0416666666666667;"KEGG:05140";"KEGG";"Leishmaniasis";8064;416;"Up"
"22";"query_1";TRUE;0,00901234676334378;219;11;4;0,363636363636364;0,0182648401826484;"KEGG:05166";"KEGG";"Human T-cell leukemia virus 1 infection";8064;430;"Up"
"23";"query_1";TRUE;0,0120592775571614;89;11;3;0,272727272727273;0,0337078651685393;"KEGG:04658";"KEGG";"Th1 and Th2 cell differentiation";8064;320;"Up"
"24";"query_1";TRUE;0,01966941737535;105;11;3;0,272727272727273;0,0285714285714286;"KEGG:04659";"KEGG";"Th17 cell differentiation";8064;321;"Up"
"25";"query_1";TRUE;0,0241600210662902;125;10;3;0,3;0,024;"KEGG:04380";"KEGG";"Osteoclast differentiation";8064;293;"Up"
"26";"query_1";TRUE;0,026788360082061;194;7;3;0,428571428571429;0,0154639175257732;"KEGG:05167";"KEGG";"Kaposi sarcoma-associated herpesvirus infection";8064;431;"Up"
"27";"query_1";TRUE;0,0338134685105288;210;7;3;0,428571428571429;0,0142857142857143;"KEGG:05170";"KEGG";"Human immunodeficiency virus 1 infection";8064;434;"Up"
"28";"query_1";TRUE;0,00525296376898559;57;12;3;0,25;0,0526315789473684;"MIRNA:hsa-miR-126-3p";"MIRNA";"hsa-miR-126-3p";14830;122;"Up"
"29";"query_1";TRUE;0,018894175487542;97;9;3;0,333333333333333;0,0309278350515464;"REAC:R-HSA-5607764";"REAC";"CLEC7A (Dectin-1) signaling";10461;263;"Up"
"30";"query_1";TRUE;0,0118323266831348;975;4;4;1;0,0041025641025641;"TF:M12667";"TF";"Factor: SP192; motif: YNNNCNTCASYAMCANNSNCAGCNYMN";19943;7812;"Up"
"31";"query_1";TRUE;0,00265107856225527;47;10;3;0,3;0,0638297872340425;"WP:WP2203";"WP";"Thymic stromal lymphopoietin (TSLP) signaling pathway";7827;538;"Up"
"32";"query_1";TRUE;0,00655736510961493;16;6;2;0,333333333333333;0,125;"WP:WP2435";"WP";"Quercetin and Nf-kB / AP-1 induced apoptosis";7827;378;"Up"
"33";"query_1";TRUE;0,0185699784838583;218;11;4;0,363636363636364;0,018348623853211;"WP:WP5115";"WP";"Network map of SARS-CoV-2 signaling pathway";7827;24;"Up"
"34";"query_1";TRUE;0,0233070929801894;97;10;3;0,3;0,0309278350515464;"WP:WP23";"WP";"B cell receptor signaling pathway";7827;512;"Up"
"35";"query_1";TRUE;0,0247715902076821;313;23;6;0,260869565217391;0,0191693290734824;"WP:WP2882";"WP";"Nuclear receptors meta-pathway";7827;363;"Up"
