"";"query";"significant";"p_value";"term_size";"query_size";"intersection_size";"precision";"recall";"term_id";"source";"term_name";"effective_domain_size";"source_order";"set"
"1";"query_1";TRUE;0,0260831593179931;3;28;2;0,0714285714285714;0,666666666666667;"CORUM:7069";"CORUM";"GNAI1-GNB4-GNG7 complex";3627;2566;"Up"
"2";"query_1";TRUE;0,0260831593179931;3;28;2;0,0714285714285714;0,666666666666667;"CORUM:7067";"CORUM";"GNAI1-GNB2-GNG7 complex";3627;2564;"Up"
"3";"query_1";TRUE;0,0260831593179931;3;28;2;0,0714285714285714;0,666666666666667;"CORUM:7066";"CORUM";"GNAI1-GNB1-GNG7 complex";3627;2563;"Up"
"4";"query_1";TRUE;0,0260831593179931;3;28;2;0,0714285714285714;0,666666666666667;"CORUM:7070";"CORUM";"GNAI1-GNB5-GNG7 complex";3627;2567;"Up"
"5";"query_1";TRUE;0,0260831593179931;3;28;2;0,0714285714285714;0,666666666666667;"CORUM:7068";"CORUM";"GNAI1-GNB3-GNG7 complex";3627;2565;"Up"
"6";"query_1";TRUE;0,0011376218698593;398;5;4;0,8;0,0100502512562814;"GO:0043434";"GO:BP";"response to peptide hormone";21100;12313;"Up"
"7";"query_1";TRUE;0,00180536797897076;133;4;3;0,75;0,0225563909774436;"GO:0045598";"GO:BP";"regulation of fat cell differentiation";21100;13330;"Up"
"8";"query_1";TRUE;0,00194606250728482;3;13;2;0,153846153846154;0,666666666666667;"GO:0070165";"GO:BP";"positive regulation of adiponectin secretion";21100;18687;"Up"
"9";"query_1";TRUE;0,00234588401665802;477;5;4;0,8;0,00838574423480084;"GO:1901652";"GO:BP";"response to peptide";21100;24928;"Up"
"10";"query_1";TRUE;0,00389907169526224;159;13;4;0,307692307692308;0,0251572327044025;"GO:0055088";"GO:BP";"lipid homeostasis";21100;16790;"Up"
"11";"query_1";TRUE;0,00441594431085034;5700;15;13;0,866666666666667;0,00228070175438596;"GO:0044249";"GO:BP";"cellular biosynthetic process";21100;12692;"Up"
"12";"query_1";TRUE;0,00461966672350149;840;4;4;1;0,00476190476190476;"GO:0045597";"GO:BP";"positive regulation of cell differentiation";21100;13329;"Up"
"13";"query_1";TRUE;0,00487705833039891;573;5;4;0,8;0,00698080279232112;"GO:0071396";"GO:BP";"cellular response to lipid";21100;19425;"Up"
"14";"query_1";TRUE;0,00517784759457706;5774;15;13;0,866666666666667;0,00225147211638379;"GO:1901576";"GO:BP";"organic substance biosynthetic process";21100;24864;"Up"
"15";"query_1";TRUE;0,00523691575016111;15;4;2;0,5;0,133333333333333;"GO:0010889";"GO:BP";"regulation of sequestering of triglyceride";21100;5010;"Up"
"16";"query_1";TRUE;0,00622602596230766;5861;15;13;0,866666666666667;0,00221805152704317;"GO:0009058";"GO:BP";"biosynthetic process";21100;3661;"Up"
"17";"query_1";TRUE;0,00678219514905223;17;4;2;0,5;0,117647058823529;"GO:0010885";"GO:BP";"regulation of cholesterol storage";21100;5006;"Up"
"18";"query_1";TRUE;0,0076294871503599;18;4;2;0,5;0,111111111111111;"GO:0030730";"GO:BP";"sequestering of triglyceride";21100;7971;"Up"
"19";"query_1";TRUE;0,0076294871503599;18;4;2;0,5;0,111111111111111;"GO:0071404";"GO:BP";"cellular response to low-density lipoprotein particle stimulus";21100;19433;"Up"
"20";"query_1";TRUE;0,00852653474874655;19;4;2;0,5;0,105263157894737;"GO:0010878";"GO:BP";"cholesterol storage";21100;4999;"Up"
"21";"query_1";TRUE;0,00964180556534743;232;4;3;0,75;0,0129310344827586;"GO:0045444";"GO:BP";"fat cell differentiation";21100;13243;"Up"
"22";"query_1";TRUE;0,0103160173112488;2781;19;11;0,578947368421053;0,00395541172240201;"GO:0006796";"GO:BP";"phosphate-containing compound metabolic process";21100;2752;"Up"
"23";"query_1";TRUE;0,0111550999354017;2803;19;11;0,578947368421053;0,00392436674991081;"GO:0006793";"GO:BP";"phosphorus metabolic process";21100;2749;"Up"
"24";"query_1";TRUE;0,0126120920775612;23;4;2;0,5;0,0869565217391304;"GO:1904706";"GO:BP";"negative regulation of vascular associated smooth muscle cell proliferation";21100;27651;"Up"
"25";"query_1";TRUE;0,0136035080173158;7;13;2;0,153846153846154;0,285714285714286;"GO:0070163";"GO:BP";"regulation of adiponectin secretion";21100;18685;"Up"
"26";"query_1";TRUE;0,0136035080173158;7;13;2;0,153846153846154;0,285714285714286;"GO:0070162";"GO:BP";"adiponectin secretion";21100;18684;"Up"
"27";"query_1";TRUE;0,0184543357800314;288;4;3;0,75;0,0104166666666667;"GO:0071375";"GO:BP";"cellular response to peptide hormone stimulus";21100;19404;"Up"
"28";"query_1";TRUE;0,0202314894032666;29;4;2;0,5;0,0689655172413793;"GO:0055094";"GO:BP";"response to lipoprotein particle";21100;16796;"Up"
"29";"query_1";TRUE;0,0222604209915521;839;5;4;0,8;0,00476758045292014;"GO:0009725";"GO:BP";"response to hormone";21100;4073;"Up"
"30";"query_1";TRUE;0,0231686025449038;31;4;2;0,5;0,0645161290322581;"GO:0010743";"GO:BP";"regulation of macrophage derived foam cell differentiation";21100;4880;"Up"
"31";"query_1";TRUE;0,0240447364658314;1268;4;4;1;0,00315457413249211;"GO:0051094";"GO:BP";"positive regulation of developmental process";21100;15571;"Up"
"32";"query_1";TRUE;0,0247116129926957;32;4;2;0,5;0,0625;"GO:0071402";"GO:BP";"cellular response to lipoprotein particle stimulus";21100;19431;"Up"
"33";"query_1";TRUE;0,0267856323294549;879;5;4;0,8;0,00455062571103527;"GO:0033993";"GO:BP";"response to lipid";21100;9631;"Up"
"34";"query_1";TRUE;0,0285210735534198;333;4;3;0,75;0,00900900900900901;"GO:0051235";"GO:BP";"maintenance of location";21100;15693;"Up"
"35";"query_1";TRUE;0,0303146619297826;1023;13;6;0,461538461538462;0,00586510263929619;"GO:0048878";"GO:BP";"chemical homeostasis";21100;15167;"Up"
"36";"query_1";TRUE;0,0313797936224229;36;4;2;0,5;0,0555555555555556;"GO:0090077";"GO:BP";"foam cell differentiation";21100;21101;"Up"
"37";"query_1";TRUE;0,0313797936224229;36;4;2;0,5;0,0555555555555556;"GO:0010742";"GO:BP";"macrophage derived foam cell differentiation";21100;4879;"Up"
"38";"query_1";TRUE;0,0328276407251271;349;4;3;0,75;0,00859598853868195;"GO:1901653";"GO:BP";"cellular response to peptide";21100;24929;"Up"
"39";"query_1";TRUE;0,0344730868386137;2391;5;5;1;0,00209117524048515;"GO:0071310";"GO:BP";"cellular response to organic substance";21100;19341;"Up"
"40";"query_1";TRUE;0,035133953597333;357;4;3;0,75;0,00840336134453781;"GO:0050727";"GO:BP";"regulation of inflammatory response";21100;15278;"Up"
"41";"query_1";TRUE;0,0357791288049389;553;33;7;0,212121212121212;0,0126582278481013;"GO:0044283";"GO:BP";"small molecule biosynthetic process";21100;12714;"Up"
"42";"query_1";TRUE;0,0393530063228786;1434;4;4;1;0,00278940027894003;"GO:0051240";"GO:BP";"positive regulation of multicellular organismal process";21100;15698;"Up"
"43";"query_1";TRUE;0,0428694425715785;42;4;2;0,5;0,0476190476190476;"GO:0031670";"GO:BP";"cellular response to nutrient";21100;8433;"Up"
"44";"query_1";TRUE;0,0464921985263429;1010;5;4;0,8;0,00396039603960396;"GO:0010243";"GO:BP";"response to organonitrogen compound";21100;4496;"Up"
"45";"query_1";TRUE;0,0480089803543545;1507;4;4;1;0,0026542800265428;"GO:0051707";"GO:BP";"response to other organism";21100;16056;"Up"
"46";"query_1";TRUE;0,0482646017896547;1509;4;4;1;0,00265076209410205;"GO:0043207";"GO:BP";"response to external biotic stimulus";21100;12195;"Up"
"47";"query_1";TRUE;0,000876242700639565;793;4;4;1;0,00504413619167718;"GO:0008289";"GO:MF";"lipid binding";20183;2080;"Up"
"48";"query_1";TRUE;0,00264499486751925;2336;33;14;0,424242424242424;0,00599315068493151;"GO:0016740";"GO:MF";"transferase activity";20183;3712;"Up"
