"";"query";"significant";"p_value";"term_size";"query_size";"intersection_size";"precision";"recall";"term_id";"source";"term_name";"effective_domain_size";"source_order";"set"
"1";"query_1";TRUE;0,0303967719416802;902;96;15;0,15625;0,016629711751663;"GO:0032446";"GO:BP";"protein modification by small protein conjugation";21092;8751;"Up"
"2";"query_1";TRUE;0,0452613424382573;1051;96;16;0,166666666666667;0,0152235965746908;"GO:0070647";"GO:BP";"protein modification by small protein conjugation or removal";21092;18959;"Up"
"3";"query_1";TRUE;0,0456454438784926;168;70;6;0,0857142857142857;0,0357142857142857;"GO:0006606";"GO:BP";"protein import into nucleus";21092;2574;"Up"
"4";"query_1";TRUE;1,72322023811844e-06;4215;97;44;0,45360824742268;0,0104389086595492;"GO:0005654";"GO:CC";"nucleoplasm";21690;310;"Up"
"5";"query_1";TRUE;0,000479271259436269;5505;85;42;0,494117647058824;0,00762942779291553;"GO:0031981";"GO:CC";"nuclear lumen";21690;1449;"Up"
"6";"query_1";TRUE;0,000833306854155052;5419;82;40;0,48780487804878;0,00738143568924156;"GO:0005829";"GO:CC";"cytosol";21690;468;"Up"
"7";"query_1";TRUE;0,000849832163347213;12270;70;58;0,828571428571429;0,00472697636511817;"GO:0005737";"GO:CC";"cytoplasm";21690;383;"Up"
"8";"query_1";TRUE;0,00398926399432054;6637;97;50;0,515463917525773;0,00753352418261263;"GO:0031974";"GO:CC";"membrane-enclosed lumen";21690;1443;"Up"
"9";"query_1";TRUE;0,00398926399432054;6637;97;50;0,515463917525773;0,00753352418261263;"GO:0043233";"GO:CC";"organelle lumen";21690;2127;"Up"
"10";"query_1";TRUE;0,00398926399432054;6637;97;50;0,515463917525773;0,00753352418261263;"GO:0070013";"GO:CC";"intracellular organelle lumen";21690;2713;"Up"
"11";"query_1";TRUE;0,00441288671268049;1707;96;21;0,21875;0,0123022847100176;"GO:1902494";"GO:CC";"catalytic complex";21690;4010;"Up"
"12";"query_1";TRUE;0,00608826620947899;883;69;12;0,173913043478261;0,0135900339750849;"GO:0016604";"GO:CC";"nuclear body";21690;897;"Up"
"13";"query_1";TRUE;0,0130197179658267;940;81;13;0,160493827160494;0,0138297872340426;"GO:0140535";"GO:CC";"intracellular protein-containing complex";21690;3962;"Up"
"14";"query_1";TRUE;0,0190295230457062;38;7;2;0,285714285714286;0,0526315789473684;"GO:0080008";"GO:CC";"Cul4-RING E3 ubiquitin ligase complex";21690;3154;"Up"
"15";"query_1";TRUE;0,0236474437578732;314;96;8;0,0833333333333333;0,0254777070063694;"GO:0000151";"GO:CC";"ubiquitin ligase complex";21690;24;"Up"
"16";"query_1";TRUE;0,0380772260724444;184;12;3;0,25;0,016304347826087;"GO:0031461";"GO:CC";"cullin-RING ubiquitin ligase complex";21690;1332;"Up"
"17";"query_1";TRUE;0,0394730587629283;878;96;13;0,135416666666667;0,0148063781321185;"GO:1990234";"GO:CC";"transferase complex";21690;4216;"Up"
"18";"query_1";TRUE;0,0232519641993236;3;67;2;0,0298507462686567;0,666666666666667;"GO:0005153";"GO:MF";"interleukin-8 receptor binding";20166;1653;"Up"
"19";"query_1";TRUE;0,0341883810332947;14832;99;89;0,898989898989899;0,00600053937432578;"GO:0005515";"GO:MF";"protein binding";20166;1879;"Up"
"20";"query_1";TRUE;0,0206513180846934;117;78;6;0,0769230769230769;0,0512820512820513;"MIRNA:hsa-miR-211-3p";"MIRNA";"hsa-miR-211-3p";14830;402;"Up"
"21";"query_1";TRUE;0,0106749254227375;15291;99;93;0,939393939393939;0,00608200902491662;"TF:M08526_1";"TF";"Factor: E2F-3:HES-7; motif: NNNSGCGCSNNNNNCRCGYGNN; match class: 1";19943;1481;"Up"
"22";"query_1";TRUE;0,017881905644361;3047;91;31;0,340659340659341;0,0101739415818838;"TF:M09905_1";"TF";"Factor: SAP-1; motif: NNCCGGAAGTGN; match class: 1";19943;1877;"Up"
"23";"query_1";TRUE;0,017916261317614;8181;96;61;0,635416666666667;0,00745630118567412;"TF:M07380_1";"TF";"Factor: E2F-4; motif: NTTTCSCGCC; match class: 1";19943;1515;"Up"
"24";"query_1";TRUE;0,0195752884202825;10596;85;65;0,764705882352941;0,00613439033597584;"TF:M00736";"TF";"Factor: E2F-1:DP-1; motif: TTTCSCGC";19943;1422;"Up"
"25";"query_1";TRUE;0,0261605560077398;14878;99;91;0,919191919191919;0,00611641349643769;"TF:M11530";"TF";"Factor: E2F-2; motif: NWTTTGGCGCCAWWNN";19943;1468;"Up"
"26";"query_1";TRUE;0,028375233198426;4770;98;43;0,438775510204082;0,0090146750524109;"TF:M03977_1";"TF";"Factor: ETS1; motif: ACCGGAARYN; match class: 1";19943;2165;"Up"
"27";"query_1";TRUE;0,0332582577387295;5043;91;42;0,461538461538462;0,0083283759666865;"TF:M11396_1";"TF";"Factor: Erg; motif: NACCGGAARTN; match class: 1";19943;2037;"Up"
"28";"query_1";TRUE;0,0495174324908427;13280;97;83;0,855670103092783;0,00625;"TF:M07380";"TF";"Factor: E2F-4; motif: NTTTCSCGCC";19943;1514;"Up"
"29";"query_1";TRUE;2,28327490091655e-05;5836;242;108;0,446280991735537;0,0185058259081563;"GO:0048856";"GO:BP";"anatomical structure development";21092;15126;"Down"
"30";"query_1";TRUE;7,23379619727388e-05;4823;242;93;0,384297520661157;0,0192826041882646;"GO:0007275";"GO:BP";"multicellular organism development";21092;3162;"Down"
"31";"query_1";TRUE;7,66455465615086e-05;7494;239;126;0,527196652719665;0,0168134507606085;"GO:0051716";"GO:BP";"cellular response to stimulus";21092;16044;"Down"
"32";"query_1";TRUE;0,000119910547187951;75;29;5;0,172413793103448;0,0666666666666667;"GO:0071260";"GO:BP";"cellular response to mechanical stimulus";21092;19267;"Down"
"33";"query_1";TRUE;0,000130394786417607;4369;242;86;0,355371900826446;0,0196841382467384;"GO:0048731";"GO:BP";"system development";21092;15011;"Down"
"34";"query_1";TRUE;0,000279873047548077;14;73;4;0,0547945205479452;0,285714285714286;"GO:0045348";"GO:BP";"positive regulation of MHC class II biosynthetic process";21092;13216;"Down"
"35";"query_1";TRUE;0,00028195648178084;14;16;3;0,1875;0,214285714285714;"GO:0002756";"GO:BP";"MyD88-independent toll-like receptor signaling pathway";21092;1389;"Down"
"36";"query_1";TRUE;0,000286322707283124;3591;242;74;0,305785123966942;0,0206070732386522;"GO:0048513";"GO:BP";"animal organ development";21092;14815;"Down"
"37";"query_1";TRUE;0,00030136858067674;7463;242;125;0,516528925619835;0,0167492965295458;"GO:0032501";"GO:BP";"multicellular organismal process";21092;8794;"Down"
"38";"query_1";TRUE;0,000314216662688826;6424;242;112;0,462809917355372;0,0174346201743462;"GO:0032502";"GO:BP";"developmental process";21092;8795;"Down"
"39";"query_1";TRUE;0,000721154525555563;2405;47;19;0,404255319148936;0,0079002079002079;"GO:0071310";"GO:BP";"cellular response to organic substance";21092;19316;"Down"
