"";"query";"significant";"p_value";"term_size";"query_size";"intersection_size";"precision";"recall";"term_id";"source";"term_name";"effective_domain_size";"source_order";"set"
"1";"query_1";TRUE;0,0199789821108236;2;1;1;1;0,5;"CORUM:644";"CORUM";"ASPP1-SAM68 complex";3627;358;"Up"
"2";"query_1";TRUE;0,00309678877867605;175;4;3;0,75;0,0171428571428571;"GO:0072331";"GO:BP";"signal transduction by p53 class mediator";21100;20194;"Up"
"3";"query_1";TRUE;0,0303256412655608;26;6;2;0,333333333333333;0,0769230769230769;"GO:0071549";"GO:BP";"cellular response to dexamethasone stimulus";21100;19560;"Up"
"4";"query_1";TRUE;0,0333147078624898;81;15;3;0,2;0,037037037037037;"GO:0072332";"GO:BP";"intrinsic apoptotic signaling pathway by p53 class mediator";21100;20195;"Up"
"5";"query_1";TRUE;0,0374568064298802;332;12;4;0,333333333333333;0,0120481927710843;"GO:0048545";"GO:BP";"response to steroid hormone";21100;14865;"Up"
"6";"query_1";TRUE;0,0433453181586378;1882;6;5;0,833333333333333;0,0026567481402763;"GO:0016310";"GO:BP";"phosphorylation";21100;5776;"Up"
"7";"query_1";TRUE;0,0450072344990913;2781;7;6;0,857142857142857;0,00215749730312837;"GO:0006796";"GO:BP";"phosphate-containing compound metabolic process";21100;2752;"Up"
"8";"query_1";TRUE;0,0471406522951043;2803;7;6;0,857142857142857;0,00214056368176953;"GO:0006793";"GO:BP";"phosphorus metabolic process";21100;2749;"Up"
"9";"query_1";TRUE;0,000525651019658555;5420;16;13;0,8125;0,00239852398523985;"GO:0005829";"GO:CC";"cytosol";21698;469;"Up"
"10";"query_1";TRUE;0,00885163875858857;795;6;4;0,666666666666667;0,0050314465408805;"GO:0016301";"GO:MF";"kinase activity";20183;3487;"Up"
"11";"query_1";TRUE;0,0143338972311571;296;15;4;0,266666666666667;0,0135135135135135;"GO:0031625";"GO:MF";"ubiquitin protein ligase binding";20183;5091;"Up"
"12";"query_1";TRUE;0,0144213902100508;360;5;3;0,6;0,00833333333333333;"GO:0106310";"GO:MF";"protein serine kinase activity";20183;11602;"Up"
"13";"query_1";TRUE;0,0180298192967965;314;15;4;0,266666666666667;0,0127388535031847;"GO:0044389";"GO:MF";"ubiquitin-like protein ligase binding";20183;7062;"Up"
"14";"query_1";TRUE;0,018139867088909;954;6;4;0,666666666666667;0,00419287211740042;"GO:0016772";"GO:MF";"transferase activity, transferring phosphorus-containing groups";20183;3741;"Up"
"15";"query_1";TRUE;0,0258592631989303;438;5;3;0,6;0,00684931506849315;"GO:0004674";"GO:MF";"protein serine/threonine kinase activity";20183;1253;"Up"
"16";"query_1";TRUE;0,0272891308380776;446;5;3;0,6;0,00672645739910314;"GO:0004712";"GO:MF";"protein serine/threonine/tyrosine kinase activity";20183;1282;"Up"
"17";"query_1";TRUE;0,031862757612113;12;15;2;0,133333333333333;0,166666666666667;"MIRNA:hsa-miR-95-3p";"MIRNA";"hsa-miR-95-3p";13650;2590;"Up"
"18";"query_1";TRUE;0,0384957970419304;1123;15;7;0,466666666666667;0,006233303650935;"MIRNA:hsa-let-7b-5p";"MIRNA";"hsa-let-7b-5p";13650;6;"Up"
"19";"query_1";TRUE;0,0222640133118573;22;8;2;0,25;0,0909090909090909;"WP:WP3599";"WP";"Transcription factor regulation in adipogenesis";7364;372;"Up"
"20";"query_1";TRUE;0,00155029728159869;502;14;5;0,357142857142857;0,0099601593625498;"GO:0005667";"GO:CC";"transcription regulator complex";21698;322;"Down"
"21";"query_1";TRUE;0,00727109781824061;1838;4;4;1;0,00217627856365615;"GO:0005694";"GO:CC";"chromosome";21698;347;"Down"
"22";"query_1";TRUE;0,00923947335797213;1555;4;4;1;0,00257234726688103;"GO:1990837";"GO:MF";"sequence-specific double-stranded DNA binding";20183;12276;"Down"
"23";"query_1";TRUE;0,0117723821934849;1652;4;4;1;0,00242130750605327;"GO:0003690";"GO:MF";"double-stranded DNA binding";20183;414;"Down"
"24";"query_1";TRUE;0,0119733696389008;1659;4;4;1;0,00241109101868596;"GO:0043565";"GO:MF";"sequence-specific DNA binding";20183;6832;"Down"
"25";"query_1";TRUE;0,0120149911086874;458;4;3;0,75;0,00655021834061135;"GO:0001228";"GO:MF";"DNA-binding transcription activator activity, RNA polymerase II-specific";20183;243;"Down"
"26";"query_1";TRUE;0,0123313886876457;462;4;3;0,75;0,00649350649350649;"GO:0001216";"GO:MF";"DNA-binding transcription activator activity";20183;237;"Down"
"27";"query_1";TRUE;0,0167267076156331;31;8;2;0,25;0,0645161290322581;"GO:0001968";"GO:MF";"fibronectin binding";20183;364;"Down"
"28";"query_1";TRUE;0,000658922523152032;211;12;5;0,416666666666667;0,023696682464455;"KEGG:05166";"KEGG";"Human T-cell leukemia virus 1 infection";7559;429;"Down"
"29";"query_1";TRUE;0,00217247844871736;159;4;3;0,75;0,0188679245283019;"KEGG:05161";"KEGG";"Hepatitis B";7559;424;"Down"
"30";"query_1";TRUE;0,00376571095886955;191;4;3;0,75;0,0157068062827225;"KEGG:05167";"KEGG";"Kaposi sarcoma-associated herpesvirus infection";7559;430;"Down"
"31";"query_1";TRUE;0,00414341205735567;152;12;4;0,333333333333333;0,0263157894736842;"KEGG:04218";"KEGG";"Cellular senescence";7559;278;"Down"
"32";"query_1";TRUE;0,00536753036381506;215;4;3;0,75;0,013953488372093;"KEGG:05163";"KEGG";"Human cytomegalovirus infection";7559;426;"Down"
"33";"query_1";TRUE;0,0269128649912837;93;3;2;0,666666666666667;0,021505376344086;"KEGG:05215";"KEGG";"Prostate cancer";7559;448;"Down"
"34";"query_1";TRUE;0,0264560117884596;542;12;5;0,416666666666667;0,00922509225092251;"MIRNA:hsa-miR-320a";"MIRNA";"hsa-miR-320a";13650;652;"Down"
"35";"query_1";TRUE;0,0311311030045003;116;2;2;1;0,0172413793103448;"MIRNA:hsa-miR-204-3p";"MIRNA";"hsa-miR-204-3p";13650;382;"Down"
