"";"query";"significant";"p_value";"term_size";"query_size";"intersection_size";"precision";"recall";"term_id";"source";"term_name";"effective_domain_size";"source_order";"set"
"1";"query_1";TRUE;0,00177081088374343;497;102;13;0,127450980392157;0,0261569416498994;"GO:0002764";"GO:BP";"immune response-regulating signaling pathway";21100;1399;"Up"
"2";"query_1";TRUE;0,00465926008136005;435;72;10;0,138888888888889;0,0229885057471264;"GO:0051090";"GO:BP";"regulation of DNA-binding transcription factor activity";21100;15567;"Up"
"3";"query_1";TRUE;0,00481086677444809;10;57;3;0,0526315789473684;0,3;"GO:0044351";"GO:BP";"macropinocytosis";21100;12745;"Up"
"4";"query_1";TRUE;0,0130907947299062;25;102;4;0,0392156862745098;0,16;"GO:0002755";"GO:BP";"MyD88-dependent toll-like receptor signaling pathway";21100;1390;"Up"
"5";"query_1";TRUE;0,0131475913106191;1604;66;17;0,257575757575758;0,0105985037406484;"GO:0016192";"GO:BP";"vesicle-mediated transport";21100;5742;"Up"
"6";"query_1";TRUE;0,0144857606580768;903;102;16;0,156862745098039;0,017718715393134;"GO:0050776";"GO:BP";"regulation of immune response";21100;15313;"Up"
"7";"query_1";TRUE;0,0149364375795384;2811;84;27;0,321428571428571;0,0096051227321238;"GO:0007166";"GO:BP";"cell surface receptor signaling pathway";21100;3066;"Up"
"8";"query_1";TRUE;0,0277746771797389;951;91;15;0,164835164835165;0,0157728706624606;"GO:0007167";"GO:BP";"enzyme-linked receptor protein signaling pathway";21100;3067;"Up"
"9";"query_1";TRUE;0,0314870138613966;314;97;9;0,0927835051546392;0,0286624203821656;"GO:0002429";"GO:BP";"immune response-activating cell surface receptor signaling pathway";21100;1075;"Up"
"10";"query_1";TRUE;0,0314870138613966;314;97;9;0,0927835051546392;0,0286624203821656;"GO:0002757";"GO:BP";"immune response-activating signal transduction";21100;1392;"Up"
"11";"query_1";TRUE;0,0337856020939278;400;97;10;0,103092783505155;0,025;"GO:0002253";"GO:BP";"activation of immune response";21100;908;"Up"
"12";"query_1";TRUE;0,0429228990002097;600;97;12;0,123711340206186;0,02;"GO:0050778";"GO:BP";"positive regulation of immune response";21100;15315;"Up"
"13";"query_1";TRUE;0,0486710607170818;1556;97;20;0,206185567010309;0,012853470437018;"GO:0044093";"GO:BP";"positive regulation of molecular function";21100;12634;"Up"
"14";"query_1";TRUE;0,00433069559551827;12241;45;39;0,866666666666667;0,00318601421452496;"GO:0005737";"GO:CC";"cytoplasm";21698;384;"Up"
"15";"query_1";TRUE;0,00566362260155341;5420;93;42;0,451612903225806;0,00774907749077491;"GO:0005829";"GO:CC";"cytosol";21698;469;"Up"
"16";"query_1";TRUE;0,0100022160135165;661;95;12;0,126315789473684;0,0181543116490166;"GO:0098552";"GO:CC";"side of membrane";21698;3547;"Up"
"17";"query_1";TRUE;0,00113381866510851;2;27;2;0,0740740740740741;1;"GO:0032791";"GO:MF";"lead ion binding";20183;5419;"Up"
"18";"query_1";TRUE;0,00339864687123578;3;27;2;0,0740740740740741;0,666666666666667;"GO:0045340";"GO:MF";"mercury ion binding";20183;7176;"Up"
"19";"query_1";TRUE;0,0160179542152143;14833;102;92;0,901960784313726;0,00620238657048473;"GO:0005515";"GO:MF";"protein binding";20183;1879;"Up"
"20";"query_1";TRUE;0,0208279822849638;22;57;3;0,0526315789473684;0,136363636363636;"GO:0009931";"GO:MF";"calcium-dependent protein serine/threonine kinase activity";20183;2735;"Up"
"21";"query_1";TRUE;0,0239041960452188;23;57;3;0,0526315789473684;0,130434782608696;"GO:0010857";"GO:MF";"calcium-dependent protein kinase activity";20183;2843;"Up"
"22";"query_1";TRUE;0,0346334284950119;1503;37;11;0,297297297297297;0,00731869594145043;"GO:0005524";"GO:MF";"ATP binding";20183;1888;"Up"
"23";"query_1";TRUE;0,0348832337433444;26;57;3;0,0526315789473684;0,115384615384615;"GO:0051019";"GO:MF";"mitogen-activated protein kinase binding";20183;9082;"Up"
"24";"query_1";TRUE;0,0391650511777122;27;57;3;0,0526315789473684;0,111111111111111;"GO:0004683";"GO:MF";"calmodulin-dependent protein kinase activity";20183;1261;"Up"
"25";"query_1";TRUE;0,0468500313472923;1850;37;12;0,324324324324324;0,00648648648648649;"GO:0035639";"GO:MF";"purine ribonucleoside triphosphate binding";20183;6335;"Up"
"26";"query_1";TRUE;0,049191596667817;795;69;11;0,159420289855072;0,0138364779874214;"GO:0016301";"GO:MF";"kinase activity";20183;3487;"Up"
"27";"query_1";TRUE;0,0291017211343406;572;85;13;0,152941176470588;0,0227272727272727;"MIRNA:hsa-miR-21-5p";"MIRNA";"hsa-miR-21-5p";13650;399;"Up"
"28";"query_1";TRUE;0,0257591854009931;35;69;4;0,0579710144927536;0,114285714285714;"REAC:R-HSA-202433";"REAC";"Generation of second messenger molecules";10770;983;"Up"
"29";"query_1";TRUE;0,0121454615030437;915;93;16;0,172043010752688;0,0174863387978142;"TF:M01072_1";"TF";"Factor: HIC1; motif: NSNNNNTGCCCSSNN; match class: 1";19958;3395;"Up"
"30";"query_1";TRUE;0,0406966202837383;2575;57;20;0,350877192982456;0,00776699029126214;"TF:M07329_1";"TF";"Factor: Osx; motif: CCNCCCCCNNN; match class: 1";19958;6211;"Up"
"31";"query_1";TRUE;6,956927044349e-06;501;65;13;0,2;0,0259481037924152;"GO:0006091";"GO:BP";"generation of precursor metabolites and energy";21100;2122;"Down"
"32";"query_1";TRUE;0,000121488567960124;313;68;10;0,147058823529412;0,0319488817891374;"GO:0051604";"GO:BP";"protein maturation";21100;15967;"Down"
"33";"query_1";TRUE;0,00170998231333246;1031;60;14;0,233333333333333;0,0135790494665373;"GO:1901135";"GO:BP";"carbohydrate derivative metabolic process";21100;24457;"Down"
"34";"query_1";TRUE;0,00211239126526431;241;68;8;0,117647058823529;0,033195020746888;"GO:0016485";"GO:BP";"protein processing";21100;5820;"Down"
"35";"query_1";TRUE;0,00864381633413261;1787;47;15;0,319148936170213;0,00839395635142697;"GO:0006508";"GO:BP";"proteolysis";21100;2483;"Down"
"36";"query_1";TRUE;0,014629205146845;328;65;8;0,123076923076923;0,024390243902439;"GO:0015980";"GO:BP";"energy derivation by oxidation of organic compounds";21100;5622;"Down"
"37";"query_1";TRUE;0,0197123429118529;6446;47;29;0,617021276595745;0,00449891405522805;"GO:1901564";"GO:BP";"organonitrogen compound metabolic process";21100;24853;"Down"
"38";"query_1";TRUE;0,0291347064430553;5;26;2;0,0769230769230769;0,4;"GO:0061732";"GO:BP";"mitochondrial acetyl-CoA biosynthetic process from pyruvate";21100;18344;"Down"
"39";"query_1";TRUE;0,0299920047050716;106;62;5;0,0806451612903226;0,0471698113207547;"GO:0006090";"GO:BP";"pyruvate metabolic process";21100;2121;"Down"
"40";"query_1";TRUE;0,0370371800558597;5487;47;26;0,553191489361702;0,00473847275378167;"GO:0019538";"GO:BP";"protein metabolic process";21100;6769;"Down"
"41";"query_1";TRUE;0,0463314601768299;278;65;7;0,107692307692308;0,0251798561151079;"GO:0046034";"GO:BP";"ATP metabolic process";21100;13734;"Down"
"42";"query_1";TRUE;4,66461091632018e-09;2110;79;30;0,379746835443038;0,014218009478673;"GO:0070062";"GO:CC";"extracellular exosome";21698;2739;"Down"
"43";"query_1";TRUE;6,12436600453211e-09;2133;79;30;0,379746835443038;0,0140646976090014;"GO:1903561";"GO:CC";"extracellular vesicle";21698;4067;"Down"
"44";"query_1";TRUE;6,19678761814333e-09;2134;79;30;0,379746835443038;0,014058106841612;"GO:0043230";"GO:CC";"extracellular organelle";21698;2127;"Down"
"45";"query_1";TRUE;6,19678761814333e-09;2134;79;30;0,379746835443038;0,014058106841612;"GO:0065010";"GO:CC";"extracellular membrane-bounded organelle";21698;2715;"Down"
"46";"query_1";TRUE;1,43319757221632e-07;12241;79;70;0,886075949367089;0,00571848705171146;"GO:0005737";"GO:CC";"cytoplasm";21698;384;"Down"
"47";"query_1";TRUE;1,27934728706811e-06;3364;79;34;0,430379746835443;0,0101070154577883;"GO:0005615";"GO:CC";"extracellular space";21698;277;"Down"
"48";"query_1";TRUE;0,000222070118631664;5420;79;40;0,506329113924051;0,00738007380073801;"GO:0005829";"GO:CC";"cytosol";21698;469;"Down"
"49";"query_1";TRUE;0,000268339449847849;3957;62;28;0,451612903225806;0,00707606772807683;"GO:0031982";"GO:CC";"vesicle";21698;1451;"Down"
"50";"query_1";TRUE;0,000637848335145485;4315;79;34;0,430379746835443;0,00787949015063731;"GO:0005576";"GO:CC";"extracellular region";21698;240;"Down"
"51";"query_1";TRUE;0,000850845054670322;1683;75;19;0,253333333333333;0,0112893642305407;"GO:0005739";"GO:CC";"mitochondrion";21698;385;"Down"
"52";"query_1";TRUE;0,00798000016611485;7;26;2;0,0769230769230769;0,285714285714286;"GO:0045254";"GO:CC";"pyruvate dehydrogenase complex";21698;2460;"Down"
"53";"query_1";TRUE;0,00798000016611485;7;26;2;0,0769230769230769;0,285714285714286;"GO:0005967";"GO:CC";"mitochondrial pyruvate dehydrogenase complex";21698;586;"Down"
"54";"query_1";TRUE;0,00887000622106927;484;56;8;0,142857142857143;0,0165289256198347;"GO:0005759";"GO:CC";"mitochondrial matrix";21698;403;"Down"
"55";"query_1";TRUE;0,00973486665100059;1260;69;14;0,202898550724638;0,0111111111111111;"GO:0031967";"GO:CC";"organelle envelope";21698;1438;"Down"
"56";"query_1";TRUE;0,00973486665100059;1260;69;14;0,202898550724638;0,0111111111111111;"GO:0031975";"GO:CC";"envelope";21698;1445;"Down"
