"";"query";"significant";"p_value";"term_size";"query_size";"intersection_size";"precision";"recall";"term_id";"source";"term_name";"effective_domain_size";"source_order";"set"
"1";"query_1";TRUE;8,2924570152024e-23;152;42;17;0,404761904761905;0,111842105263158;"GO:0016125";"GO:BP";"sterol metabolic process";21092;5710;"Up"
"2";"query_1";TRUE;4,02885620842679e-22;136;91;20;0,21978021978022;0,147058823529412;"GO:0008203";"GO:BP";"cholesterol metabolic process";21092;3540;"Up"
"3";"query_1";TRUE;1,15264443712425e-21;60;91;16;0,175824175824176;0,266666666666667;"GO:0016126";"GO:BP";"sterol biosynthetic process";21092;5711;"Up"
"4";"query_1";TRUE;1,79175966281258e-21;146;91;20;0,21978021978022;0,136986301369863;"GO:1902652";"GO:BP";"secondary alcohol metabolic process";21092;25799;"Up"
"5";"query_1";TRUE;1,03031070789289e-20;316;42;19;0,452380952380952;0,060126582278481;"GO:0008202";"GO:BP";"steroid metabolic process";21092;3539;"Up"
"6";"query_1";TRUE;1,36105847733965e-20;53;91;15;0,164835164835165;0,283018867924528;"GO:0006695";"GO:BP";"cholesterol biosynthetic process";21092;2659;"Up"
"7";"query_1";TRUE;1,36105847733965e-20;53;91;15;0,164835164835165;0,283018867924528;"GO:1902653";"GO:BP";"secondary alcohol biosynthetic process";21092;25800;"Up"
"8";"query_1";TRUE;6,10167032343153e-20;173;91;20;0,21978021978022;0,115606936416185;"GO:0006694";"GO:BP";"steroid biosynthetic process";21092;2658;"Up"
"9";"query_1";TRUE;2,00700104332806e-18;721;91;30;0,32967032967033;0,0416088765603329;"GO:0008610";"GO:BP";"lipid biosynthetic process";21092;3625;"Up"
"10";"query_1";TRUE;4,51153411809222e-17;361;54;19;0,351851851851852;0,0526315789473684;"GO:0006066";"GO:BP";"alcohol metabolic process";21092;2096;"Up"
"11";"query_1";TRUE;6,5124065864826e-17;1409;91;37;0,406593406593407;0,0262597586941093;"GO:0006629";"GO:BP";"lipid metabolic process";21092;2597;"Up"
"12";"query_1";TRUE;2,41185090010626e-16;137;38;13;0,342105263157895;0,0948905109489051;"GO:0046165";"GO:BP";"alcohol biosynthetic process";21092;13845;"Up"
"13";"query_1";TRUE;5,88895902681878e-15;553;54;20;0,37037037037037;0,0361663652802893;"GO:1901615";"GO:BP";"organic hydroxy compound metabolic process";21092;24881;"Up"
"14";"query_1";TRUE;6,23195667150275e-15;236;38;14;0,368421052631579;0,0593220338983051;"GO:1901617";"GO:BP";"organic hydroxy compound biosynthetic process";21092;24883;"Up"
"15";"query_1";TRUE;5,39261284305351e-14;1837;82;36;0,439024390243902;0,0195971692977681;"GO:0044281";"GO:BP";"small molecule metabolic process";21092;12692;"Up"
"16";"query_1";TRUE;3,19044176717095e-13;561;81;22;0,271604938271605;0,0392156862745098;"GO:0044283";"GO:BP";"small molecule biosynthetic process";21092;12694;"Up"
"17";"query_1";TRUE;1,07427621401673e-08;1008;91;24;0,263736263736264;0,0238095238095238;"GO:0044255";"GO:BP";"cellular lipid metabolic process";21092;12677;"Up"
"18";"query_1";TRUE;1,32933819749244e-07;31;91;7;0,0769230769230769;0,225806451612903;"GO:0008299";"GO:BP";"isoprenoid biosynthetic process";21092;3572;"Up"
"19";"query_1";TRUE;1,09278477757805e-05;2841;93;35;0,376344086021505;0,0123196057726153;"GO:0006793";"GO:BP";"phosphorus metabolic process";21092;2745;"Up"
"20";"query_1";TRUE;2,3346754791876e-05;4;29;3;0,103448275862069;0,75;"GO:0033489";"GO:BP";"cholesterol biosynthetic process via desmosterol";21092;9449;"Up"
"21";"query_1";TRUE;2,3346754791876e-05;4;29;3;0,103448275862069;0,75;"GO:0033490";"GO:BP";"cholesterol biosynthetic process via lathosterol";21092;9450;"Up"
"22";"query_1";TRUE;2,54234006444591e-05;925;9;7;0,777777777777778;0,00756756756756757;"GO:0019752";"GO:BP";"carboxylic acid metabolic process";21092;6949;"Up"
"23";"query_1";TRUE;3,08178066967016e-05;951;9;7;0,777777777777778;0,00736067297581493;"GO:0043436";"GO:BP";"oxoacid metabolic process";21092;12298;"Up"
"24";"query_1";TRUE;3,1918671726092e-05;1040;82;19;0,231707317073171;0,0182692307692308;"GO:0019637";"GO:BP";"organophosphate metabolic process";21092;6857;"Up"
"25";"query_1";TRUE;3,24268373249901e-05;958;9;7;0,777777777777778;0,00730688935281837;"GO:0006082";"GO:BP";"organic acid metabolic process";21092;2112;"Up"
"26";"query_1";TRUE;3,43700592192773e-05;2817;93;34;0,365591397849462;0,0120695775647852;"GO:0006796";"GO:BP";"phosphate-containing compound metabolic process";21092;2748;"Up"
"27";"query_1";TRUE;4,39067855914208e-05;604;62;13;0,209677419354839;0,021523178807947;"GO:0032787";"GO:BP";"monocarboxylic acid metabolic process";21092;9017;"Up"
"28";"query_1";TRUE;8,75305273816612e-05;1099;91;20;0,21978021978022;0,0181983621474067;"GO:1901135";"GO:BP";"carbohydrate derivative metabolic process";21092;24444;"Up"
"29";"query_1";TRUE;0,000116396114932886;119;91;8;0,0879120879120879;0,0672268907563025;"GO:0006720";"GO:BP";"isoprenoid metabolic process";21092;2684;"Up"
"30";"query_1";TRUE;0,000143190038199401;5941;93;51;0,548387096774194;0,00858441339841778;"GO:0009058";"GO:BP";"biosynthetic process";21092;3657;"Up"
"31";"query_1";TRUE;0,000158112805650387;6;32;3;0,09375;0,5;"GO:0045338";"GO:BP";"farnesyl diphosphate metabolic process";21092;13207;"Up"
"32";"query_1";TRUE;0,000187387764293841;473;73;12;0,164383561643836;0,025369978858351;"GO:0031667";"GO:BP";"response to nutrient levels";21092;8423;"Up"
"33";"query_1";TRUE;0,00026841968055387;5854;93;50;0,537634408602151;0,00854116843184148;"GO:1901576";"GO:BP";"organic substance biosynthetic process";21092;24851;"Up"
"34";"query_1";TRUE;0,000372300412745275;504;73;12;0,164383561643836;0,0238095238095238;"GO:0009991";"GO:BP";"response to extracellular stimulus";21092;4273;"Up"
"35";"query_1";TRUE;0,000547426022210051;396;62;10;0,161290322580645;0,0252525252525253;"GO:0006631";"GO:BP";"fatty acid metabolic process";21092;2599;"Up"
"36";"query_1";TRUE;0,00078483548034108;1684;76;21;0,276315789473684;0,0124703087885986;"GO:0042592";"GO:BP";"homeostatic process";21092;11816;"Up"
"37";"query_1";TRUE;0,000787847068296863;393;50;9;0,18;0,0229007633587786;"GO:0006644";"GO:BP";"phospholipid metabolic process";21092;2611;"Up"
"38";"query_1";TRUE;0,00193018992169692;5;91;3;0,032967032967033;0,6;"GO:0046490";"GO:BP";"isopentenyl diphosphate metabolic process";21092;14146;"Up"
"39";"query_1";TRUE;0,00193018992169692;5;91;3;0,032967032967033;0,6;"GO:0009240";"GO:BP";"isopentenyl diphosphate biosynthetic process";21092;3834;"Up"
"40";"query_1";TRUE;0,00215173184593849;204;54;7;0,12962962962963;0,0343137254901961;"GO:0042594";"GO:BP";"response to starvation";21092;11818;"Up"
"41";"query_1";TRUE;0,00217792272614609;2587;55;21;0,381818181818182;0,00811751063007344;"GO:0009056";"GO:BP";"catabolic process";21092;3655;"Up"
"42";"query_1";TRUE;0,00275113613216465;124;91;7;0,0769230769230769;0,0564516129032258;"GO:0034032";"GO:BP";"purine nucleoside bisphosphate metabolic process";21092;9627;"Up"
"43";"query_1";TRUE;0,00275113613216465;124;91;7;0,0769230769230769;0,0564516129032258;"GO:0033875";"GO:BP";"ribonucleoside bisphosphate metabolic process";21092;9616;"Up"
"44";"query_1";TRUE;0,00275113613216465;124;91;7;0,0769230769230769;0,0564516129032258;"GO:0033865";"GO:BP";"nucleoside bisphosphate metabolic process";21092;9613;"Up"
"45";"query_1";TRUE;0,00369389628635554;4280;43;23;0,534883720930233;0,00537383177570093;"GO:1901362";"GO:BP";"organic cyclic compound biosynthetic process";21092;24654;"Up"
"46";"query_1";TRUE;0,00384740415117727;171;25;5;0,2;0,0292397660818713;"GO:0046890";"GO:BP";"regulation of lipid biosynthetic process";21092;14409;"Up"
"47";"query_1";TRUE;0,00509735593345809;608;91;13;0,142857142857143;0,0213815789473684;"GO:0090407";"GO:BP";"organophosphate biosynthetic process";21092;21384;"Up"
"48";"query_1";TRUE;0,00676916344923093;86;54;5;0,0925925925925926;0,0581395348837209;"GO:0042632";"GO:BP";"cholesterol homeostasis";21092;11829;"Up"
"49";"query_1";TRUE;0,00716802813704149;87;54;5;0,0925925925925926;0,0574712643678161;"GO:0055092";"GO:BP";"sterol homeostasis";21092;16773;"Up"
"50";"query_1";TRUE;0,00883232409745581;447;91;11;0,120879120879121;0,0246085011185682;"GO:0009150";"GO:BP";"purine ribonucleotide metabolic process";21092;3745;"Up"
