"","pert","PCID","cell","type","trend","WTCS","WTCS_Pval","WTCS_FDR","NCS","NCSct","N_upset","N_downset","t_gn_sym","jlf_tau"
"1","troglitazone","5591","A549","trt_cp","up",0.627714199430131,1.61888708562855e-05,0.000151137697748057,1.89423529241951,0,16,92,"ABCB11; ACSL4; AKR1B1; CCL2; CCND1; CD36; CYP3A4; ESRRA; ESRRG; FABP4; IL8; INS; IRS1; JUN; LEP; LPL; MAPK3; PPARA; PPARD; PPARG; PPARGC1A; SERPINE1; SLC29A1; SLC2A1; SLC2A4; TNF; TRPM3; UCP2",99.9891672575435
"2","BRD-K88217904","44499565","A549","trt_cp","down",-0.612369974629382,1.6885166376986e-05,0.000151137697748057,-1.78406687497582,-1.3392824766213,16,92,NA,-99.8837942172851
"3","BRD-K51155404","56643195","A549","trt_cp","up",0.579490537445689,1.83212758884307e-05,0.000151137697748057,1.74871211874657,-0.864406922418359,16,92,NA,99.9281099818798
"4","SA-247615","44507291","A549","trt_cp","down",-0.582339142309569,1.81907204782993e-05,0.000151137697748057,-1.69657562721802,-0.894130783311664,16,92,NA,-99.6740329315371
"5","BRD-A70879086","6621039","A549","trt_cp","up",0.55921072494532,1.91916452893062e-05,0.000151137697748057,1.68751430516083,0,16,92,NA,99.87985503821
"6","trimebutine","5388977","A549","trt_cp","up",0.557936208703962,1.923516375935e-05,0.000151137697748057,1.68366823373639,0,16,92,"CACNA1C; CACNA1D; CACNA1F; CACNA1G; CACNA1H; CACNA1I; CACNA1S; CACNB1; CACNB2; CACNB3; CACNB4; CHRM1; CHRM4; KCNMA1; KCNMB1; KCNMB2; KCNMB3; KCNMB4; KCNN1; KCNN2; KCNN3; KCNN4; OPRM1",99.9537146458678
"7","HTMT","124846","A549","trt_cp","up",0.556301404387307,1.93222006994376e-05,0.000151137697748057,1.67873493123086,-0.678730239547523,16,92,"HRH4",99.8532655794533
"8","BRD-K56196992","44507063","A549","trt_cp","down",-0.572685144339465,1.85823867086933e-05,0.000151137697748057,-1.66844985570225,-1.19725265176311,16,92,NA,-98.6409832190972
"9","BRD-K87081444",NA,"A549","trt_cp","down",-0.571138973543253,1.86694236487809e-05,0.000151137697748057,-1.66394527152134,-0.831707323272227,16,92,NA,-99.5952493500355
"10","BRD-K91836367","44495549","A549","trt_cp","up",0.549802826039488,1.95833115197002e-05,0.000151137697748057,1.65912435611854,0.0165912435611858,16,92,NA,99.3687465532183
"11","BRD-K20032655","25668960","A549","trt_cp","down",-0.567255737975562,1.8843497528956e-05,0.000151137697748057,-1.6526319279038,0,16,92,NA,-99.8690222957536
"12","BRD-K25164076","54649311","A549","trt_cp","up",0.54642456871089,1.97573853998753e-05,0.000151137697748057,1.64892988502881,0.579913304968964,16,92,NA,99.8375088631529
"13","vitexin","6713958","A549","trt_cp","up",0.544178901492954,1.98444223399629e-05,0.000151137697748057,1.64215319891416,0.0283728267455333,16,92,NA,99.9428819034113
"14","cladribine","20279","A549","trt_cp","down",-0.559036734318524,1.91916452893062e-05,0.000151137697748057,-1.6286868411469,-0.929316523740059,16,92,"ADA; APAF1; DCK; DGUOK; PNP; POLA1; POLE; POLE2; POLE3; POLE4; RRM1; RRM2; RRM2B",-99.8483416056094
"15","bithionol","2406","A549","trt_cp","down",-0.555950043055182,1.93222006994376e-05,0.000151137697748057,-1.61969413434487,-0.769403583084777,16,92,"ESR1; ESR2; GLUD1; GLUD2; MCL1",-99.8306152997715
"16","prima-1-met","73707386","A549","trt_cp","down",-0.551116206545383,1.95397930496564e-05,0.000151137697748057,-1.60561132827424,0.582279856925026,16,92,"TP53",-99.8375088631529
"17","BRD-K52341396","7217947","A549","trt_cp","up",0.530998491457056,2.0410162450532e-05,0.000151137697748057,1.6023790502949,1.45731209171539,16,92,NA,99.5391160482155
"18","BRD-A25416824","2825553","A549","trt_cp","up",0.529079734577436,2.04971993906196e-05,0.000151137697748057,1.59658887221346,0.586916922064879,16,92,NA,99.8178129677775
"19","BRD-K96621343","44142162","A549","trt_cp","down",-0.547654564533307,1.96703484597878e-05,0.000151137697748057,-1.59552624719151,-0.0159552624719151,16,92,NA,-99.648428267549
"20","BRD-K48407125",NA,"A549","trt_cp","up",0.526958559949172,2.05842363307071e-05,0.000151137697748057,1.59018786384709,0.786165949731164,16,92,NA,99.657291420468
"21","BRD-K76935234","53338843","A549","trt_cp","up",0.525839752914617,2.06277548007509e-05,0.000151137697748057,1.58681167166888,-0.948659397879585,16,92,NA,99.4701804144016
"22","BRD-K63399564","44491148","A549","trt_cp","down",-0.543068111091292,1.98879408100067e-05,0.000151137697748057,-1.58216416217996,-0.99869510819039,16,92,NA,-99.6809264949185
"23","BRD-K83929831","44492440","A549","trt_cp","up",0.523778222350837,2.07147917408385e-05,0.000151137697748057,1.5805906495001,0.743441265113447,16,92,NA,99.2879933821792
"24","RU-28318","3034004","A549","trt_cp","down",-0.541027552036655,1.99749777500942e-05,0.000151137697748057,-1.57621923678088,-0.837408387141247,16,92,"NR3C2",-99.6986528007563
"25","SKF-86002","5228","A549","trt_cp","down",-0.539126541216879,2.00620146901818e-05,0.000151137697748057,-1.57068086851815,-0.0225070263396603,16,92,"ALOX5; MAPK14",-99.0595209958245
"26","BRD-K56392985","23760109","A549","trt_cp","up",0.519473427516951,2.09323840910573e-05,0.000151137697748057,1.56760019252402,0,16,92,NA,99.5410856377531
"27","BRD-K33586157","4064091","A549","trt_cp","down",-0.537390437290681,2.01490516302693e-05,0.000151137697748057,-1.56562293681907,-0.857748412673621,16,92,NA,-98.573032380052
"28","purvalanol-a","456214","A549","trt_cp","down",-0.536409857312655,2.01925701003131e-05,0.000151137697748057,-1.56276613402086,-1.19393521299213,16,92,"CCND1; CCNE1; CDK1; CDK2; CDK4; CDK5; CSNK1G3; RPS6KA1; SRC",-99.3756401165997
"29","BRD-K62748479","44486180","A549","trt_cp","up",0.517744885799874,2.09759025611011e-05,0.000151137697748057,1.56238402133038,-0.299996229508255,16,92,NA,99.2958717403293
"30","diphenoxylate","6432394","A549","trt_cp","down",-0.535626067782369,2.01925701003131e-05,0.000151137697748057,-1.56048265671813,-0.878874385498167,16,92,"OPRD1; OPRM1",-99.4701804144016
"31","miconazole","4189","A549","trt_cp","down",-0.535277152437371,2.02360885703569e-05,0.000151137697748057,-1.5594661334806,0,16,92,"CYP51A1; KCNH2; KCNH6; KCNH7; KCNMA1; KCNMB1; KCNMB2; KCNMB3; KCNMB4; KCNN1; KCNN2; KCNN3; KCNN4; NOS2; NOS3; NR1I2",-99.2190577483652
"32","tramadol","33741","A549","trt_cp","up",0.516251675786315,2.10629395011887e-05,0.000151137697748057,1.55787800392749,0,16,92,"CYP2B6; GRIN3A; OPRD1; OPRK1; OPRM1; SLC6A2; SLC6A4",99.3864728590562
"33","BRD-K89546934","53338840","A549","trt_cp","down",-0.533639318606383,2.02796070404007e-05,0.000151137697748057,-1.55469449998183,-1.05298642416736,16,92,NA,-98.9137713700465
"34","ondansetron","4595","A549","trt_cp","up",0.51470036389754,2.11064579712325e-05,0.000151137697748057,1.5531966541477,0.737616138380655,16,92,"CYP2D6; CYP3A5; HTR1B; HTR3A; HTR3B; HTR3C; HTR3D; HTR3E; HTR4; OPRM1; SSTR1",99.5076026156149
"35","SA-247384","44506630","A549","trt_cp","down",-0.53311328715934,2.03231255104445e-05,0.000151137697748057,-1.55316197010815,-0.848621590966018,16,92,NA,-99.4298038288821
"36","BRD-K86048057","60187282","A549","trt_cp","up",0.514407103625487,2.11499764412762e-05,0.000151137697748057,1.55231169096272,-0.603356849159343,16,92,NA,99.2111793902151
"37","SPB02137","2743956","A549","trt_cp","up",0.513744537035865,2.11499764412762e-05,0.000151137697748057,1.55031228260334,-0.692289531907557,16,92,NA,99.1314110139447
"38","BRD-K23841751","2815616","A549","trt_cp","down",-0.530849229520579,2.0410162450532e-05,0.000151137697748057,-1.54656590824409,-0.990345400318298,16,92,NA,-97.6906562672339
"39","monastrol","2987927","A549","trt_cp","up",0.511601345436071,2.12370133813638e-05,0.000151137697748057,1.54384483424798,-0.694464375036994,16,92,"KIF11",99.3608681950682
"40","mepireserpate","5052","A549","trt_cp","up",0.510307450568037,2.13240503214514e-05,0.000151137697748057,1.53994028449279,0.0189754499773385,16,92,"SLC18A1; SLC18A2",98.1505554242496
"41","BRD-A40560522","44537693","A549","trt_cp","down",-0.528138432724009,2.05407178606633e-05,0.000151137697748057,-1.5386683251327,-1.39378023955744,16,92,NA,-99.6218388087922
"42","BRD-K14636731","44490782","A549","trt_cp","up",0.50884366155614,2.13675687914951e-05,0.000151137697748057,1.53552305001011,0.0153552305001015,16,92,NA,99.1146695028756
"43","etoricoxib","123619","A549","trt_cp","up",0.508181809723074,2.14110872615389e-05,0.000151137697748057,1.53352579855127,0,16,92,"LTF; PTGER2; TF",99.08709524935
"44","mesalazine","4075","A549","trt_cp","up",0.508078361235843,2.14110872615389e-05,0.000151137697748057,1.53321362499261,0.0153321362499264,16,92,"ALOX5; CHUK; CTNNB1; IKBKB; MPO; NAT1; PPARG; TPMT",99.5213897423777
"45","isoflupredone-acetate","224246","A549","trt_cp","down",-0.526013823113073,2.06277548007509e-05,0.000151137697748057,-1.53247852846375,-1.01825725551623,16,92,NA,-98.6547703458599
"46","duloxetine","60835","A549","trt_cp","down",-0.524985434890551,2.06712732707947e-05,0.000151137697748057,-1.52948244204798,-0.272404802075502,16,92,"HTR6; SLC6A2; SLC6A3; SLC6A4",-99.0309619475301
"47","BRD-K21037590","56835315","A549","trt_cp","up",0.505109749427852,2.15416426716702e-05,0.000151137697748057,1.52425532954335,0.738488006086082,16,92,NA,98.8989994485149
"48","choline-alfoscerate",NA,"A549","trt_cp","up",0.504273851933627,2.1585161141714e-05,0.000151137697748057,1.5217328654413,0.475545623185179,16,92,NA,99.3244307886237
"49","PF-4800567",NA,"A549","trt_cp","up",0.503092432308576,2.16286796117578e-05,0.000151137697748057,1.51816772902897,0.908424285437073,16,92,"CSNK1D; CSNK1E",99.3933664224376
"50","BRD-U32365159",NA,"A549","trt_cp","up",0.501902348986222,2.16721980818016e-05,0.000151137697748057,1.5145764484236,-0.409726018843662,16,92,NA,98.7887024344127
"51","BRD-K81051633",NA,"A549","trt_cp","up",0.500916379895445,2.17157165518454e-05,0.000151137697748057,1.51160111753149,0,16,92,NA,99.220042543134
"52","PCO-400","129348","A549","trt_cp","up",0.500518605155291,2.17157165518454e-05,0.000151137697748057,1.51040076400768,-0.575372321553433,16,92,"ABCC9; KCNJ8",98.1052548648862
"53","BRD-K76938712","44506577","A549","trt_cp","down",-0.518404958591043,2.09759025611011e-05,0.000151137697748057,-1.51031100929669,-0.864523300493094,16,92,NA,-99.3746553218309
"54","halometasone","9846332","A549","trt_cp","down",-0.5175861822877,2.09759025611011e-05,0.000151137697748057,-1.50792560220403,-1.06499837368498,16,92,"NR3C1",-98.8468053257701
"55","SF-11006-A1",NA,"A549","trt_cp","down",-0.5171910158777,2.10194210311449e-05,0.000151137697748057,-1.50677433200564,-1.33362144051976,16,92,NA,-98.4558418025683
"56","BRD-A02367930",NA,"A549","trt_cp","down",-0.51663610856854,2.10194210311449e-05,0.000151137697748057,-1.50515767575211,0,16,92,NA,-99.6415347041677
"57","BRD-K74305673",NA,"A549","trt_cp","down",-0.515075133914713,2.11064579712325e-05,0.000151137697748057,-1.50060996229791,-0.558183092780067,16,92,NA,-97.0564484361459
"58","MG-132","462382","A549","trt_cp","down",-0.513223853890768,2.119349491132e-05,0.000151137697748057,-1.49521647877674,-1.02594533717305,16,92,"PSMB1",-97.4168833215158
"59","phenamil","135403792","A549","trt_cp","down",-0.513188191341144,2.119349491132e-05,0.000151137697748057,-1.49511258019239,-0.995885082407519,16,92,"PKD2L1",-98.3445599936973
"60","mefenamic-acid","4044","A549","trt_cp","up",0.495262912297021,2.1976827372108e-05,0.000151137697748057,1.49454080909939,0,16,92,"KCNQ1; TRPM3",98.6567399353975
"61","SA-247714","44507332","A549","trt_cp","down",-0.512948335721639,2.119349491132e-05,0.000151137697748057,-1.49441378945597,-1.4722704248522,16,92,NA,-97.171669424092
"62","bufalin","9547215","A549","trt_cp","down",-0.511451617335696,2.12805318514076e-05,0.000151137697748057,-1.49005327897349,-1.17066508527986,16,92,"ATP1A1",-98.0097297723155
"63","BRD-K00848147",NA,"A549","trt_cp","up",0.493462816866861,2.20638643121956e-05,0.000151137697748057,1.4891087123002,0.916572896164716,16,92,NA,98.2677460017332
"64","BRD-K21528100",NA,"A549","trt_cp","up",0.492849688619666,2.20638643121956e-05,0.000151137697748057,1.48725849262113,0.949718218352331,16,92,NA,98.11017883873
"65","BRD-K88269385","44142059","A549","trt_cp","down",-0.509111147752832,2.13675687914951e-05,0.000151137697748057,-1.48323460002502,-1.13275997961217,16,92,NA,-99.3441266839991
