"","X","Var1","Var2","log_fold_change","Sensitive"
"5342",61917,"HCC827","granisetron",NA,NA
"5343",61923,"NCIH1693","granisetron",-0.111770769473,TRUE
"5344",61928,"PC14","granisetron",-0.287898809372,TRUE
"5345",61929,"NCIH1650","granisetron",0.329345490781,FALSE
"5346",61941,"RERFLCMS","granisetron",0.325036466102,FALSE
"5347",61942,"HCC4006","granisetron",-0.0114810827682,TRUE
"5348",61978,"CORL105","granisetron",-0.829615727952,TRUE
"5349",62048,"SKLU1","granisetron",-0.496713538998,TRUE
"5350",62049,"NCIH2122","granisetron",0.0118695858062,TRUE
"5351",62065,"NCIH522","granisetron",0.316413035081,FALSE
"5352",62100,"NCIH1944","granisetron",0.236151048126,TRUE
"5353",62102,"NCIH838","granisetron",-0.147057643079,TRUE
"5354",62122,"NCIH2228","granisetron",-0.329505915039,TRUE
"5355",62147,"RERFLCKJ","granisetron",0.0721948892224,TRUE
"5356",62156,"NCIH1792","granisetron",-0.349906373551,TRUE
"5357",62168,"NCIH2030","granisetron",-0.671883983461,TRUE
"5358",62171,"ABC1","granisetron",0.125909916765,TRUE
"5359",62189,"HCC78","granisetron",-0.0795619301455,TRUE
"5360",62201,"NCIH1975","granisetron",-0.0114019135216,TRUE
"5361",62202,"NCIH1437","granisetron",-0.52754138057,TRUE
"5362",62203,"NCIH2073","granisetron",-0.924497114084,TRUE
"5363",62231,"NCIH441","granisetron",-0.661804908527,TRUE
"5364",62246,"NCIH1355","granisetron",0.108738369406,TRUE
"5365",62247,"HCC44","granisetron",0.198515942788,TRUE
"5366",62253,"SW1573","granisetron",-0.00603119277035,TRUE
"5367",62257,"A549","granisetron",-0.257512573248,TRUE
"5368",62271,"EKVX","granisetron",-0.714890705107,TRUE
"5369",62285,"NCIH1838","granisetron",0.278795425208,TRUE
"5370",62293,"NCIH1623","granisetron",0.0939167923321,TRUE
"5371",62305,"NCIH1648","granisetron",-0.238673514672,TRUE
"5372",62309,"RERFLCAD2","granisetron",0.41184502103,FALSE
"5373",62314,"NCIH2023","granisetron",-0.0403462270691,TRUE
"5374",62317,"NCIH2126","granisetron",-0.0970441277964,TRUE
"5375",62318,"LXF289","granisetron",-0.0391208960808,TRUE
"5376",62320,"RERFLCAD1","granisetron",-0.0480228744253,TRUE
"5377",62347,"NCIH322","granisetron",NA,NA
"5378",62350,"NCIH2087","granisetron",-0.753218563747,TRUE
"5379",62353,"NCIH1373","granisetron",-0.313193892271,TRUE
"5380",62358,"NCIH1435","granisetron",-0.10455643601,TRUE
"5381",62364,"NCIH358","granisetron",NA,NA
"5382",62369,"NCIH1568","granisetron",-1.26542311535,TRUE
"5383",62371,"NCIH2347","granisetron",-0.574058261969,TRUE
"5384",62380,"NCIH2009","granisetron",-0.325226628121,TRUE
"5385",62381,"NCIH1793","granisetron",-0.289993246057,TRUE
"5386",62384,"NCIH1563","granisetron",-0.458829282391,TRUE
"5387",62385,"NCIH1651","granisetron",-0.315690169856,TRUE
"5388",62391,"NCIH23","granisetron",-0.105853253181,TRUE
"5389",62400,"NCIH1573","granisetron",NA,NA
"5390",62414,"NCIH650","granisetron",-0.340738999582,TRUE
"8233",95429,"HCC827","ibuprofen",-0.10422105551,TRUE
"8234",95435,"NCIH1693","ibuprofen",0.0728475377499,TRUE
"8235",95440,"PC14","ibuprofen",-0.536270714119,TRUE
"8236",95441,"NCIH1650","ibuprofen",-0.0245143094215,TRUE
"8237",95453,"RERFLCMS","ibuprofen",-0.138055645391,TRUE
"8238",95454,"HCC4006","ibuprofen",-0.322059534401,TRUE
"8239",95490,"CORL105","ibuprofen",-0.551836033064,TRUE
"8240",95560,"SKLU1","ibuprofen",0.269276429101,TRUE
"8241",95561,"NCIH2122","ibuprofen",-0.461101500658,TRUE
"8242",95577,"NCIH522","ibuprofen",-0.581258121097,TRUE
"8243",95612,"NCIH1944","ibuprofen",0.106733575876,TRUE
"8244",95614,"NCIH838","ibuprofen",-0.36996324404,TRUE
"8245",95634,"NCIH2228","ibuprofen",-0.568149265805,TRUE
"8246",95659,"RERFLCKJ","ibuprofen",0.367166565148,FALSE
"8247",95668,"NCIH1792","ibuprofen",0.569236951885,FALSE
"8248",95680,"NCIH2030","ibuprofen",-0.0329077568466,TRUE
"8249",95683,"ABC1","ibuprofen",-0.479924284536,TRUE
"8250",95701,"HCC78","ibuprofen",0.0189321225312,TRUE
"8251",95713,"NCIH1975","ibuprofen",-0.105407795185,TRUE
"8252",95714,"NCIH1437","ibuprofen",-0.550880045065,TRUE
"8253",95715,"NCIH2073","ibuprofen",-0.143133318138,TRUE
"8254",95743,"NCIH441","ibuprofen",0.322925002919,FALSE
"8255",95758,"NCIH1355","ibuprofen",0.298466074428,TRUE
"8256",95759,"HCC44","ibuprofen",-0.222825282631,TRUE
"8257",95765,"SW1573","ibuprofen",-0.473101708286,TRUE
"8258",95769,"A549","ibuprofen",-0.340086263724,TRUE
"8259",95783,"EKVX","ibuprofen",-0.558197146248,TRUE
"8260",95797,"NCIH1838","ibuprofen",-0.333341275032,TRUE
"8261",95805,"NCIH1623","ibuprofen",-0.862649673699,TRUE
"8262",95817,"NCIH1648","ibuprofen",-0.365239610856,TRUE
"8263",95821,"RERFLCAD2","ibuprofen",0.621671652804,FALSE
"8264",95826,"NCIH2023","ibuprofen",0.0620888356128,TRUE
"8265",95829,"NCIH2126","ibuprofen",-0.374081848667,TRUE
"8266",95830,"LXF289","ibuprofen",-0.164874791789,TRUE
"8267",95832,"RERFLCAD1","ibuprofen",-0.516299314314,TRUE
"8268",95859,"NCIH322","ibuprofen",-0.87860092724,TRUE
"8269",95862,"NCIH2087","ibuprofen",-0.787302157512,TRUE
"8270",95865,"NCIH1373","ibuprofen",-0.156886616109,TRUE
"8271",95870,"NCIH1435","ibuprofen",-0.513531523737,TRUE
"8272",95876,"NCIH358","ibuprofen",-0.406215735209,TRUE
"8273",95881,"NCIH1568","ibuprofen",-0.0635935467402,TRUE
"8274",95883,"NCIH2347","ibuprofen",-0.19701621489,TRUE
"8275",95892,"NCIH2009","ibuprofen",-0.137946164542,TRUE
"8276",95893,"NCIH1793","ibuprofen",0.117543054412,TRUE
"8277",95896,"NCIH1563","ibuprofen",0.300251334134,FALSE
"8278",95897,"NCIH1651","ibuprofen",0.300463085077,FALSE
"8279",95903,"NCIH23","ibuprofen",-0.697337015841,TRUE
"8280",95912,"NCIH1573","ibuprofen",0.203928196423,TRUE
"8281",95926,"NCIH650","ibuprofen",-0.0751546086073,TRUE
"10487",121557,"HCC827","itraconazole",0.0332111983691,TRUE
"10488",121563,"NCIH1693","itraconazole",0.466776407256,FALSE
"10489",121568,"PC14","itraconazole",0.0697841690883,TRUE
"10490",121569,"NCIH1650","itraconazole",0.806348467183,FALSE
"10491",121581,"RERFLCMS","itraconazole",-0.139862373079,TRUE
"10492",121582,"HCC4006","itraconazole",0.538722585312,FALSE
"10493",121618,"CORL105","itraconazole",0.671427083316,FALSE
"10494",121688,"SKLU1","itraconazole",-0.235377948141,TRUE
"10495",121689,"NCIH2122","itraconazole",0.324527768111,FALSE
"10496",121705,"NCIH522","itraconazole",0.806231968047,FALSE
"10497",121740,"NCIH1944","itraconazole",-0.0046653761568,TRUE
"10498",121742,"NCIH838","itraconazole",0.257463970954,TRUE
"10499",121762,"NCIH2228","itraconazole",0.240763650755,TRUE
"10500",121787,"RERFLCKJ","itraconazole",0.134664889263,TRUE
"10501",121796,"NCIH1792","itraconazole",0.287936122532,TRUE
"10502",121808,"NCIH2030","itraconazole",0.296637789481,TRUE
"10503",121811,"ABC1","itraconazole",0.146615952062,TRUE
"10504",121829,"HCC78","itraconazole",0.672835974572,FALSE
"10505",121841,"NCIH1975","itraconazole",0.164829846468,TRUE
"10506",121842,"NCIH1437","itraconazole",-0.0925242513562,TRUE
"10507",121843,"NCIH2073","itraconazole",0.285364330524,TRUE
"10508",121871,"NCIH441","itraconazole",0.123473953557,TRUE
"10509",121886,"NCIH1355","itraconazole",0.76264950145,FALSE
"10510",121887,"HCC44","itraconazole",0.253331170337,TRUE
"10511",121893,"SW1573","itraconazole",1.16700525435,FALSE
"10512",121897,"A549","itraconazole",0.555480651083,FALSE
