"";"query";"significant";"p_value";"term_size";"query_size";"intersection_size";"precision";"recall";"term_id";"source";"term_name";"effective_domain_size";"source_order";"set"
"1";"query_1";TRUE;0,00576175660244927;2;22;2;0,0909090909090909;1;"CORUM:2695";"CORUM";"ETS2-FOS-JUN complex";3385;1133;"Up"
"2";"query_1";TRUE;0,00576175660244927;2;22;2;0,0909090909090909;1;"CORUM:2694";"CORUM";"ERG-JUN-FOS DNA-protein complex";3385;1132;"Up"
"3";"query_1";TRUE;0,0172171438055453;3;22;2;0,0909090909090909;0,666666666666667;"CORUM:2693";"CORUM";"NFAT-JUN-FOS DNA-protein complex";3385;1131;"Up"
"4";"query_1";TRUE;0,0172171438055453;3;22;2;0,0909090909090909;0,666666666666667;"CORUM:6235";"CORUM";"c-Fos-c-Jun-SAF-1 complex";3385;1993;"Up"
"5";"query_1";TRUE;0,0342986097030063;4;22;2;0,0909090909090909;0,5;"CORUM:2692";"CORUM";"SMAD3-SMAD4-cJun-cFos complex";3385;1130;"Up"
"6";"query_1";TRUE;0,0356929597320558;2;54;2;0,037037037037037;1;"CORUM:6092";"CORUM";"c-Jun-ATF3 complex";3385;1885;"Up"
"7";"query_1";TRUE;4,41634037617744e-40;5649;1876;765;0,407782515991471;0,135422198619225;"GO:0031323";"GO:BP";"regulation of cellular metabolic process";21092;8249;"Up"
"8";"query_1";TRUE;1,0550370501088e-36;5462;1813;715;0,394373965802537;0,130904430611498;"GO:0019538";"GO:BP";"protein metabolic process";21092;6764;"Up"
"9";"query_1";TRUE;4,6588887587421e-36;3849;1813;550;0,303364589078875;0,142894258248896;"GO:0009893";"GO:BP";"positive regulation of metabolic process";21092;4209;"Up"
"10";"query_1";TRUE;1,60414410551634e-35;6309;1845;804;0,435772357723577;0,127436994769377;"GO:0048518";"GO:BP";"positive regulation of biological process";21092;14820;"Up"
"11";"query_1";TRUE;2,39005915778104e-34;3649;1480;449;0,303378378378378;0,123047410249383;"GO:0036211";"GO:BP";"protein modification process";21092;10922;"Up"
"12";"query_1";TRUE;5,06312781007888e-34;5869;1824;749;0,410635964912281;0,127619696711535;"GO:0080090";"GO:BP";"regulation of primary metabolic process";21092;20830;"Up"
"13";"query_1";TRUE;2,94261016842172e-33;5641;1876;741;0,39498933901919;0,131359687998582;"GO:0048522";"GO:BP";"positive regulation of cellular process";21092;14824;"Up"
"14";"query_1";TRUE;1,63605750203882e-32;3535;1813;506;0,279095421952565;0,143140028288543;"GO:0010604";"GO:BP";"positive regulation of macromolecule metabolic process";21092;4746;"Up"
"15";"query_1";TRUE;2,25088440631716e-32;5706;1875;744;0,3968;0,130389064143007;"GO:0051171";"GO:BP";"regulation of nitrogen compound metabolic process";21092;15620;"Up"
