"";"query";"significant";"p_value";"term_size";"query_size";"intersection_size";"precision";"recall";"term_id";"source";"term_name";"effective_domain_size";"source_order";"set"
"1";"query_1";TRUE;9,8149932791786e-20;7354;1424;671;0,471207865168539;0,091242861028012;"GO:0032501";"GO:BP";"multicellular organismal process";21100;8803;"Up"
"2";"query_1";TRUE;7,38014893899518e-18;8885;1442;779;0,540221914008322;0,0876758581879572;"GO:0050896";"GO:BP";"response to stimulus";21100;15410;"Up"
"3";"query_1";TRUE;3,69204753430744e-16;2666;1419;296;0,208597603946441;0,111027756939235;"GO:0051239";"GO:BP";"regulation of multicellular organismal process";21100;15697;"Up"
"4";"query_1";TRUE;5,30678017267335e-16;6224;1421;572;0,402533427163969;0,0919023136246787;"GO:0048518";"GO:BP";"positive regulation of biological process";21100;14840;"Up"
"5";"query_1";TRUE;1,56125894092987e-15;3851;1416;389;0,274717514124294;0,101012723967801;"GO:0006950";"GO:BP";"response to stress";21100;2884;"Up"
"6";"query_1";TRUE;2,66664061269694e-15;4313;1424;426;0,299157303370786;0,0987711569673081;"GO:0048731";"GO:BP";"system development";21100;15031;"Up"
"7";"query_1";TRUE;7,9179919796715e-15;4768;1424;459;0,322331460674157;0,0962667785234899;"GO:0007275";"GO:BP";"multicellular organism development";21100;3166;"Up"
"8";"query_1";TRUE;4,54423554733279e-14;6317;1424;571;0,400983146067416;0,0903910083900586;"GO:0032502";"GO:BP";"developmental process";21100;8804;"Up"
"9";"query_1";TRUE;1,57216978643901e-13;3351;1424;343;0,240870786516854;0,102357505222322;"GO:0023051";"GO:BP";"regulation of signaling";21100;7647;"Up"
"10";"query_1";TRUE;4,36469167498333e-13;408;1432;77;0,0537709497206704;0,188725490196078;"GO:0009410";"GO:BP";"response to xenobiotic stimulus";21100;3915;"Up"
"11";"query_1";TRUE;4,36714726932209e-13;3336;1424;340;0,23876404494382;0,101918465227818;"GO:0010646";"GO:BP";"regulation of cell communication";21100;4791;"Up"
"12";"query_1";TRUE;4,56123282178375e-13;5687;1440;525;0,364583333333333;0,0923158079831194;"GO:0048522";"GO:BP";"positive regulation of cellular process";21100;14844;"Up"
"13";"query_1";TRUE;5,4183951399606e-13;1658;1421;199;0,140042223786066;0,120024125452352;"GO:0042127";"GO:BP";"regulation of cell population proliferation";21100;11549;"Up"
"14";"query_1";TRUE;1,05058308021605e-12;5754;1436;527;0,366991643454039;0,0915884602015989;"GO:0048856";"GO:BP";"anatomical structure development";21100;15146;"Up"
"15";"query_1";TRUE;2,78329974490389e-12;1624;1424;194;0,13623595505618;0,119458128078818;"GO:1901700";"GO:BP";"response to oxygen-containing compound";21100;24966;"Up"
"16";"query_1";TRUE;3,47415338362129e-12;2788;1423;292;0,205200281096275;0,104734576757532;"GO:0009605";"GO:BP";"response to external stimulus";21100;3977;"Up"
"17";"query_1";TRUE;3,62793762114605e-12;3895;1437;383;0,266527487821851;0,0983311938382542;"GO:0048583";"GO:BP";"regulation of response to stimulus";21100;14895;"Up"
"18";"query_1";TRUE;6,8796200348242e-12;1557;1416;186;0,13135593220339;0,119460500963391;"GO:0009719";"GO:BP";"response to endogenous stimulus";21100;4067;"Up"
"19";"query_1";TRUE;1,646090391602e-11;3010;1416;306;0,216101694915254;0,101661129568106;"GO:0010033";"GO:BP";"response to organic substance";21100;4307;"Up"
"20";"query_1";TRUE;1,65765164675203e-11;7399;1424;636;0,446629213483146;0,0859575618326801;"GO:0051716";"GO:BP";"cellular response to stimulus";21100;16064;"Up"
"21";"query_1";TRUE;2,08563539789948e-11;3050;1187;268;0,225779275484414;0,0878688524590164;"GO:0065009";"GO:BP";"regulation of molecular function";21100;18614;"Up"
"22";"query_1";TRUE;2,23858025427469e-11;1958;1433;221;0,154221912072575;0,112870275791624;"GO:0008283";"GO:BP";"cell population proliferation";21100;3567;"Up"
"23";"query_1";TRUE;2,5220157541859e-11;951;1419;129;0,0909090909090909;0,135646687697161;"GO:0007167";"GO:BP";"enzyme-linked receptor protein signaling pathway";21100;3067;"Up"
"24";"query_1";TRUE;3,43470378128393e-11;2947;1424;301;0,211376404494382;0,102137767220903;"GO:0009966";"GO:BP";"regulation of signal transduction";21100;4266;"Up"
"25";"query_1";TRUE;3,56679883958506e-11;2629;1436;277;0,192896935933148;0,105363255990871;"GO:0035556";"GO:BP";"intracellular signal transduction";21100;10463;"Up"
"26";"query_1";TRUE;5,5820994287582e-11;4336;1442;413;0,286407766990291;0,0952490774907749;"GO:0042221";"GO:BP";"response to chemical";21100;11621;"Up"
"27";"query_1";TRUE;6,14121244568119e-11;3768;1294;337;0,260432766615147;0,0894373673036093;"GO:0065008";"GO:BP";"regulation of biological quality";21100;18613;"Up"
"28";"query_1";TRUE;8,55075114943310e-11;3513;1433;346;0,241451500348918;0,098491317961856;"GO:0048513";"GO:BP";"animal organ development";21100;14835;"Up"
"29";"query_1";TRUE;1,0857429123886e-10;6508;1424;568;0,398876404494382;0,0872771972956361;"GO:0007154";"GO:BP";"cell communication";21100;3054;"Up"
"30";"query_1";TRUE;1,79763684283072e-10;1691;1436;195;0,135793871866295;0,11531638083974;"GO:1902531";"GO:BP";"regulation of intracellular signal transduction";21100;25711;"Up"
"31";"query_1";TRUE;2,80803341179812e-10;3019;1442;306;0,212205270457698;0,101358065584631;"GO:0070887";"GO:BP";"cellular response to chemical stimulus";21100;19115;"Up"
"32";"query_1";TRUE;3,76222273776727e-10;6451;1424;561;0,393960674157303;0,0869632615098434;"GO:0023052";"GO:BP";"signaling";21100;7648;"Up"
"33";"query_1";TRUE;1,16846691308265e-09;13001;414;323;0,780193236714976;0,0248442427505576;"GO:0065007";"GO:BP";"biological regulation";21100;18612;"Up"
"34";"query_1";TRUE;1,40240638341382e-09;4160;1422;388;0,272855133614627;0,0932692307692308;"GO:0030154";"GO:BP";"cell differentiation";21100;7716;"Up"
"35";"query_1";TRUE;1,51854544257483e-09;1316;1416;157;0,110875706214689;0,119300911854103;"GO:0071495";"GO:BP";"cellular response to endogenous stimulus";21100;19516;"Up"
"36";"query_1";TRUE;1,6334941469497e-09;11193;1441;894;0,620402498265094;0,0798713481640311;"GO:0050794";"GO:BP";"regulation of cellular process";21100;15325;"Up"
"37";"query_1";TRUE;1,9069957392926e-09;2803;1424;282;0,198033707865169;0,100606493043168;"GO:0006793";"GO:BP";"phosphorus metabolic process";21100;2749;"Up"
"38";"query_1";TRUE;2,71700964516657e-09;4856;1426;440;0,308555399719495;0,0906095551894563;"GO:0048523";"GO:BP";"negative regulation of cellular process";21100;14845;"Up"
"39";"query_1";TRUE;3,04935814361745e-09;713;1412;100;0,0708215297450425;0,140252454417952;"GO:0008285";"GO:BP";"negative regulation of cell population proliferation";21100;3569;"Up"
"40";"query_1";TRUE;3,25798797392005e-09;4184;1422;388;0,272855133614627;0,0927342256214149;"GO:0048869";"GO:BP";"cellular developmental process";21100;15158;"Up"
