"";"query";"significant";"p_value";"term_size";"query_size";"intersection_size";"precision";"recall";"term_id";"source";"term_name";"effective_domain_size";"source_order";"set"
"1";"query_1";TRUE;2,09114077819579e-05;1138;144;27;0,1875;0,023725834797891;"GO:0009628";"GO:BP";"response to abiotic stimulus";21092;3992;"Up"
"2";"query_1";TRUE;5,1191348441997e-05;73;92;7;0,0760869565217391;0,0958904109589041;"GO:0016239";"GO:BP";"positive regulation of macroautophagy";21092;5751;"Up"
"3";"query_1";TRUE;6,46064823697266e-05;3049;115;40;0,347826086956522;0,0131190554280092;"GO:0070887";"GO:BP";"cellular response to chemical stimulus";21092;19091;"Up"
"4";"query_1";TRUE;0,000133532812711588;4749;116;52;0,448275862068966;0,010949673615498;"GO:0048523";"GO:BP";"negative regulation of cellular process";21092;14825;"Up"
"5";"query_1";TRUE;0,000138473288650218;584;85;14;0,164705882352941;0,023972602739726;"GO:0010942";"GO:BP";"positive regulation of cell death";21092;5059;"Up"
"6";"query_1";TRUE;0,000199460125437685;2107;85;26;0,305882352941176;0,0123398196487897;"GO:0008219";"GO:BP";"cell death";21092;3556;"Up"
"7";"query_1";TRUE;0,000244191626731929;517;85;13;0,152941176470588;0,0251450676982592;"GO:0043068";"GO:BP";"positive regulation of programmed cell death";21092;12108;"Up"
"8";"query_1";TRUE;0,000311877971499453;167;141;10;0,0709219858156028;0,0598802395209581;"GO:0071453";"GO:BP";"cellular response to oxygen levels";21092;19450;"Up"
"9";"query_1";TRUE;0,000329417589399607;315;96;11;0,114583333333333;0,0349206349206349;"GO:0016236";"GO:BP";"macroautophagy";21092;5749;"Up"
"10";"query_1";TRUE;0,000371362255003606;144;92;8;0,0869565217391304;0,0555555555555556;"GO:0010508";"GO:BP";"positive regulation of autophagy";21092;4670;"Up"
"11";"query_1";TRUE;0,000419451699284516;1889;85;24;0,282352941176471;0,0127051349920593;"GO:0006915";"GO:BP";"apoptotic process";21092;2851;"Up"
"12";"query_1";TRUE;0,000511923097335899;1637;91;23;0,252747252747253;0,0140500916310324;"GO:0010941";"GO:BP";"regulation of cell death";21092;5058;"Up"
"13";"query_1";TRUE;0,000682836207940297;49;7;3;0,428571428571429;0,0612244897959184;"GO:0034198";"GO:BP";"cellular response to amino acid starvation";21092;9750;"Up"
"14";"query_1";TRUE;0,000697572429509422;1942;85;24;0,282352941176471;0,0123583934088568;"GO:0012501";"GO:BP";"programmed cell death";21092;5112;"Up"
