"";"query";"significant";"p_value";"term_size";"query_size";"intersection_size";"precision";"recall";"term_id";"source";"term_name";"effective_domain_size";"source_order";"set"
"1";"query_1";TRUE;0,0204136305796339;13;8;2;0,25;0,153846153846154;"GO:0060044";"GO:BP";"negative regulation of cardiac muscle cell proliferation";21092;16840;"Up"
"2";"query_1";TRUE;0,01640874401525;5419;21;14;0,666666666666667;0,00258350249123454;"GO:0005829";"GO:CC";"cytosol";21690;468;"Up"
"3";"query_1";TRUE;0,00243543753847797;273;34;6;0,176470588235294;0,021978021978022;"GO:0031267";"GO:MF";"small GTPase binding";20166;5048;"Up"
"4";"query_1";TRUE;0,0044997801077659;304;34;6;0,176470588235294;0,0197368421052632;"GO:0051020";"GO:MF";"GTPase binding";20166;9078;"Up"
"5";"query_1";TRUE;0,0288062760422091;71;4;2;0,5;0,028169014084507;"KEGG:04520";"KEGG";"Adherens junction";8064;300;"Up"
"6";"query_1";TRUE;0,008900327063815;16;45;3;0,0666666666666667;0,1875;"GO:0061050";"GO:BP";"regulation of cell growth involved in cardiac muscle cell development";21092;17771;"Down"
"7";"query_1";TRUE;0,0147375744136796;222;27;5;0,185185185185185;0,0225225225225225;"GO:0071356";"GO:BP";"cellular response to tumor necrosis factor";21092;19360;"Down"
"8";"query_1";TRUE;0,0153318965090824;19;45;3;0,0666666666666667;0,157894736842105;"GO:0006098";"GO:BP";"pentose-phosphate shunt";21092;2124;"Down"
"9";"query_1";TRUE;0,0223766619331534;242;27;5;0,185185185185185;0,0206611570247934;"GO:0034612";"GO:BP";"response to tumor necrosis factor";21092;9971;"Down"
"10";"query_1";TRUE;0,024257573250749;22;45;3;0,0666666666666667;0,136363636363636;"GO:0006740";"GO:BP";"NADPH regeneration";21092;2701;"Down"
"11";"query_1";TRUE;0,024257573250749;22;45;3;0,0666666666666667;0,136363636363636;"GO:0003298";"GO:BP";"physiological muscle hypertrophy";21092;1865;"Down"
"12";"query_1";TRUE;0,024257573250749;22;45;3;0,0666666666666667;0,136363636363636;"GO:0003301";"GO:BP";"physiological cardiac muscle hypertrophy";21092;1868;"Down"
"13";"query_1";TRUE;0,024257573250749;22;45;3;0,0666666666666667;0,136363636363636;"GO:0061049";"GO:BP";"cell growth involved in cardiac muscle cell development";21092;17770;"Down"
"14";"query_1";TRUE;0,0260328455606456;5;26;2;0,0769230769230769;0,4;"GO:0061051";"GO:BP";"positive regulation of cell growth involved in cardiac muscle cell development";21092;17772;"Down"
"15";"query_1";TRUE;0,0354637631794914;43;26;3;0,115384615384615;0,0697674418604651;"GO:0046622";"GO:BP";"positive regulation of organ growth";21092;14221;"Down"
"16";"query_1";TRUE;0,0361142846453503;1117;38;10;0,263157894736842;0,00895255147717099;"GO:1901698";"GO:BP";"response to nitrogen compound";21092;24951;"Down"
"17";"query_1";TRUE;0,0368496790264349;1655;38;12;0,315789473684211;0,00725075528700906;"GO:1901700";"GO:BP";"response to oxygen-containing compound";21092;24953;"Down"
"18";"query_1";TRUE;0,0416968598643931;489;38;7;0,184210526315789;0,0143149284253579;"GO:1901652";"GO:BP";"response to peptide";21092;24915;"Down"
"19";"query_1";TRUE;0,00889238465459032;6637;36;23;0,638888888888889;0,00346542112400181;"GO:0031974";"GO:CC";"membrane-enclosed lumen";21690;1443;"Down"
"20";"query_1";TRUE;0,00889238465459032;6637;36;23;0,638888888888889;0,00346542112400181;"GO:0043233";"GO:CC";"organelle lumen";21690;2127;"Down"
"21";"query_1";TRUE;0,00889238465459032;6637;36;23;0,638888888888889;0,00346542112400181;"GO:0070013";"GO:CC";"intracellular organelle lumen";21690;2713;"Down"
"22";"query_1";TRUE;0,0215424506067675;8;40;2;0,05;0,25;"GO:0008303";"GO:CC";"caspase complex";21690;616;"Down"
"23";"query_1";TRUE;0,00115374121434382;701;45;10;0,222222222222222;0,014265335235378;"GO:0042803";"GO:MF";"protein homodimerization activity";20166;6677;"Down"
"24";"query_1";TRUE;0,00241005910074774;20;35;3;0,0857142857142857;0,15;"GO:0000979";"GO:MF";"RNA polymerase II core promoter sequence-specific DNA binding";20166;136;"Down"
"25";"query_1";TRUE;0,0253857445391296;43;35;3;0,0857142857142857;0,0697674418604651;"GO:0001046";"GO:MF";"core promoter sequence-specific DNA binding";20166;167;"Down"
"26";"query_1";TRUE;0,0272555199926211;14;17;2;0,117647058823529;0,142857142857143;"GO:0052650";"GO:MF";"NADP-retinol dehydrogenase activity";20166;9316;"Down"
"27";"query_1";TRUE;0,0447521276667175;30;45;3;0,0666666666666667;0,1;"KEGG:00030";"KEGG";"Pentose phosphate pathway";8064;4;"Down"
"28";"query_1";TRUE;0,0114149433754998;15;45;3;0,0666666666666667;0,2;"REAC:R-HSA-71336";"REAC";"Pentose phosphate pathway";10461;1621;"Down"
"29";"query_1";TRUE;0,000764690723392539;7;45;3;0,0666666666666667;0,428571428571429;"WP:WP134";"WP";"Pentose phosphate metabolism";7827;279;"Down"
