"";"query";"significant";"p_value";"term_size";"query_size";"intersection_size";"precision";"recall";"term_id";"source";"term_name";"effective_domain_size";"source_order";"set"
"1";"query_1";TRUE;0,000290342265731347;11;23;3;0,130434782608696;0,272727272727273;"GO:0090557";"GO:BP";"establishment of endothelial intestinal barrier";21092;21472;"Up"
"2";"query_1";TRUE;0,00034423859217266;49;23;4;0,173913043478261;0,0816326530612245;"GO:0061028";"GO:BP";"establishment of endothelial barrier";21092;17750;"Up"
"3";"query_1";TRUE;0,00122924703661597;67;23;4;0,173913043478261;0,0597014925373134;"GO:0001885";"GO:BP";"endothelial cell development";21092;623;"Up"
"4";"query_1";TRUE;0,00232374366364228;21;23;3;0,130434782608696;0,142857142857143;"GO:0150105";"GO:BP";"protein localization to cell-cell junction";21092;23273;"Up"
"5";"query_1";TRUE;0,00367698442347483;204;23;5;0,217391304347826;0,0245098039215686;"GO:0045216";"GO:BP";"cell-cell junction organization";21092;13166;"Up"
"6";"query_1";TRUE;0,00964239027250341;112;23;4;0,173913043478261;0,0357142857142857;"GO:0045446";"GO:BP";"endothelial cell differentiation";21092;13225;"Up"
"7";"query_1";TRUE;0,0113219465502476;35;23;3;0,130434782608696;0,0857142857142857;"GO:0035633";"GO:BP";"maintenance of blood-brain barrier";21092;10502;"Up"
"8";"query_1";TRUE;0,0177374212413436;5;23;2;0,0869565217391304;0,4;"GO:1905605";"GO:BP";"positive regulation of blood-brain barrier permeability";21092;28467;"Up"
"9";"query_1";TRUE;0,0179424923101779;131;23;4;0,173913043478261;0,0305343511450382;"GO:0003158";"GO:BP";"endothelium development";21092;1727;"Up"
"10";"query_1";TRUE;0,022513723740944;18;7;2;0,285714285714286;0,111111111111111;"GO:0097284";"GO:BP";"hepatocyte apoptotic process";21092;21718;"Up"
"11";"query_1";TRUE;0,0495659582132383;8;23;2;0,0869565217391304;0,25;"GO:1905603";"GO:BP";"regulation of blood-brain barrier permeability";21092;28465;"Up"
"12";"query_1";TRUE;0,00102710369546831;2108;20;10;0,5;0,0047438330170778;"GO:0070062";"GO:CC";"extracellular exosome";21690;2736;"Up"
"13";"query_1";TRUE;0,00113796647596212;2132;20;10;0,5;0,00469043151969981;"GO:1903561";"GO:CC";"extracellular vesicle";21690;4065;"Up"
"14";"query_1";TRUE;0,00114280487571807;2133;20;10;0,5;0,0046882325363338;"GO:0043230";"GO:CC";"extracellular organelle";21690;2124;"Up"
"15";"query_1";TRUE;0,00114280487571807;2133;20;10;0,5;0,0046882325363338;"GO:0065010";"GO:CC";"extracellular membrane-bounded organelle";21690;2712;"Up"
"16";"query_1";TRUE;0,00145014486765;509;13;5;0,384615384615385;0,00982318271119843;"GO:0005911";"GO:CC";"cell-cell junction";21690;535;"Up"
"17";"query_1";TRUE;0,00182761153000481;129;23;4;0,173913043478261;0,0310077519379845;"GO:0005923";"GO:CC";"bicellular tight junction";21690;546;"Up"
"18";"query_1";TRUE;0,00212416071106189;134;23;4;0,173913043478261;0,0298507462686567;"GO:0070160";"GO:CC";"tight junction";21690;2757;"Up"
"19";"query_1";TRUE;0,0022451344902358;3973;21;13;0,619047619047619;0,003272086584445;"GO:0031982";"GO:CC";"vesicle";21690;1450;"Up"
"20";"query_1";TRUE;0,00367553714464017;154;23;4;0,173913043478261;0,025974025974026;"GO:0043296";"GO:CC";"apical junction complex";21690;2146;"Up"
"21";"query_1";TRUE;0,00908541895970497;23;10;2;0,2;0,0869565217391304;"GO:0016327";"GO:CC";"apicolateral plasma membrane";21690;862;"Up"
"22";"query_1";TRUE;0,0119289957351206;6270;23;16;0,695652173913043;0,0025518341307815;"GO:0071944";"GO:CC";"cell periphery";21690;3125;"Up"
"23";"query_1";TRUE;0,0175367556663799;855;13;5;0,384615384615385;0,00584795321637427;"GO:0070161";"GO:CC";"anchoring junction";21690;2758;"Up"
"24";"query_1";TRUE;0,00193457552980838;2;7;2;0,285714285714286;1;"HP:0410069";"HP";"Increased level of propylene glycol in blood";4756;15891;"Up"
"25";"query_1";TRUE;1,06129273631749e-07;267;15;8;0,533333333333333;0,0299625468164794;"HPA:0151341";"HPA";"duodenum; glands of Brunner[≥Low]";10976;269;"Up"
"26";"query_1";TRUE;1,18652402539328e-07;515;17;10;0,588235294117647;0,0194174757281553;"HPA:0401301";"HPA";"rectum; enterocytes[≥Low]";10976;525;"Up"
"27";"query_1";TRUE;1,42786468013505e-07;363;17;9;0,529411764705882;0,0247933884297521;"HPA:0031302";"HPA";"appendix; enterocytes[≥Medium]";10976;27;"Up"
"28";"query_1";TRUE;2,69286544283256e-07;390;17;9;0,529411764705882;0,0230769230769231;"HPA:0401302";"HPA";"rectum; enterocytes[≥Medium]";10976;526;"Up"
