"","X","pert","PCID","cell","type","trend","WTCS","WTCS_Pval","WTCS_FDR","NCS","NCSct","N_upset","N_downset","t_gn_sym","jlf_tau","fda_approved","clinical_trial_PAAD"
"5",5,"quinine","3034034","YAPC","trt_cp","down",-0.481602715506595,2.25425674826771e-05,0.000243510757536979,-1.55850130357286,0.755812855223959,25,95,"ABCB1; CYP2D6; GP9; KCNB2; KCNN4; SLC29A4",-99.7409989758134,TRUE,FALSE
"11",11,"mycophenolate-mofetil","5281078","YAPC","trt_cp","down",-0.460653501220789,2.34564553535965e-05,0.000243510757536979,-1.4907081273261,0,25,95,"HCAR2; IMPDH1; IMPDH2",-99.6671393681557,TRUE,FALSE
"23",23,"bupivacaine","2474","YAPC","trt_cp","down",-0.44004677825645,2.43703432245158e-05,0.000243510757536979,-1.42402327782623,-0.876164285955084,25,95,"PTGER1; SCN10A",-98.4686441345624,TRUE,FALSE
"32",32,"ALW-II-38-3","24880028","YAPC","trt_cp","down",-0.43437563652113,2.46314540447785e-05,0.000243510757536979,-1.405671052013,0,25,95,"DDR1; EPHA2; EPHA4; EPHB2; EPHB4; EPHB6",-94.2616008823761,FALSE,FALSE
"34",34,"formoterol","23581795","YAPC","trt_cp","down",-0.430588728629929,2.47620094549098e-05,0.000243510757536979,-1.39341634352628,0,25,95,"ADRB1; ADRB2; ADRB3",-97.99003387694,TRUE,FALSE
"36",36,"rilmenidine","5388964","YAPC","trt_cp","down",-0.427953141282163,2.48925648650412e-05,0.000243510757536979,-1.38488739178884,0,25,95,"NISCH",-96.6694240920192,FALSE,FALSE
"47",47,"nemonapride","4452","YAPC","trt_cp","down",-0.416179330335618,2.54147865055665e-05,0.000243510757536979,-1.34678648596461,0,25,95,"DRD3; DRD4",-88.7447805877255,FALSE,FALSE
"49",49,"dacinostat","6445533","YAPC","trt_cp","down",-0.416038868166089,2.54147865055665e-05,0.000243510757536979,-1.34633194020051,-0.717051875586317,25,95,"HDAC1; HDAC2; HDAC3; HDAC4; HDAC5; HDAC6; HDAC7; HDAC8; HDAC9",-96.7226030095328,FALSE,FALSE
"53",53,"amonafide","50515","YAPC","trt_cp","down",-0.413008128809768,2.55453419156978e-05,0.000243510757536979,-1.33652424791487,0,25,95,"TOP2A; TOP2B",-97.2563617742063,FALSE,FALSE
"59",59,"ifosfamide","3690","YAPC","trt_cp","down",-0.410983375828327,2.56323788557854e-05,0.000243510757536979,-1.32997200047235,0,25,95,"AFP; CYP2B6; CYP2C9; NR1I2",-95.8579532025526,TRUE,TRUE
"65",65,"KIN001-055","3796","YAPC","trt_cp","down",-0.40805518713105,2.57629342659167e-05,0.000243510757536979,-1.3204961695543,0,25,95,"EGFR",-93.9051051760813,FALSE,FALSE
"67",67,"PK-11195","1345","YAPC","trt_cp","down",-0.407679697657842,2.57629342659167e-05,0.000243510757536979,-1.31928105839601,0.559664505815293,25,95,"NR1I2; NR1I3; TSPO",-94.2911447254392,FALSE,FALSE
"68",68,"dantrolene","32731","YAPC","trt_cp","down",-0.406288100838719,2.58499712060043e-05,0.000243510757536979,-1.31477775019857,0,25,95,"MB; RYR1; RYR3",-86.0434885369889,TRUE,FALSE
"71",71,"triptolide","16220015","YAPC","trt_cp","down",-0.405093321036617,2.58934896760481e-05,0.000243510757536979,-1.31091135613745,-1.18291410916379,25,95,"RELA",-88.866895139053,FALSE,FALSE
"73",73,"ALW-II-49-7","24875320","YAPC","trt_cp","down",-0.402102351799933,2.60240450861794e-05,0.000243510757536979,-1.30123236284229,0,25,95,"DDR1; EPHA2; EPHA4; EPHA7; EPHB2; EPHB4; EPHB6",-90.6217994170015,FALSE,FALSE
"76",76,"ixazomib","25183872","YAPC","trt_cp","down",-0.401424281169277,2.60675635562232e-05,0.000243510757536979,-1.29903807712137,-0.843128194038776,25,95,"PSMB5",-94.8908847396203,TRUE,FALSE
"78",78,"veliparib","11960528","YAPC","trt_cp","down",-0.40050633228434,2.60675635562232e-05,0.000243510757536979,-1.29606752797842,0,25,95,"PARP1; PARP2",-88.9023477507288,FALSE,TRUE
