"";"query";"significant";"p_value";"term_size";"query_size";"intersection_size";"precision";"recall";"term_id";"source";"term_name";"effective_domain_size";"source_order";"set"
"1";"query_1";TRUE;6,14955885620389e-08;1637;60;23;0,383333333333333;0,0140500916310324;"GO:0010941";"GO:BP";"regulation of cell death";21092;5058;"Up"
"2";"query_1";TRUE;9,08783981347244e-08;2107;31;18;0,580645161290323;0,00854295206454675;"GO:0008219";"GO:BP";"cell death";21092;3556;"Up"
"3";"query_1";TRUE;1,58716732336816e-07;1889;60;24;0,4;0,0127051349920593;"GO:0006915";"GO:BP";"apoptotic process";21092;2851;"Up"
"4";"query_1";TRUE;2,81642366870704e-07;1942;60;24;0,4;0,0123583934088568;"GO:0012501";"GO:BP";"programmed cell death";21092;5112;"Up"
"5";"query_1";TRUE;3,52858931709306e-07;1453;60;21;0,35;0,0144528561596696;"GO:0042981";"GO:BP";"regulation of apoptotic process";21092;12047;"Up"
"6";"query_1";TRUE;5,07456201361864e-07;1482;60;21;0,35;0,01417004048583;"GO:0043067";"GO:BP";"regulation of programmed cell death";21092;12107;"Up"
"7";"query_1";TRUE;6,94185265295488e-07;3649;64;33;0,515625;0,00904357358180323;"GO:0036211";"GO:BP";"protein modification process";21092;10922;"Up"
"8";"query_1";TRUE;2,05911782986949e-06;123;56;8;0,142857142857143;0,0650406504065041;"GO:0032355";"GO:BP";"response to estradiol";21092;8696;"Up"
"9";"query_1";TRUE;3,4297203871714e-06;3874;64;33;0,515625;0,00851832731027362;"GO:0043412";"GO:BP";"macromolecule modification";21092;12284;"Up"
"10";"query_1";TRUE;2,59176323200468e-05;176;54;8;0,148148148148148;0,0454545454545455;"GO:0072331";"GO:BP";"signal transduction by p53 class mediator";21092;20169;"Up"
"11";"query_1";TRUE;2,65003313672223e-05;5462;64;38;0,59375;0,00695715854998169;"GO:0019538";"GO:BP";"protein metabolic process";21092;6764;"Up"
"12";"query_1";TRUE;5,97063285077355e-05;1109;66;17;0,257575757575758;0,0153291253381425;"GO:0072359";"GO:BP";"circulatory system development";21092;20190;"Up"
