"";"query";"significant";"p_value";"term_size";"query_size";"intersection_size";"precision";"recall";"term_id";"source";"term_name";"effective_domain_size";"source_order";"set"
"1";"query_1";TRUE;0,000527238241071413;14;20;3;0,15;0,214285714285714;"GO:0006287";"GO:BP";"base-excision repair, gap-filling";21092;2301;"Up"
"2";"query_1";TRUE;0,000571457593878486;46;26;4;0,153846153846154;0,0869565217391304;"GO:0006284";"GO:BP";"base-excision repair";21092;2298;"Up"
"3";"query_1";TRUE;0,000894740604849565;1111;39;12;0,307692307692308;0,0108010801080108;"GO:0051726";"GO:BP";"regulation of cell cycle";21092;16046;"Up"
"4";"query_1";TRUE;0,00387208582117991;1794;39;14;0,358974358974359;0,00780379041248606;"GO:0007049";"GO:BP";"cell cycle";21092;2959;"Up"
"5";"query_1";TRUE;0,00402026957025932;113;39;5;0,128205128205128;0,0442477876106195;"GO:0000079";"GO:BP";"regulation of cyclin-dependent protein serine/threonine kinase activity";21092;39;"Up"
"6";"query_1";TRUE;0,00457532185210965;116;39;5;0,128205128205128;0,0431034482758621;"GO:1904029";"GO:BP";"regulation of cyclin-dependent protein kinase activity";21092;27011;"Up"
"7";"query_1";TRUE;0,0103368481470578;158;34;5;0,147058823529412;0,0316455696202532;"GO:0000723";"GO:BP";"telomere maintenance";21092;258;"Up"
"8";"query_1";TRUE;0,0246913136477223;189;34;5;0,147058823529412;0,0264550264550265;"GO:0032200";"GO:BP";"telomere organization";21092;8570;"Up"
"9";"query_1";TRUE;0,029378904400204;9;14;2;0,142857142857143;0,222222222222222;"GO:0034351";"GO:BP";"negative regulation of glial cell apoptotic process";21092;9852;"Up"
"10";"query_1";TRUE;0,0364114626836927;712;26;7;0,269230769230769;0,0098314606741573;"GO:0010564";"GO:BP";"regulation of cell cycle process";21092;4711;"Up"
"11";"query_1";TRUE;0,0448503950455484;11;14;2;0,142857142857143;0,181818181818182;"GO:0034350";"GO:BP";"regulation of glial cell apoptotic process";21092;9851;"Up"
"12";"query_1";TRUE;0,0461855421634208;124;10;3;0,3;0,0241935483870968;"GO:2000278";"GO:BP";"regulation of DNA biosynthetic process";21092;29483;"Up"
"13";"query_1";TRUE;4,36786611878146e-05;2;10;2;0,2;1;"GO:0070557";"GO:CC";"PCNA-p21 complex";21690;2838;"Up"
"14";"query_1";TRUE;0,000192127033206088;12;3;2;0,666666666666667;0,166666666666667;"GO:0005652";"GO:CC";"nuclear lamina";21690;309;"Up"
"15";"query_1";TRUE;0,000559866835902259;53;39;4;0,102564102564103;0,0754716981132075;"GO:0000307";"GO:CC";"cyclin-dependent protein kinase holoenzyme complex";21690;58;"Up"
"16";"query_1";TRUE;0,0202570782894469;131;39;4;0,102564102564103;0,0305343511450382;"GO:1902554";"GO:CC";"serine/threonine protein kinase complex";21690;4021;"Up"
"17";"query_1";TRUE;0,0299971302319756;145;39;4;0,102564102564103;0,0275862068965517;"GO:1902911";"GO:CC";"protein kinase complex";21690;4047;"Up"
"18";"query_1";TRUE;0,0315336077804917;148;3;2;0,666666666666667;0,0135135135135135;"GO:0034399";"GO:CC";"nuclear periphery";21690;1707;"Up"
"19";"query_1";TRUE;0,0315782160834169;1;3;1;0,333333333333333;1;"GO:0043626";"GO:CC";"PCNA complex";21690;2178;"Up"
"20";"query_1";TRUE;0,0315782160834169;1;3;1;0,333333333333333;1;"GO:0044796";"GO:CC";"DNA polymerase processivity factor complex";21690;2408;"Up"
"21";"query_1";TRUE;0,000831147073242619;70;26;4;0,153846153846154;0,0571428571428571;"GO:0003684";"GO:MF";"damaged DNA binding";20166;408;"Up"
"22";"query_1";TRUE;0,048187440310308;48;39;3;0,0769230769230769;0,0625;"GO:0016538";"GO:MF";"cyclin-dependent protein serine/threonine kinase regulator activity";20166;3582;"Up"
"23";"query_1";TRUE;0,0125631048123634;36;26;3;0,115384615384615;0,0833333333333333;"KEGG:03030";"KEGG";"DNA replication";8064;213;"Up"
"24";"query_1";TRUE;0,0205280057320216;126;39;5;0,128205128205128;0,0396825396825397;"KEGG:04110";"KEGG";"Cell cycle";8064;249;"Up"
"25";"query_1";TRUE;0,00720266154267769;76;10;3;0,3;0,0394736842105263;"MIRNA:hsa-miR-4254";"MIRNA";"hsa-miR-4254";14830;932;"Up"
"26";"query_1";TRUE;0,000301354239092867;49;39;5;0,128205128205128;0,102040816326531;"REAC:R-HSA-6791312";"REAC";"TP53 Regulates Transcription of Cell Cycle Genes";10461;2296;"Up"
"27";"query_1";TRUE;0,000539741384409027;36;26;4;0,153846153846154;0,111111111111111;"REAC:R-HSA-73933";"REAC";"Resolution of Abasic Sites (AP sites)";10461;1943;"Up"
"28";"query_1";TRUE;0,00157175275130443;14;26;3;0,115384615384615;0,214285714285714;"REAC:R-HSA-69166";"REAC";"Removal of the Flap Intermediate";10461;1927;"Up"
"29";"query_1";TRUE;0,00196145148321338;15;26;3;0,115384615384615;0,2;"REAC:R-HSA-69183";"REAC";"Processive synthesis on the lagging strand";10461;1701;"Up"
"30";"query_1";TRUE;0,00292174168372465;17;26;3;0,115384615384615;0,176470588235294;"REAC:R-HSA-174437";"REAC";"Removal of the Flap Intermediate from the C-strand";10461;1928;"Up"
"31";"query_1";TRUE;0,00414976506722872;19;26;3;0,115384615384615;0,157894736842105;"REAC:R-HSA-174414";"REAC";"Processive synthesis on the C-strand of the telomere";10461;1700;"Up"
"32";"query_1";TRUE;0,00487402819243908;20;26;3;0,115384615384615;0,15;"REAC:R-HSA-69186";"REAC";"Lagging Strand Synthesis";10461;1234;"Up"
"33";"query_1";TRUE;0,00546828229486528;14;39;3;0,0769230769230769;0,214285714285714;"REAC:R-HSA-6804116";"REAC";"TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest";10461;2301;"Up"
"34";"query_1";TRUE;0,00567699228042994;21;26;3;0,115384615384615;0,142857142857143;"REAC:R-HSA-5651801";"REAC";"PCNA-Dependent Long Patch Base Excision Repair";10461;1560;"Up"
"35";"query_1";TRUE;0,00836938473638254;161;39;6;0,153846153846154;0,0372670807453416;"REAC:R-HSA-69242";"REAC";"S Phase";10461;1973;"Up"
"36";"query_1";TRUE;0,00975278517453801;25;26;3;0,115384615384615;0,12;"REAC:R-HSA-110373";"REAC";"Resolution of AP sites via the multiple-nucleotide patch replacement pathway";10461;1941;"Up"
"37";"query_1";TRUE;0,0117226842074272;51;39;4;0,102564102564103;0,0784313725490196;"REAC:R-HSA-180786";"REAC";"Extension of Telomeres";10461;840;"Up"
"38";"query_1";TRUE;0,0204607329564497;89;26;4;0,153846153846154;0,0449438202247191;"REAC:R-HSA-73884";"REAC";"Base Excision Repair";10461;196;"Up"
"39";"query_1";TRUE;0,0207906587903118;32;26;3;0,115384615384615;0,09375;"REAC:R-HSA-69190";"REAC";"DNA strand elongation";10461;427;"Up"
"40";"query_1";TRUE;0,024839683609228;120;39;5;0,128205128205128;0,0416666666666667;"REAC:R-HSA-69239";"REAC";"Synthesis of DNA";10461;2222;"Up"
"41";"query_1";TRUE;0,0250003303124212;34;26;3;0,115384615384615;0,0882352941176471;"REAC:R-HSA-174417";"REAC";"Telomere C-strand (Lagging Strand) Synthesis";10461;2328;"Up"
"42";"query_1";TRUE;0,0363098333788439;130;39;5;0,128205128205128;0,0384615384615385;"REAC:R-HSA-69206";"REAC";"G1/S Transition";10461;943;"Up"
"43";"query_1";TRUE;0,0378679903996241;26;39;3;0,0769230769230769;0,115384615384615;"REAC:R-HSA-1538133";"REAC";"G0 and Early G1";10461;940;"Up"
"44";"query_1";TRUE;0,0121398844417016;2456;20;11;0,55;0,00447882736156352;"TF:M08870_1";"TF";"Factor: DEC1; motif: NCNCACRTGNSC; match class: 1";19943;1219;"Up"
"45";"query_1";TRUE;0,00183946731757272;64;39;5;0,128205128205128;0,078125;"WP:WP45";"WP";"G1 to S cell cycle control";7827;580;"Up"
"46";"query_1";TRUE;0,00487878252871252;90;34;5;0,147058823529412;0,0555555555555556;"WP:WP2446";"WP";"Retinoblastoma gene in cancer";7827;379;"Up"
"47";"query_1";TRUE;0,00777695317881831;31;20;3;0,15;0,0967741935483871;"WP:WP4752";"WP";"Base excision repair";7827;480;"Up"
"48";"query_1";TRUE;0,0101347276440414;96;37;5;0,135135135135135;0,0520833333333333;"WP:WP4963";"WP";"p53 transcriptional gene network";7827;40;"Up"
"49";"query_1";TRUE;0,0351934549630343;68;37;4;0,108108108108108;0,0588235294117647;"WP:WP707";"WP";"DNA damage response";7827;546;"Up"
"50";"query_1";TRUE;0,037522658741341;120;39;5;0,128205128205128;0,0416666666666667;"WP:WP179";"WP";"Cell cycle";7827;206;"Up"
"51";"query_1";TRUE;6,71557448136057e-09;658;38;14;0,368421052631579;0,0212765957446809;"GO:0051301";"GO:BP";"cell division";21092;15724;"Down"
"52";"query_1";TRUE;3,47326143698711e-07;165;34;8;0,235294117647059;0,0484848484848485;"GO:1902850";"GO:BP";"microtubule cytoskeleton organization involved in mitosis";21092;25963;"Down"
"53";"query_1";TRUE;4,15682371011363e-07;231;52;10;0,192307692307692;0,0432900432900433;"GO:0000819";"GO:BP";"sister chromatid segregation";21092;304;"Down"
"54";"query_1";TRUE;6,40132091859406e-07;527;52;13;0,25;0,0246679316888046;"GO:0048285";"GO:BP";"organelle fission";21092;14642;"Down"
"55";"query_1";TRUE;9,63847808932158e-07;47;19;5;0,263157894736842;0,106382978723404;"GO:0071173";"GO:BP";"spindle assembly checkpoint signaling";21092;19217;"Down"
"56";"query_1";TRUE;9,63847808932158e-07;47;19;5;0,263157894736842;0,106382978723404;"GO:0007094";"GO:BP";"mitotic spindle assembly checkpoint signaling";21092;2999;"Down"
"57";"query_1";TRUE;9,63847808932158e-07;47;19;5;0,263157894736842;0,106382978723404;"GO:0071174";"GO:BP";"mitotic spindle checkpoint signaling";21092;19218;"Down"
"58";"query_1";TRUE;1,07532724673898e-06;48;19;5;0,263157894736842;0,104166666666667;"GO:0031577";"GO:BP";"spindle checkpoint signaling";21092;8369;"Down"
"59";"query_1";TRUE;1,19686027245535e-06;49;19;5;0,263157894736842;0,102040816326531;"GO:0045841";"GO:BP";"negative regulation of mitotic metaphase/anaphase transition";21092;13537;"Down"
"60";"query_1";TRUE;1,32908945077388e-06;202;21;7;0,333333333333333;0,0346534653465347;"GO:0000070";"GO:BP";"mitotic sister chromatid segregation";21092;32;"Down"
"61";"query_1";TRUE;1,47276028612007e-06;51;19;5;0,263157894736842;0,0980392156862745;"GO:0033046";"GO:BP";"negative regulation of sister chromatid segregation";21092;9199;"Down"
"62";"query_1";TRUE;1,47276028612007e-06;51;19;5;0,263157894736842;0,0980392156862745;"GO:0033048";"GO:BP";"negative regulation of mitotic sister chromatid segregation";21092;9201;"Down"
"63";"query_1";TRUE;1,47276028612007e-06;51;19;5;0,263157894736842;0,0980392156862745;"GO:2000816";"GO:BP";"negative regulation of mitotic sister chromatid separation";21092;30001;"Down"
"64";"query_1";TRUE;1,47276028612007e-06;51;19;5;0,263157894736842;0,0980392156862745;"GO:1902100";"GO:BP";"negative regulation of metaphase/anaphase transition of cell cycle";21092;25337;"Down"
"65";"query_1";TRUE;1,58786932509174e-06;927;34;13;0,382352941176471;0,0140237324703344;"GO:0000278";"GO:BP";"mitotic cell cycle";21092;118;"Down"
"66";"query_1";TRUE;1,79717735124316e-06;53;19;5;0,263157894736842;0,0943396226415094;"GO:0051985";"GO:BP";"negative regulation of chromosome segregation";21092;16222;"Down"
"67";"query_1";TRUE;1,79717735124316e-06;53;19;5;0,263157894736842;0,0943396226415094;"GO:1905819";"GO:BP";"negative regulation of chromosome separation";21092;28655;"Down"
"68";"query_1";TRUE;2,18134712958265e-06;132;52;8;0,153846153846154;0,0606060606060606;"GO:0051304";"GO:BP";"chromosome separation";21092;15727;"Down"
"69";"query_1";TRUE;2,38823599361943e-06;56;19;5;0,263157894736842;0,0892857142857143;"GO:0033047";"GO:BP";"regulation of mitotic sister chromatid segregation";21092;9200;"Down"
"70";"query_1";TRUE;2,55356307464555e-06;769;34;12;0,352941176470588;0,0156046814044213;"GO:1903047";"GO:BP";"mitotic cell cycle process";21092;26147;"Down"
"71";"query_1";TRUE;2,61642386507532e-06;57;19;5;0,263157894736842;0,087719298245614;"GO:0045839";"GO:BP";"negative regulation of mitotic nuclear division";21092;13535;"Down"
"72";"query_1";TRUE;2,99504309479798e-06;481;52;12;0,230769230769231;0,0249480249480249;"GO:0000280";"GO:BP";"nuclear division";21092;120;"Down"
"73";"query_1";TRUE;4,7459317065493e-06;64;19;5;0,263157894736842;0,078125;"GO:0051784";"GO:BP";"negative regulation of nuclear division";21092;16071;"Down"
"74";"query_1";TRUE;4,98697247239896e-06;58;21;5;0,238095238095238;0,0862068965517241;"GO:0007080";"GO:BP";"mitotic metaphase plate congression";21092;2987;"Down"
"75";"query_1";TRUE;5,36445946354274e-06;1226;52;17;0,326923076923077;0,0138662316476346;"GO:0022402";"GO:BP";"cell cycle process";21092;7572;"Down"
"76";"query_1";TRUE;6,87345279560761e-06;314;38;9;0,236842105263158;0,0286624203821656;"GO:0098813";"GO:BP";"nuclear chromosome segregation";21092;22083;"Down"
"77";"query_1";TRUE;1,04371297883017e-05;1111;52;16;0,307692307692308;0,0144014401440144;"GO:0051726";"GO:BP";"regulation of cell cycle";21092;16046;"Down"
"78";"query_1";TRUE;1,36831814581075e-05;92;34;6;0,176470588235294;0,0652173913043478;"GO:0050000";"GO:BP";"chromosome localization";21092;15211;"Down"
"79";"query_1";TRUE;1,36831814581075e-05;92;34;6;0,176470588235294;0,0652173913043478;"GO:0030071";"GO:BP";"regulation of mitotic metaphase/anaphase transition";21092;7690;"Down"
"80";"query_1";TRUE;1,55885342546448e-05;94;34;6;0,176470588235294;0,0638297872340425;"GO:0007091";"GO:BP";"metaphase/anaphase transition of mitotic cell cycle";21092;2997;"Down"
"81";"query_1";TRUE;1,61928966870177e-05;73;21;5;0,238095238095238;0,0684931506849315;"GO:0051310";"GO:BP";"metaphase plate congression";21092;15733;"Down"
"82";"query_1";TRUE;1,66204786389342e-05;95;34;6;0,176470588235294;0,0631578947368421;"GO:1902099";"GO:BP";"regulation of metaphase/anaphase transition of cell cycle";21092;25336;"Down"
"83";"query_1";TRUE;1,72091287222079e-05;109;52;7;0,134615384615385;0,0642201834862385;"GO:1905818";"GO:BP";"regulation of chromosome separation";21092;28654;"Down"
"84";"query_1";TRUE;1,7708300693114e-05;96;34;6;0,176470588235294;0,0625;"GO:0010965";"GO:BP";"regulation of mitotic sister chromatid separation";21092;5078;"Down"
"85";"query_1";TRUE;1,88543627749948e-05;97;34;6;0,176470588235294;0,0618556701030928;"GO:0044784";"GO:BP";"metaphase/anaphase transition of cell cycle";21092;12968;"Down"
"86";"query_1";TRUE;2,133101821339e-05;99;34;6;0,176470588235294;0,0606060606060606;"GO:0051306";"GO:BP";"mitotic sister chromatid separation";21092;15729;"Down"
"87";"query_1";TRUE;2,98990604465617e-05;198;19;6;0,315789473684211;0,0303030303030303;"GO:0007051";"GO:BP";"spindle organization";21092;2960;"Down"
"88";"query_1";TRUE;3,04273965682815e-05;105;34;6;0,176470588235294;0,0571428571428571;"GO:0033045";"GO:BP";"regulation of sister chromatid segregation";21092;9198;"Down"
"89";"query_1";TRUE;3,06291480776234e-05;373;38;9;0,236842105263158;0,0241286863270777;"GO:0007059";"GO:BP";"chromosome segregation";21092;2968;"Down"
"90";"query_1";TRUE;3,50943448268473e-05;85;21;5;0,238095238095238;0,0588235294117647;"GO:0051303";"GO:BP";"establishment of chromosome localization";21092;15726;"Down"
