LV	logFC	AveExpr	t	P.Value	adj.P.Val	B
1,IRIS_Monocyte-Day1	0.013774390466969589	1.3125447518014092e-18	1.1072544396820236	0.2686747089732406	0.5070576615426354	-6.474246313925676
2,REACTOME_DNA_REPLICATION	0.03360420198875279	-1.0393938170174689e-18	1.3794515467970716	0.16832400232177655	0.37549043530070164	-6.138498808591994
3,REACTOME_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT	0.020515747960196194	9.561782997196884e-19	1.4044186292746135	0.16076656604751058	0.37122219697872283	-6.104046234796014
4,REACTOME_METABOLISM_OF_NUCLEOTIDES	0.028169657463835922	2.7645155025368396e-19	2.462889337073857	0.014091808340878637	0.07331548934105778	-4.082770296534102
5,REACTOME_NEURONAL_SYSTEM	0.03733061111379691	1.0375934813066995e-18	1.4163360465068024	0.15725113750538228	0.36915663377787916	-6.087384855938571
6,KEGG_HEDGEHOG_SIGNALING_PATHWAY	-0.01851940404455151	-1.2790385038509807e-18	-1.5730903894543944	0.11628096416573562	0.30229065817053363	-5.8552345294623285
7,DMAP_ERY3	0.050004362329335965	-8.177524872916498e-19	1.3718493148889255	0.170677470591228	0.37549043530070164	-6.148867415625008
8,REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION	0.01725283909491295	-9.181712124923368e-19	0.39038001627846425	0.6964088216016754	0.8431364664045441	-7.007652436226324
9,PID_TCR_PATHWAY	-0.13597687832100278	3.1085796605949703e-19	-4.584588588900683	5.652190797863496e-6	1.0362349796083075e-4	3.1736743259495057
10,SVM T cells CD4 memory resting	-0.023367228557488996	-5.647053012779666e-19	-1.355869628847223	0.17570484701904865	0.3843543528541689	-6.17047643164731
11,IRIS_DendriticCell-Control	-0.07931470921690578	5.87309516313181e-19	-3.9470669027042433	8.952543043473809e-5	0.0010137438446286519	0.5567844040995622
12,SVM Neutrophils	-0.0776370452301268	-4.560850467282196e-19	-6.1729000652628905	1.3142161747950191e-9	5.6219247477342484e-8	11.231796999839652
13,REACTOME_DEVELOPMENTAL_BIOLOGY	-0.005221422851004222	3.180593089025742e-20	-0.18820581191212826	0.8507857045362648	0.9357969276456058	-7.065833552805618
14,KEGG_BASAL_CELL_CARCINOMA	-0.007103880454751726	4.448829578612107e-19	-0.5186115770342239	0.6042431301450015	0.7962132252809963	-6.949689656840056
15,REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	0.018801142274856693	-1.8776501276817688e-18	1.5423834470658933	0.12356361063116612	0.3150462920066156	-5.902612103023082
16,KEGG_CALCIUM_SIGNALING_PATHWAY	0.005102415723251816	-2.748512518441113e-19	0.4163534985824136	0.6773160429637988	0.8304671227422374	-6.997231824589343
17,BIOCARTA_CHREBP2_PATHWAY	-0.023583814998529483	1.889552347102966e-18	-0.8886333829062515	0.37459403817945747	0.6223356731331704	-6.690907245513936
18,REACTOME_COLLAGEN_FORMATION	-0.02107224971901039	1.3887589635573089e-18	-1.6986631301270627	0.08995611766695977	0.2603992879833046	-5.651865468116425
19,REACTOME_PEPTIDE_CHAIN_ELONGATION	0.006053362117104933	2.0055739817969868e-18	0.2083824503964382	0.8350085805218908	0.9264504423657866	-7.061853204244812
20,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	-0.05592511452146974	-1.1322111247726855e-19	-6.216835921089781	1.0128338832233876e-9	4.874263063012553e-8	11.484578383357366
21,SVM Macrophages M1	-0.03840155593262276	6.761260780444659e-19	-3.324299239452576	9.462786384072016e-4	0.00809593946192828	-1.6415970929464736
22,MIPS_SPLICEOSOME	-0.10375700149280395	2.1223957656957938e-19	-1.4770399097577813	0.14024527488970948	0.34027421380689143	-6.000348510555532
23,DMAP_ERY4	0.0222248127557192	5.120554836030248e-18	1.9341865824451916	0.053609964880142545	0.20428488896864863	-5.228824059691547
24,REACTOME_PLATELET_HOMEOSTASIS	-0.031050529471840182	4.36306358572407e-19	-2.7609982450432784	0.005957627456690368	0.03826040713385634	-3.3177909554874834
25,PID_INTEGRIN1_PATHWAY	-0.014248018688203964	-4.842903061969384e-19	-0.5155179455967815	0.6064011728336156	0.7962132252809963	-6.9512803713386875
26,SVM Neutrophils	-0.07767277802985777	-3.17659234300181e-19	-2.8601276508736797	0.00439783327870002	0.03194652476036807	-3.044600509292371
LV 27	-0.010267938413672826	3.4266389694975446e-19	-0.8526825174997363	0.3942117286746749	0.6288904177039747	-6.72200579802044
28,REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	0.01359834158965997	-2.568478947364184e-19	0.5807131042883811	0.5616750115634302	0.7642764965442539	-6.91574681526527
29,REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION	0.016767685262093542	-1.1646171675665326e-18	1.6681003594940187	0.09587292743715206	0.2696393788562428	-5.702785742874984
30,REACTOME_TRANSPORT_OF_INORGANIC_CATIONS_ANIONS_AND_AMINO_ACIDS_OLIGOPEPTIDES	0.0017752770605368989	1.9203580914872403e-19	0.18518249282242688	0.8531551210483316	0.9357969276456058	-7.066395092955379
31,KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	-0.008570142452639618	-9.799827385620823e-19	-1.0453266897274724	0.296337612253758	0.5485095226812348	-6.5404184854742224
32,PID_ANGIOPOIETINRECEPTOR_PATHWAY	-0.04262813149030988	8.02149577798316e-19	-2.1427153767428133	0.03258031889606276	0.14093733455038387	-4.809147528142862
33,IRIS_Monocyte-Day7	0.011947978478211883	1.6587093015221038e-18	1.0536996089584942	0.2924896033135704	0.5440024022981864	-6.53169335580629
34,REACTOME_3_UTR_MEDIATED_TRANSLATIONAL_REGULATION	0.006713420752561972	4.518842634030912e-19	0.6437956346761323	0.5199800721215126	0.7360012050249353	-6.87734671898818
35,DMAP_MEGA2	-0.03944646745392738	-4.3248064518702224e-19	-5.115799119036296	4.341666308466173e-7	1.0447134554746729e-5	5.6295174978770355
36,DMAP_HSC3	-0.011180788668577486	-1.0071878115248183e-19	-1.0829410238498196	0.2793157590404421	0.5245686206369278	-6.50067814252011
37,KEGG_PPAR_SIGNALING_PATHWAY	-0.03516699604329981	1.7654792110357826e-18	-0.9066457419589228	0.3649967395749677	0.6223356731331704	-6.67484457976287
38,KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	0.01750413204953387	-2.6865009550701704e-18	1.8216443239057736	0.06905958507403302	0.23038373526620728	-5.4377293581907775
39,KEGG_CELL_ADHESION_MOLECULES_CAMS	-0.07722639666960199	-5.417010116403591e-19	-5.670511074926055	2.3168262522200352e-8	6.861370054651643e-7	8.453123481233016
40,KEGG_DILATED_CARDIOMYOPATHY	-0.008328758435327904	9.47176621165842e-19	-0.7053338798219414	0.48090525613595125	0.7013701281214465	-6.836080420380021
