"";"query";"significant";"p_value";"term_size";"query_size";"intersection_size";"precision";"recall";"term_id";"source";"term_name";"effective_domain_size";"source_order";"set"
"1";"query_1";TRUE;0,0317722216393494;2559;26;12;0,461538461538462;0,00468933177022274;"GO:0009056";"GO:BP";"catabolic process";21100;3659;"Up"
"2";"query_1";TRUE;0,0406810798614659;6446;25;18;0,72;0,00279242941358982;"GO:1901564";"GO:BP";"organonitrogen compound metabolic process";21100;24853;"Up"
"3";"query_1";TRUE;0,000415010313206967;718;8;5;0,625;0,00696378830083565;"GO:0048471";"GO:CC";"perinuclear region of cytoplasm";21698;2538;"Up"
"4";"query_1";TRUE;0,0403107240981188;308;7;3;0,428571428571429;0,00974025974025974;"GO:0030674";"GO:MF";"protein-macromolecule adaptor activity";20183;4927;"Up"
"5";"query_1";TRUE;0,0213856339787924;143;2;2;1;0,013986013986014;"KEGG:05226";"KEGG";"Gastric cancer";7559;459;"Up"
"6";"query_1";TRUE;0,0213856339787924;143;2;2;1;0,013986013986014;"KEGG:05224";"KEGG";"Breast cancer";7559;457;"Up"
"7";"query_1";TRUE;0,0229127279051811;148;2;2;1;0,0135135135135135;"KEGG:04934";"KEGG";"Cushing syndrome";7559;373;"Up"
"8";"query_1";TRUE;0,0274687336469449;162;2;2;1;0,0123456790123457;"KEGG:05225";"KEGG";"Hepatocellular carcinoma";7559;458;"Up"
"9";"query_1";TRUE;0,0465501888108291;315;11;4;0,363636363636364;0,0126984126984127;"KEGG:05165";"KEGG";"Human papillomavirus infection";7559;428;"Up"
"10";"query_1";TRUE;0,0109992233122577;83;9;3;0,333333333333333;0,036144578313253;"REAC:R-HSA-195253";"REAC";"Degradation of beta-catenin by the destruction complex";10770;689;"Up"
"11";"query_1";TRUE;0,0172387566098088;14;9;2;0,222222222222222;0,142857142857143;"REAC:R-HSA-4839744";"REAC";"Signaling by APC mutants";10770;2071;"Up"
"12";"query_1";TRUE;0,0172387566098088;14;9;2;0,222222222222222;0,142857142857143;"REAC:R-HSA-4839748";"REAC";"Signaling by AMER1 mutants";10770;2070;"Up"
"13";"query_1";TRUE;0,0172387566098088;14;9;2;0,222222222222222;0,142857142857143;"REAC:R-HSA-5467348";"REAC";"Truncations of AMER1 destabilize the destruction complex";10770;2442;"Up"
"14";"query_1";TRUE;0,0172387566098088;14;9;2;0,222222222222222;0,142857142857143;"REAC:R-HSA-5467337";"REAC";"APC truncation mutants have impaired AXIN binding";10770;19;"Up"
"15";"query_1";TRUE;0,0172387566098088;14;9;2;0,222222222222222;0,142857142857143;"REAC:R-HSA-5467340";"REAC";"AXIN missense mutants destabilize the destruction complex";10770;38;"Up"
"16";"query_1";TRUE;0,0172387566098088;14;9;2;0,222222222222222;0,142857142857143;"REAC:R-HSA-4839735";"REAC";"Signaling by AXIN mutants";10770;2072;"Up"
"17";"query_1";TRUE;0,0198822510571515;15;9;2;0,222222222222222;0,133333333333333;"REAC:R-HSA-5358747";"REAC";"CTNNB1 S33 mutants aren't phosphorylated";10770;278;"Up"
"18";"query_1";TRUE;0,0198822510571515;15;9;2;0,222222222222222;0,133333333333333;"REAC:R-HSA-5339716";"REAC";"Signaling by GSK3beta mutants";10770;2106;"Up"
"19";"query_1";TRUE;0,0198822510571515;15;9;2;0,222222222222222;0,133333333333333;"REAC:R-HSA-5358752";"REAC";"CTNNB1 T41 mutants aren't phosphorylated";10770;281;"Up"
"20";"query_1";TRUE;0,0198822510571515;15;9;2;0,222222222222222;0,133333333333333;"REAC:R-HSA-5358751";"REAC";"CTNNB1 S45 mutants aren't phosphorylated";10770;280;"Up"
"21";"query_1";TRUE;0,0198822510571515;15;9;2;0,222222222222222;0,133333333333333;"REAC:R-HSA-4839743";"REAC";"Signaling by CTNNB1 phospho-site mutants";10770;2077;"Up"
"22";"query_1";TRUE;0,0198822510571515;15;9;2;0,222222222222222;0,133333333333333;"REAC:R-HSA-5358749";"REAC";"CTNNB1 S37 mutants aren't phosphorylated";10770;279;"Up"
"23";"query_1";TRUE;0,0242359169224765;46;20;3;0,15;0,0652173913043478;"REAC:R-HSA-69236";"REAC";"G1 Phase";10770;940;"Up"
"24";"query_1";TRUE;0,0242359169224765;46;20;3;0,15;0,0652173913043478;"REAC:R-HSA-69231";"REAC";"Cyclin D associated events in G1";10770;398;"Up"
"25";"query_1";TRUE;0,0257299280295284;17;9;2;0,222222222222222;0,117647058823529;"REAC:R-HSA-196299";"REAC";"Beta-catenin phosphorylation cascade";10770;208;"Up"
"26";"query_1";TRUE;0,030848856681698;1694;12;8;0,666666666666667;0,00472255017709563;"REAC:R-HSA-1643685";"REAC";"Disease";10770;709;"Up"
"27";"query_1";TRUE;0,0417670690724431;147;20;4;0,2;0,0272108843537415;"REAC:R-HSA-453279";"REAC";"Mitotic G1 phase and G1/S transition";10770;1390;"Up"
"28";"query_1";TRUE;0,0306356086244753;1336;19;8;0,421052631578947;0,00598802395209581;"TF:M07425_1";"TF";"Factor: Msx-2; motif: TAATTAN; match class: 1";19958;5297;"Up"
"29";"query_1";TRUE;0,0442366097107205;994;19;7;0,368421052631579;0,00704225352112676;"TF:M01471";"TF";"Factor: Lhx3; motif: NNAATTAATTAAWWNNN";19958;4686;"Up"
"30";"query_1";TRUE;0,0471992765970373;1004;19;7;0,368421052631579;0,00697211155378486;"TF:M04393_1";"TF";"Factor: LMX1B; motif: NYAATTAN; match class: 1";19958;4775;"Up"
"31";"query_1";TRUE;0,0190489570753643;40;4;2;0,5;0,05;"WP:WP4844";"WP";"Influence of laminopathies on Wnt signaling";7364;159;"Up"
"32";"query_1";TRUE;0,041641507488698;59;4;2;0,5;0,0338983050847458;"WP:WP4879";"WP";"Overlap between signal transduction pathways contributing to LMNA laminopathies";7364;358;"Up"
"33";"query_1";TRUE;0,0470337325716886;152;2;2;1;0,0131578947368421;"WP:WP4262";"WP";"Breast cancer pathway";7364;226;"Up"
"34";"query_1";TRUE;0,0223733396921377;23;6;2;0,333333333333333;0,0869565217391304;"GO:0045943";"GO:BP";"positive regulation of transcription by RNA polymerase I";21100;13650;"Down"
"35";"query_1";TRUE;0,0452264500626375;72;3;2;0,666666666666667;0,0277777777777778;"GO:0043967";"GO:BP";"histone H4 acetylation";21100;12539;"Down"
"36";"query_1";TRUE;0,0495414818472727;34;6;2;0,333333333333333;0,0588235294117647;"GO:0006356";"GO:BP";"regulation of transcription by RNA polymerase I";21100;2354;"Down"
"37";"query_1";TRUE;0,0402257330220237;7;1;1;1;0,142857142857143;"GO:0005757";"GO:CC";"mitochondrial permeability transition pore complex";21698;401;"Down"
"38";"query_1";TRUE;0,000278766686661468;13;3;2;0,666666666666667;0,153846153846154;"GO:0010485";"GO:MF";"H4 histone acetyltransferase activity";20183;2820;"Down"
"39";"query_1";TRUE;0,00237835083374131;37;3;2;0,666666666666667;0,0540540540540541;"GO:0004402";"GO:MF";"histone acetyltransferase activity";20183;1016;"Down"
"40";"query_1";TRUE;0,00264600810246784;39;3;2;0,666666666666667;0,0512820512820513;"GO:0061733";"GO:MF";"peptide-lysine-N-acetyltransferase activity";20183;9661;"Down"
"41";"query_1";TRUE;0,00385907951254768;47;3;2;0,666666666666667;0,0425531914893617;"GO:0034212";"GO:MF";"peptide N-acetyltransferase activity";20183;5905;"Down"
"42";"query_1";TRUE;0,00742100401867158;65;3;2;0,666666666666667;0,0307692307692308;"GO:0008080";"GO:MF";"N-acetyltransferase activity";20183;1954;"Down"
"43";"query_1";TRUE;0,01396036715276;89;3;2;0,666666666666667;0,0224719101123595;"GO:0016407";"GO:MF";"acetyltransferase activity";20183;3511;"Down"
"44";"query_1";TRUE;0,014597526967776;91;3;2;0,666666666666667;0,021978021978022;"GO:0016410";"GO:MF";"N-acyltransferase activity";20183;3514;"Down"
"45";"query_1";TRUE;0,0100123550643051;563;10;5;0,5;0,0088809946714032;"HPA:0470182";"HPA";"skin 2; cells in granular layer[≥Medium]";10976;662;"Down"
"46";"query_1";TRUE;0,0117424253134282;480;3;3;1;0,00625;"HPA:0381212";"HPA";"placenta; syncytiotrophoblasts - cell body[≥Medium]";10976;506;"Down"
"47";"query_1";TRUE;0,0175830166941488;549;3;3;1;0,00546448087431694;"HPA:0381211";"HPA";"placenta; syncytiotrophoblasts - cell body[≥Low]";10976;505;"Down"
"48";"query_1";TRUE;0,0205248170259528;578;3;3;1;0,00519031141868512;"HPA:0461462";"HPA";"skin 1; langerhans cells[≥Medium]";10976;637;"Down"
"49";"query_1";TRUE;0,021854328650771;663;10;5;0,5;0,00754147812971342;"HPA:0471462";"HPA";"skin 2; langerhans cells[≥Medium]";10976;686;"Down"
"50";"query_1";TRUE;0,0220553705351329;592;3;3;1;0,00506756756756757;"HPA:0461412";"HPA";"skin 1; cells in spinous layer[≥Medium]";10976;613;"Down"
"51";"query_1";TRUE;0,0253411663599551;684;10;5;0,5;0,00730994152046784;"HPA:0471412";"HPA";"skin 2; cells in spinous layer[≥Medium]";10976;665;"Down"
"52";"query_1";TRUE;0,0274867525330865;637;3;3;1;0,00470957613814757;"HPA:0461392";"HPA";"skin 1; cells in basal layer[≥Medium]";10976;604;"Down"
"53";"query_1";TRUE;0,0304415562164283;711;10;5;0,5;0,0070323488045007;"HPA:0460181";"HPA";"skin 1; cells in granular layer[≥Low]";10976;609;"Down"
"54";"query_1";TRUE;0,0323072208883146;720;10;5;0,5;0,00694444444444444;"HPA:0470181";"HPA";"skin 2; cells in granular layer[≥Low]";10976;661;"Down"
"55";"query_1";TRUE;0,0384026418721578;712;3;3;1;0,00421348314606742;"HPA:0461471";"HPA";"skin 1; lymphocytes[≥Low]";10976;639;"Down"
"56";"query_1";TRUE;0,0390544418167542;716;3;3;1;0,00418994413407821;"HPA:0461461";"HPA";"skin 1; langerhans cells[≥Low]";10976;636;"Down"
"57";"query_1";TRUE;0,0459825712197921;756;3;3;1;0,00396825396825397;"HPA:0471392";"HPA";"skin 2; cells in basal layer[≥Medium]";10976;656;"Down"
"58";"query_1";TRUE;0,046717299780193;760;3;3;1;0,00394736842105263;"HPA:0461411";"HPA";"skin 1; cells in spinous layer[≥Low]";10976;612;"Down"
