"";"query";"significant";"p_value";"term_size";"query_size";"intersection_size";"precision";"recall";"term_id";"source";"term_name";"effective_domain_size";"source_order";"set"
"1";"query_1";TRUE;0,000159759517482175;2391;19;12;0,631578947368421;0,00501882057716437;"GO:0071310";"GO:BP";"cellular response to organic substance";21100;19341;"Up"
"2";"query_1";TRUE;0,00063521894033683;613;18;7;0,388888888888889;0,0114192495921697;"GO:0007169";"GO:BP";"transmembrane receptor protein tyrosine kinase signaling pathway";21100;3069;"Up"
"3";"query_1";TRUE;0,00114656794310234;1166;16;8;0,5;0,00686106346483705;"GO:1901701";"GO:BP";"cellular response to oxygen-containing compound";21100;24967;"Up"
"4";"query_1";TRUE;0,00205555674278249;3010;19;12;0,631578947368421;0,00398671096345515;"GO:0010033";"GO:BP";"response to organic substance";21100;4307;"Up"
"5";"query_1";TRUE;0,00212396448506432;3019;19;12;0,631578947368421;0,00397482610135807;"GO:0070887";"GO:BP";"cellular response to chemical stimulus";21100;19115;"Up"
"6";"query_1";TRUE;0,010784408929294;1493;32;11;0,34375;0,00736771600803751;"GO:0051247";"GO:BP";"positive regulation of protein metabolic process";21100;15702;"Up"
"7";"query_1";TRUE;0,0118698823585963;951;18;7;0,388888888888889;0,00736067297581493;"GO:0007167";"GO:BP";"enzyme-linked receptor protein signaling pathway";21100;3067;"Up"
"8";"query_1";TRUE;0,0133933705596683;582;19;6;0,315789473684211;0,0103092783505155;"GO:0032870";"GO:BP";"cellular response to hormone stimulus";21100;9072;"Up"
"9";"query_1";TRUE;0,0138879479059267;1624;16;8;0,5;0,00492610837438424;"GO:1901700";"GO:BP";"response to oxygen-containing compound";21100;24966;"Up"
"10";"query_1";TRUE;0,0142382242950189;1316;19;8;0,421052631578947;0,0060790273556231;"GO:0071495";"GO:BP";"cellular response to endogenous stimulus";21100;19516;"Up"
"11";"query_1";TRUE;0,017612349079529;5766;24;17;0,708333333333333;0,00294831772459244;"GO:0044260";"GO:BP";"cellular macromolecule metabolic process";21100;12699;"Up"
"12";"query_1";TRUE;0,017629475092869;4882;20;14;0,7;0,002867677181483;"GO:0044267";"GO:BP";"cellular protein metabolic process";21100;12703;"Up"
"13";"query_1";TRUE;0,0183971108920786;996;32;9;0,28125;0,00903614457831325;"GO:0030163";"GO:BP";"protein catabolic process";21100;7720;"Up"
"14";"query_1";TRUE;0,0216742168197627;2811;14;9;0,642857142857143;0,0032017075773746;"GO:0007166";"GO:BP";"cell surface receptor signaling pathway";21100;3066;"Up"
"15";"query_1";TRUE;0,0246593106117067;778;32;8;0,25;0,0102827763496144;"GO:0051603";"GO:BP";"proteolysis involved in cellular protein catabolic process";21100;15966;"Up"
"16";"query_1";TRUE;0,0249784959394669;2559;22;11;0,5;0,00429855412270418;"GO:0009056";"GO:BP";"catabolic process";21100;3659;"Up"
"17";"query_1";TRUE;0,0283769943469507;1359;20;8;0,4;0,00588668138337013;"GO:0009057";"GO:BP";"macromolecule catabolic process";21100;3660;"Up"
"18";"query_1";TRUE;0,0403279104887748;833;32;8;0,25;0,00960384153661465;"GO:0044257";"GO:BP";"cellular protein catabolic process";21100;12697;"Up"
"19";"query_1";TRUE;0,0411261706891633;21;8;2;0,25;0,0952380952380952;"GO:0070233";"GO:BP";"negative regulation of T cell apoptotic process";21100;18734;"Up"
"20";"query_1";TRUE;0,0487498492380947;1557;19;8;0,421052631578947;0,00513808606294155;"GO:0009719";"GO:BP";"response to endogenous stimulus";21100;4067;"Up"
"21";"query_1";TRUE;0,0170138710722236;999;32;8;0,25;0,00800800800800801;"GO:0005768";"GO:CC";"endosome";21698;412;"Up"
"22";"query_1";TRUE;0,023261508770601;12;28;2;0,0714285714285714;0,166666666666667;"GO:0071203";"GO:CC";"WASH complex";21698;3049;"Up"
"23";"query_1";TRUE;0,0174095661839962;103;10;3;0,3;0,029126213592233;"KEGG:04931";"KEGG";"Insulin resistance";7559;370;"Up"
"24";"query_1";TRUE;0,0312445233222748;13;14;2;0,142857142857143;0,153846153846154;"WP:WP3301";"WP";"MFAP5-mediated ovarian cancer cell motility and invasiveness";7364;325;"Up"
"25";"query_1";TRUE;0,00150550434031661;1099;28;10;0,357142857142857;0,00909918107370337;"GO:0072359";"GO:BP";"circulatory system development";21100;20215;"Down"
"26";"query_1";TRUE;0,0132747604133732;840;27;8;0,296296296296296;0,00952380952380952;"GO:0045597";"GO:BP";"positive regulation of cell differentiation";21100;13329;"Down"
"27";"query_1";TRUE;0,0290795205022583;574;21;6;0,285714285714286;0,0104529616724739;"GO:0007507";"GO:BP";"heart development";21100;3374;"Down"
"28";"query_1";TRUE;0,0325828077924199;1037;25;8;0,32;0,0077145612343298;"GO:0007417";"GO:BP";"central nervous system development";21100;3291;"Down"
