"";"query";"significant";"p_value";"term_size";"query_size";"intersection_size";"precision";"recall";"term_id";"source";"term_name";"effective_domain_size";"source_order";"set"
"1";"query_1";TRUE;0,0331933679650804;4;1;1;1;0,25;"CORUM:6291";"CORUM";"Ubiquitin E3 ligase (DDIT4, DDB1, BTRC, CUL4A)";3385;2032;"Up"
"2";"query_1";TRUE;0,000828826421551741;27;13;3;0,230769230769231;0,111111111111111;"GO:0045606";"GO:BP";"positive regulation of epidermal cell differentiation";21092;13318;"Up"
"3";"query_1";TRUE;0,00140296461725559;32;13;3;0,230769230769231;0,09375;"GO:0045684";"GO:BP";"positive regulation of epidermis development";21092;13393;"Up"
"4";"query_1";TRUE;0,00193914049046707;341;13;5;0,384615384615385;0,0146627565982405;"GO:0048545";"GO:BP";"response to steroid hormone";21092;14845;"Up"
"5";"query_1";TRUE;0,00328532899557257;4;13;2;0,153846153846154;0,5;"GO:2000137";"GO:BP";"negative regulation of cell proliferation involved in heart morphogenesis";21092;29344;"Up"
"6";"query_1";TRUE;0,00496119601612712;909;23;8;0,347826086956522;0,0088008800880088;"GO:0033993";"GO:BP";"response to lipid";21092;9622;"Up"
"7";"query_1";TRUE;0,00533823028165543;918;23;8;0,347826086956522;0,00871459694989107;"GO:0014070";"GO:BP";"response to organic cyclic compound";21092;5179;"Up"
"8";"query_1";TRUE;0,00864740660259595;58;13;3;0,230769230769231;0,0517241379310345;"GO:0045604";"GO:BP";"regulation of epidermal cell differentiation";21092;13316;"Up"
"9";"query_1";TRUE;0,0100754464730326;61;13;3;0,230769230769231;0,0491803278688525;"GO:0030858";"GO:BP";"positive regulation of epithelial cell differentiation";21092;8024;"Up"
"10";"query_1";TRUE;0,012210871242897;65;13;3;0,230769230769231;0,0461538461538462;"GO:0045682";"GO:BP";"regulation of epidermis development";21092;13391;"Up"
"11";"query_1";TRUE;0,0131221981907567;192;15;4;0,266666666666667;0,0208333333333333;"GO:0031099";"GO:BP";"regeneration";21092;8141;"Up"
"12";"query_1";TRUE;0,0141412478221649;206;5;3;0,6;0,0145631067961165;"GO:1901654";"GO:BP";"response to ketone";21092;24917;"Up"
"13";"query_1";TRUE;0,0141473616126503;512;13;5;0,384615384615385;0,009765625;"GO:0060284";"GO:BP";"regulation of cell development";21092;17040;"Up"
"14";"query_1";TRUE;0,0221622694993031;68;15;3;0,2;0,0441176470588235;"GO:0031100";"GO:BP";"animal organ regeneration";21092;8142;"Up"
"15";"query_1";TRUE;0,0252283749636686;857;15;6;0,4;0,00700116686114352;"GO:0009725";"GO:BP";"response to hormone";21092;4069;"Up"
"16";"query_1";TRUE;0,0300422935614264;11;13;2;0,153846153846154;0,181818181818182;"GO:1904238";"GO:BP";"pericyte cell differentiation";21092;27202;"Up"
"17";"query_1";TRUE;0,0300422935614264;11;13;2;0,153846153846154;0,181818181818182;"GO:0045603";"GO:BP";"positive regulation of endothelial cell differentiation";21092;13315;"Up"
"18";"query_1";TRUE;0,038427606318531;296;13;4;0,307692307692308;0,0135135135135135;"GO:0048872";"GO:BP";"homeostasis of number of cells";21092;15141;"Up"
"19";"query_1";TRUE;0,0406946172550835;166;8;3;0,375;0,0180722891566265;"GO:0031960";"GO:BP";"response to corticosteroid";21092;8464;"Up"
"20";"query_1";TRUE;0,0432108649409666;305;13;4;0,307692307692308;0,0131147540983607;"GO:0010720";"GO:BP";"positive regulation of cell development";21092;4856;"Up"
"21";"query_1";TRUE;0,0434406788950341;2069;23;10;0,434782608695652;0,00483325277912035;"GO:0009891";"GO:BP";"positive regulation of biosynthetic process";21092;4207;"Up"
"22";"query_1";TRUE;0,0435805874852192;370;11;4;0,363636363636364;0,0108108108108108;"GO:0050767";"GO:BP";"regulation of neurogenesis";21092;15284;"Up"
"23";"query_1";TRUE;0,0447264313680135;67;19;3;0,157894736842105;0,0447761194029851;"GO:0010633";"GO:BP";"negative regulation of epithelial cell migration";21092;4774;"Up"
"24";"query_1";TRUE;0,0428477653175856;1;5;1;0,2;1;"GO:0044796";"GO:CC";"DNA polymerase processivity factor complex";21690;2408;"Up"
"25";"query_1";TRUE;0,0428477653175856;1;5;1;0,2;1;"GO:0043626";"GO:CC";"PCNA complex";21690;2178;"Up"
"26";"query_1";TRUE;0,0106419930637021;96;8;3;0,375;0,03125;"WP:WP4963";"WP";"p53 transcriptional gene network";7827;40;"Up"
"27";"query_1";TRUE;0,00847540777164909;604;17;6;0,352941176470588;0,00993377483443709;"GO:0032787";"GO:BP";"monocarboxylic acid metabolic process";21092;9017;"Down"
"28";"query_1";TRUE;0,0155581677014102;787;5;4;0,8;0,00508259212198221;"GO:0031329";"GO:BP";"regulation of cellular catabolic process";21092;8255;"Down"
"29";"query_1";TRUE;0,0185937173653246;1008;18;7;0,388888888888889;0,00694444444444444;"GO:0044255";"GO:BP";"cellular lipid metabolic process";21092;12677;"Down"
"30";"query_1";TRUE;0,0194765712807052;396;17;5;0,294117647058824;0,0126262626262626;"GO:0006631";"GO:BP";"fatty acid metabolic process";21092;2599;"Down"
"31";"query_1";TRUE;0,0203986554321031;129;8;3;0,375;0,0232558139534884;"GO:0051225";"GO:BP";"spindle assembly";21092;15666;"Down"
"32";"query_1";TRUE;0,0396488073582139;996;5;4;0,8;0,00401606425702811;"GO:0009894";"GO:BP";"regulation of catabolic process";21092;4210;"Down"
"33";"query_1";TRUE;0,0496827095254335;415;4;3;0,75;0,0072289156626506;"GO:0031331";"GO:BP";"positive regulation of cellular catabolic process";21092;8257;"Down"
"34";"query_1";TRUE;0,00632289667240036;872;14;7;0,5;0,00802752293577982;"HPA:0471411";"HPA";"skin 2; cells in spinous layer[≥Low]";10976;664;"Down"
"35";"query_1";TRUE;0,0120615253188816;641;14;6;0,428571428571429;0,0093603744149766;"HPA:0470672";"HPA";"skin 2; melanocytes[≥Medium]";10976;692;"Down"
"36";"query_1";TRUE;0,0121053628744;964;14;7;0,5;0,00726141078838174;"HPA:0471391";"HPA";"skin 2; cells in basal layer[≥Low]";10976;655;"Down"
"37";"query_1";TRUE;0,0176199118752043;1022;14;7;0,5;0,00684931506849315;"HPA:0471441";"HPA";"skin 2; fibrohistiocytic cells[≥Low]";10976;679;"Down"
