"";"query";"significant";"p_value";"term_size";"query_size";"intersection_size";"precision";"recall";"term_id";"source";"term_name";"effective_domain_size";"source_order";"set"
"1";"query_1";TRUE;0,00247526215862704;102;5;3;0,6;0,0294117647058824;"GO:0046939";"GO:BP";"nucleotide phosphorylation";21100;14456;"Up"
"2";"query_1";TRUE;0,00269139492475373;290;7;4;0,571428571428571;0,0137931034482759;"GO:0048872";"GO:BP";"homeostasis of number of cells";21100;15161;"Up"
"3";"query_1";TRUE;0,00307089075251417;4765;50;27;0,54;0,00566631689401889;"GO:0044271";"GO:BP";"cellular nitrogen compound biosynthetic process";21100;12706;"Up"
"4";"query_1";TRUE;0,00477503858918023;13;4;2;0,5;0,153846153846154;"GO:0045820";"GO:BP";"negative regulation of glycolytic process";21100;13536;"Up"
"5";"query_1";TRUE;0,00556164118408871;350;53;8;0,150943396226415;0,0228571428571429;"GO:0002460";"GO:BP";"adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains";21100;1106;"Up"
"6";"query_1";TRUE;0,00877251934130605;5700;50;29;0,58;0,00508771929824561;"GO:0044249";"GO:BP";"cellular biosynthetic process";21100;12692;"Up"
"7";"query_1";TRUE;0,0104643835552799;19;4;2;0,5;0,105263157894737;"GO:1900543";"GO:BP";"negative regulation of purine nucleotide metabolic process";21100;23874;"Up"
"8";"query_1";TRUE;0,0116028010356752;5774;50;29;0,58;0,00502251472116384;"GO:1901576";"GO:BP";"organic substance biosynthetic process";21100;24864;"Up"
"9";"query_1";TRUE;0,0116263576946431;20;4;2;0,5;0,1;"GO:0045980";"GO:BP";"negative regulation of nucleotide metabolic process";21100;13686;"Up"
"10";"query_1";TRUE;0,0141633444611372;626;17;6;0,352941176470588;0,00958466453674121;"GO:0071417";"GO:BP";"cellular response to organonitrogen compound";21100;19446;"Up"
"11";"query_1";TRUE;0,0157709930009169;938;18;7;0,388888888888889;0,00746268656716418;"GO:0048534";"GO:BP";"hematopoietic or lymphoid organ development";21100;14854;"Up"
"12";"query_1";TRUE;0,0160123159981293;5861;50;29;0,58;0,0049479610987886;"GO:0009058";"GO:BP";"biosynthetic process";21100;3661;"Up"
"13";"query_1";TRUE;0,0180618624180726;2371;57;19;0,333333333333333;0,00801349641501476;"GO:0051172";"GO:BP";"negative regulation of nitrogen compound metabolic process";21100;15641;"Up"
"14";"query_1";TRUE;0,0214686608297289;27;4;2;0,5;0,0740740740740741;"GO:1903579";"GO:BP";"negative regulation of ATP metabolic process";21100;26631;"Up"
"15";"query_1";TRUE;0,0216486952592598;4048;7;7;1;0,00172924901185771;"GO:0019219";"GO:BP";"regulation of nucleobase-containing compound metabolic process";21100;6471;"Up"
"16";"query_1";TRUE;0,0217416399717253;5654;20;15;0,75;0,00265298903431199;"GO:0051171";"GO:BP";"regulation of nitrogen compound metabolic process";21100;15640;"Up"
"17";"query_1";TRUE;0,0233248053018634;683;17;6;0,352941176470588;0,00878477306002928;"GO:1901699";"GO:BP";"cellular response to nitrogen compound";21100;24965;"Up"
"18";"query_1";TRUE;0,0233848533922965;996;18;7;0,388888888888889;0,0070281124497992;"GO:0002520";"GO:BP";"immune system development";21100;1165;"Up"
"19";"query_1";TRUE;0,0290912088605523;7;17;2;0,117647058823529;0,285714285714286;"GO:0031622";"GO:BP";"positive regulation of fever generation";21100;8393;"Up"
"20";"query_1";TRUE;0,0290912088605523;7;17;2;0,117647058823529;0,285714285714286;"GO:0031394";"GO:BP";"positive regulation of prostaglandin biosynthetic process";21100;8293;"Up"
"21";"query_1";TRUE;0,0291833757860021;4085;40;20;0,5;0,00489596083231334;"GO:0031326";"GO:BP";"regulation of cellular biosynthetic process";21100;8258;"Up"
"22";"query_1";TRUE;0,0313873937199513;5812;20;15;0,75;0,00258086717136958;"GO:0080090";"GO:BP";"regulation of primary metabolic process";21100;20855;"Up"
"23";"query_1";TRUE;0,0325330867734574;4856;57;28;0,491228070175439;0,0057660626029654;"GO:0048523";"GO:BP";"negative regulation of cellular process";21100;14845;"Up"
"24";"query_1";TRUE;0,0345578756549737;33;31;3;0,0967741935483871;0,0909090909090909;"GO:0033198";"GO:BP";"response to ATP";21100;9294;"Up"
