"";"query";"significant";"p_value";"term_size";"query_size";"intersection_size";"precision";"recall";"term_id";"source";"term_name";"effective_domain_size";"source_order";"set"
"1";"query_1";TRUE;0,0211942338538788;4;11;2;0,181818181818182;0,5;"CORUM:2563";"CORUM";"FGFR2-c-Cbl-Lyn-Fyn complex";3627;1084;"Up"
"2";"query_1";TRUE;3,11431175546189e-07;137;14;6;0,428571428571429;0,0437956204379562;"GO:0048660";"GO:BP";"regulation of smooth muscle cell proliferation";21100;14961;"Up"
"3";"query_1";TRUE;3,87060756018152e-07;142;14;6;0,428571428571429;0,0422535211267606;"GO:0048659";"GO:BP";"smooth muscle cell proliferation";21100;14960;"Up"
"4";"query_1";TRUE;4,29302965170248e-07;895;17;10;0,588235294117647;0,0111731843575419;"GO:0010562";"GO:BP";"positive regulation of phosphorus metabolic process";21100;4713;"Up"
"5";"query_1";TRUE;4,29302965170248e-07;895;17;10;0,588235294117647;0,0111731843575419;"GO:0045937";"GO:BP";"positive regulation of phosphate metabolic process";21100;13645;"Up"
"6";"query_1";TRUE;6,17830029471776e-07;929;17;10;0,588235294117647;0,0107642626480086;"GO:0008284";"GO:BP";"positive regulation of cell population proliferation";21100;3568;"Up"
"7";"query_1";TRUE;1,30591258624895e-06;1386;17;11;0,647058823529412;0,00793650793650794;"GO:0019220";"GO:BP";"regulation of phosphate metabolic process";21100;6472;"Up"
"8";"query_1";TRUE;1,32613358654744e-06;1388;17;11;0,647058823529412;0,00792507204610951;"GO:0051174";"GO:BP";"regulation of phosphorus metabolic process";21100;15643;"Up"
"9";"query_1";TRUE;2,46917963291616e-06;193;14;6;0,428571428571429;0,0310880829015544;"GO:0033002";"GO:BP";"muscle cell proliferation";21100;9178;"Up"
"10";"query_1";TRUE;2,52985677772552e-06;1958;17;12;0,705882352941177;0,00612870275791624;"GO:0008283";"GO:BP";"cell population proliferation";21100;3567;"Up"
"11";"query_1";TRUE;4,44876189084606e-06;5687;18;17;0,944444444444444;0,00298927378231053;"GO:0048522";"GO:BP";"positive regulation of cellular process";21100;14844;"Up"
"12";"query_1";TRUE;5,4949386995956e-06;816;17;9;0,529411764705882;0,0110294117647059;"GO:0042327";"GO:BP";"positive regulation of phosphorylation";21100;11670;"Up"
"13";"query_1";TRUE;5,80691444105868e-06;1170;17;10;0,588235294117647;0,00854700854700855;"GO:0043085";"GO:BP";"positive regulation of catalytic activity";21100;12129;"Up"
"14";"query_1";TRUE;8,74781522819902e-06;1658;17;11;0,647058823529412;0,00663449939686369;"GO:0042127";"GO:BP";"regulation of cell population proliferation";21100;11549;"Up"
"15";"query_1";TRUE;1,03360826422355e-05;1242;17;10;0,588235294117647;0,00805152979066022;"GO:0042325";"GO:BP";"regulation of phosphorylation";21100;11668;"Up"
"16";"query_1";TRUE;1,83565664148303e-05;1557;12;9;0,75;0,00578034682080925;"GO:0009719";"GO:BP";"response to endogenous stimulus";21100;4067;"Up"
"17";"query_1";TRUE;2,00018366796664e-05;6224;18;17;0,944444444444444;0,00273136246786632;"GO:0048518";"GO:BP";"positive regulation of biological process";21100;14840;"Up"
"18";"query_1";TRUE;2,01838568295695e-05;2345;17;12;0,705882352941177;0,00511727078891258;"GO:0050790";"GO:BP";"regulation of catalytic activity";21100;15322;"Up"
"19";"query_1";TRUE;2,90918530380596e-05;3083;17;13;0,764705882352941;0,0042166720726565;"GO:0051173";"GO:BP";"positive regulation of nitrogen compound metabolic process";21100;15642;"Up"
"20";"query_1";TRUE;2,94340469120389e-05;2391;12;10;0,833333333333333;0,00418235048097031;"GO:0071310";"GO:BP";"cellular response to organic substance";21100;19341;"Up"
"21";"query_1";TRUE;6,05249063273901e-05;3271;17;13;0,764705882352941;0,00397431977988383;"GO:0031325";"GO:BP";"positive regulation of cellular metabolic process";21100;8257;"Up"
"22";"query_1";TRUE;8,82600194001675e-05;489;17;7;0,411764705882353;0,0143149284253579;"GO:0033674";"GO:BP";"positive regulation of kinase activity";21100;9602;"Up"
"23";"query_1";TRUE;8,87990658923728e-05;770;17;8;0,470588235294118;0,0103896103896104;"GO:0043549";"GO:BP";"regulation of kinase activity";21100;12396;"Up"
"24";"query_1";TRUE;8,97021737433606e-05;1556;17;10;0,588235294117647;0,006426735218509;"GO:0044093";"GO:BP";"positive regulation of molecular function";21100;12634;"Up"
"25";"query_1";TRUE;9,18595426928172e-05;2074;14;10;0,714285714285714;0,00482160077145612;"GO:0008219";"GO:BP";"cell death";21100;3560;"Up"
"26";"query_1";TRUE;0,000108239014818178;1587;17;10;0,588235294117647;0,00630119722747322;"GO:0006468";"GO:BP";"protein phosphorylation";21100;2446;"Up"
"27";"query_1";TRUE;0,000123154851852068;3465;17;13;0,764705882352941;0,00375180375180375;"GO:0010604";"GO:BP";"positive regulation of macromolecule metabolic process";21100;4750;"Up"
"28";"query_1";TRUE;0,00022614940247016;879;12;7;0,583333333333333;0,00796359499431172;"GO:0033993";"GO:BP";"response to lipid";21100;9631;"Up"
"29";"query_1";TRUE;0,000266256491664227;575;17;7;0,411764705882353;0,0121739130434783;"GO:0051347";"GO:BP";"positive regulation of transferase activity";21100;15787;"Up"
"30";"query_1";TRUE;0,000278110679184791;3010;12;10;0,833333333333333;0,00332225913621262;"GO:0010033";"GO:BP";"response to organic substance";21100;4307;"Up"
"31";"query_1";TRUE;0,000278335973617502;893;17;8;0,470588235294118;0,00895856662933931;"GO:0051338";"GO:BP";"regulation of transferase activity";21100;15778;"Up"
"32";"query_1";TRUE;0,000286296921296542;3019;12;10;0,833333333333333;0,00331235508446505;"GO:0070887";"GO:BP";"cellular response to chemical stimulus";21100;19115;"Up"
"33";"query_1";TRUE;0,000332041105454806;82;14;4;0,285714285714286;0,0487804878048781;"GO:0048661";"GO:BP";"positive regulation of smooth muscle cell proliferation";21100;14962;"Up"
"34";"query_1";TRUE;0,000353464399428933;3776;17;13;0,764705882352941;0,00344279661016949;"GO:0009893";"GO:BP";"positive regulation of metabolic process";21100;4213;"Up"
"35";"query_1";TRUE;0,000399990223541398;3050;17;12;0,705882352941177;0,0039344262295082;"GO:0065009";"GO:BP";"regulation of molecular function";21100;18614;"Up"
"36";"query_1";TRUE;0,000498969609456148;1865;17;10;0,588235294117647;0,00536193029490617;"GO:0006915";"GO:BP";"apoptotic process";21100;2855;"Up"
"37";"query_1";TRUE;0,000543458161093829;1882;17;10;0,588235294117647;0,0053134962805526;"GO:0016310";"GO:BP";"phosphorylation";21100;5776;"Up"
"38";"query_1";TRUE;0,000607072287440739;1406;17;9;0,529411764705882;0,00640113798008535;"GO:0032270";"GO:BP";"positive regulation of cellular protein metabolic process";21100;8642;"Up"
"39";"query_1";TRUE;0,000649442042964257;1918;17;10;0,588235294117647;0,00521376433785193;"GO:0012501";"GO:BP";"programmed cell death";21100;5116;"Up"
"40";"query_1";TRUE;0,000657099755913938;999;17;8;0,470588235294118;0,00800800800800801;"GO:0031401";"GO:BP";"positive regulation of protein modification process";21100;8299;"Up"
"41";"query_1";TRUE;0,000657645227361326;930;18;8;0,444444444444444;0,00860215053763441;"GO:0022603";"GO:BP";"regulation of anatomical structure morphogenesis";21100;7595;"Up"
"42";"query_1";TRUE;0,000704140166811148;2085;13;9;0,692307692307692;0,00431654676258993;"GO:0006928";"GO:BP";"movement of cell or subcellular component";21100;2866;"Up"
"43";"query_1";TRUE;0,000757442177607827;6004;17;15;0,882352941176471;0,0024983344437042;"GO:0031323";"GO:BP";"regulation of cellular metabolic process";21100;8255;"Up"
"44";"query_1";TRUE;0,000814991305721772;107;4;3;0,75;0,0280373831775701;"GO:0009408";"GO:BP";"response to heat";21100;3913;"Up"
"45";"query_1";TRUE;0,00101131317955271;1493;17;9;0,529411764705882;0,00602813127930342;"GO:0051247";"GO:BP";"positive regulation of protein metabolic process";21100;15702;"Up"
"46";"query_1";TRUE;0,00107237089482246;4085;11;10;0,909090909090909;0,00244798041615667;"GO:0031326";"GO:BP";"regulation of cellular biosynthetic process";21100;8258;"Up"
"47";"query_1";TRUE;0,00109199988950894;1711;12;8;0,666666666666667;0,00467562828755114;"GO:0010647";"GO:BP";"positive regulation of cell communication";21100;4792;"Up"
"48";"query_1";TRUE;0,0011118279873191;1715;12;8;0,666666666666667;0,00466472303206997;"GO:0023056";"GO:BP";"positive regulation of signaling";21100;7652;"Up"
"49";"query_1";TRUE;0,00114000048411919;713;17;7;0,411764705882353;0,00981767180925666;"GO:0008285";"GO:BP";"negative regulation of cell population proliferation";21100;3569;"Up"
"50";"query_1";TRUE;0,00118724717941548;6508;12;12;1;0,00184388444990781;"GO:0007154";"GO:BP";"cell communication";21100;3054;"Up"
"51";"query_1";TRUE;0,00123701342069769;4145;11;10;0,909090909090909;0,00241254523522316;"GO:0009889";"GO:BP";"regulation of biosynthetic process";21100;4209;"Up"
"52";"query_1";TRUE;0,00133983160564998;1097;17;8;0,470588235294118;0,0072926162260711;"GO:0001932";"GO:BP";"regulation of protein phosphorylation";21100;662;"Up"
"53";"query_1";TRUE;0,00139832441661729;735;17;7;0,411764705882353;0,00952380952380952;"GO:0001934";"GO:BP";"positive regulation of protein phosphorylation";21100;664;"Up"
"54";"query_1";TRUE;0,00151542459905249;2781;14;10;0,714285714285714;0,00359582883854729;"GO:0006796";"GO:BP";"phosphate-containing compound metabolic process";21100;2752;"Up"
"55";"query_1";TRUE;0,00163284920725963;2803;14;10;0,714285714285714;0,00356760613628255;"GO:0006793";"GO:BP";"phosphorus metabolic process";21100;2749;"Up"
"56";"query_1";TRUE;0,00172873432671738;147;12;4;0,333333333333333;0,0272108843537415;"GO:0010634";"GO:BP";"positive regulation of epithelial cell migration";21100;4779;"Up"
"57";"query_1";TRUE;0,00189747393548082;839;22;8;0,363636363636364;0,00953516090584029;"GO:0009725";"GO:BP";"response to hormone";21100;4073;"Up"
"58";"query_1";TRUE;0,00193547064365236;983;14;7;0,5;0,00712105798575788;"GO:0060548";"GO:BP";"negative regulation of cell death";21100;17313;"Up"
"59";"query_1";TRUE;0,00221314547257252;40;12;3;0,25;0,075;"GO:0060412";"GO:BP";"ventricular septum morphogenesis";21100;17181;"Up"
"60";"query_1";TRUE;0,00316763319845487;2811;12;9;0,75;0,0032017075773746;"GO:0007166";"GO:BP";"cell surface receptor signaling pathway";21100;3066;"Up"
"61";"query_1";TRUE;0,00330941643000877;1592;14;8;0,571428571428571;0,0050251256281407;"GO:0010941";"GO:BP";"regulation of cell death";21100;5062;"Up"
"62";"query_1";TRUE;0,00342357231046901;2947;17;11;0,647058823529412;0,00373260943332202;"GO:0009966";"GO:BP";"regulation of signal transduction";21100;4266;"Up"
"63";"query_1";TRUE;0,00349640288444163;1316;12;7;0,583333333333333;0,00531914893617021;"GO:0071495";"GO:BP";"cellular response to endogenous stimulus";21100;19516;"Up"
"64";"query_1";TRUE;0,00356528634655687;523;17;6;0,352941176470588;0,011472275334608;"GO:0030335";"GO:BP";"positive regulation of cell migration";21100;7814;"Up"
"65";"query_1";TRUE;0,00364662109668472;138;15;4;0,266666666666667;0,0289855072463768;"GO:0030879";"GO:BP";"mammary gland development";21100;8037;"Up"
"66";"query_1";TRUE;0,00391459513445716;180;4;3;0,75;0,0166666666666667;"GO:0009266";"GO:BP";"response to temperature stimulus";21100;3863;"Up"
"67";"query_1";TRUE;0,00408942487016867;1099;14;7;0,5;0,00636942675159236;"GO:0072359";"GO:BP";"circulatory system development";21100;20215;"Up"
"68";"query_1";TRUE;0,00451290312509026;5654;17;14;0,823529411764706;0,00247612309869119;"GO:0051171";"GO:BP";"regulation of nitrogen compound metabolic process";21100;15640;"Up"
"69";"query_1";TRUE;0,00462188335400013;547;17;6;0,352941176470588;0,0109689213893967;"GO:2000147";"GO:BP";"positive regulation of cell motility";21100;29371;"Up"
"70";"query_1";TRUE;0,00466252107058931;2370;17;10;0,588235294117647;0,00421940928270042;"GO:0032268";"GO:BP";"regulation of cellular protein metabolic process";21100;8640;"Up"
"71";"query_1";TRUE;0,00501825429389216;22;3;2;0,666666666666667;0,0909090909090909;"GO:0030728";"GO:BP";"ovulation";21100;7970;"Up"
"72";"query_1";TRUE;0,00502751306787383;5452;12;11;0,916666666666667;0,00201760821716801;"GO:0010468";"GO:BP";"regulation of gene expression";21100;4649;"Up"
"73";"query_1";TRUE;0,00534816704134265;561;17;6;0,352941176470588;0,0106951871657754;"GO:0051272";"GO:BP";"positive regulation of cellular component movement";21100;15721;"Up"
"74";"query_1";TRUE;0,00545914191552553;563;17;6;0,352941176470588;0,0106571936056838;"GO:0040017";"GO:BP";"positive regulation of locomotion";21100;11464;"Up"
"75";"query_1";TRUE;0,00554342158988702;7399;12;12;1;0,00162184078929585;"GO:0051716";"GO:BP";"cellular response to stimulus";21100;16064;"Up"
"76";"query_1";TRUE;0,00623976678689352;2725;22;12;0,545454545454545;0,00440366972477064;"GO:0032879";"GO:BP";"regulation of localization";21100;9081;"Up"
"77";"query_1";TRUE;0,00645762562614839;5812;17;14;0,823529411764706;0,00240880935994494;"GO:0080090";"GO:BP";"regulation of primary metabolic process";21100;20855;"Up"
"78";"query_1";TRUE;0,00651562815266719;2276;18;10;0,555555555555556;0,00439367311072056;"GO:0051128";"GO:BP";"regulation of cellular component organization";21100;15598;"Up"
"79";"query_1";TRUE;0,0067209604956499;2169;12;8;0,666666666666667;0,00368833563854311;"GO:0048584";"GO:BP";"positive regulation of response to stimulus";21100;14896;"Up"
"80";"query_1";TRUE;0,00698694320364829;46;15;3;0,2;0,0652173913043478;"GO:0060443";"GO:BP";"mammary gland morphogenesis";21100;17209;"Up"
"81";"query_1";TRUE;0,00739690653675039;4856;17;13;0,764705882352941;0,00267710049423394;"GO:0048523";"GO:BP";"negative regulation of cellular process";21100;14845;"Up"
"82";"query_1";TRUE;0,0074435464382493;5876;17;14;0,823529411764706;0,00238257317903336;"GO:0048519";"GO:BP";"negative regulation of biological process";21100;14841;"Up"
"83";"query_1";TRUE;0,00799591939831195;332;17;5;0,294117647058824;0,0150602409638554;"GO:0048545";"GO:BP";"response to steroid hormone";21100;14865;"Up"
"84";"query_1";TRUE;0,00859732137661566;4336;14;11;0,785714285714286;0,00253690036900369;"GO:0042221";"GO:BP";"response to chemical";21100;11621;"Up"
"85";"query_1";TRUE;0,00869001370418356;2536;17;10;0,588235294117647;0,00394321766561514;"GO:0051246";"GO:BP";"regulation of protein metabolic process";21100;15701;"Up"
"86";"query_1";TRUE;0,0089092313454731;1513;12;7;0,583333333333333;0,0046265697290152;"GO:0009967";"GO:BP";"positive regulation of signal transduction";21100;4267;"Up"
"87";"query_1";TRUE;0,00923716170103162;152;17;4;0,235294117647059;0,0263157894736842;"GO:0048754";"GO:BP";"branching morphogenesis of an epithelial tube";21100;15050;"Up"
"88";"query_1";TRUE;0,00939912644450658;225;12;4;0,333333333333333;0,0177777777777778;"GO:0010632";"GO:BP";"regulation of epithelial cell migration";21100;4777;"Up"
"89";"query_1";TRUE;0,00944174740708344;249;11;4;0,363636363636364;0,0160642570281124;"GO:0051924";"GO:BP";"regulation of calcium ion transport";21100;16186;"Up"
"90";"query_1";TRUE;0,00982617191505441;1046;22;8;0,363636363636364;0,00764818355640535;"GO:0051130";"GO:BP";"positive regulation of cellular component organization";21100;15600;"Up"
"91";"query_1";TRUE;0,00993675617983472;579;11;5;0,454545454545455;0,00863557858376511;"GO:0010942";"GO:BP";"positive regulation of cell death";21100;5063;"Up"
"92";"query_1";TRUE;0,0099644402295284;521;12;5;0,416666666666667;0,00959692898272553;"GO:0001525";"GO:BP";"angiogenesis";21100;437;"Up"
"93";"query_1";TRUE;0,0100269985414239;7;12;2;0,166666666666667;0,285714285714286;"GO:0060462";"GO:BP";"lung lobe development";21100;17228;"Up"
"94";"query_1";TRUE;0,0100269985414239;7;12;2;0,166666666666667;0,285714285714286;"GO:0060463";"GO:BP";"lung lobe morphogenesis";21100;17229;"Up"
"95";"query_1";TRUE;0,0107857243140589;2629;11;8;0,727272727272727;0,00304298212248003;"GO:0035556";"GO:BP";"intracellular signal transduction";21100;10463;"Up"
"96";"query_1";TRUE;0,0115451023887;1461;17;8;0,470588235294118;0,0054757015742642;"GO:0016477";"GO:BP";"cell migration";21100;5816;"Up"
"97";"query_1";TRUE;0,0116210821743276;2425;18;10;0,555555555555556;0,00412371134020619;"GO:0050793";"GO:BP";"regulation of developmental process";21100;15324;"Up"
"98";"query_1";TRUE;0,0116278896330313;69;12;3;0,25;0,0434782608695652;"GO:0060411";"GO:BP";"cardiac septum morphogenesis";21100;17180;"Up"
