"";"query";"significant";"p_value";"term_size";"query_size";"intersection_size";"precision";"recall";"term_id";"source";"term_name";"effective_domain_size";"source_order";"set"
"1";"query_1";TRUE;0,000452151764902015;572;35;9;0,257142857142857;0,0157342657342657;"GO:0009611";"GO:BP";"response to wounding";21092;3979;"Up"
"2";"query_1";TRUE;0,000792993071873143;441;35;8;0,228571428571429;0,018140589569161;"GO:0042060";"GO:BP";"wound healing";21092;11495;"Up"
"3";"query_1";TRUE;0,00893081346052204;2355;18;10;0,555555555555556;0,00424628450106157;"GO:0051128";"GO:BP";"regulation of cellular component organization";21092;15578;"Up"
"4";"query_1";TRUE;0,0104219911837062;1604;20;9;0,45;0,00561097256857855;"GO:0048585";"GO:BP";"negative regulation of response to stimulus";21092;14877;"Up"
"5";"query_1";TRUE;0,0163271381718187;2816;23;12;0,521739130434783;0,00426136363636364;"GO:0007166";"GO:BP";"cell surface receptor signaling pathway";21092;3062;"Up"
"6";"query_1";TRUE;0,0167627791775913;66;14;3;0,214285714285714;0,0454545454545455;"GO:0045453";"GO:BP";"bone resorption";21092;13229;"Up"
"7";"query_1";TRUE;0,0246628904257563;129;25;4;0,16;0,0310077519379845;"GO:0042471";"GO:BP";"ear morphogenesis";21092;11767;"Up"
"8";"query_1";TRUE;0,0314197659401489;165;21;4;0,19047619047619;0,0242424242424242;"GO:1905952";"GO:BP";"regulation of lipid localization";21092;28784;"Up"
"9";"query_1";TRUE;0,0331693193581125;1507;14;7;0,5;0,0046449900464499;"GO:0051240";"GO:BP";"positive regulation of multicellular organismal process";21092;15678;"Up"
"10";"query_1";TRUE;0,0361603430863496;228;32;5;0,15625;0,0219298245614035;"GO:0007596";"GO:BP";"blood coagulation";21092;3453;"Up"
"11";"query_1";TRUE;0,0401263034742578;233;32;5;0,15625;0,0214592274678112;"GO:0050817";"GO:BP";"coagulation";21092;15322;"Up"
"12";"query_1";TRUE;0,0409585840834815;234;32;5;0,15625;0,0213675213675214;"GO:0007599";"GO:BP";"hemostasis";21092;3456;"Up"
"13";"query_1";TRUE;0,0417223653890224;15;11;2;0,181818181818182;0,133333333333333;"GO:0033008";"GO:BP";"positive regulation of mast cell activation involved in immune response";21092;9175;"Up"
"14";"query_1";TRUE;0,0417223653890224;15;11;2;0,181818181818182;0,133333333333333;"GO:0043306";"GO:BP";"positive regulation of mast cell degranulation";21092;12218;"Up"
"15";"query_1";TRUE;0,0418833360929846;24;7;2;0,285714285714286;0,0833333333333333;"GO:0038095";"GO:BP";"Fc-epsilon receptor signaling pathway";21092;11165;"Up"
"16";"query_1";TRUE;0,0426326277371537;90;14;3;0,214285714285714;0,0333333333333333;"GO:0046849";"GO:BP";"bone remodeling";21092;14382;"Up"
"17";"query_1";TRUE;0,0435782778348772;279;14;4;0,285714285714286;0,014336917562724;"GO:0001894";"GO:BP";"tissue homeostasis";21092;630;"Up"
"18";"query_1";TRUE;0,0441929670535807;280;14;4;0,285714285714286;0,0142857142857143;"GO:1903532";"GO:BP";"positive regulation of secretion by cell";21092;26570;"Up"
"19";"query_1";TRUE;0,0455181674083515;25;7;2;0,285714285714286;0,08;"GO:0046641";"GO:BP";"positive regulation of alpha-beta T cell proliferation";21092;14237;"Up"
"20";"query_1";TRUE;0,0493035513997172;26;7;2;0,285714285714286;0,0769230769230769;"GO:0032753";"GO:BP";"positive regulation of interleukin-4 production";21092;8989;"Up"
"21";"query_1";TRUE;0,0493097212002998;2214;18;9;0,5;0,0040650406504065;"GO:0048584";"GO:BP";"positive regulation of response to stimulus";21092;14876;"Up"
"22";"query_1";TRUE;0,0198353664584427;1;1;1;1;1;"GO:0004941";"GO:MF";"beta2-adrenergic receptor activity";20166;1480;"Up"
"23";"query_1";TRUE;0,024494887198104;2107;28;12;0,428571428571429;0,0056953013763645;"TF:M12567";"TF";"Factor: CEBPD; motif: NNTTGCACAAYNN";19943;756;"Up"
"24";"query_1";TRUE;0,005119177277577;6309;33;23;0,696969696969697;0,00364558567126327;"GO:0048518";"GO:BP";"positive regulation of biological process";21092;14820;"Down"
"25";"query_1";TRUE;0,0347541530748789;770;33;8;0,242424242424242;0,0103896103896104;"GO:0032989";"GO:BP";"cellular component morphogenesis";21092;9166;"Down"
"26";"query_1";TRUE;0,033408837305644;3;1;1;1;0,333333333333333;"GO:0099073";"GO:CC";"mitochondrion-derived vesicle";21690;3740;"Down"
"27";"query_1";TRUE;0,0106974756845848;192;19;4;0,210526315789474;0,0208333333333333;"GO:0003714";"GO:MF";"transcription corepressor activity";20166;432;"Down"
"28";"query_1";TRUE;0,0214154135858379;1293;29;9;0,310344827586207;0,00696055684454756;"GO:0044877";"GO:MF";"protein-containing complex binding";20166;7115;"Down"
"29";"query_1";TRUE;0,0373529842393534;520;19;5;0,263157894736842;0,00961538461538462;"GO:0003712";"GO:MF";"transcription coregulator activity";20166;430;"Down"
"30";"query_1";TRUE;0,0248770509030777;1535;35;14;0,4;0,00912052117263844;"HPA:0301371";"HPA";"lung; alveolar cells type II[≥Low]";10976;425;"Down"
"31";"query_1";TRUE;0,0391032720344963;129;27;4;0,148148148148148;0,0310077519379845;"MIRNA:hsa-miR-133a-3p";"MIRNA";"hsa-miR-133a-3p";14830;217;"Down"
"32";"query_1";TRUE;0,040134103656083;609;36;8;0,222222222222222;0,013136288998358;"MIRNA:hsa-miR-21-5p";"MIRNA";"hsa-miR-21-5p";14830;399;"Down"
