"";"query";"significant";"p_value";"term_size";"query_size";"intersection_size";"precision";"recall";"term_id";"source";"term_name";"effective_domain_size";"source_order";"set"
"1";"query_1";TRUE;0,00238979620948146;4;11;2;0,181818181818182;0,5;"GO:2000611";"GO:BP";"positive regulation of thyroid hormone generation";21100;29821;"Up"
"2";"query_1";TRUE;0,00586988100385577;34;19;3;0,157894736842105;0,0882352941176471;"GO:0090183";"GO:BP";"regulation of kidney development";21100;21200;"Up"
"3";"query_1";TRUE;0,0059710928704339;6;11;2;0,181818181818182;0,333333333333333;"GO:2000609";"GO:BP";"regulation of thyroid hormone generation";21100;29819;"Up"
"4";"query_1";TRUE;0,00760882231756507;37;19;3;0,157894736842105;0,0810810810810811;"GO:1905332";"GO:BP";"positive regulation of morphogenesis of an epithelium";21100;28234;"Up"
"5";"query_1";TRUE;0,0309879247345257;13;11;2;0,181818181818182;0,153846153846154;"GO:0072182";"GO:BP";"regulation of nephron tubule epithelial cell differentiation";21100;20050;"Up"
"6";"query_1";TRUE;0,0361422975328136;14;11;2;0,181818181818182;0,142857142857143;"GO:0032352";"GO:BP";"positive regulation of hormone metabolic process";21100;8702;"Up"
"7";"query_1";TRUE;0,0416907913076593;15;11;2;0,181818181818182;0,133333333333333;"GO:0071599";"GO:BP";"otic vesicle development";21100;19594;"Up"
"8";"query_1";TRUE;0,0416907913076593;15;11;2;0,181818181818182;0,133333333333333;"GO:0072160";"GO:BP";"nephron tubule epithelial cell differentiation";21100;20028;"Up"
"9";"query_1";TRUE;0,0420978971423457;65;19;3;0,157894736842105;0,0461538461538462;"GO:0060675";"GO:BP";"ureteric bud morphogenesis";21100;17433;"Up"
"10";"query_1";TRUE;0,0420978971423457;65;19;3;0,157894736842105;0,0461538461538462;"GO:1905330";"GO:BP";"regulation of morphogenesis of an epithelium";21100;28232;"Up"
"11";"query_1";TRUE;0,0440774737915848;66;19;3;0,157894736842105;0,0454545454545455;"GO:0072171";"GO:BP";"mesonephric tubule morphogenesis";21100;20039;"Up"
"12";"query_1";TRUE;0,0319972916399849;360;6;3;0,5;0,00833333333333333;"GO:0106310";"GO:MF";"protein serine kinase activity";20183;11602;"Up"
"13";"query_1";TRUE;0,0268153284735147;7;19;2;0,105263157894737;0,285714285714286;"GO:0061668";"GO:BP";"mitochondrial ribosome assembly";21100;18307;"Down"
"14";"query_1";TRUE;0,0286794894589857;379;19;5;0,263157894736842;0,0131926121372032;"GO:0140694";"GO:BP";"non-membrane-bounded organelle assembly";21100;23191;"Down"
"15";"query_1";TRUE;0,000416154542470869;12241;23;23;1;0,00187893145984805;"GO:0005737";"GO:CC";"cytoplasm";21698;384;"Down"
"16";"query_1";TRUE;0,000442023063857088;174;4;3;0,75;0,0172413793103448;"GO:0072686";"GO:CC";"mitotic spindle";21698;3154;"Down"
"17";"query_1";TRUE;0,000654939349578726;38;2;2;1;0,0526315789473684;"GO:0097431";"GO:CC";"mitotic spindle pole";21698;3345;"Down"
"18";"query_1";TRUE;0,00613798699502382;418;4;3;0,75;0,00717703349282297;"GO:0005819";"GO:CC";"spindle";21698;460;"Down"
"19";"query_1";TRUE;0,0135413135791277;171;2;2;1;0,0116959064327485;"GO:0000922";"GO:CC";"spindle pole";21698;137;"Down"
"20";"query_1";TRUE;0,01464936751074;5420;21;14;0,666666666666667;0,0025830258302583;"GO:0005829";"GO:CC";"cytosol";21698;469;"Down"
"21";"query_1";TRUE;0,0163967215381627;109;3;2;0,666666666666667;0,018348623853211;"GO:0016363";"GO:CC";"nuclear matrix";21698;867;"Down"
"22";"query_1";TRUE;0,0233431022965984;130;3;2;0,666666666666667;0,0153846153846154;"GO:0034399";"GO:CC";"nuclear periphery";21698;1708;"Down"
"23";"query_1";TRUE;0,03032052432673;3;1;1;1;0,333333333333333;"GO:0042585";"GO:CC";"germinal vesicle";21698;2041;"Down"
"24";"query_1";TRUE;0,0369429103872737;1339;15;6;0,4;0,00448095593726662;"GO:0015630";"GO:CC";"microtubule cytoskeleton";21698;837;"Down"
"25";"query_1";TRUE;0,0376526897970305;205;12;3;0,25;0,0146341463414634;"GO:0030496";"GO:CC";"midbody";21698;1111;"Down"
"26";"query_1";TRUE;0,0471909806982001;423;16;4;0,25;0,00945626477541371;"GO:0005925";"GO:CC";"focal adhesion";21698;549;"Down"
"27";"query_1";TRUE;0,016645111562215;123;2;2;1;0,016260162601626;"KEGG:04114";"KEGG";"Oocyte meiosis";7559;252;"Down"
"28";"query_1";TRUE;0,00927575189746703;88;9;3;0,333333333333333;0,0340909090909091;"MIRNA:hsa-miR-3611";"MIRNA";"hsa-miR-3611";13650;712;"Down"
"29";"query_1";TRUE;0,0116623076068101;51;16;3;0,1875;0,0588235294117647;"MIRNA:hsa-miR-7704";"MIRNA";"hsa-miR-7704";13650;2471;"Down"
"30";"query_1";TRUE;0,018683766939825;52;3;2;0,666666666666667;0,0384615384615385;"MIRNA:hsa-miR-4536-5p";"MIRNA";"hsa-miR-4536-5p";13650;1170;"Down"
"31";"query_1";TRUE;0,0253528597013014;66;16;3;0,1875;0,0454545454545455;"MIRNA:hsa-miR-615-5p";"MIRNA";"hsa-miR-615-5p";13650;1921;"Down"
"32";"query_1";TRUE;0,0315570957850879;361;4;3;0,75;0,00831024930747922;"MIRNA:hsa-miR-149-5p";"MIRNA";"hsa-miR-149-5p";13650;264;"Down"
"33";"query_1";TRUE;0,0317817589065944;10498;26;24;0,923076923076923;0,00228614974280815;"TF:M11382";"TF";"Factor: ESE-1; motif: NWTRCGGAWGCN";19958;1758;"Down"
