"";"query";"significant";"p_value";"term_size";"query_size";"intersection_size";"precision";"recall";"term_id";"source";"term_name";"effective_domain_size";"source_order";"set"
"1";"query_1";TRUE;1,1209107290511e-06;231;57;10;0,175438596491228;0,0432900432900433;"GO:0009636";"GO:BP";"response to toxic substance";21100;4004;"Up"
"2";"query_1";TRUE;3,72630450031778e-06;1796;71;24;0,338028169014085;0,0133630289532294;"GO:0044281";"GO:BP";"small molecule metabolic process";21100;12712;"Up"
"3";"query_1";TRUE;1,98907132732906e-05;940;71;17;0,23943661971831;0,0180851063829787;"GO:0019752";"GO:BP";"carboxylic acid metabolic process";21100;6954;"Up"
"4";"query_1";TRUE;2,39146531055654e-05;579;42;11;0,261904761904762;0,0189982728842832;"GO:0010942";"GO:BP";"positive regulation of cell death";21100;5063;"Up"
"5";"query_1";TRUE;2,97504473416636e-05;966;71;17;0,23943661971831;0,0175983436853002;"GO:0043436";"GO:BP";"oxoacid metabolic process";21100;12315;"Up"
"6";"query_1";TRUE;4,14148439736853e-05;988;71;17;0,23943661971831;0,0172064777327935;"GO:0006082";"GO:BP";"organic acid metabolic process";21100;2114;"Up"
"7";"query_1";TRUE;0,000173675805146382;1658;72;21;0,291666666666667;0,0126658624849216;"GO:0042592";"GO:BP";"homeostatic process";21100;11832;"Up"
"8";"query_1";TRUE;0,00102293009444404;110;57;6;0,105263157894737;0,0545454545454545;"GO:1990748";"GO:BP";"cellular detoxification";21100;29098;"Up"
"9";"query_1";TRUE;0,00105989324921117;505;42;9;0,214285714285714;0,0178217821782178;"GO:0043065";"GO:BP";"positive regulation of apoptotic process";21100;12122;"Up"
"10";"query_1";TRUE;0,0011706577328768;3768;72;31;0,430555555555556;0,00822717622080679;"GO:0065008";"GO:BP";"regulation of biological quality";21100;18613;"Up"
"11";"query_1";TRUE;0,00131016199354899;518;42;9;0,214285714285714;0,0173745173745174;"GO:0043068";"GO:BP";"positive regulation of programmed cell death";21100;12125;"Up"
"12";"query_1";TRUE;0,00154783921886396;118;57;6;0,105263157894737;0,0508474576271186;"GO:0097237";"GO:BP";"cellular response to toxic substance";21100;21717;"Up"
"13";"query_1";TRUE;0,00191786992993894;1167;78;17;0,217948717948718;0,0145672664952871;"GO:0043603";"GO:BP";"cellular amide metabolic process";21100;12432;"Up"
"14";"query_1";TRUE;0,00262762357002848;501;74;11;0,148648648648649;0,0219560878243513;"GO:0006091";"GO:BP";"generation of precursor metabolites and energy";21100;2122;"Up"
"15";"query_1";TRUE;0,00340633535370064;135;57;6;0,105263157894737;0,0444444444444444;"GO:0098754";"GO:BP";"detoxification";21100;22073;"Up"
"16";"query_1";TRUE;0,00403934094219622;81;24;4;0,166666666666667;0,0493827160493827;"GO:0072332";"GO:BP";"intrinsic apoptotic signaling pathway by p53 class mediator";21100;20195;"Up"
"17";"query_1";TRUE;0,00421192114488643;304;42;7;0,166666666666667;0,0230263157894737;"GO:0016050";"GO:BP";"vesicle organization";21100;5650;"Up"
"18";"query_1";TRUE;0,00648726090402898;86;56;5;0,0892857142857143;0,0581395348837209;"GO:1901216";"GO:BP";"positive regulation of neuron death";21100;24535;"Up"
"19";"query_1";TRUE;0,00780729326382014;1592;58;16;0,275862068965517;0,0100502512562814;"GO:0010941";"GO:BP";"regulation of cell death";21100;5062;"Up"
"20";"query_1";TRUE;0,00906813521689411;45;52;4;0,0769230769230769;0,0888888888888889;"GO:0089718";"GO:BP";"amino acid import across plasma membrane";21100;21031;"Up"
"21";"query_1";TRUE;0,0119068543898302;449;78;10;0,128205128205128;0,022271714922049;"GO:0034248";"GO:BP";"regulation of cellular amide metabolic process";21100;9795;"Up"
"22";"query_1";TRUE;0,019717429004871;901;72;13;0,180555555555556;0,0144284128745838;"GO:0014070";"GO:BP";"response to organic cyclic compound";21100;5183;"Up"
"23";"query_1";TRUE;0,0198573165343755;1708;71;18;0,253521126760563;0,0105386416861827;"GO:1901566";"GO:BP";"organonitrogen compound biosynthetic process";21100;24855;"Up"
"24";"query_1";TRUE;0,0212820208799729;225;71;7;0,0985915492957746;0,0311111111111111;"GO:0098657";"GO:BP";"import into cell";21100;22010;"Up"
"25";"query_1";TRUE;0,0243086957310472;3;43;2;0,0465116279069767;0,666666666666667;"GO:1904273";"GO:BP";"L-alanine import across plasma membrane";21100;27250;"Up"
"26";"query_1";TRUE;0,0303979898732169;49;21;3;0,142857142857143;0,0612244897959184;"GO:0002762";"GO:BP";"negative regulation of myeloid leukocyte differentiation";21100;1397;"Up"
"27";"query_1";TRUE;0,0307206373370265;2074;26;11;0,423076923076923;0,00530376084860174;"GO:0008219";"GO:BP";"cell death";21100;3560;"Up"
"28";"query_1";TRUE;0,0323276131845611;867;78;13;0,166666666666667;0,0149942329873126;"GO:0043604";"GO:BP";"amide biosynthetic process";21100;12433;"Up"
"29";"query_1";TRUE;0,0348091408523628;82;40;4;0,1;0,0487804878048781;"GO:0007032";"GO:BP";"endosome organization";21100;2950;"Up"
"30";"query_1";TRUE;0,0360252786022144;312;56;7;0,125;0,0224358974358974;"GO:1901214";"GO:BP";"regulation of neuron death";21100;24533;"Up"
"31";"query_1";TRUE;0,0402057495457303;3019;57;21;0,368421052631579;0,00695594567737661;"GO:0070887";"GO:BP";"cellular response to chemical stimulus";21100;19115;"Up"
"32";"query_1";TRUE;0,0422210069129108;66;52;4;0,0769230769230769;0,0606060606060606;"GO:1902475";"GO:BP";"L-alpha-amino acid transmembrane transport";21100;25676;"Up"
"33";"query_1";TRUE;0,044005725431624;171;42;5;0,119047619047619;0,0292397660818713;"GO:0010950";"GO:BP";"positive regulation of endopeptidase activity";21100;5069;"Up"
"34";"query_1";TRUE;0,044644994582299;1419;58;14;0,241379310344828;0,0098661028893587;"GO:0042981";"GO:BP";"regulation of apoptotic process";21100;12064;"Up"
"35";"query_1";TRUE;0,0475349487693434;68;52;4;0,0769230769230769;0,0588235294117647;"GO:0015807";"GO:BP";"L-amino acid transport";21100;5474;"Up"
"36";"query_1";TRUE;0,0485544135923054;4;43;2;0,0465116279069767;0,5;"GO:1904557";"GO:BP";"L-alanine transmembrane transport";21100;27513;"Up"
"37";"query_1";TRUE;0,0486064977817083;2629;26;12;0,461538461538462;0,00456447318372005;"GO:0035556";"GO:BP";"intracellular signal transduction";21100;10463;"Up"
"38";"query_1";TRUE;4,30157136300598e-05;1683;75;21;0,28;0,0124777183600713;"GO:0005739";"GO:CC";"mitochondrion";21698;385;"Up"
"39";"query_1";TRUE;0,000250138086346224;12241;76;63;0,828947368421053;0,00514663834654031;"GO:0005737";"GO:CC";"cytoplasm";21698;384;"Up"
"40";"query_1";TRUE;0,000271541012020224;5420;74;38;0,513513513513513;0,00701107011070111;"GO:0005829";"GO:CC";"cytosol";21698;469;"Up"
"41";"query_1";TRUE;0,000832641365543533;3364;48;21;0,4375;0,00624256837098692;"GO:0005615";"GO:CC";"extracellular space";21698;277;"Up"
"42";"query_1";TRUE;0,00183637448083101;2110;64;19;0,296875;0,00900473933649289;"GO:0070062";"GO:CC";"extracellular exosome";21698;2739;"Up"
"43";"query_1";TRUE;0,00214986465284715;2133;64;19;0,296875;0,00890764181903422;"GO:1903561";"GO:CC";"extracellular vesicle";21698;4067;"Up"
"44";"query_1";TRUE;0,00216453531628935;2134;64;19;0,296875;0,00890346766635427;"GO:0043230";"GO:CC";"extracellular organelle";21698;2127;"Up"
"45";"query_1";TRUE;0,00216453531628935;2134;64;19;0,296875;0,00890346766635427;"GO:0065010";"GO:CC";"extracellular membrane-bounded organelle";21698;2715;"Up"
"46";"query_1";TRUE;0,00859374310805464;3957;44;20;0,454545454545455;0,00505433409148345;"GO:0031982";"GO:CC";"vesicle";21698;1451;"Up"
