"","go","cluster","parent","parentSimScore","score","size","term","parentTerm","tfl_drugs","deseq2_drugs","limma_drugs"
"GO:0001775","GO:0001775",1,"GO:0007165",0.28,13,13,"cell activation","signal transduction",TRUE,TRUE,TRUE
"GO:0045321","GO:0045321",10,"GO:0042110",0.748,5,5,"leukocyte activation","T cell activation",TRUE,TRUE,TRUE
"GO:0006955","GO:0006955",5,"GO:0006955",1,463,463,"immune response","immune response",TRUE,TRUE,TRUE
"GO:0002376","GO:0002376",5,"GO:0006955",0.63,44,44,"immune system process","immune response",TRUE,FALSE,TRUE
"GO:0002252","GO:0002252",5,"GO:0006955",0.469,0,0,"immune effector process","immune response",TRUE,FALSE,TRUE
"GO:0006952","GO:0006952",7,"GO:0006954",0.812,73,73,"defense response","inflammatory response",TRUE,TRUE,TRUE
"GO:0044419","GO:0044419",6,"GO:0050790",0.246,0,0,"biological process involved in interspecies interaction between organisms","regulation of catalytic activity",TRUE,FALSE,TRUE
"GO:0098542","GO:0098542",3,"GO:0045087",0.809,1,1,"defense response to other organism","innate immune response",TRUE,FALSE,TRUE
"GO:0046649","GO:0046649",10,"GO:0042110",0.851,1,1,"lymphocyte activation","T cell activation",TRUE,TRUE,TRUE
"GO:0051707","GO:0051707",7,"GO:0006954",0.203,3,3,"response to other organism","inflammatory response",TRUE,FALSE,TRUE
"GO:0043207","GO:0043207",7,"GO:0006954",0.236,1,1,"response to external biotic stimulus","inflammatory response",TRUE,FALSE,TRUE
"GO:0009607","GO:0009607",7,"GO:0006954",0.357,0,0,"response to biotic stimulus","inflammatory response",TRUE,FALSE,TRUE
"GO:0002682","GO:0002682",6,"GO:0050790",0.307,10,10,"regulation of immune system process","regulation of catalytic activity",TRUE,FALSE,TRUE
"GO:0002366","GO:0002366",10,"GO:0042110",0.46,4,4,"leukocyte activation involved in immune response","T cell activation",TRUE,TRUE,TRUE
"GO:0002263","GO:0002263",10,"GO:0042110",0.386,1,1,"cell activation involved in immune response","T cell activation",TRUE,TRUE,TRUE
"GO:0002684","GO:0002684",6,"GO:0050790",0.24,1,1,"positive regulation of immune system process","regulation of catalytic activity",TRUE,FALSE,TRUE
"GO:0002443","GO:0002443",5,"GO:0006955",0.373,1,1,"leukocyte mediated immunity","immune response",TRUE,FALSE,TRUE
"GO:0002274","GO:0002274",10,"GO:0042110",0.598,1,1,"myeloid leukocyte activation","T cell activation",TRUE,FALSE,FALSE
"GO:0009605","GO:0009605",7,"GO:0006954",0.357,0,0,"response to external stimulus","inflammatory response",TRUE,FALSE,TRUE
"GO:0045087","GO:0045087",3,"GO:0045087",1,592,592,"innate immune response","innate immune response",TRUE,FALSE,TRUE
"GO:0050865","GO:0050865",10,"GO:0042110",0.317,1,1,"regulation of cell activation","T cell activation",TRUE,FALSE,FALSE
