"","Var1","Var2","log_fold_change","Sensitive"
"9100","PATU8988S","bupivacaine",0.245236549084,TRUE
"9101","PATU8988T","bupivacaine",-0.0143765454228,TRUE
"9109","PANC0203","bupivacaine",0.365011214536,FALSE
"9116","PANC1005","bupivacaine",0.0791927011004,TRUE
"9122","T3M4","bupivacaine",0.136110286881,TRUE
"9128","PANC0504","bupivacaine",NA,NA
"9134","CAPAN2","bupivacaine",0.15507890658,TRUE
"9136","SU8686","bupivacaine",0.824799735502,FALSE
"9139","HUPT3","bupivacaine",0.0640253209831,TRUE
"9145","CFPAC1","bupivacaine",0.170538798987,TRUE
"9146","PANC0327","bupivacaine",-0.362759593278,TRUE
"9152","SW1990","bupivacaine",-0.507625982295,TRUE
"9156","PANC1","bupivacaine",0.345704951346,FALSE
"9162","HS766T","bupivacaine",0.293976674595,TRUE
"9171","PK59","bupivacaine",-0.230594836887,TRUE
"9177","HUPT4","bupivacaine",-0.333673682617,TRUE
"9181","ASPC1","bupivacaine",0.0262373832296,TRUE
"9188","PANC0403","bupivacaine",0.523233234132,FALSE
"9191","DANG","bupivacaine",0.00503436765469,TRUE
"9202","KP4","bupivacaine",0.417082623036,FALSE
"9203","SNU213","bupivacaine",-0.206691863948,TRUE
"9206","HPAC","bupivacaine",0.277069700992,TRUE
"9214","KP2","bupivacaine",0.542478767778,FALSE
"9222","PK1","bupivacaine",0.197952701717,TRUE
"9231","PSN1","bupivacaine",0.310101278661,FALSE
"9238","YAPC","bupivacaine",0.093288817417,TRUE
"9279","PANC0813","bupivacaine",-0.571080802643,TRUE
"9311","PK45H","bupivacaine",-0.0831882592615,TRUE
"9335","TCCPAN2","bupivacaine",0.267750768738,TRUE
"9342","SNU410","bupivacaine",0.21363837959,TRUE
"9351","BXPC3","bupivacaine",0.238027334043,TRUE
"9384","PATU8902","bupivacaine",-0.136751439161,TRUE
"9385","MIAPACA2","bupivacaine",0.195745533839,TRUE
"9416","SUIT2","bupivacaine",-0.139944783803,TRUE
"24436","PATU8988S","bupropion",0.50614550814,FALSE
"24437","PATU8988T","bupropion",0.026171910958,TRUE
"24445","PANC0203","bupropion",0.616803345854,FALSE
"24452","PANC1005","bupropion",-0.0611859899335,TRUE
"24458","T3M4","bupropion",-0.0710581505549,TRUE
"24464","PANC0504","bupropion",NA,NA
"24470","CAPAN2","bupropion",0.245351206687,TRUE
"24472","SU8686","bupropion",-0.667435187997,TRUE
"24475","HUPT3","bupropion",0.352590187868,FALSE
"24481","CFPAC1","bupropion",-0.123162543922,TRUE
"24482","PANC0327","bupropion",-0.323559162359,TRUE
"24488","SW1990","bupropion",0.0658993572138,TRUE
"24492","PANC1","bupropion",0.499896444178,FALSE
"24498","HS766T","bupropion",0.664866020837,FALSE
"24507","PK59","bupropion",1.19417713664,FALSE
"24513","HUPT4","bupropion",-0.116069408899,TRUE
"24517","ASPC1","bupropion",-0.117868954495,TRUE
"24524","PANC0403","bupropion",0.104689626139,TRUE
"24527","DANG","bupropion",-0.0205631044926,TRUE
"24538","KP4","bupropion",0.0729797805297,TRUE
"24539","SNU213","bupropion",-0.442502397431,TRUE
"24542","HPAC","bupropion",0.278288096725,TRUE
"24550","KP2","bupropion",0.226267222783,TRUE
