"";"query";"significant";"p_value";"term_size";"query_size";"intersection_size";"precision";"recall";"term_id";"source";"term_name";"effective_domain_size";"source_order";"set"
"1";"query_1";TRUE;4,71021744893382e-50;5462;2418;950;0,392886683209264;0,173928963749542;"GO:0019538";"GO:BP";"protein metabolic process";21092;6764;"Up"
"2";"query_1";TRUE;8,01343013750346e-42;6522;2418;1057;0,437138130686518;0,162066850659307;"GO:1901564";"GO:BP";"organonitrogen compound metabolic process";21092;24840;"Up"
"3";"query_1";TRUE;1,43610009908396e-35;3234;1831;487;0,26597487711633;0,150587507730365;"GO:0044260";"GO:BP";"cellular macromolecule metabolic process";21092;12680;"Up"
"4";"query_1";TRUE;9,38311399737672e-34;5649;2436;922;0,378489326765189;0,16321472827049;"GO:0031323";"GO:BP";"regulation of cellular metabolic process";21092;8249;"Up"
"5";"query_1";TRUE;8,79577922353684e-33;3649;2435;653;0,268172484599589;0,178953137845985;"GO:0036211";"GO:BP";"protein modification process";21092;10922;"Up"
"6";"query_1";TRUE;1,75490171715799e-31;4801;2432;802;0,329769736842105;0,167048531555926;"GO:0009059";"GO:BP";"macromolecule biosynthetic process";21092;3658;"Up"
"7";"query_1";TRUE;1,8510006975297e-31;3874;2435;679;0,278850102669405;0,175271037687145;"GO:0043412";"GO:BP";"macromolecule modification";21092;12284;"Up"
"8";"query_1";TRUE;7,37944670953015e-31;5854;2425;933;0,384742268041237;0,159378202938162;"GO:1901576";"GO:BP";"organic substance biosynthetic process";21092;24851;"Up"
"9";"query_1";TRUE;1,21027917376563e-30;5782;2425;923;0,380618556701031;0,159633344863369;"GO:0044249";"GO:BP";"cellular biosynthetic process";21092;12674;"Up"
"10";"query_1";TRUE;2,23921608450784e-30;5941;2425;942;0,388453608247423;0,158559165123717;"GO:0009058";"GO:BP";"biosynthetic process";21092;3657;"Up"
"11";"query_1";TRUE;2,88391431776245e-30;5869;2436;936;0,38423645320197;0,159482024194922;"GO:0080090";"GO:BP";"regulation of primary metabolic process";21092;20830;"Up"
"12";"query_1";TRUE;3,34204161854709e-30;5706;2436;915;0,375615763546798;0,160357518401682;"GO:0051171";"GO:BP";"regulation of nitrogen compound metabolic process";21092;15620;"Up"
"13";"query_1";TRUE;3,85197364237273e-29;3849;2435;667;0,273921971252567;0,17329176409457;"GO:0009893";"GO:BP";"positive regulation of metabolic process";21092;4209;"Up"
"14";"query_1";TRUE;1,5348798202267e-28;1380;1907;260;0,136339800734137;0,188405797101449;"GO:0009057";"GO:BP";"macromolecule catabolic process";21092;3656;"Up"
"15";"query_1";TRUE;7,18396214052836e-28;2121;1831;340;0,185690879300928;0,16030174446016;"GO:0044248";"GO:BP";"cellular catabolic process";21092;12673;"Up"
"16";"query_1";TRUE;1,09527470857936e-27;3094;2435;558;0,229158110882957;0,180349062702004;"GO:0031325";"GO:BP";"positive regulation of cellular metabolic process";21092;8251;"Up"
"17";"query_1";TRUE;1,82983644444958e-27;3535;2435;618;0,253798767967146;0,174823196605375;"GO:0010604";"GO:BP";"positive regulation of macromolecule metabolic process";21092;4746;"Up"
"18";"query_1";TRUE;2,67861361490907e-27;4853;2432;792;0,325657894736842;0,163198021842159;"GO:0044271";"GO:BP";"cellular nitrogen compound biosynthetic process";21092;12686;"Up"
"19";"query_1";TRUE;3,62935926591454e-27;3152;2434;564;0,231717337715694;0,178934010152284;"GO:0051173";"GO:BP";"positive regulation of nitrogen compound metabolic process";21092;15622;"Up"
"20";"query_1";TRUE;5,00871366272999e-26;1023;1786;198;0,110862262038074;0,193548387096774;"GO:0044265";"GO:BP";"cellular macromolecule catabolic process";21092;12683;"Up"
"21";"query_1";TRUE;2,49096971617859e-25;1023;1935;207;0,106976744186047;0,202346041055718;"GO:0030163";"GO:BP";"protein catabolic process";21092;7715;"Up"
"22";"query_1";TRUE;4,56169568728795e-25;6309;2437;969;0,397620024620435;0,15359010936757;"GO:0048518";"GO:BP";"positive regulation of biological process";21092;14820;"Up"
"23";"query_1";TRUE;1,61580793292799e-24;1934;2039;334;0,163805787150564;0,172699069286453;"GO:0033554";"GO:BP";"cellular response to stress";21092;9509;"Up"
"24";"query_1";TRUE;9,43879365034364e-24;5641;2437;879;0,360689372178909;0,155823435561071;"GO:0048522";"GO:BP";"positive regulation of cellular process";21092;14824;"Up"
"25";"query_1";TRUE;1,10998567948497e-23;2587;1834;380;0,207197382769902;0,146888287591805;"GO:0009056";"GO:BP";"catabolic process";21092;3655;"Up"
"26";"query_1";TRUE;2,25932199285592e-23;3951;2436;658;0,270114942528736;0,166540116426221;"GO:0010556";"GO:BP";"regulation of macromolecule biosynthetic process";21092;4703;"Up"
"27";"query_1";TRUE;2,49240074176606e-23;4088;2436;676;0,277504105090312;0,165362035225049;"GO:0019219";"GO:BP";"regulation of nucleobase-containing compound metabolic process";21092;6467;"Up"
"28";"query_1";TRUE;3,26374330191725e-23;4175;2436;687;0,282019704433498;0,164550898203593;"GO:0009889";"GO:BP";"regulation of biosynthetic process";21092;4205;"Up"
"29";"query_1";TRUE;3,56543286967908e-23;796;1786;162;0,0907054871220605;0,203517587939698;"GO:0051603";"GO:BP";"proteolysis involved in protein catabolic process";21092;15946;"Up"
"30";"query_1";TRUE;4,16405775514842e-23;4749;2407;754;0,313253012048193;0,158770267424721;"GO:0048523";"GO:BP";"negative regulation of cellular process";21092;14825;"Up"
"31";"query_1";TRUE;1,14851364078567e-22;7377;2261;1020;0,451127819548872;0,13826758845059;"GO:0019222";"GO:BP";"regulation of metabolic process";21092;6470;"Up"
"32";"query_1";TRUE;1,58925270940422e-22;4114;2436;676;0,277504105090312;0,164316966456004;"GO:0031326";"GO:BP";"regulation of cellular biosynthetic process";21092;8252;"Up"
"33";"query_1";TRUE;3,08214373443239e-22;11130;2403;1507;0,627132750728256;0,135399820305481;"GO:0050794";"GO:BP";"regulation of cellular process";21092;15305;"Up"
"34";"query_1";TRUE;7,70185644795017e-22;2048;2405;385;0,16008316008316;0,18798828125;"GO:0045935";"GO:BP";"positive regulation of nucleobase-containing compound metabolic process";21092;13623;"Up"
"35";"query_1";TRUE;8,09941450683034e-22;3775;2436;628;0,257799671592775;0,16635761589404;"GO:0051252";"GO:BP";"regulation of RNA metabolic process";21092;15687;"Up"
"36";"query_1";TRUE;2,09098619413231e-21;698;1804;146;0,0809312638580931;0,209169054441261;"GO:0019941";"GO:BP";"modification-dependent protein catabolic process";21092;7021;"Up"
"37";"query_1";TRUE;2,96411228798134e-21;1842;2403;353;0,146899708697461;0,191639522258415;"GO:0051254";"GO:BP";"positive regulation of RNA metabolic process";21092;15689;"Up"
"38";"query_1";TRUE;3,0485131884547e-21;1925;2403;365;0,151893466500208;0,18961038961039;"GO:0010557";"GO:BP";"positive regulation of macromolecule biosynthetic process";21092;4704;"Up"
"39";"query_1";TRUE;1,07132378571873e-20;709;1804;146;0,0809312638580931;0,205923836389281;"GO:0043632";"GO:BP";"modification-dependent macromolecule catabolic process";21092;12437;"Up"
"40";"query_1";TRUE;1,1761426071206e-20;2567;2258;432;0,191319751992914;0,168289832489287;"GO:0051246";"GO:BP";"regulation of protein metabolic process";21092;15681;"Up"
"41";"query_1";TRUE;1,41119919003335e-20;688;1786;142;0,0795072788353863;0,206395348837209;"GO:0006511";"GO:BP";"ubiquitin-dependent protein catabolic process";21092;2482;"Up"
"42";"query_1";TRUE;1,81122188891413e-20;2069;2403;383;0,159384103204328;0,185113581440309;"GO:0009891";"GO:BP";"positive regulation of biosynthetic process";21092;4207;"Up"
"43";"query_1";TRUE;2,00857040481354e-20;3595;2436;598;0,245484400656814;0,1663421418637;"GO:0006351";"GO:BP";"DNA-templated transcription";21092;2346;"Up"
"44";"query_1";TRUE;2,15733260879825e-20;3596;2436;598;0,245484400656814;0,166295884315907;"GO:0097659";"GO:BP";"nucleic acid-templated transcription";21092;21881;"Up"
"45";"query_1";TRUE;3,18573184261797e-20;2033;2403;377;0,156887224302955;0,185440236104279;"GO:0031328";"GO:BP";"positive regulation of cellular biosynthetic process";21092;8254;"Up"
"46";"query_1";TRUE;4,88716183526343e-20;3615;2436;599;0,245894909688013;0,165698478561549;"GO:0032774";"GO:BP";"RNA biosynthetic process";21092;9008;"Up"
"47";"query_1";TRUE;1,19204151522728e-19;3545;2421;585;0,241635687732342;0,165021156558533;"GO:0006996";"GO:BP";"organelle organization";21092;2916;"Up"
"48";"query_1";TRUE;4,39015865439442e-19;3474;2436;576;0,236453201970443;0,16580310880829;"GO:0006355";"GO:BP";"regulation of DNA-templated transcription";21092;2350;"Up"
"49";"query_1";TRUE;4,70961117650374e-19;3475;2436;576;0,236453201970443;0,165755395683453;"GO:1903506";"GO:BP";"regulation of nucleic acid-templated transcription";21092;26544;"Up"
"50";"query_1";TRUE;5,2396079145083e-19;3484;2436;577;0,236863711001642;0,165614236509759;"GO:2001141";"GO:BP";"regulation of RNA biosynthetic process";21092;30299;"Up"
"51";"query_1";TRUE;5,45319919361547e-19;1709;2432;329;0,135279605263158;0,192510239906378;"GO:1902680";"GO:BP";"positive regulation of RNA biosynthetic process";21092;25817;"Up"
"52";"query_1";TRUE;5,90371000330212e-19;1703;2432;328;0,134868421052632;0,192601291837933;"GO:1903508";"GO:BP";"positive regulation of nucleic acid-templated transcription";21092;26546;"Up"
"53";"query_1";TRUE;5,90371000330212e-19;1703;2432;328;0,134868421052632;0,192601291837933;"GO:0045893";"GO:BP";"positive regulation of DNA-templated transcription";21092;13583;"Up"
"54";"query_1";TRUE;7,74387190503026e-19;996;1896;185;0,0975738396624473;0,18574297188755;"GO:0009894";"GO:BP";"regulation of catabolic process";21092;4210;"Up"
"55";"query_1";TRUE;1,26757758364696e-18;4049;2436;650;0,266830870279146;0,1605334650531;"GO:0034654";"GO:BP";"nucleobase-containing compound biosynthetic process";21092;9996;"Up"
"56";"query_1";TRUE;2,20993300786235e-18;4280;2436;679;0,278735632183908;0,158644859813084;"GO:1901362";"GO:BP";"organic cyclic compound biosynthetic process";21092;24654;"Up"
"57";"query_1";TRUE;4,41167757467608e-18;4122;2436;657;0,269704433497537;0,15938864628821;"GO:0018130";"GO:BP";"heterocycle biosynthetic process";21092;6010;"Up"
"58";"query_1";TRUE;5,44827442935393e-18;4133;2436;658;0,270114942528736;0,159206387611904;"GO:0019438";"GO:BP";"aromatic compound biosynthetic process";21092;6669;"Up"
"59";"query_1";TRUE;6,17960752783351e-18;3580;2436;585;0,240147783251232;0,16340782122905;"GO:0051641";"GO:BP";"cellular localization";21092;15980;"Up"
"60";"query_1";TRUE;1,30029857229071e-17;6842;2261;934;0,413091552410438;0,136509792458346;"GO:0060255";"GO:BP";"regulation of macromolecule metabolic process";21092;17011;"Up"
"61";"query_1";TRUE;2,17851310664068e-17;524;2435;137;0,0562628336755647;0,261450381679389;"GO:0010498";"GO:BP";"proteasomal protein catabolic process";21092;4661;"Up"
"62";"query_1";TRUE;4,00731991408769e-17;1378;1907;229;0,120083901415836;0,166182873730044;"GO:1901565";"GO:BP";"organonitrogen compound catabolic process";21092;24841;"Up"
"63";"query_1";TRUE;4,06315646164706e-17;555;2253;135;0,0599201065246338;0,243243243243243;"GO:0061919";"GO:BP";"process utilizing autophagic mechanism";21092;18417;"Up"
"64";"query_1";TRUE;4,06315646164706e-17;555;2253;135;0,0599201065246338;0,243243243243243;"GO:0006914";"GO:BP";"autophagy";21092;2850;"Up"
"65";"query_1";TRUE;7,88164677878933e-17;453;2435;123;0,0505133470225873;0,271523178807947;"GO:0043161";"GO:BP";"proteasome-mediated ubiquitin-dependent protein catabolic process";21092;12162;"Up"
"66";"query_1";TRUE;1,52041248559538e-16;158;2205;60;0,0272108843537415;0,379746835443038;"GO:0002181";"GO:BP";"cytoplasmic translation";21092;848;"Up"
"67";"query_1";TRUE;3,39675622050176e-15;2128;1907;310;0,16255899318301;0,145676691729323;"GO:1901575";"GO:BP";"organic substance catabolic process";21092;24850;"Up"
"68";"query_1";TRUE;4,25883402936194e-15;1051;1867;180;0,096411355115158;0,171265461465271;"GO:0070647";"GO:BP";"protein modification by small protein conjugation or removal";21092;18959;"Up"
"69";"query_1";TRUE;5,08536273831933e-15;3938;2417;614;0,254033926354986;0,155916708989335;"GO:0006950";"GO:BP";"response to stress";21092;2880;"Up"
"70";"query_1";TRUE;5,74736290590325e-15;161;1166;43;0,0368782161234991;0,267080745341615;"GO:0035966";"GO:BP";"response to topologically incorrect protein";21092;10769;"Up"
"71";"query_1";TRUE;2,64644430584593e-14;1243;2432;244;0,100328947368421;0,196299275945294;"GO:0045944";"GO:BP";"positive regulation of transcription by RNA polymerase II";21092;13631;"Up"
"72";"query_1";TRUE;2,69554225931018e-14;346;2313;95;0,0410722006052745;0,274566473988439;"GO:0010506";"GO:BP";"regulation of autophagy";21092;4668;"Up"
"73";"query_1";TRUE;3,85110034676154e-14;3034;2432;494;0,203125;0,162821357943309;"GO:0010033";"GO:BP";"response to organic substance";21092;4303;"Up"
"74";"query_1";TRUE;4,71135020125464e-14;787;1886;145;0,076882290562036;0,184243964421855;"GO:0031329";"GO:BP";"regulation of cellular catabolic process";21092;8255;"Up"
"75";"query_1";TRUE;7,54408163330254e-14;1783;1786;253;0,141657334826428;0,141895681435782;"GO:0006508";"GO:BP";"proteolysis";21092;2479;"Up"
"76";"query_1";TRUE;1,1009960719737e-13;13096;2405;1678;0,697713097713098;0,128130726939524;"GO:0065007";"GO:BP";"biological regulation";21092;18589;"Up"
"77";"query_1";TRUE;2,04329471741185e-13;3165;2421;506;0,209004543577034;0,159873617693523;"GO:0033036";"GO:BP";"macromolecule localization";21092;9194;"Up"
"78";"query_1";TRUE;2,22641416881114e-13;2676;2436;443;0,181855500821018;0,165545590433483;"GO:0006366";"GO:BP";"transcription by RNA polymerase II";21092;2359;"Up"
"79";"query_1";TRUE;2,77873194163121e-13;1545;2435;285;0,117043121149897;0,184466019417476;"GO:0031399";"GO:BP";"regulation of protein modification process";21092;8291;"Up"
"80";"query_1";TRUE;2,88809277988198e-13;2704;2421;444;0,183395291201983;0,164201183431953;"GO:0008104";"GO:BP";"protein localization";21092;3525;"Up"
"81";"query_1";TRUE;3,0779407083182e-13;5540;2416;806;0,333609271523179;0,145487364620939;"GO:0051179";"GO:BP";"localization";21092;15628;"Up"
"82";"query_1";TRUE;3,15685819765052e-13;1625;2400;293;0,122083333333333;0,180307692307692;"GO:0016192";"GO:BP";"vesicle-mediated transport";21092;5738;"Up"
"83";"query_1";TRUE;3,19885913916597e-13;2713;2421;445;0,183808343659645;0,164025064504239;"GO:0070727";"GO:BP";"cellular macromolecule localization";21092;19004;"Up"
"84";"query_1";TRUE;4,0381551792377e-13;2574;2436;428;0,175697865353038;0,166278166278166;"GO:0006357";"GO:BP";"regulation of transcription by RNA polymerase II";21092;2352;"Up"
