"";"query";"significant";"p_value";"term_size";"query_size";"intersection_size";"precision";"recall";"term_id";"source";"term_name";"effective_domain_size";"source_order";"set"
"1";"query_1";TRUE;3,67513506637151e-33;6436;2453;1025;0,417855686913983;0,159260410192666;"GO:0051179";"GO:BP";"localization";21100;15648;"Up"
"2";"query_1";TRUE;7,34548721420305e-28;4903;2467;810;0,328334008917714;0,165204976544972;"GO:0051234";"GO:BP";"establishment of localization";21100;15692;"Up"
"3";"query_1";TRUE;1,7795210695094e-26;4742;2467;783;0,31738954195379;0,165120202446225;"GO:0006810";"GO:BP";"transport";21100;2766;"Up"
"4";"query_1";TRUE;1,94845083321856e-21;2430;2522;454;0,180015860428232;0,186831275720165;"GO:0007399";"GO:BP";"nervous system development";21100;3276;"Up"
"5";"query_1";TRUE;2,17599556515543e-21;3768;2422;622;0,256812551610239;0,165074309978769;"GO:0065008";"GO:BP";"regulation of biological quality";21100;18613;"Up"
"6";"query_1";TRUE;1,76633835773704e-19;6317;2522;971;0,385011895321174;0,153712205160678;"GO:0032502";"GO:BP";"developmental process";21100;8804;"Up"
"7";"query_1";TRUE;1,31748005363823e-18;5754;2522;894;0,354480570975416;0,155370177267987;"GO:0048856";"GO:BP";"anatomical structure development";21100;15146;"Up"
"8";"query_1";TRUE;3,8768416398918e-18;4313;2522;702;0,278350515463918;0,162763737537677;"GO:0048731";"GO:BP";"system development";21100;15031;"Up"
"9";"query_1";TRUE;5,86615730029365e-18;2725;2511;481;0,191557148546396;0,17651376146789;"GO:0032879";"GO:BP";"regulation of localization";21100;9081;"Up"
"10";"query_1";TRUE;1,78484139471575e-17;3031;2453;512;0,208724011414594;0,168921148135929;"GO:0051641";"GO:BP";"cellular localization";21100;16000;"Up"
"11";"query_1";TRUE;3,13173971692158e-17;4768;2522;758;0,300555114988105;0,158976510067114;"GO:0007275";"GO:BP";"multicellular organism development";21100;3166;"Up"
"12";"query_1";TRUE;8,53002699496129e-17;7354;2526;1089;0,431116389548694;0,148082676094642;"GO:0032501";"GO:BP";"multicellular organismal process";21100;8803;"Up"
"13";"query_1";TRUE;2,4267373572678e-16;1485;2311;276;0,119428818693206;0,185858585858586;"GO:0120036";"GO:BP";"plasma membrane bounded cell projection organization";21100;22777;"Up"
"14";"query_1";TRUE;2,69318746875648e-16;1724;2466;325;0,131792376317924;0,188515081206497;"GO:0051049";"GO:BP";"regulation of transport";21100;15540;"Up"
"15";"query_1";TRUE;7,35807236881673e-16;1525;2311;280;0,121159671138035;0,183606557377049;"GO:0030030";"GO:BP";"cell projection organization";21100;7676;"Up"
"16";"query_1";TRUE;1,45098154681383e-15;3351;2510;557;0,22191235059761;0,166219039092808;"GO:0023051";"GO:BP";"regulation of signaling";21100;7647;"Up"
"17";"query_1";TRUE;3,69703267185783e-15;8885;2490;1252;0,50281124497992;0,14091164884637;"GO:0050896";"GO:BP";"response to stimulus";21100;15410;"Up"
"18";"query_1";TRUE;9,59485995293605e-15;3336;2510;551;0,219521912350598;0,165167865707434;"GO:0010646";"GO:BP";"regulation of cell communication";21100;4791;"Up"
"19";"query_1";TRUE;1,43889914425717e-14;2276;2310;377;0,163203463203463;0,165641476274165;"GO:0051128";"GO:BP";"regulation of cellular component organization";21100;15598;"Up"
"20";"query_1";TRUE;4,36078636038757e-14;3125;2446;508;0,207686017988553;0,16256;"GO:0033036";"GO:BP";"macromolecule localization";21100;9203;"Up"
"21";"query_1";TRUE;5,68873432515947e-14;7399;2490;1064;0,427309236947791;0,143803216650899;"GO:0051716";"GO:BP";"cellular response to stimulus";21100;16064;"Up"
"22";"query_1";TRUE;6,19754621583086e-14;2559;2524;442;0,175118858954041;0,172723720203204;"GO:0009056";"GO:BP";"catabolic process";21100;3659;"Up"
"23";"query_1";TRUE;9,70950379924987e-14;170;2466;62;0,0251419302514193;0,364705882352941;"GO:0006694";"GO:BP";"steroid biosynthetic process";21100;2662;"Up"
"24";"query_1";TRUE;1,92841536696774e-13;6446;2521;953;0,378024593415311;0,147843623952839;"GO:1901564";"GO:BP";"organonitrogen compound metabolic process";21100;24853;"Up"
