"";"query";"significant";"p_value";"term_size";"query_size";"intersection_size";"precision";"recall";"term_id";"source";"term_name";"effective_domain_size";"source_order";"set"
"1";"query_1";TRUE;7,07337674517765e-08;415;79;15;0,189873417721519;0,036144578313253;"GO:0002696";"GO:BP";"positive regulation of leukocyte activation";21100;1337;"Up"
"2";"query_1";TRUE;1,16423930131159e-07;430;79;15;0,189873417721519;0,0348837209302326;"GO:0050867";"GO:BP";"positive regulation of cell activation";21100;15386;"Up"
"3";"query_1";TRUE;4,59514635525077e-07;157;232;15;0,0646551724137931;0,0955414012738854;"GO:0070665";"GO:BP";"positive regulation of leukocyte proliferation";21100;18998;"Up"
"4";"query_1";TRUE;5,75491049726509e-07;953;80;20;0,25;0,0209863588667366;"GO:0045321";"GO:BP";"leukocyte activation";21100;13217;"Up"
"5";"query_1";TRUE;1,56287129202056e-06;794;80;18;0,225;0,0226700251889169;"GO:0046649";"GO:BP";"lymphocyte activation";21100;14265;"Up"
"6";"query_1";TRUE;1,93541162797653e-06;1170;93;23;0,247311827956989;0,0196581196581197;"GO:0043085";"GO:BP";"positive regulation of catalytic activity";21100;12129;"Up"
"7";"query_1";TRUE;2,17806074278427e-06;368;79;13;0,164556962025316;0,0353260869565217;"GO:0051251";"GO:BP";"positive regulation of lymphocyte activation";21100;15706;"Up"
"8";"query_1";TRUE;2,89597933701169e-06;141;132;11;0,0833333333333333;0,0780141843971631;"GO:0050671";"GO:BP";"positive regulation of lymphocyte proliferation";21100;15257;"Up"
"9";"query_1";TRUE;3,3650493429192e-06;143;132;11;0,0833333333333333;0,0769230769230769;"GO:0032946";"GO:BP";"positive regulation of mononuclear cell proliferation";21100;9137;"Up"
"10";"query_1";TRUE;4,92097295109961e-06;231;132;13;0,0984848484848485;0,0562770562770563;"GO:0050670";"GO:BP";"regulation of lymphocyte proliferation";21100;15256;"Up"
"11";"query_1";TRUE;5,13131645745645e-06;929;58;16;0,275862068965517;0,0172228202368138;"GO:0008284";"GO:BP";"positive regulation of cell population proliferation";21100;3568;"Up"
"12";"query_1";TRUE;5,36013863152699e-06;331;132;15;0,113636363636364;0,0453172205438066;"GO:0070661";"GO:BP";"leukocyte proliferation";21100;18994;"Up"
"13";"query_1";TRUE;5,75418577477063e-06;234;132;13;0,0984848484848485;0,0555555555555556;"GO:0032944";"GO:BP";"regulation of mononuclear cell proliferation";21100;9135;"Up"
"14";"query_1";TRUE;6,26647415102176e-06;1094;80;20;0,25;0,0182815356489945;"GO:0001775";"GO:BP";"cell activation";21100;552;"Up"
"15";"query_1";TRUE;7,41994487123899e-06;936;132;24;0,181818181818182;0,0256410256410256;"GO:0002684";"GO:BP";"positive regulation of immune system process";21100;1325;"Up"
"16";"query_1";TRUE;9,81398568757201e-06;1556;117;29;0,247863247863248;0,0186375321336761;"GO:0044093";"GO:BP";"positive regulation of molecular function";21100;12634;"Up"
"17";"query_1";TRUE;1,18801321802607e-05;298;132;14;0,106060606060606;0,0469798657718121;"GO:0046651";"GO:BP";"lymphocyte proliferation";21100;14266;"Up"
"18";"query_1";TRUE;1,40784994982041e-05;302;132;14;0,106060606060606;0,0463576158940397;"GO:0032943";"GO:BP";"mononuclear cell proliferation";21100;9134;"Up"
"19";"query_1";TRUE;1,54535652715272e-05;254;132;13;0,0984848484848485;0,0511811023622047;"GO:0070663";"GO:BP";"regulation of leukocyte proliferation";21100;18996;"Up"
"20";"query_1";TRUE;1,64480066539365e-05;913;406;45;0,110837438423645;0,0492880613362541;"GO:0098609";"GO:BP";"cell-cell adhesion";21100;22001;"Up"
"21";"query_1";TRUE;1,75367843114709e-05;620;79;15;0,189873417721519;0,0241935483870968;"GO:0002694";"GO:BP";"regulation of leukocyte activation";21100;1335;"Up"
"22";"query_1";TRUE;3,00687986671097e-05;1592;93;25;0,268817204301075;0,0157035175879397;"GO:0010941";"GO:BP";"regulation of cell death";21100;5062;"Up"
"23";"query_1";TRUE;3,45225121593685e-05;1489;406;61;0,150246305418719;0,0409670920080591;"GO:0007155";"GO:BP";"cell adhesion";21100;3055;"Up"
"24";"query_1";TRUE;3,98866997114989e-05;3936;412;123;0,298543689320388;0,03125;"GO:0043412";"GO:BP";"macromolecule modification";21100;12301;"Up"
"25";"query_1";TRUE;4,2096505549254e-05;5687;411;162;0,394160583941606;0,0284860207490768;"GO:0048522";"GO:BP";"positive regulation of cellular process";21100;14844;"Up"
"26";"query_1";TRUE;4,96930061620354e-05;28;66;5;0,0757575757575758;0,178571428571429;"GO:0019886";"GO:BP";"antigen processing and presentation of exogenous peptide antigen via MHC class II";21100;6999;"Up"
"27";"query_1";TRUE;5,01388788413962e-05;671;79;15;0,189873417721519;0,022354694485842;"GO:0050865";"GO:BP";"regulation of cell activation";21100;15384;"Up"
"28";"query_1";TRUE;7,19346708561446e-05;740;74;15;0,202702702702703;0,0202702702702703;"GO:0030155";"GO:BP";"regulation of cell adhesion";21100;7717;"Up"
"29";"query_1";TRUE;7,25528532997472e-05;344;132;14;0,106060606060606;0,0406976744186047;"GO:0002768";"GO:BP";"immune response-regulating cell surface receptor signaling pathway";21100;1403;"Up"
