"";"query";"significant";"p_value";"term_size";"query_size";"intersection_size";"precision";"recall";"term_id";"source";"term_name";"effective_domain_size";"source_order";"set"
"1";"query_1";TRUE;1,18975206114635e-23;153;58;19;0,327586206896552;0,124183006535948;"GO:0016125";"GO:BP";"sterol metabolic process";21100;5714;"Up"
"2";"query_1";TRUE;1,0876116908786e-22;137;58;18;0,310344827586207;0,131386861313869;"GO:0008203";"GO:BP";"cholesterol metabolic process";21100;3544;"Up"
"3";"query_1";TRUE;4,12430264106423e-22;147;58;18;0,310344827586207;0,122448979591837;"GO:1902652";"GO:BP";"secondary alcohol metabolic process";21100;25812;"Up"
"4";"query_1";TRUE;8,23282823268784e-22;319;60;22;0,366666666666667;0,0689655172413793;"GO:0008202";"GO:BP";"steroid metabolic process";21100;3543;"Up"
"5";"query_1";TRUE;2,29656933002936e-21;60;38;13;0,342105263157895;0,216666666666667;"GO:0016126";"GO:BP";"sterol biosynthetic process";21100;5715;"Up"
"6";"query_1";TRUE;9,66684686770724e-20;53;38;12;0,315789473684211;0,226415094339623;"GO:1902653";"GO:BP";"secondary alcohol biosynthetic process";21100;25813;"Up"
"7";"query_1";TRUE;9,66684686770724e-20;53;38;12;0,315789473684211;0,226415094339623;"GO:0006695";"GO:BP";"cholesterol biosynthetic process";21100;2663;"Up"
"8";"query_1";TRUE;7,32852004654249e-18;1392;60;31;0,516666666666667;0,0222701149425287;"GO:0006629";"GO:BP";"lipid metabolic process";21100;2601;"Up"
"9";"query_1";TRUE;3,53478981684488e-17;700;59;24;0,406779661016949;0,0342857142857143;"GO:0008610";"GO:BP";"lipid biosynthetic process";21100;3629;"Up"
"10";"query_1";TRUE;5,0824809445648e-16;365;60;19;0,316666666666667;0,0520547945205479;"GO:0006066";"GO:BP";"alcohol metabolic process";21100;2098;"Up"
"11";"query_1";TRUE;3,68092082358899e-15;559;60;21;0,35;0,037567084078712;"GO:1901615";"GO:BP";"organic hydroxy compound metabolic process";21100;24894;"Up"
"12";"query_1";TRUE;3,91061132975811e-15;170;38;13;0,342105263157895;0,0764705882352941;"GO:0006694";"GO:BP";"steroid biosynthetic process";21100;2662;"Up"
"13";"query_1";TRUE;1,82991894311699e-14;137;38;12;0,315789473684211;0,0875912408759124;"GO:0046165";"GO:BP";"alcohol biosynthetic process";21100;13865;"Up"
"14";"query_1";TRUE;2,95566188399079e-13;236;38;13;0,342105263157895;0,0550847457627119;"GO:1901617";"GO:BP";"organic hydroxy compound biosynthetic process";21100;24896;"Up"
"15";"query_1";TRUE;1,44008910836245e-12;1796;60;29;0,483333333333333;0,0161469933184855;"GO:0044281";"GO:BP";"small molecule metabolic process";21100;12712;"Up"
"16";"query_1";TRUE;1,25360047251439e-11;553;43;16;0,372093023255814;0,0289330922242315;"GO:0044283";"GO:BP";"small molecule biosynthetic process";21100;12714;"Up"
"17";"query_1";TRUE;5,00838985669776e-09;1009;60;20;0,333333333333333;0,0198216055500496;"GO:0044255";"GO:BP";"cellular lipid metabolic process";21100;12695;"Up"
"18";"query_1";TRUE;7,53096413076028e-05;6;26;3;0,115384615384615;0,5;"GO:0045338";"GO:BP";"farnesyl diphosphate metabolic process";21100;13227;"Up"
"19";"query_1";TRUE;9,29892885720196e-05;943;60;15;0,25;0,0159066808059385;"GO:0019637";"GO:BP";"organophosphate metabolic process";21100;6862;"Up"
"20";"query_1";TRUE;0,0002981567765291;86;58;6;0,103448275862069;0,0697674418604651;"GO:0042632";"GO:BP";"cholesterol homeostasis";21100;11846;"Up"
"21";"query_1";TRUE;0,000319565988749799;87;58;6;0,103448275862069;0,0689655172413793;"GO:0055092";"GO:BP";"sterol homeostasis";21100;16794;"Up"
"22";"query_1";TRUE;0,000328836056414913;597;51;11;0,215686274509804;0,0184254606365159;"GO:0032787";"GO:BP";"monocarboxylic acid metabolic process";21100;9026;"Up"
"23";"query_1";TRUE;0,000335122816629985;393;60;10;0,166666666666667;0,0254452926208651;"GO:0006644";"GO:BP";"phospholipid metabolic process";21100;2615;"Up"
"24";"query_1";TRUE;0,000801400895605429;166;58;7;0,120689655172414;0,0421686746987952;"GO:0046890";"GO:BP";"regulation of lipid biosynthetic process";21100;14429;"Up"
"25";"query_1";TRUE;0,00103075107106711;5774;60;35;0,583333333333333;0,00606165569795636;"GO:1901576";"GO:BP";"organic substance biosynthetic process";21100;24864;"Up"
"26";"query_1";TRUE;0,0015216761074909;5861;60;35;0,583333333333333;0,00597167718819314;"GO:0009058";"GO:BP";"biosynthetic process";21100;3661;"Up"
"27";"query_1";TRUE;0,0030161743204383;31;56;4;0,0714285714285714;0,129032258064516;"GO:0008299";"GO:BP";"isoprenoid biosynthetic process";21100;3576;"Up"
"28";"query_1";TRUE;0,00411957529163724;940;51;12;0,235294117647059;0,0127659574468085;"GO:0019752";"GO:BP";"carboxylic acid metabolic process";21100;6954;"Up"
"29";"query_1";TRUE;0,00546984429040759;966;51;12;0,235294117647059;0,0124223602484472;"GO:0043436";"GO:BP";"oxoacid metabolic process";21100;12315;"Up"
"30";"query_1";TRUE;0,00558185752645409;392;13;5;0,384615384615385;0,0127551020408163;"GO:0006631";"GO:BP";"fatty acid metabolic process";21100;2603;"Up"
"31";"query_1";TRUE;0,00690479667403368;988;51;12;0,235294117647059;0,0121457489878543;"GO:0006082";"GO:BP";"organic acid metabolic process";21100;2114;"Up"
"32";"query_1";TRUE;0,00918524828048626;3768;60;26;0,433333333333333;0,00690021231422505;"GO:0065008";"GO:BP";"regulation of biological quality";21100;18613;"Up"
"33";"query_1";TRUE;0,0105796725523514;477;43;8;0,186046511627907;0,0167714884696017;"GO:1901652";"GO:BP";"response to peptide";21100;24928;"Up"
"34";"query_1";TRUE;0,0110859690096094;159;58;6;0,103448275862069;0,0377358490566038;"GO:0055088";"GO:BP";"lipid homeostasis";21100;16790;"Up"
"35";"query_1";TRUE;0,0112752537139057;4213;43;22;0,511627906976744;0,00522193211488251;"GO:1901362";"GO:BP";"organic cyclic compound biosynthetic process";21100;24667;"Up"
"36";"query_1";TRUE;0,0139967694564053;349;43;7;0,162790697674419;0,0200573065902579;"GO:1901653";"GO:BP";"cellular response to peptide";21100;24929;"Up"
"37";"query_1";TRUE;0,0149433041942326;1658;58;16;0,275862068965517;0,00965018094089264;"GO:0042592";"GO:BP";"homeostatic process";21100;11832;"Up"
"38";"query_1";TRUE;0,0163948383828134;1010;54;12;0,222222222222222;0,0118811881188119;"GO:0010243";"GO:BP";"response to organonitrogen compound";21100;4496;"Up"
"39";"query_1";TRUE;0,0176251806884476;364;17;5;0,294117647058824;0,0137362637362637;"GO:0009150";"GO:BP";"purine ribonucleotide metabolic process";21100;3749;"Up"
"40";"query_1";TRUE;0,0198796468281518;4;26;2;0,0769230769230769;0,5;"GO:0045337";"GO:BP";"farnesyl diphosphate biosynthetic process";21100;13226;"Up"
"41";"query_1";TRUE;0,0225561976658411;383;17;5;0,294117647058824;0,0130548302872063;"GO:0009259";"GO:BP";"ribonucleotide metabolic process";21100;3856;"Up"
"42";"query_1";TRUE;0,0226449355951439;18;50;3;0,06;0,166666666666667;"GO:0071404";"GO:BP";"cellular response to low-density lipoprotein particle stimulus";21100;19433;"Up"
"43";"query_1";TRUE;0,02493017455983;391;17;5;0,294117647058824;0,0127877237851662;"GO:0006163";"GO:BP";"purine nucleotide metabolic process";21100;2183;"Up"
"44";"query_1";TRUE;0,025553189390501;393;17;5;0,294117647058824;0,0127226463104326;"GO:0019693";"GO:BP";"ribose phosphate metabolic process";21100;6913;"Up"
"45";"query_1";TRUE;0,0266535453948711;17;56;3;0,0535714285714286;0,176470588235294;"GO:0016114";"GO:BP";"terpenoid biosynthetic process";21100;5703;"Up"
"46";"query_1";TRUE;0,032479493718733;413;17;5;0,294117647058824;0,0121065375302663;"GO:0072521";"GO:BP";"purine-containing compound metabolic process";21100;20313;"Up"
"47";"query_1";TRUE;0,0328614576120927;398;43;7;0,162790697674419;0,0175879396984925;"GO:0043434";"GO:BP";"response to peptide hormone";21100;12313;"Up"
"48";"query_1";TRUE;0,0339407451626641;154;43;5;0,116279069767442;0,0324675324675325;"GO:0006633";"GO:BP";"fatty acid biosynthetic process";21100;2604;"Up"
"49";"query_1";TRUE;0,0358112515898414;2803;60;21;0,35;0,00749197288619336;"GO:0006793";"GO:BP";"phosphorus metabolic process";21100;2749;"Up"
"50";"query_1";TRUE;0,0386881013264635;1100;54;12;0,222222222222222;0,0109090909090909;"GO:1901698";"GO:BP";"response to nitrogen compound";21100;24964;"Up"
"51";"query_1";TRUE;0,0392168583878846;121;56;5;0,0892857142857143;0,0413223140495868;"GO:0006720";"GO:BP";"isoprenoid metabolic process";21100;2688;"Up"
"52";"query_1";TRUE;0,0429685793879649;4;38;2;0,0526315789473684;0,5;"GO:0033490";"GO:BP";"cholesterol biosynthetic process via lathosterol";21100;9459;"Up"
"53";"query_1";TRUE;0,0429685793879649;4;38;2;0,0526315789473684;0,5;"GO:0033489";"GO:BP";"cholesterol biosynthetic process via desmosterol";21100;9458;"Up"
"54";"query_1";TRUE;0,0432691616089853;347;51;7;0,137254901960784;0,0201729106628242;"GO:0062012";"GO:BP";"regulation of small molecule metabolic process";21100;18502;"Up"
"55";"query_1";TRUE;2,22106013957201e-05;12241;60;53;0,883333333333333;0,00432971162486725;"GO:0005737";"GO:CC";"cytoplasm";21698;384;"Up"
"56";"query_1";TRUE;3,37175634806959e-05;1147;56;15;0,267857142857143;0,013077593722755;"GO:0005789";"GO:CC";"endoplasmic reticulum membrane";21698;432;"Up"
"57";"query_1";TRUE;3,56740973039586e-05;1152;56;15;0,267857142857143;0,0130208333333333;"GO:0098827";"GO:CC";"endoplasmic reticulum subcompartment";21698;3634;"Up"
"58";"query_1";TRUE;4,31235036910442e-05;1169;56;15;0,267857142857143;0,0128314798973482;"GO:0042175";"GO:CC";"nuclear outer membrane-endoplasmic reticulum membrane network";21698;2018;"Up"
"59";"query_1";TRUE;5,72741061197934e-05;3668;59;27;0,457627118644068;0,00736095965103599;"GO:0031090";"GO:CC";"organelle membrane";21698;1215;"Up"
"60";"query_1";TRUE;8,26133701353702e-05;2015;56;19;0,339285714285714;0,00942928039702233;"GO:0005783";"GO:CC";"endoplasmic reticulum";21698;426;"Up"
"61";"query_1";TRUE;0,00088418923407302;1485;56;15;0,267857142857143;0,0101010101010101;"GO:0031984";"GO:CC";"organelle subcompartment";21698;1453;"Up"
"62";"query_1";TRUE;0,00249513355052341;4707;56;27;0,482142857142857;0,00573613766730402;"GO:0012505";"GO:CC";"endomembrane system";21698;816;"Up"
"63";"query_1";TRUE;0,00343951039070164;3;47;2;0,0425531914893617;0,666666666666667;"GO:0032937";"GO:CC";"SREBP-SCAP-Insig complex";21698;1564;"Up"
"64";"query_1";TRUE;0,00607899838556474;742;58;10;0,172413793103448;0,0134770889487871;"GO:0005764";"GO:CC";"lysosome";21698;408;"Up"
"65";"query_1";TRUE;0,00607899838556474;742;58;10;0,172413793103448;0,0134770889487871;"GO:0000323";"GO:CC";"lytic vacuole";21698;66;"Up"
"66";"query_1";TRUE;0,0169744689744328;838;58;10;0,172413793103448;0,0119331742243437;"GO:0005773";"GO:CC";"vacuole";21698;416;"Up"
"67";"query_1";TRUE;0,0249956541486144;126;3;2;0,666666666666667;0,0158730158730159;"GO:0140534";"GO:CC";"endoplasmic reticulum protein-containing complex";21698;3963;"Up"
"68";"query_1";TRUE;0,0418591723482206;163;3;2;0,666666666666667;0,0122699386503067;"GO:0030176";"GO:CC";"integral component of endoplasmic reticulum membrane";21698;1084;"Up"
"69";"query_1";TRUE;0,0460707993106246;171;3;2;0,666666666666667;0,0116959064327485;"GO:0031227";"GO:CC";"intrinsic component of endoplasmic reticulum membrane";21698;1238;"Up"
"70";"query_1";TRUE;0,00039364716575441;5746;41;27;0,658536585365854;0,00469892098851375;"GO:0003824";"GO:MF";"catalytic activity";20183;514;"Up"
"71";"query_1";TRUE;0,00107514335135799;755;41;10;0,24390243902439;0,0132450331125828;"GO:0016491";"GO:MF";"oxidoreductase activity";20183;3552;"Up"
