"";"query";"significant";"p_value";"term_size";"query_size";"intersection_size";"precision";"recall";"term_id";"source";"term_name";"effective_domain_size";"source_order";"set"
"1";"query_1";TRUE;3,49061685182838e-06;3152;30;19;0,633333333333333;0,00602791878172589;"GO:0051173";"GO:BP";"positive regulation of nitrogen compound metabolic process";21092;15622;"Up"
"2";"query_1";TRUE;4,35697451630169e-06;909;31;12;0,387096774193548;0,0132013201320132;"GO:0033993";"GO:BP";"response to lipid";21092;9622;"Up"
"3";"query_1";TRUE;2,38110668839485e-05;3094;30;18;0,6;0,00581771170006464;"GO:0031325";"GO:BP";"positive regulation of cellular metabolic process";21092;8251;"Up"
"4";"query_1";TRUE;2,42364134519243e-05;3849;36;22;0,611111111111111;0,00571577032995583;"GO:0009893";"GO:BP";"positive regulation of metabolic process";21092;4209;"Up"
"5";"query_1";TRUE;3,5006649799001e-05;3535;36;21;0,583333333333333;0,00594059405940594;"GO:0010604";"GO:BP";"positive regulation of macromolecule metabolic process";21092;4746;"Up"
"6";"query_1";TRUE;4,11814304240349e-05;4114;30;20;0,666666666666667;0,00486144871171609;"GO:0031326";"GO:BP";"regulation of cellular biosynthetic process";21092;8252;"Up"
"7";"query_1";TRUE;5,34823223211165e-05;4175;30;20;0,666666666666667;0,00479041916167665;"GO:0009889";"GO:BP";"regulation of biosynthetic process";21092;4205;"Up"
"8";"query_1";TRUE;5,63546377173978e-05;1176;36;13;0,361111111111111;0,0110544217687075;"GO:0043085";"GO:BP";"positive regulation of catalytic activity";21092;12112;"Up"
"9";"query_1";TRUE;0,000142818191018854;1348;29;12;0,413793103448276;0,00890207715133531;"GO:0071495";"GO:BP";"cellular response to endogenous stimulus";21092;19491;"Up"
"10";"query_1";TRUE;0,000238155281442747;2627;38;18;0,473684210526316;0,00685192234488009;"GO:0035556";"GO:BP";"intracellular signal transduction";21092;10450;"Up"
"11";"query_1";TRUE;0,000244576062995362;2817;36;18;0,5;0,00638977635782748;"GO:0006796";"GO:BP";"phosphate-containing compound metabolic process";21092;2748;"Up"
"12";"query_1";TRUE;0,000278842380674295;2841;36;18;0,5;0,00633579725448786;"GO:0006793";"GO:BP";"phosphorus metabolic process";21092;2745;"Up"
"13";"query_1";TRUE;0,000292150673838227;5706;30;22;0,733333333333333;0,00385559060637925;"GO:0051171";"GO:BP";"regulation of nitrogen compound metabolic process";21092;15620;"Up"
"14";"query_1";TRUE;0,000378361027691213;1655;31;13;0,419354838709677;0,00785498489425982;"GO:1901700";"GO:BP";"response to oxygen-containing compound";21092;24953;"Up"
"15";"query_1";TRUE;0,000402194604779579;923;36;11;0,305555555555556;0,0119176598049837;"GO:0030334";"GO:BP";"regulation of cell migration";21092;7808;"Up"
"16";"query_1";TRUE;0,000538008926563223;341;29;7;0,241379310344828;0,0205278592375367;"GO:0048545";"GO:BP";"response to steroid hormone";21092;14845;"Up"
"17";"query_1";TRUE;0,000559703139849918;954;36;11;0,305555555555556;0,0115303983228512;"GO:0008284";"GO:BP";"positive regulation of cell population proliferation";21092;3564;"Up"
"18";"query_1";TRUE;0,00062422146497708;3049;29;16;0,551724137931034;0,00524762217120367;"GO:0070887";"GO:BP";"cellular response to chemical stimulus";21092;19091;"Up"
"19";"query_1";TRUE;0,000678100625513528;142;23;5;0,217391304347826;0,0352112676056338;"GO:0048660";"GO:BP";"regulation of smooth muscle cell proliferation";21092;14941;"Up"
"20";"query_1";TRUE;0,000705157044892899;6522;36;26;0,722222222222222;0,00398650720637841;"GO:1901564";"GO:BP";"organonitrogen compound metabolic process";21092;24840;"Up"
"21";"query_1";TRUE;0,00076429803023048;3034;36;18;0,5;0,00593276203032301;"GO:0010033";"GO:BP";"response to organic substance";21092;4303;"Up"
"22";"query_1";TRUE;0,000769771901329895;985;36;11;0,305555555555556;0,0111675126903553;"GO:2000145";"GO:BP";"regulation of cell motility";21092;29352;"Up"
"23";"query_1";TRUE;0,00077845391069289;146;23;5;0,217391304347826;0,0342465753424658;"GO:0048659";"GO:BP";"smooth muscle cell proliferation";21092;14940;"Up"
"24";"query_1";TRUE;0,000873826514552428;1592;29;12;0,413793103448276;0,00753768844221105;"GO:0009719";"GO:BP";"response to endogenous stimulus";21092;4063;"Up"
"25";"query_1";TRUE;0,000880165621918247;4749;38;23;0,605263157894737;0,00484312486839335;"GO:0048523";"GO:BP";"negative regulation of cellular process";21092;14825;"Up"
"26";"query_1";TRUE;0,00092927861064759;5641;38;25;0,657894736842105;0,00443183832653785;"GO:0048522";"GO:BP";"positive regulation of cellular process";21092;14824;"Up"
"27";"query_1";TRUE;0,000942289116571384;1498;36;13;0,361111111111111;0,00867823765020027;"GO:0016477";"GO:BP";"cell migration";21092;5812;"Up"
"28";"query_1";TRUE;0,000960504741494468;5782;31;22;0,709677419354839;0,00380491179522657;"GO:0044249";"GO:BP";"cellular biosynthetic process";21092;12674;"Up"
"29";"query_1";TRUE;0,000986376032733339;1504;36;13;0,361111111111111;0,0086436170212766;"GO:0051247";"GO:BP";"positive regulation of protein metabolic process";21092;15682;"Up"
"30";"query_1";TRUE;0,000987344081816196;1010;36;11;0,305555555555556;0,0108910891089109;"GO:0031401";"GO:BP";"positive regulation of protein modification process";21092;8293;"Up"
"31";"query_1";TRUE;0,00104025095003455;2405;36;16;0,444444444444444;0,00665280665280665;"GO:0071310";"GO:BP";"cellular response to organic substance";21092;19316;"Up"
"32";"query_1";TRUE;0,00119897408325894;1030;36;11;0,305555555555556;0,0106796116504854;"GO:0040012";"GO:BP";"regulation of locomotion";21092;11443;"Up"
"33";"query_1";TRUE;0,00127635129670529;66;23;4;0,173913043478261;0,0606060606060606;"GO:0014910";"GO:BP";"regulation of smooth muscle cell migration";21092;5328;"Up"
"34";"query_1";TRUE;0,00156617769791053;1619;35;13;0,371428571428571;0,0080296479308215;"GO:0009890";"GO:BP";"negative regulation of biosynthetic process";21092;4206;"Up"
"35";"query_1";TRUE;0,0015746386564392;1567;36;13;0,361111111111111;0,00829610721123165;"GO:0006468";"GO:BP";"protein phosphorylation";21092;2442;"Up"
"36";"query_1";TRUE;0,00159982111649381;5941;31;22;0,709677419354839;0,00370308028951355;"GO:0009058";"GO:BP";"biosynthetic process";21092;3657;"Up"
"37";"query_1";TRUE;0,00164406981367424;4853;31;20;0,645161290322581;0,0041211621677313;"GO:0044271";"GO:BP";"cellular nitrogen compound biosynthetic process";21092;12686;"Up"
"38";"query_1";TRUE;0,00164449266050814;1573;36;13;0,361111111111111;0,00826446280991736;"GO:0044093";"GO:BP";"positive regulation of molecular function";21092;12616;"Up"
"39";"query_1";TRUE;0,00165444933003131;5649;30;21;0,7;0,00371747211895911;"GO:0031323";"GO:BP";"regulation of cellular metabolic process";21092;8249;"Up"
"40";"query_1";TRUE;0,00167728322680505;595;29;8;0,275862068965517;0,0134453781512605;"GO:0032870";"GO:BP";"cellular response to hormone stimulus";21092;9063;"Up"
