"";"query";"significant";"p_value";"term_size";"query_size";"intersection_size";"precision";"recall";"term_id";"source";"term_name";"effective_domain_size";"source_order";"set"
"1";"query_1";TRUE;0,0229780245486819;23;6;2;0,333333333333333;0,0869565217391304;"GO:1904706";"GO:BP";"negative regulation of vascular associated smooth muscle cell proliferation";21100;27651;"Up"
"2";"query_1";TRUE;0,0497887249256346;3851;6;6;1;0,00155803687353934;"GO:0006950";"GO:BP";"response to stress";21100;2884;"Up"
"3";"query_1";TRUE;0,0455265887267161;718;5;3;0,6;0,00417827298050139;"GO:0048471";"GO:CC";"perinuclear region of cytoplasm";21698;2538;"Up"
"4";"query_1";TRUE;0,00698038844888344;18;9;2;0,222222222222222;0,111111111111111;"GO:0045236";"GO:MF";"CXCR chemokine receptor binding";20183;7156;"Up"
"5";"query_1";TRUE;0,032203593636942;235;9;3;0,333333333333333;0,0127659574468085;"GO:0005125";"GO:MF";"cytokine activity";20183;1625;"Up"
"6";"query_1";TRUE;0,00620710142289722;135;6;3;0,5;0,0222222222222222;"KEGG:04371";"KEGG";"Apelin signaling pathway";7559;291;"Up"
"7";"query_1";TRUE;0,0136924308979384;110;9;3;0,333333333333333;0,0272727272727273;"KEGG:04668";"KEGG";"TNF signaling pathway";7559;325;"Up"
"8";"query_1";TRUE;0,000529866041860329;62;5;3;0,6;0,0483870967741935;"WP:WP3624";"WP";"Lung fibrosis";7364;478;"Up"
"9";"query_1";TRUE;0,018688374552219;272;9;4;0,444444444444444;0,0147058823529412;"WP:WP4754";"WP";"IL-18 signaling pathway";7364;503;"Up"
"10";"query_1";TRUE;0,0326892722984842;122;9;3;0,333333333333333;0,0245901639344262;"WP:WP5095";"WP";"Overview of proinflammatory and profibrotic mediators";7364;39;"Up"
"11";"query_1";TRUE;7,90549655412594e-07;49;18;5;0,277777777777778;0,102040816326531;"GO:0002474";"GO:BP";"antigen processing and presentation of peptide antigen via MHC class I";21100;1120;"Down"
