"";"query";"significant";"p_value";"term_size";"query_size";"intersection_size";"precision";"recall";"term_id";"source";"term_name";"effective_domain_size";"source_order";"set"
"1";"query_1";TRUE;0,000354353847313988;558;35;9;0,257142857142857;0,0161290322580645;"GO:0009611";"GO:BP";"response to wounding";21100;3983;"Up"
"2";"query_1";TRUE;0,000621754598115735;429;35;8;0,228571428571429;0,0186480186480186;"GO:0042060";"GO:BP";"wound healing";21100;11511;"Up"
"3";"query_1";TRUE;0,0098098491776571;1599;20;9;0,45;0,00562851782363977;"GO:0048585";"GO:BP";"negative regulation of response to stimulus";21100;14897;"Up"
"4";"query_1";TRUE;0,0154630838731168;2811;23;12;0,521739130434783;0,00426894343649947;"GO:0007166";"GO:BP";"cell surface receptor signaling pathway";21100;3066;"Up"
"5";"query_1";TRUE;0,0162206293812752;66;14;3;0,214285714285714;0,0454545454545455;"GO:0045453";"GO:BP";"bone resorption";21100;13249;"Up"
"6";"query_1";TRUE;0,0224304397581285;127;25;4;0,16;0,031496062992126;"GO:0042471";"GO:BP";"ear morphogenesis";21100;11783;"Up"
"7";"query_1";TRUE;0,0296753282556201;164;21;4;0,19047619047619;0,024390243902439;"GO:1905952";"GO:BP";"regulation of lipid localization";21100;28800;"Up"
"8";"query_1";TRUE;0,0335186058149035;226;32;5;0,15625;0,0221238938053097;"GO:0007596";"GO:BP";"blood coagulation";21100;3457;"Up"
"9";"query_1";TRUE;0,0372308662827176;231;32;5;0,15625;0,0216450216450216;"GO:0050817";"GO:BP";"coagulation";21100;15342;"Up"
"10";"query_1";TRUE;0,0380102616734416;232;32;5;0,15625;0,021551724137931;"GO:0007599";"GO:BP";"hemostasis";21100;3460;"Up"
"11";"query_1";TRUE;0,0398364229760753;275;14;4;0,285714285714286;0,0145454545454545;"GO:1903532";"GO:BP";"positive regulation of secretion by cell";21100;26586;"Up"
"12";"query_1";TRUE;0,040387954079295;15;11;2;0,181818181818182;0,133333333333333;"GO:0033008";"GO:BP";"positive regulation of mast cell activation involved in immune response";21100;9184;"Up"
"13";"query_1";TRUE;0,040387954079295;15;11;2;0,181818181818182;0,133333333333333;"GO:0043306";"GO:BP";"positive regulation of mast cell degranulation";21100;12235;"Up"
"14";"query_1";TRUE;0,0409832206326185;277;14;4;0,285714285714286;0,0144404332129964;"GO:0001894";"GO:BP";"tissue homeostasis";21100;632;"Up"
"15";"query_1";TRUE;0,0412539301492337;90;14;3;0,214285714285714;0,0333333333333333;"GO:0046849";"GO:BP";"bone remodeling";21100;14402;"Up"
"16";"query_1";TRUE;0,0440623534739471;25;7;2;0,285714285714286;0,08;"GO:0032753";"GO:BP";"positive regulation of interleukin-4 production";21100;8998;"Up"
"17";"query_1";TRUE;0,0440794446204961;641;21;6;0,285714285714286;0,0093603744149766;"GO:0006897";"GO:BP";"endocytosis";21100;2840;"Up"
"18";"query_1";TRUE;0,0192041271974275;1;1;1;1;1;"GO:0004941";"GO:MF";"beta2-adrenergic receptor activity";20183;1480;"Up"
"19";"query_1";TRUE;0,0467602216082192;182;7;3;0,428571428571429;0,0164835164835165;"REAC:R-HSA-2454202";"REAC";"Fc epsilon receptor (FCERI) signaling";10770;889;"Up"
"20";"query_1";TRUE;0,0245450899694772;2109;28;12;0,428571428571429;0,00568990042674253;"TF:M12567";"TF";"Factor: CEBPD; motif: NNTTGCACAAYNN";19958;756;"Up"
"21";"query_1";TRUE;0,013706937666369;757;30;8;0,266666666666667;0,0105680317040951;"GO:0032989";"GO:BP";"cellular component morphogenesis";21100;9175;"Down"
"22";"query_1";TRUE;0,0431672300710127;10;16;2;0,125;0,2;"GO:0043653";"GO:BP";"mitochondrial fragmentation involved in apoptotic process";21100;12476;"Down"
"23";"query_1";TRUE;0,0317113740664883;3;1;1;1;0,333333333333333;"GO:0099073";"GO:CC";"mitochondrion-derived vesicle";21698;3743;"Down"
"24";"query_1";TRUE;0,0100507752314352;1283;27;9;0,333333333333333;0,00701480904130943;"GO:0044877";"GO:MF";"protein-containing complex binding";20183;7118;"Down"
"25";"query_1";TRUE;0,0487684707702796;74;5;2;0,4;0,027027027027027;"GO:0140104";"GO:MF";"molecular carrier activity";20183;11759;"Down"
"26";"query_1";TRUE;0,0234140835222933;572;33;8;0,242424242424242;0,013986013986014;"MIRNA:hsa-miR-21-5p";"MIRNA";"hsa-miR-21-5p";13650;399;"Down"
"27";"query_1";TRUE;0,0323554991947603;123;25;4;0,16;0,032520325203252;"MIRNA:hsa-miR-133a-3p";"MIRNA";"hsa-miR-133a-3p";13650;217;"Down"
