"";"query";"significant";"p_value";"term_size";"query_size";"intersection_size";"precision";"recall";"term_id";"source";"term_name";"effective_domain_size";"source_order";"set"
"1";"query_1";TRUE;0,0410499854326328;3;212;3;0,0141509433962264;1;"CORUM:6396";"CORUM";"DNJC3-DNAJB1-HSPA8 complex";3627;2099;"Up"
"2";"query_1";TRUE;2,60319422175795e-47;5766;2074;866;0,4175506268081;0,150190773499827;"GO:0044260";"GO:BP";"cellular macromolecule metabolic process";21100;12699;"Up"
"3";"query_1";TRUE;2,14365804994938e-45;4882;2077;761;0,366393837265286;0,15587873822204;"GO:0044267";"GO:BP";"cellular protein metabolic process";21100;12703;"Up"
"4";"query_1";TRUE;3,61796949084417e-45;5487;2077;829;0,39913336543091;0,151084381264808;"GO:0019538";"GO:BP";"protein metabolic process";21100;6769;"Up"
"5";"query_1";TRUE;4,14958136399323e-40;6446;2078;918;0,44177093358999;0,142413900093081;"GO:1901564";"GO:BP";"organonitrogen compound metabolic process";21100;24853;"Up"
"6";"query_1";TRUE;3,82388636731818e-34;6004;2228;899;0,403500897666068;0,149733510992672;"GO:0031323";"GO:BP";"regulation of cellular metabolic process";21100;8255;"Up"
"7";"query_1";TRUE;1,52473268359065e-31;3719;2227;613;0,275258194881006;0,164829255176123;"GO:0006464";"GO:BP";"cellular protein modification process";21100;2443;"Up"
"8";"query_1";TRUE;1,52473268359065e-31;3719;2227;613;0,275258194881006;0,164829255176123;"GO:0036211";"GO:BP";"protein modification process";21100;10936;"Up"
"9";"query_1";TRUE;4,26611745969605e-30;3936;2227;635;0,285136955545577;0,161331300813008;"GO:0043412";"GO:BP";"macromolecule modification";21100;12301;"Up"
"10";"query_1";TRUE;6,72666684599975e-29;5774;2217;848;0,382498872350023;0,146865258053343;"GO:1901576";"GO:BP";"organic substance biosynthetic process";21100;24864;"Up"
"11";"query_1";TRUE;1,23625676097005e-28;5861;2217;857;0,386558412268832;0,146220781436615;"GO:0009058";"GO:BP";"biosynthetic process";21100;3661;"Up"
"12";"query_1";TRUE;3,70761946321671e-28;3776;2227;608;0,273013022002694;0,161016949152542;"GO:0009893";"GO:BP";"positive regulation of metabolic process";21100;4213;"Up"
"13";"query_1";TRUE;4,57983015993831e-28;5700;2217;836;0,377086152458277;0,146666666666667;"GO:0044249";"GO:BP";"cellular biosynthetic process";21100;12692;"Up"
"14";"query_1";TRUE;7,71486961066067e-28;3271;2210;540;0,244343891402715;0,165087129318251;"GO:0031325";"GO:BP";"positive regulation of cellular metabolic process";21100;8257;"Up"
"15";"query_1";TRUE;8,58891023683983e-28;5812;1991;775;0,389251632345555;0,133344803854095;"GO:0080090";"GO:BP";"regulation of primary metabolic process";21100;20855;"Up"
"16";"query_1";TRUE;1,47186594350709e-27;5654;2228;832;0,37342908438061;0,147152458436505;"GO:0051171";"GO:BP";"regulation of nitrogen compound metabolic process";21100;15640;"Up"
"17";"query_1";TRUE;2,59572853179068e-27;2199;1680;326;0,194047619047619;0,14824920418372;"GO:0044248";"GO:BP";"cellular catabolic process";21100;12691;"Up"
"18";"query_1";TRUE;3,16579298308964e-27;4770;2224;725;0,325989208633094;0,151991614255765;"GO:0009059";"GO:BP";"macromolecule biosynthetic process";21100;3662;"Up"
"19";"query_1";TRUE;6,27385741616514e-27;1359;1753;239;0,136337706788363;0,175864606328182;"GO:0009057";"GO:BP";"macromolecule catabolic process";21100;3660;"Up"
"20";"query_1";TRUE;2,50312312979309e-26;5687;2229;831;0,372812920592194;0,146122736064709;"GO:0048522";"GO:BP";"positive regulation of cellular process";21100;14844;"Up"
"21";"query_1";TRUE;2,64906610784721e-26;6224;2229;893;0,400628084342755;0,143476863753213;"GO:0048518";"GO:BP";"positive regulation of biological process";21100;14840;"Up"
"22";"query_1";TRUE;3,07170226959724e-26;3465;2227;562;0,252357431522227;0,162193362193362;"GO:0010604";"GO:BP";"positive regulation of macromolecule metabolic process";21100;4750;"Up"
"23";"query_1";TRUE;1,42227065169787e-25;3083;2226;511;0,229559748427673;0,165747648394421;"GO:0051173";"GO:BP";"positive regulation of nitrogen compound metabolic process";21100;15642;"Up"
"24";"query_1";TRUE;6,33509857439997e-25;3874;2214;605;0,273261065943993;0,156169334021683;"GO:0006996";"GO:BP";"organelle organization";21100;2920;"Up"
"25";"query_1";TRUE;6,60335861514273e-25;1152;1628;199;0,122235872235872;0,172743055555556;"GO:0044265";"GO:BP";"cellular macromolecule catabolic process";21100;12702;"Up"
"26";"query_1";TRUE;1,18710730599517e-24;11193;2199;1407;0,639836289222374;0,125703564727955;"GO:0050794";"GO:BP";"regulation of cellular process";21100;15325;"Up"
"27";"query_1";TRUE;9,9769592533996e-24;4765;2224;710;0,319244604316547;0,14900314795383;"GO:0044271";"GO:BP";"cellular nitrogen compound biosynthetic process";21100;12706;"Up"
"28";"query_1";TRUE;1,0744415682575e-23;2559;1683;353;0,209744503862151;0,137944509574052;"GO:0009056";"GO:BP";"catabolic process";21100;3659;"Up"
"29";"query_1";TRUE;1,55012174986538e-23;996;1776;188;0,105855855855856;0,188755020080321;"GO:0030163";"GO:BP";"protein catabolic process";21100;7720;"Up"
"30";"query_1";TRUE;1,83046005510483e-23;1875;1851;301;0,162614802809292;0,160533333333333;"GO:0033554";"GO:BP";"cellular response to stress";21100;9518;"Up"
"31";"query_1";TRUE;2,08844574113803e-22;4145;2228;631;0,283213644524237;0,152231604342581;"GO:0009889";"GO:BP";"regulation of biosynthetic process";21100;4209;"Up"
"32";"query_1";TRUE;2,19278651409746e-22;7313;2080;940;0,451923076923077;0,128538219608916;"GO:0019222";"GO:BP";"regulation of metabolic process";21100;6474;"Up"
"33";"query_1";TRUE;7,11394456019668e-22;4048;2228;617;0,276929982046679;0,152420948616601;"GO:0019219";"GO:BP";"regulation of nucleobase-containing compound metabolic process";21100;6471;"Up"
"34";"query_1";TRUE;7,73472726310951e-22;3926;2228;602;0,270197486535009;0,15333672949567;"GO:0010556";"GO:BP";"regulation of macromolecule biosynthetic process";21100;4707;"Up"
"35";"query_1";TRUE;1,60279449327492e-21;4085;2228;620;0,278276481149013;0,151774785801714;"GO:0031326";"GO:BP";"regulation of cellular biosynthetic process";21100;8258;"Up"
"36";"query_1";TRUE;3,07282332716985e-21;4856;2228;711;0,319120287253142;0,146416803953871;"GO:0048523";"GO:BP";"negative regulation of cellular process";21100;14845;"Up"
"37";"query_1";TRUE;3,70128218271557e-21;2536;2074;402;0,193828351012536;0,158517350157729;"GO:0051246";"GO:BP";"regulation of protein metabolic process";21100;15701;"Up"
"38";"query_1";TRUE;3,35329587484498e-20;3753;2228;574;0,257630161579892;0,152944311217693;"GO:0051252";"GO:BP";"regulation of RNA metabolic process";21100;15707;"Up"
"39";"query_1";TRUE;5,59748995039883e-20;833;1656;152;0,0917874396135266;0,182472989195678;"GO:0044257";"GO:BP";"cellular protein catabolic process";21100;12697;"Up"
"40";"query_1";TRUE;1,03605538986691e-19;1976;2201;343;0,155838255338483;0,173582995951417;"GO:0045935";"GO:BP";"positive regulation of nucleobase-containing compound metabolic process";21100;13643;"Up"
